C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
6,-0.0231451
6.0025,-0.0231574
6.005,-0.0231699
6.0075,-0.0231825
6.01,-0.023195
6.0125,-0.0232075
6.015,-0.02322
6.0175,-0.0232324
6.02,-0.0232449
6.0225,-0.0232574
6.025,-0.0232698
6.0275,-0.0232822
6.03,-0.0232946
6.0325,-0.023307
6.035,-0.0233194
6.0375,-0.0233318
6.04,-0.0233441
6.0425,-0.0233565
6.045,-0.0233688
6.0475,-0.0233812
6.05,-0.0233935
6.0525,-0.0234058
6.055,-0.0234181
6.0575,-0.0234304
6.06,-0.0234426
6.0625,-0.0234549
6.065,-0.0234671
6.0675,-0.0234794
6.07,-0.0234916
6.0725,-0.0235038
6.075,-0.0235161
6.0775,-0.0235283
6.08,-0.0235404
6.0825,-0.0235526
6.085,-0.0235648
6.0875,-0.023577
6.09,-0.0235891
6.0925,-0.0236013
6.095,-0.0236134
6.0975,-0.0236255
6.1,-0.0236377
6.1025,-0.0236498
6.105,-0.0236619
6.1075,-0.023674
6.11,-0.0236861
6.1125,-0.0236981
6.115,-0.0237102
6.1175,-0.0237223
6.12,-0.0237343
6.1225,-0.0237464
6.125,-0.0237584
6.1275,-0.0237705
6.13,-0.0237825
6.1325,-0.0237945
6.135,-0.0238065
6.1375,-0.0238186
6.14,-0.0238306
6.1425,-0.0238426
6.145,-0.0238545
6.1475,-0.0238665
6.15,-0.0238785
6.1525,-0.0238905
6.155,-0.0239025
6.1575,-0.0239144
6.16,-0.0239264
6.1625,-0.0239383
6.165,-0.0239503
6.1675,-0.0239622
6.17,-0.0239742
6.1725,-0.0239861
6.175,-0.023998
6.1775,-0.02401
6.18,-0.0240219
6.1825,-0.0240338
6.185,-0.0240457
6.1875,-0.0240576
6.19,-0.0240696
6.1925,-0.0240815
6.195,-0.0240934
6.1975,-0.0241053
6.2,-0.0241171
6.2025,-0.024129
6.205,-0.0241409
6.2075,-0.0241528
6.21,-0.0241647
6.2125,-0.0241766
6.215,-0.0241885
6.2175,-0.0242003
6.22,-0.0242122
6.2225,-0.0242241
6.225,-0.0242359
6.2275,-0.0242478
6.23,-0.0242597
6.2325,-0.0242715
6.235,-0.0242834
6.2375,-0.0242953
6.24,-0.0243071
6.2425,-0.024319
6.245,-0.0243308
6.2475,-0.0243427
6.25,-0.0243545
6.2525,-0.0243664
6.255,-0.0243782
6.2575,-0.0243901
6.26,-0.0244019
6.2625,-0.0244138
6.265,-0.0244256
6.2675,-0.0244375
6.27,-0.0244493
6.2725,-0.0244612
6.275,-0.024473
6.2775,-0.0244849
6.28,-0.0244967
6.2825,-0.0245086
6.285,-0.0245204
6.2875,-0.0245323
6.29,-0.0245441
6.2925,-0.024556
6.295,-0.0245678
6.2975,-0.0245797
6.3,-0.0245916
6.3025,-0.0246034
6.305,-0.0246153
6.3075,-0.0246271
6.31,-0.024639
6.3125,-0.0246509
6.315,-0.0246627
6.3175,-0.0246746
6.32,-0.0246865
6.3225,-0.0246983
6.325,-0.0247102
6.3275,-0.0247221
6.33,-0.0247339
6.3325,-0.0247458
6.335,-0.0247577
6.3375,-0.0247696
6.34,-0.0247815
6.3425,-0.0247934
6.345,-0.0248052
6.3475,-0.0248171
6.35,-0.024829
6.3525,-0.0248409
6.355,-0.0248528
6.3575,-0.0248647
6.36,-0.0248766
6.3625,-0.0248886
6.365,-0.0249005
6.3675,-0.0249124
6.37,-0.0249243
6.3725,-0.0249362
6.375,-0.0249482
6.3775,-0.0249601
6.38,-0.024972
6.3825,-0.024984
6.385,-0.0249959
6.3875,-0.0250079
6.39,-0.0250198
6.3925,-0.0250318
6.395,-0.0250437
6.3975,-0.0250557
6.4,-0.0250677
6.4025,-0.02508
6.405,-0.0250916
6.4075,-0.0251036
6.41,-0.0251156
6.4125,-0.0251276
6.415,-0.0251396
6.4175,-0.0251516
6.42,-0.0251636
6.4225,-0.0251756
6.425,-0.0251876
6.4275,-0.0251996
6.43,-0.0252117
6.4325,-0.0252237
6.435,-0.0252357
6.4375,-0.0252478
6.44,-0.0252598
6.4425,-0.0252719
6.445,-0.0252839
6.4475,-0.025296
6.45,-0.0253081
6.4525,-0.0253202
6.455,-0.0253322
6.4575,-0.0253443
6.46,-0.0253564
6.4625,-0.0253685
6.465,-0.0253806
6.4675,-0.0253928
6.47,-0.0254049
6.4725,-0.025417
6.475,-0.0254291
6.4775,-0.0254413
6.48,-0.0254534
6.4825,-0.0254656
6.485,-0.0254777
6.4875,-0.0254899
6.49,-0.0255021
6.4925,-0.0255142
6.495,-0.0255264
6.4975,-0.0255386
6.5,-0.0255508
6.5025,-0.025563
6.505,-0.0255752
6.5075,-0.0255875
6.51,-0.0255997
6.5125,-0.0256119
6.515,-0.0256242
6.5175,-0.0256364
6.52,-0.0256487
6.5225,-0.0256609
6.525,-0.0256732
6.5275,-0.0256855
6.53,-0.0256978
6.5325,-0.0257101
6.535,-0.0257224
6.5375,-0.0257347
6.54,-0.025747
6.5425,-0.0257593
6.545,-0.0257717
6.5475,-0.025784
6.55,-0.0257963
6.5525,-0.0258087
6.555,-0.0258211
6.5575,-0.0258334
6.56,-0.0258458
6.5625,-0.0258582
6.565,-0.0258706
6.5675,-0.025883
6.57,-0.0258954
6.5725,-0.0259078
6.575,-0.0259203
6.5775,-0.0259327
6.58,-0.0259452
6.5825,-0.0259576
6.585,-0.0259701
6.5875,-0.0259826
6.59,-0.025995
6.5925,-0.0260075
6.595,-0.02602
6.5975,-0.0260325
6.6,-0.026045
6.6025,-0.0260576
6.605,-0.0260701
6.6075,-0.0260826
6.61,-0.0260952
6.6125,-0.0261078
6.615,-0.0261203
6.6175,-0.0261329
6.62,-0.0261455
6.6225,-0.0261581
6.625,-0.0261707
6.6275,-0.0261833
6.63,-0.0261959
6.6325,-0.0262086
6.635,-0.0262212
6.6375,-0.0262339
6.64,-0.0262465
6.6425,-0.0262592
6.645,-0.0262719
6.6475,-0.0262846
6.65,-0.0262972
6.6525,-0.02631
6.655,-0.0263227
6.6575,-0.0263354
6.66,-0.0263481
6.6625,-0.0263609
6.665,-0.0263736
6.6675,-0.0263864
6.67,-0.0263992
6.6725,-0.026412
6.675,-0.0264248
6.6775,-0.0264376
6.68,-0.0264504
6.6825,-0.0264632
6.685,-0.026476
6.6875,-0.0264889
6.69,-0.0265017
6.6925,-0.0265146
6.695,-0.0265275
6.6975,-0.0265404
6.7,-0.0265533
6.7025,-0.0265662
6.705,-0.0265791
6.7075,-0.026592
6.71,-0.0266049
6.7125,-0.0266179
6.715,-0.0266308
6.7175,-0.0266438
6.72,-0.0266568
6.7225,-0.0266698
6.725,-0.0266828
6.7275,-0.0266958
6.73,-0.0267088
6.7325,-0.0267218
6.735,-0.0267349
6.7375,-0.0267479
6.74,-0.026761
6.7425,-0.026774
6.745,-0.0267871
6.7475,-0.0268002
6.75,-0.0268133
6.7525,-0.0268264
6.755,-0.0268396
6.7575,-0.0268527
6.76,-0.0268658
6.7625,-0.026879
6.765,-0.0268922
6.7675,-0.0269053
6.77,-0.0269185
6.7725,-0.0269317
6.775,-0.026945
6.7775,-0.0269582
6.78,-0.0269714
6.7825,-0.0269847
6.785,-0.0269979
6.7875,-0.0270112
6.79,-0.0270245
6.7925,-0.0270378
6.795,-0.0270511
6.7975,-0.0270644
6.8,-0.0270777
6.8025,-0.027091
6.805,-0.0271044
6.8075,-0.0271178
6.81,-0.0271311
6.8125,-0.0271445
6.815,-0.0271579
6.8175,-0.0271713
6.82,-0.0271847
6.8225,-0.0271982
6.825,-0.0272116
6.8275,-0.0272251
6.83,-0.0272385
6.8325,-0.027252
6.835,-0.0272655
6.8375,-0.027279
6.84,-0.0272925
6.8425,-0.0273061
6.845,-0.0273196
6.8475,-0.0273331
6.85,-0.0273467
6.8525,-0.0273603
6.855,-0.0273739
6.8575,-0.0273875
6.86,-0.0274011
6.8625,-0.0274147
6.865,-0.0274284
6.8675,-0.027442
6.87,-0.0274557
6.8725,-0.0274694
6.875,-0.0274831
6.8775,-0.0274968
6.88,-0.0275105
6.8825,-0.0275242
6.885,-0.027538
6.8875,-0.0275517
6.89,-0.0275655
6.8925,-0.0275793
6.895,-0.0275931
6.8975,-0.0276069
6.9,-0.0276207
6.9025,-0.0276345
6.905,-0.0276484
6.9075,-0.0276623
6.91,-0.0276761
6.9125,-0.02769
6.915,-0.0277039
6.9175,-0.0277179
6.92,-0.0277318
6.9225,-0.0277457
6.925,-0.0277597
6.9275,-0.0277737
6.93,-0.0277877
6.9325,-0.0278017
6.935,-0.0278157
6.9375,-0.0278297
6.94,-0.0278438
6.9425,-0.0278579
6.945,-0.0278719
6.9475,-0.027886
6.95,-0.0279002
6.9525,-0.0279143
6.955,-0.0279284
6.9575,-0.0279426
6.96,-0.0279568
6.9625,-0.0279709
6.965,-0.0279851
6.9675,-0.0279994
6.97,-0.0280136
6.9725,-0.0280279
6.975,-0.0280421
6.9775,-0.0280564
6.98,-0.0280707
6.9825,-0.028085
6.985,-0.0280994
6.9875,-0.0281137
6.99,-0.0281281
6.9925,-0.0281425
6.995,-0.0281569
6.9975,-0.0281713
7,-0.0281857
7.0025,-0.0282002
7.005,-0.0282147
7.0075,-0.0282292
7.01,-0.0282437
7.0125,-0.0282582
7.015,-0.0282727
7.0175,-0.0282873
7.02,-0.0283019
7.0225,-0.0283165
7.025,-0.0283311
7.0275,-0.0283458
7.03,-0.0283604
7.0325,-0.0283751
7.035,-0.0283898
7.0375,-0.0284045
7.04,-0.0284193
7.0425,-0.028434
7.045,-0.0284488
7.0475,-0.0284636
7.05,-0.0284784
7.0525,-0.0284933
7.055,-0.0285081
7.0575,-0.028523
7.06,-0.0285379
7.0625,-0.0285529
7.065,-0.0285678
7.0675,-0.0285828
7.07,-0.0285978
7.0725,-0.0286128
7.075,-0.0286278
7.0775,-0.0286429
7.08,-0.028658
