C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
5,-0.143496
5.02,-0.144325
5.04,-0.145153
5.06,-0.14598
5.08,-0.146807
5.1,-0.147633
5.12,-0.148458
5.14,-0.149282
5.16,-0.150105
5.18,-0.150928
5.2,-0.15175
5.22,-0.15257
5.24,-0.15339
5.26,-0.154209
5.28,-0.155027
5.3,-0.155844
5.32,-0.15666
5.34,-0.157475
5.36,-0.158288
5.38,-0.159101
5.4,-0.159912
5.42,-0.160723
5.44,-0.161532
5.46,-0.16234
5.48,-0.163146
5.5,-0.163952
5.52,-0.164756
5.54,-0.165559
5.56,-0.16636
5.58,-0.16716
5.6,-0.167959
5.62,-0.168756
5.64,-0.169552
5.66,-0.170346
5.68,-0.171139
5.7,-0.17193
5.72,-0.17272
5.74,-0.173508
5.76,-0.174295
5.78,-0.175079
5.8,-0.175863
5.82,-0.176644
5.84,-0.177424
5.86,-0.178202
5.88,-0.178978
5.9,-0.179752
5.92,-0.180525
5.94,-0.181296
5.96,-0.182065
5.98,-0.182832
6,-0.183597
6.02,-0.18436
6.04,-0.185121
6.06,-0.18588
6.08,-0.186636
6.1,-0.187391
6.12,-0.188144
6.14,-0.188895
6.16,-0.189643
6.18,-0.190389
6.2,-0.191133
6.22,-0.191875
6.24,-0.192615
6.26,-0.193352
6.28,-0.194087
6.3,-0.194819
6.32,-0.19555
6.34,-0.196277
6.36,-0.197003
6.38,-0.197726
6.4,-0.198446
6.42,-0.199164
6.44,-0.199879
6.46,-0.200592
6.48,-0.201302
6.5,-0.20201
6.52,-0.202715
6.54,-0.203417
6.56,-0.204117
6.58,-0.204814
6.6,-0.205508
6.62,-0.206199
6.64,-0.206888
6.66,-0.207573
6.68,-0.208256
6.7,-0.208936
6.72,-0.209614
6.74,-0.210288
6.76,-0.210959
6.78,-0.211628
6.8,-0.212293
6.82,-0.212955
6.84,-0.213615
6.86,-0.214271
6.88,-0.214924
6.9,-0.215574
6.92,-0.216221
6.94,-0.216865
6.96,-0.217505
6.98,-0.218143
7,-0.218777
7.02,-0.219408
7.04,-0.220036
7.06,-0.22066
7.08,-0.221281
7.1,-0.221899
7.12,-0.222513
7.14,-0.223124
7.16,-0.223732
7.18,-0.224336
7.2,-0.224937
7.22,-0.225534
7.24,-0.226128
7.26,-0.226718
7.28,-0.227305
7.3,-0.227888
7.32,-0.228468
7.34,-0.229044
7.36,-0.229616
7.38,-0.230185
7.4,-0.23075
7.42,-0.231312
7.44,-0.231869
7.46,-0.232424
7.48,-0.232974
7.5,-0.233521
7.52,-0.234064
7.54,-0.234603
7.56,-0.235138
7.58,-0.235669
7.6,-0.236197
7.62,-0.236721
7.64,-0.237241
7.66,-0.237757
7.68,-0.238269
7.7,-0.238777
7.72,-0.239281
7.74,-0.239782
7.76,-0.240278
7.78,-0.240771
7.8,-0.241259
7.82,-0.241743
7.84,-0.242224
7.86,-0.2427
7.88,-0.243172
7.9,-0.24364
7.92,-0.244104
7.94,-0.244564
7.96,-0.24502
7.98,-0.245471
8,-0.245919
8.02,-0.246362
8.04,-0.246801
8.06,-0.247236
8.08,-0.247667
8.1,-0.248094
8.12,-0.248516
8.14,-0.248934
8.16,-0.249348
8.18,-0.249757
8.2,-0.250162
8.22,-0.250563
8.24,-0.25096
8.26,-0.251352
8.28,-0.25174
8.3,-0.252124
8.32,-0.252503
8.34,-0.252878
8.36,-0.253248
8.38,-0.253615
8.4,-0.253976
8.42,-0.254334
8.44,-0.254687
8.46,-0.255035
8.48,-0.255379
8.5,-0.255719
8.52,-0.256054
8.54,-0.256384
8.56,-0.256711
8.58,-0.257032
8.6,-0.257349
8.62,-0.257662
8.64,-0.25797
8.66,-0.258274
8.68,-0.258573
8.7,-0.258868
8.72,-0.259158
8.74,-0.259444
8.76,-0.259725
8.78,-0.260001
8.8,-0.260273
8.82,-0.26054
8.84,-0.260803
8.86,-0.261061
8.88,-0.261315
8.9,-0.261563
8.92,-0.261808
8.94,-0.262048
8.96,-0.262283
8.98,-0.262513
9,-0.262739
9.02,-0.26296
9.04,-0.263177
9.06,-0.263389
9.08,-0.263596
9.1,-0.263799
9.12,-0.263997
9.14,-0.264191
9.16,-0.264379
9.18,-0.264564
9.2,-0.264743
9.22,-0.264918
9.24,-0.265088
9.26,-0.265254
9.28,-0.265414
9.3,-0.26557
9.32,-0.265722
9.34,-0.265869
9.36,-0.266011
9.38,-0.266148
9.4,-0.266281
