C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
6.5,-0.0255645
6.525,-0.0256888
6.55,-0.0258136
6.575,-0.0259392
6.6,-0.0260654
6.625,-0.0261923
6.65,-0.02632
6.675,-0.0264485
6.7,-0.0265777
6.725,-0.0267077
6.75,-0.0268386
6.775,-0.0269703
6.8,-0.027103
6.825,-0.0272366
6.85,-0.0273712
6.875,-0.0275069
6.9,-0.0276437
6.925,-0.0277818
6.95,-0.0279211
6.975,-0.0280619
7,-0.0282042
7.025,-0.0283482
7.05,-0.0284941
7.075,-0.0286421
7.1,-0.0287924
7.125,-0.0289454
7.15,-0.0291013
7.175,-0.0292604
7.2,-0.0294237
7.225,-0.0295912
7.25,-0.0297639
7.275,-0.0299427
7.3,-0.0301285
7.325,-0.0303228
7.35,-0.0305271
7.375,-0.0307436
7.4,-0.030975
7.425,-0.0312247
7.45,-0.0314972
7.475,-0.0317987
7.5,-0.0321373
7.525,-0.0325244
7.55,-0.032976
7.575,-0.0335152
7.6,-0.0341768
7.625,-0.035014
7.65,-0.0361128
7.675,-0.0376187
7.67938,-0.0379415
7.68367,-0.0382781
7.68785,-0.0386292
7.69194,-0.0389954
7.69594,-0.0393775
7.69984,-0.0397763
7.7,-0.0397928
7.70366,-0.0401926
7.70739,-0.0406272
7.71103,-0.0410809
7.71459,-0.0415548
7.71806,-0.0420497
7.72146,-0.0425667
7.72478,-0.0431068
7.725,-0.0431437
7.72802,-0.0436711
7.73119,-0.0442606
7.73429,-0.0448767
7.73732,-0.0455204
7.74027,-0.0461931
7.74316,-0.0468961
7.74598,-0.0476309
7.74874,-0.0483987
7.75,-0.0487669
7.75144,-0.0492012
7.75407,-0.0500399
7.75664,-0.0509163
7.75915,-0.0518323
7.76161,-0.0527895
7.76401,-0.0537899
7.76635,-0.0548351
7.76865,-0.0559273
7.77088,-0.0570685
7.77307,-0.0582608
7.775,-0.0593812
7.77521,-0.0595064
7.7773,-0.0608075
7.77934,-0.0621665
7.78133,-0.0635858
7.78328,-0.065068
7.78518,-0.0666157
7.78704,-0.0682316
7.78886,-0.0699184
7.79063,-0.071679
7.79237,-0.0735163
7.79406,-0.0754335
7.79572,-0.0774337
7.79734,-0.07952
7.79892,-0.0816958
7.8,-0.0832699
7.80046,-0.0839645
7.80197,-0.0863295
7.80345,-0.0887945
7.80489,-0.091363
7.8063,-0.0940389
7.80767,-0.0968259
7.80902,-0.0997278
7.81033,-0.102749
7.81161,-0.105892
7.81287,-0.109163
7.81409,-0.112565
7.81529,-0.116102
7.81646,-0.119778
7.8176,-0.123598
7.81872,-0.127565
7.81981,-0.131684
7.82087,-0.135959
7.82192,-0.140395
7.82293,-0.144994
7.82393,-0.149762
7.8249,-0.154702
7.825,-0.155224
7.82585,-0.159818
7.82678,-0.165113
7.82768,-0.170592
7.82857,-0.176258
7.82944,-0.182114
7.83028,-0.188162
7.83111,-0.194407
7.83191,-0.200849
7.8327,-0.207492
7.83347,-0.214338
7.83423,-0.221388
7.83496,-0.228643
7.83568,-0.236105
7.83638,-0.243773
7.83707,-0.251648
7.83774,-0.259729
7.8384,-0.268016
7.83904,-0.276507
7.83966,-0.2852
7.84027,-0.294092
7.84087,-0.303181
7.84145,-0.312463
7.84202,-0.321933
7.84258,-0.331587
7.84312,-0.34142
7.84366,-0.351425
7.84418,-0.361597
7.84468,-0.371927
7.84518,-0.382408
7.84566,-0.393032
7.84614,-0.403789
7.8466,-0.414672
7.84705,-0.425668
7.8475,-0.43677
7.84793,-0.447964
7.84835,-0.459242
7.84876,-0.47059
7.84916,-0.481997
7.84956,-0.493452
7.84994,-0.504942
7.85,-0.506713
7.85032,-0.516454
7.85068,-0.527976
7.85104,-0.539496
7.85139,-0.551
7.85174,-0.562478
7.85207,-0.573915
7.8524,-0.5853
7.85272,-0.596622
7.85303,-0.607867
7.85333,-0.619026
7.85363,-0.630087
7.85392,-0.641039
7.85421,-0.651872
7.85448,-0.662577
7.85476,-0.673144
7.85502,-0.683564
7.85528,-0.69383
7.85553,-0.703934
7.85578,-0.713869
7.85602,-0.723628
7.85626,-0.733206
7.85649,-0.742598
7.85672,-0.751798
7.85694,-0.760804
7.85715,-0.769611
7.85736,-0.778217
7.85757,-0.786619
7.85777,-0.794816
7.85797,-0.802806
7.85816,-0.810589
7.85834,-0.818164
7.85853,-0.825532
7.85871,-0.832693
7.85888,-0.839648
7.85905,-0.846399
7.85922,-0.852947
7.85938,-0.859295
7.85954,-0.865445
7.8597,-0.871399
7.85985,-0.87716
7.86,-0.882732
7.86014,-0.888118
7.86028,-0.893321
7.86042,-0.898346
7.86056,-0.903195
7.86069,-0.907872
7.86082,-0.912383
7.86095,-0.91673
7.86107,-0.920918
7.86119,-0.924951
7.86131,-0.928833
7.86142,-0.932569
7.86154,-0.936163
7.86165,-0.939618
7.86175,-0.942939
7.86186,-0.946131
7.86196,-0.949196
7.86206,-0.95214
7.86216,-0.954966
7.86226,-0.957679
7.86235,-0.960281
7.86244,-0.962778
7.86253,-0.965171
7.86262,-0.967467
7.8627,-0.969667
7.86279,-0.971775
7.86287,-0.973794
7.86295,-0.975729
7.86302,-0.977582
7.8631,-0.979356
7.86317,-0.981054
7.86325,-0.98268
7.86332,-0.984235
7.86339,-0.985723
7.86345,-0.987147
7.86352,-0.988509
7.86358,-0.989811
7.86365,-0.991056
7.86371,-0.992247
7.86377,-0.993385
7.86383,-0.994473
7.86389,-0.995512
7.86394,-0.996505
7.864,-0.997454
7.86405,-0.99836
7.8641,-0.999226
7.86415,-1.00005
7.8642,-1.00084
7.86425,-1.0016
7.8643,-1.00232
7.86435,-1.003
7.86439,-1.00366
7.86444,-1.00429
7.86448,-1.00488
7.86452,-1.00545
7.86456,-1.006
7.8646,-1.00652
7.86464,-1.00701
7.86468,-1.00748
7.86472,-1.00794
7.86476,-1.00836
7.86479,-1.00877
7.86483,-1.00917
7.86486,-1.00954
7.8649,-1.00989
7.86493,-1.01023
7.86496,-1.01055
7.86499,-1.01086
7.86503,-1.01116
7.86506,-1.01143
7.86508,-1.0117
7.86511,-1.01195
7.86514,-1.0122
7.86517,-1.01243
7.8652,-1.01265
7.86522,-1.01285
7.86525,-1.01305
7.86527,-1.01324
7.8653,-1.01342
7.86532,-1.01359
7.86534,-1.01376
7.86537,-1.01391
7.86539,-1.01406
7.86541,-1.0142
7.86543,-1.01434
7.86545,-1.01446
7.86547,-1.01459
7.86549,-1.0147
7.86551,-1.01481
7.86553,-1.01492
7.86555,-1.01502
7.86557,-1.01511
7.86558,-1.0152
7.8656,-1.01528
7.86562,-1.01537
7.86563,-1.01544
7.86565,-1.01552
7.86567,-1.01559
7.86568,-1.01565
7.8657,-1.01571
7.86571,-1.01577
7.86573,-1.01583
7.86574,-1.01588
7.86575,-1.01594
7.86577,-1.01598
7.86578,-1.01603
7.86579,-1.01607
7.8658,-1.01611
7.86582,-1.01615
7.86583,-1.01619
7.86584,-1.01623
7.86585,-1.01626
7.86586,-1.01629
7.86587,-1.01632
7.86588,-1.01635
7.86589,-1.01638
7.8659,-1.0164
7.86591,-1.01643
7.86592,-1.01645
7.86593,-1.01647
7.86594,-1.01649
7.86595,-1.01651
7.86596,-1.01653
7.86597,-1.01654
7.86598,-1.01656
7.86599,-1.01658
7.86599,-1.01659
7.866,-1.0166
7.86601,-1.01662
7.86602,-1.01663
7.86602,-1.01664
7.86603,-1.01665
7.86604,-1.01666
7.86605,-1.01667
7.86605,-1.01668
7.86606,-1.01669
7.86606,-1.01669
7.86607,-1.0167
7.86608,-1.01671
7.86608,-1.01671
7.86609,-1.01672
7.86609,-1.01673
7.8661,-1.01673
7.86611,-1.01674
7.86611,-1.01674
7.86612,-1.01674
7.86612,-1.01675
7.86613,-1.01675
7.86613,-1.01675
7.86614,-1.01676
7.86614,-1.01676
7.86614,-1.01676
7.86615,-1.01676
7.86615,-1.01677
7.86616,-1.01677
7.86616,-1.01677
7.86617,-1.01677
7.86617,-1.01678
7.86618,-1.01678
7.86618,-1.01678
7.86619,-1.01678
7.8662,-1.01678
7.8662,-1.01678
7.86621,-1.01678
7.86621,-1.01678
7.86622,-1.01678
7.86623,-1.01678
7.86623,-1.01678
7.86624,-1.01678
7.86625,-1.01678
7.86625,-1.01677
7.86626,-1.01677
7.86627,-1.01677
7.86628,-1.01677
7.86628,-1.01676
7.86629,-1.01676
7.8663,-1.01675
7.86631,-1.01674
7.86632,-1.01674
7.86633,-1.01673
7.86634,-1.01672
7.86634,-1.01671
7.86635,-1.0167
7.86636,-1.01669
7.86637,-1.01668
7.86638,-1.01667
7.86639,-1.01665
7.8664,-1.01664
7.86641,-1.01662
7.86643,-1.0166
7.86644,-1.01658
7.86645,-1.01656
7.86646,-1.01654
7.86647,-1.01651
7.86649,-1.01649
7.8665,-1.01646
7.86651,-1.01643
7.86652,-1.01639
7.86654,-1.01636
7.86655,-1.01632
7.86657,-1.01628
7.86658,-1.01624
7.8666,-1.0162
7.86661,-1.01615
7.86663,-1.0161
7.86664,-1.01604
7.86666,-1.01599
7.86668,-1.01593
7.86669,-1.01586
7.86671,-1.01579
7.86673,-1.01572
7.86675,-1.01564
7.86677,-1.01556
7.86678,-1.01548
7.8668,-1.01538
7.86682,-1.01529
