C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
10,-0.195058
10.05,-0.192565
10.1,-0.190051
10.15,-0.187517
10.2,-0.184965
10.25,-0.182398
10.3,-0.179816
10.35,-0.177221
10.4,-0.174617
10.45,-0.172003
10.5,-0.169383
10.55,-0.166757
10.6,-0.164128
10.65,-0.161497
10.7,-0.158866
10.75,-0.156237
10.8,-0.15361
10.85,-0.150989
10.9,-0.148374
10.95,-0.145767
11,-0.143169
11.05,-0.140583
11.1,-0.138009
11.15,-0.135449
11.2,-0.132905
11.25,-0.130378
11.3,-0.127869
11.35,-0.12538
11.4,-0.122913
11.45,-0.120468
11.5,-0.118048
11.55,-0.115653
11.6,-0.113285
11.65,-0.110944
11.7,-0.108634
11.75,-0.106354
11.8,-0.104105
11.85,-0.101891
11.9,-0.09971
11.95,-0.097565
12,-0.0954569
12.05,-0.0933867
12.1,-0.0913556
12.15,-0.0893647
12.2,-0.0874151
12.25,-0.085508
12.3,-0.0836444
12.35,-0.0818253
12.4,-0.0800518
12.45,-0.0783248
12.5,-0.0766454
12.55,-0.0750145
12.6,-0.0734331
12.65,-0.0719021
12.7,-0.0704224
12.75,-0.0689948
12.8,-0.0676203
12.85,-0.0662996
12.9,-0.0650337
12.95,-0.0638231
13,-0.0626688
13.05,-0.0615715
13.1,-0.0605319
13.15,-0.0595506
13.2,-0.0586284
13.25,-0.0577658
13.3,-0.0569635
13.35,-0.0562221
13.4,-0.0555422
13.45,-0.0549242
13.5,-0.0543687
13.55,-0.0538761
13.6,-0.0534469
13.65,-0.0530815
13.7,-0.0527804
13.75,-0.0525437
13.8,-0.052372
13.85,-0.0522654
13.9,-0.0522243
13.95,-0.0522489
14,-0.0523393
14.05,-0.0524958
14.1,-0.0527185
14.15,-0.0530079
14.2,-0.0533647
14.25,-0.0537888
14.3,-0.0542798
14.35,-0.0548377
14.4,-0.0554621
14.45,-0.0561529
14.5,-0.0569099
14.55,-0.0577328
14.6,-0.0586214
14.65,-0.0595753
14.7,-0.0605944
14.75,-0.0616783
14.8,-0.0628266
14.85,-0.0640392
14.9,-0.0653156
14.95,-0.0666556
15,-0.0680592
15.05,-0.0695262
15.1,-0.0710569
15.15,-0.0726519
15.2,-0.0743128
15.25,-0.0760417
15.3,-0.0778432
15.35,-0.0797246
15.4,-0.0816986
15.45,-0.083788
15.5,-0.0860338
15.55,-0.088514
15.6,-0.0913873
15.65,-0.0950019
15.7,-0.100234
15.7046,-0.10086
15.7091,-0.101504
15.7135,-0.10217
15.7177,-0.102857
15.7219,-0.103568
15.726,-0.104304
15.73,-0.105065
15.7339,-0.105855
15.7377,-0.106673
15.7414,-0.107522
15.7451,-0.108403
15.7486,-0.109318
15.75,-0.109687
15.7521,-0.110269
15.7555,-0.111258
15.7588,-0.112286
15.7621,-0.113355
15.7652,-0.114467
15.7683,-0.115624
15.7713,-0.116829
15.7743,-0.118083
15.7772,-0.119389
15.78,-0.120748
15.7828,-0.122163
15.7854,-0.123637
15.7881,-0.125172
15.7906,-0.12677
15.7932,-0.128434
15.7956,-0.130166
15.798,-0.131969
15.8,-0.133552
15.8004,-0.133845
15.8026,-0.135797
15.8049,-0.137828
15.8071,-0.13994
15.8092,-0.142136
15.8113,-0.144419
15.8133,-0.146791
15.8153,-0.149255
15.8173,-0.151813
15.8192,-0.154469
15.821,-0.157224
15.8228,-0.160082
15.8246,-0.163045
15.8263,-0.166114
15.828,-0.169294
15.8297,-0.172584
15.8313,-0.175988
15.8329,-0.179508
15.8344,-0.183145
15.8359,-0.186901
15.8374,-0.190778
15.8389,-0.194776
15.8403,-0.198896
15.8416,-0.203141
15.843,-0.207509
15.8443,-0.212002
15.8456,-0.216619
15.8468,-0.22136
15.8481,-0.226225
15.8493,-0.231213
15.85,-0.23446
15.8504,-0.236322
15.8516,-0.241552
15.8527,-0.2469
15.8538,-0.252364
15.8548,-0.257941
15.8559,-0.263629
15.8569,-0.269425
15.8579,-0.275324
15.8589,-0.281323
15.8598,-0.287418
15.8607,-0.293603
15.8616,-0.299874
15.8625,-0.306226
15.8634,-0.312653
15.8642,-0.319149
15.8651,-0.325708
15.8659,-0.332324
15.8667,-0.338989
15.8674,-0.345698
15.8682,-0.352443
15.8689,-0.359217
15.8696,-0.366014
15.8703,-0.372825
15.871,-0.379643
15.8717,-0.386462
15.8723,-0.393274
15.873,-0.400071
15.8736,-0.406847
15.8742,-0.413595
15.8748,-0.420307
15.8754,-0.426977
15.876,-0.433598
15.8765,-0.440164
15.8771,-0.44667
15.8776,-0.453108
15.8781,-0.459475
15.8786,-0.465763
15.8791,-0.471969
15.8796,-0.478088
15.8801,-0.484115
15.8805,-0.490047
15.881,-0.49588
15.8814,-0.501611
15.8819,-0.507237
15.8823,-0.512754
15.8827,-0.518161
15.8831,-0.523457
15.8835,-0.528638
15.8839,-0.533705
15.8843,-0.538655
15.8846,-0.543488
15.885,-0.548205
15.8853,-0.552803
15.8857,-0.557284
15.886,-0.561648
15.8863,-0.565895
15.8866,-0.570026
15.887,-0.574043
15.8873,-0.577945
15.8876,-0.581734
15.8879,-0.585412
15.8881,-0.58898
15.8884,-0.59244
15.8887,-0.595794
15.889,-0.599043
15.8892,-0.602189
15.8895,-0.605235
15.8897,-0.608183
15.89,-0.611034
15.8902,-0.613791
15.8904,-0.616456
15.8906,-0.619032
15.8909,-0.62152
15.8911,-0.623923
15.8913,-0.626243
15.8915,-0.628483
15.8917,-0.630644
15.8919,-0.63273
15.8921,-0.634741
15.8923,-0.636681
15.8925,-0.638552
15.8926,-0.640355
15.8928,-0.642093
15.893,-0.643768
15.8931,-0.645383
15.8933,-0.646938
15.8935,-0.648436
15.8936,-0.649879
15.8938,-0.651268
15.8939,-0.652607
15.8941,-0.653895
15.8942,-0.655136
15.8944,-0.656331
15.8945,-0.657481
15.8946,-0.658588
15.8947,-0.659654
15.8949,-0.660679
15.895,-0.661666
15.8951,-0.662617
15.8952,-0.663531
15.8954,-0.664411
15.8955,-0.665258
15.8956,-0.666073
15.8957,-0.666858
15.8958,-0.667613
15.8959,-0.66834
15.896,-0.669039
15.8961,-0.669712
15.8962,-0.67036
15.8963,-0.670984
15.8964,-0.671584
15.8965,-0.672162
15.8965,-0.672718
15.8966,-0.673253
15.8967,-0.673769
15.8968,-0.674265
15.8969,-0.674743
15.8969,-0.675203
15.897,-0.675645
15.8971,-0.676072
15.8972,-0.676483
15.8972,-0.676878
15.8973,-0.67726
15.8974,-0.677627
15.8974,-0.67798
15.8975,-0.678321
15.8976,-0.678649
15.8976,-0.678966
15.8977,-0.67927
15.8978,-0.679564
15.8978,-0.679847
15.8979,-0.68012
15.8979,-0.680384
15.898,-0.680637
15.898,-0.680882
15.8981,-0.681118
15.8981,-0.681346
15.8982,-0.681565
15.8982,-0.681777
15.8983,-0.681981
15.8983,-0.682178
15.8984,-0.682369
15.8984,-0.682552
15.8984,-0.682729
15.8985,-0.682901
15.8985,-0.683066
15.8986,-0.683225
15.8986,-0.683379
15.8986,-0.683528
15.8987,-0.683672
15.8987,-0.68381
15.8988,-0.683945
15.8988,-0.684074
15.8988,-0.684199
15.8989,-0.68432
15.8989,-0.684437
15.8989,-0.68455
15.8989,-0.68466
15.899,-0.684766
15.899,-0.684868
15.899,-0.684967
15.8991,-0.685062
15.8991,-0.685155
15.8991,-0.685245
15.8991,-0.685331
15.8992,-0.685415
15.8992,-0.685496
15.8992,-0.685575
15.8992,-0.685651
15.8993,-0.685725
15.8993,-0.685796
15.8993,-0.685865
15.8993,-0.685932
15.8994,-0.685997
15.8994,-0.68606
15.8994,-0.686121
15.8994,-0.68618
15.8994,-0.686237
15.8995,-0.686292
15.8995,-0.686346
15.8995,-0.686398
15.8995,-0.686449
15.8995,-0.686498
15.8995,-0.686545
15.8996,-0.686592
15.8996,-0.686636
15.8996,-0.68668
15.8996,-0.686722
15.8996,-0.686763
15.8996,-0.686802
15.8996,-0.686841
15.8997,-0.686878
15.8997,-0.686915
15.8997,-0.68695
15.8997,-0.686984
15.8997,-0.687017
15.8997,-0.68705
15.8997,-0.687081
15.8998,-0.687112
15.8998,-0.687141
15.8998,-0.68717
15.8998,-0.687198
15.8998,-0.687225
15.8998,-0.687252
15.8998,-0.687277
15.8998,-0.687302
15.8998,-0.687326
15.8998,-0.68735
15.8999,-0.687373
15.8999,-0.687395
15.8999,-0.687417
15.8999,-0.687438
15.8999,-0.687459
15.8999,-0.687479
15.8999,-0.687498
15.8999,-0.687517
15.8999,-0.687535
15.8999,-0.687553
15.8999,-0.687571
15.8999,-0.687588
15.9,-0.687604
15.9,-0.68762
15.9,-0.687636
15.9,-0.687651
15.9,-0.687666
15.9,-0.68768
15.9,-0.687694
15.9,-0.687708
15.9,-0.687687
15.9,-0.687721
15.9,-0.687734
15.9,-0.687747
15.9,-0.687759
15.9,-0.687771
15.9,-0.687783
15.9,-0.687794
15.9,-0.687805
15.9,-0.687816
15.9001,-0.687827
15.9001,-0.687837
15.9001,-0.687825
15.9001,-0.687857
15.9001,-0.687867
15.9001,-0.687877
15.9001,-0.687888
15.9001,-0.687899
15.9001,-0.68791
15.9001,-0.687921
15.9001,-0.687933
15.9001,-0.687944
15.9001,-0.687956
15.9001,-0.687969
15.9001,-0.687981
15.9001,-0.687994
15.9001,-0.688007
15.9001,-0.68802
15.9002,-0.688033
15.9002,-0.688047
15.9002,-0.688061
15.9002,-0.688075
15.9002,-0.68809
15.9002,-0.688104
15.9002,-0.68812
15.9002,-0.688135
15.9002,-0.688151
15.9002,-0.688166
15.9002,-0.688183
15.9002,-0.688199
15.9002,-0.688216
15.9002,-0.688233
15.9003,-0.688251
15.9003,-0.688268
15.9003,-0.688286
15.9003,-0.688305
15.9003,-0.688323
15.9003,-0.688342
15.9003,-0.688361
15.9003,-0.688381
15.9003,-0.688401
