C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_sonnet_new.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_sonnet_new
12,-1.31367
12.002,-1.3133
12.004,-1.31293
12.006,-1.31255
12.008,-1.31218
12.01,-1.31181
12.012,-1.31144
12.014,-1.31106
12.016,-1.31069
12.018,-1.31031
12.02,-1.30994
12.022,-1.30957
12.024,-1.30919
12.026,-1.30882
12.028,-1.30844
12.03,-1.30807
12.032,-1.30769
12.034,-1.30732
12.036,-1.30694
12.038,-1.30656
12.04,-1.30619
12.042,-1.30581
12.044,-1.30543
12.046,-1.30506
12.048,-1.30468
12.05,-1.3043
12.052,-1.30393
12.054,-1.30355
12.056,-1.30317
12.058,-1.30279
12.06,-1.30241
12.062,-1.30203
12.064,-1.30166
12.066,-1.30128
12.068,-1.3009
12.07,-1.30052
12.072,-1.30014
12.074,-1.29976
12.076,-1.29938
12.078,-1.299
12.08,-1.29862
12.082,-1.29824
12.084,-1.29785
12.086,-1.29747
12.088,-1.29709
12.09,-1.29671
12.092,-1.29633
12.094,-1.29595
12.096,-1.29556
12.098,-1.29518
12.1,-1.2948
12.102,-1.29442
12.104,-1.29403
12.106,-1.29365
12.108,-1.29327
12.11,-1.29288
12.112,-1.2925
12.114,-1.29211
12.116,-1.29173
12.118,-1.29135
12.12,-1.29096
12.122,-1.29058
12.124,-1.29019
12.126,-1.28981
12.128,-1.28942
12.13,-1.28903
12.132,-1.28865
12.134,-1.28826
12.136,-1.28787
12.138,-1.28749
12.14,-1.2871
12.142,-1.28671
12.144,-1.28633
12.146,-1.28594
12.148,-1.28555
12.15,-1.28516
12.152,-1.28478
12.154,-1.28439
12.156,-1.284
12.158,-1.28361
12.16,-1.28322
12.162,-1.28283
12.164,-1.28244
12.166,-1.28205
12.168,-1.28166
12.17,-1.28127
12.172,-1.28088
12.174,-1.28049
12.176,-1.2801
12.178,-1.27971
12.18,-1.27932
12.182,-1.27893
12.184,-1.27854
12.186,-1.27815
12.188,-1.27775
12.19,-1.27736
12.192,-1.27697
12.194,-1.27658
12.196,-1.27618
12.198,-1.27579
12.2,-1.2754
12.202,-1.275
12.204,-1.27461
12.206,-1.27422
12.208,-1.27382
12.21,-1.27343
12.212,-1.27304
12.214,-1.27264
12.216,-1.27225
12.218,-1.27185
12.22,-1.27146
12.222,-1.27106
12.224,-1.27066
12.226,-1.27027
12.228,-1.26987
12.23,-1.26948
12.232,-1.26908
12.234,-1.26868
12.236,-1.26829
12.238,-1.26789
12.24,-1.26749
12.242,-1.2671
12.244,-1.2667
12.246,-1.2663
12.248,-1.2659
12.25,-1.2655
12.252,-1.26511
12.254,-1.26471
12.256,-1.26431
12.258,-1.26391
12.26,-1.26351
12.262,-1.26311
12.264,-1.26271
12.266,-1.26231
12.268,-1.26191
12.27,-1.26151
12.272,-1.26111
12.274,-1.26071
12.276,-1.26031
12.278,-1.25991
12.28,-1.25951
12.282,-1.25911
12.284,-1.25871
12.286,-1.2583
12.288,-1.2579
12.29,-1.2575
12.292,-1.2571
12.294,-1.25669
12.296,-1.25629
12.298,-1.25589
12.3,-1.25549
12.302,-1.25508
12.304,-1.25468
12.306,-1.25427
12.308,-1.25387
12.31,-1.25347
12.312,-1.25306
12.314,-1.25266
12.316,-1.25225
12.318,-1.25185
12.32,-1.25144
12.322,-1.25104
12.324,-1.25063
12.326,-1.25023
12.328,-1.24982
12.33,-1.24941
12.332,-1.24901
12.334,-1.2486
12.336,-1.2482
12.338,-1.24779
12.34,-1.24738
12.342,-1.24697
12.344,-1.24657
12.346,-1.24616
12.348,-1.24575
12.35,-1.24534
12.352,-1.24494
12.354,-1.24453
12.356,-1.24412
12.358,-1.24371
12.36,-1.2433
12.362,-1.24289
12.364,-1.24248
12.366,-1.24207
12.368,-1.24166
12.37,-1.24125
12.372,-1.24084
12.374,-1.24043
12.376,-1.24002
12.378,-1.23961
12.38,-1.2392
12.382,-1.23879
12.384,-1.23838
12.386,-1.23797
12.388,-1.23756
12.39,-1.23714
12.392,-1.23673
12.394,-1.23632
12.396,-1.23591
12.398,-1.23549
12.4,-1.23508
12.402,-1.23467
12.404,-1.23426
12.406,-1.23384
12.408,-1.23343
12.41,-1.23301
12.412,-1.2326
12.414,-1.23219
12.416,-1.23177
12.418,-1.23136
12.42,-1.23094
12.422,-1.23053
12.424,-1.23011
12.426,-1.2297
12.428,-1.22928
12.43,-1.22887
12.432,-1.22845
12.434,-1.22804
12.436,-1.22762
12.438,-1.2272
12.44,-1.22679
12.442,-1.22637
12.444,-1.22595
12.446,-1.22554
12.448,-1.22512
12.45,-1.2247
12.452,-1.22428
12.454,-1.22387
12.456,-1.22345
12.458,-1.22303
12.46,-1.22261
12.462,-1.22219
12.464,-1.22177
12.466,-1.22136
12.468,-1.22094
12.47,-1.22052
12.472,-1.2201
12.474,-1.21968
12.476,-1.21926
12.478,-1.21884
12.48,-1.21842
12.482,-1.218
12.484,-1.21758
12.486,-1.21716
12.488,-1.21674
12.49,-1.21631
12.492,-1.21589
12.494,-1.21547
12.496,-1.21505
12.498,-1.21463
12.5,-1.21421
12.502,-1.21378
12.504,-1.21336
12.506,-1.21294
12.508,-1.21252
12.51,-1.21209
12.512,-1.21167
12.514,-1.21125
12.516,-1.21082
12.518,-1.2104
12.52,-1.20998
12.522,-1.20955
12.524,-1.20913
12.526,-1.2087
12.528,-1.20828
12.53,-1.20786
12.532,-1.20743
12.534,-1.20701
12.536,-1.20658
12.538,-1.20616
12.54,-1.20573
12.542,-1.2053
12.544,-1.20488
12.546,-1.20445
12.548,-1.20403
12.55,-1.2036
12.552,-1.20317
12.554,-1.20275
12.556,-1.20232
12.558,-1.20189
12.56,-1.20147
12.562,-1.20104
12.564,-1.20061
12.566,-1.20018
12.568,-1.19975
12.57,-1.19933
12.572,-1.1989
12.574,-1.19847
12.576,-1.19804
12.578,-1.19761
12.58,-1.19718
12.582,-1.19675
12.584,-1.19632
12.586,-1.19589
12.588,-1.19547
12.59,-1.19504
12.592,-1.19461
12.594,-1.19417
12.596,-1.19374
12.598,-1.19331
12.6,-1.19288
12.602,-1.19245
12.604,-1.19202
12.606,-1.19159
12.608,-1.19116
12.61,-1.19073
12.612,-1.1903
12.614,-1.18986
12.616,-1.18943
12.618,-1.189
12.62,-1.18857
12.622,-1.18813
12.624,-1.1877
12.626,-1.18727
12.628,-1.18684
12.63,-1.1864
12.632,-1.18597
12.634,-1.18554
12.636,-1.1851
12.638,-1.18467
12.64,-1.18423
12.642,-1.1838
12.644,-1.18337
12.646,-1.18293
12.648,-1.1825
12.65,-1.18206
12.652,-1.18163
12.654,-1.18119
12.656,-1.18076
12.658,-1.18032
12.66,-1.17988
12.662,-1.17945
12.664,-1.17901
12.666,-1.17858
12.668,-1.17814
12.67,-1.1777
12.672,-1.17727
12.674,-1.17683
12.676,-1.17639
12.678,-1.17596
12.68,-1.17552
12.682,-1.17508
12.684,-1.17464
12.686,-1.1742
12.688,-1.17377
12.69,-1.17333
12.692,-1.17289
12.694,-1.17245
12.696,-1.17201
12.698,-1.17157
12.7,-1.17114
12.702,-1.1707
12.704,-1.17026
12.706,-1.16982
12.708,-1.16938
12.71,-1.16894
12.712,-1.1685
12.714,-1.16806
12.716,-1.16762
12.718,-1.16718
12.72,-1.16674
12.722,-1.1663
12.724,-1.16586
12.726,-1.16541
12.728,-1.16497
12.73,-1.16453
12.732,-1.16409
12.734,-1.16365
12.736,-1.16321
12.738,-1.16277
12.74,-1.16232
12.742,-1.16188
12.744,-1.16144
12.746,-1.161
12.748,-1.16055
12.75,-1.16011
12.752,-1.15967
12.754,-1.15922
12.756,-1.15878
12.758,-1.15834
12.76,-1.15789
12.762,-1.15745
12.764,-1.15701
12.766,-1.15656
12.768,-1.15612
12.77,-1.15567
12.772,-1.15523
12.774,-1.15478
12.776,-1.15434
12.778,-1.15389
12.78,-1.15345
12.782,-1.153
12.784,-1.15256
12.786,-1.15211
12.788,-1.15167
12.79,-1.15122
12.792,-1.15077
12.794,-1.15033
12.796,-1.14988
12.798,-1.14944
12.8,-1.14899
12.802,-1.14854
12.804,-1.14809
12.806,-1.14765
12.808,-1.1472
12.81,-1.14675
12.812,-1.14631
12.814,-1.14586
12.816,-1.14541
12.818,-1.14496
12.82,-1.14451
12.822,-1.14407
12.824,-1.14362
12.826,-1.14317
12.828,-1.14272
12.83,-1.14227
12.832,-1.14182
12.834,-1.14137
12.836,-1.14092
12.838,-1.14047
12.84,-1.14002
12.842,-1.13957
12.844,-1.13912
12.846,-1.13867
12.848,-1.13822
12.85,-1.13777
12.852,-1.13732
12.854,-1.13687
12.856,-1.13642
12.858,-1.13597
12.86,-1.13552
12.862,-1.13507
12.864,-1.13462
12.866,-1.13417
12.868,-1.13372
12.87,-1.13326
12.872,-1.13281
12.874,-1.13236
12.876,-1.13191
12.878,-1.13146
12.88,-1.131
12.882,-1.13055
12.884,-1.1301
12.886,-1.12964
12.888,-1.12919
12.89,-1.12874
12.892,-1.12829
12.894,-1.12783
12.896,-1.12738
12.898,-1.12693
12.9,-1.12647
12.902,-1.12602
12.904,-1.12556
12.906,-1.12511
12.908,-1.12465
12.91,-1.1242
12.912,-1.12375
12.914,-1.12329
12.916,-1.12284
12.918,-1.12238
12.92,-1.12193
12.922,-1.12147
12.924,-1.12102
12.926,-1.12056
12.928,-1.1201
12.93,-1.11965
12.932,-1.11919
12.934,-1.11874
12.936,-1.11828
12.938,-1.11782
12.94,-1.11737
12.942,-1.11691
12.944,-1.11645
12.946,-1.116
12.948,-1.11554
12.95,-1.11508
12.952,-1.11463
12.954,-1.11417
12.956,-1.11371
12.958,-1.11325
12.96,-1.1128
12.962,-1.11234
12.964,-1.11188
12.966,-1.11142
