C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\Photon_count_2_V5_2D_mod.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_mod
6,-0.242436
6.0025,-0.242452
6.005,-0.242469
6.0075,-0.242485
6.01,-0.242501
6.0125,-0.242517
6.015,-0.242532
6.0175,-0.242548
6.02,-0.242563
6.0225,-0.242578
6.025,-0.242593
6.0275,-0.242608
6.03,-0.242623
6.0325,-0.242637
6.035,-0.242651
6.0375,-0.242665
6.04,-0.242679
6.0425,-0.242693
6.045,-0.242707
6.0475,-0.24272
6.05,-0.242733
6.0525,-0.242746
6.055,-0.242759
6.0575,-0.242772
6.06,-0.242785
6.0625,-0.242797
6.065,-0.242809
6.0675,-0.242821
6.07,-0.242833
6.0725,-0.242845
6.075,-0.242856
6.0775,-0.242868
6.08,-0.242879
6.0825,-0.24289
6.085,-0.242901
6.0875,-0.242912
6.09,-0.242922
6.0925,-0.242932
6.095,-0.242943
6.0975,-0.242953
6.1,-0.242963
6.1025,-0.242972
6.105,-0.242982
6.1075,-0.242991
6.11,-0.243
6.1125,-0.243009
6.115,-0.243018
6.1175,-0.243027
6.12,-0.243035
6.1225,-0.243044
6.125,-0.243052
6.1275,-0.24306
6.13,-0.243068
6.1325,-0.243075
6.135,-0.243083
6.1375,-0.24309
6.14,-0.243097
6.1425,-0.243104
6.145,-0.243111
6.1475,-0.243118
6.15,-0.243124
6.1525,-0.243131
6.155,-0.243137
6.1575,-0.243143
6.16,-0.243149
6.1625,-0.243154
6.165,-0.24316
6.1675,-0.243165
6.17,-0.243171
6.1725,-0.243176
6.175,-0.24318
6.1775,-0.243185
6.18,-0.24319
6.1825,-0.243194
6.185,-0.243198
6.1875,-0.243202
6.19,-0.243206
6.1925,-0.24321
6.195,-0.243213
6.1975,-0.243217
6.2,-0.24322
6.2025,-0.243223
6.205,-0.243226
6.2075,-0.243229
6.21,-0.243231
6.2125,-0.243234
6.215,-0.243236
6.2175,-0.243238
6.22,-0.24324
6.2225,-0.243242
6.225,-0.243244
6.2275,-0.243245
6.23,-0.243246
6.2325,-0.243248
6.235,-0.243249
6.2375,-0.243249
6.24,-0.24325
6.2425,-0.243251
6.245,-0.243251
6.2475,-0.243251
6.25,-0.243251
6.2525,-0.243251
6.255,-0.243251
6.2575,-0.24325
6.26,-0.24325
6.2625,-0.243249
6.265,-0.243248
6.2675,-0.243247
6.27,-0.243246
6.2725,-0.243244
6.275,-0.243243
6.2775,-0.243241
6.28,-0.243239
6.2825,-0.243237
6.285,-0.243235
6.2875,-0.243233
6.29,-0.24323
6.2925,-0.243228
6.295,-0.243225
6.2975,-0.243222
6.3,-0.243219
6.3025,-0.243216
6.305,-0.243212
6.3075,-0.243209
6.31,-0.243205
6.3125,-0.243201
6.315,-0.243197
