C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_1st_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_1st_resonator
6.5,-0.380696
6.502,-0.380707
6.504,-0.380717
6.506,-0.380727
6.508,-0.380737
6.51,-0.380747
6.512,-0.380756
6.514,-0.380766
6.516,-0.380775
6.518,-0.380784
6.52,-0.380793
6.522,-0.380802
6.524,-0.38081
6.526,-0.380819
6.528,-0.380827
6.53,-0.380835
6.532,-0.380843
6.534,-0.380851
6.536,-0.380859
6.538,-0.380866
6.54,-0.380874
6.542,-0.380881
6.544,-0.380888
6.546,-0.380895
6.548,-0.380902
6.55,-0.380908
6.552,-0.380915
6.554,-0.380921
6.556,-0.380927
6.558,-0.380933
6.56,-0.380939
6.562,-0.380944
6.564,-0.38095
6.566,-0.380955
6.568,-0.38096
6.57,-0.380966
6.572,-0.38097
6.574,-0.380975
6.576,-0.38098
6.578,-0.380984
6.58,-0.380988
6.582,-0.380992
6.584,-0.380996
6.586,-0.381
6.588,-0.381004
6.59,-0.381007
6.592,-0.381011
6.594,-0.381014
6.596,-0.381017
6.598,-0.38102
6.6,-0.381022
6.602,-0.381025
6.604,-0.381027
6.606,-0.38103
6.608,-0.381032
6.61,-0.381034
6.612,-0.381035
6.614,-0.381037
6.616,-0.381038
6.618,-0.38104
6.62,-0.381041
6.622,-0.381042
6.624,-0.381043
6.626,-0.381043
6.628,-0.381044
6.63,-0.381044
6.632,-0.381044
6.634,-0.381045
6.636,-0.381044
6.638,-0.381044
6.64,-0.381044
6.642,-0.381043
6.644,-0.381043
6.646,-0.381042
6.648,-0.381041
6.65,-0.38104
6.652,-0.381038
6.654,-0.381037
6.656,-0.381035
6.658,-0.381033
6.66,-0.381031
6.662,-0.381029
6.664,-0.381027
6.666,-0.381025
6.668,-0.381022
6.67,-0.381019
6.672,-0.381017
6.674,-0.381014
6.676,-0.38101
6.678,-0.381007
6.68,-0.381004
6.682,-0.381
6.684,-0.380996
6.686,-0.380992
6.688,-0.380988
6.69,-0.380984
6.692,-0.380979
6.694,-0.380975
6.696,-0.38097
6.698,-0.380965
6.7,-0.38096
6.702,-0.380955
6.704,-0.38095
6.706,-0.380944
6.708,-0.380939
6.71,-0.380933
6.712,-0.380927
6.714,-0.380921
6.716,-0.380915
6.718,-0.380908
6.72,-0.380902
6.722,-0.380895
6.724,-0.380888
6.726,-0.380881
6.728,-0.380874
6.73,-0.380867
6.732,-0.380859
6.734,-0.380852
6.736,-0.380844
6.738,-0.380836
6.74,-0.380828
6.742,-0.38082
6.744,-0.380812
6.746,-0.380803
6.748,-0.380794
6.75,-0.380786
6.752,-0.380777
6.754,-0.380767
6.756,-0.380758
6.758,-0.380749
6.76,-0.380739
6.762,-0.380729
6.764,-0.38072
6.766,-0.380709
6.768,-0.380699
6.77,-0.380689
6.772,-0.380678
6.774,-0.380668
6.776,-0.380657
6.778,-0.380646
6.78,-0.380635
6.782,-0.380624
6.784,-0.380612
6.786,-0.380601
6.788,-0.380589
6.79,-0.380577
6.792,-0.380565
6.794,-0.380553
6.796,-0.380541
6.798,-0.380528
6.8,-0.380516
6.802,-0.380503
6.804,-0.38049
6.806,-0.380477
6.808,-0.380464
6.81,-0.38045
6.812,-0.380437
6.814,-0.380423
6.816,-0.380409
6.818,-0.380395
6.82,-0.380381
6.822,-0.380367
6.824,-0.380353
6.826,-0.380338
6.828,-0.380323
6.83,-0.380308
6.832,-0.380293
6.834,-0.380278
6.836,-0.380263
6.838,-0.380248
6.84,-0.380232
6.842,-0.380216
6.844,-0.3802
6.846,-0.380184
6.848,-0.380168
6.85,-0.380152
6.852,-0.380135
6.854,-0.380118
6.856,-0.380102
6.858,-0.380085
6.86,-0.380068
6.862,-0.38005
6.864,-0.380033
6.866,-0.380015
6.868,-0.379998
6.87,-0.37998
6.872,-0.379962
6.874,-0.379944
6.876,-0.379925
6.878,-0.379907
6.88,-0.379888
6.882,-0.37987
6.884,-0.379851
6.886,-0.379832
6.888,-0.379812
