C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
5,-0.222793
5.02,-0.223723
5.04,-0.224647
5.06,-0.225564
5.08,-0.226475
5.1,-0.22738
5.12,-0.228278
5.14,-0.229169
5.16,-0.230054
5.18,-0.230932
5.2,-0.231804
5.22,-0.232669
5.24,-0.233527
5.26,-0.234378
5.28,-0.235222
5.3,-0.236059
5.32,-0.236889
5.34,-0.237712
5.36,-0.238528
5.38,-0.239336
5.4,-0.240138
5.42,-0.240932
5.44,-0.241719
5.46,-0.242498
5.48,-0.24327
5.5,-0.244034
5.52,-0.244791
5.54,-0.24554
5.56,-0.246281
5.58,-0.247015
5.6,-0.247741
5.62,-0.248459
5.64,-0.24917
5.66,-0.249872
5.68,-0.250566
5.7,-0.251253
5.72,-0.251931
5.74,-0.252601
5.76,-0.253263
5.78,-0.253917
5.8,-0.254562
5.82,-0.2552
5.84,-0.255829
5.86,-0.256449
5.88,-0.257061
5.9,-0.257665
5.92,-0.25826
5.94,-0.258847
5.96,-0.259425
5.98,-0.259994
6,-0.260555
6.02,-0.261107
6.04,-0.26165
6.06,-0.262184
6.08,-0.26271
6.1,-0.263227
6.12,-0.263735
6.14,-0.264234
6.16,-0.264724
6.18,-0.265205
6.2,-0.265677
6.22,-0.26614
6.24,-0.266594
6.26,-0.267039
6.28,-0.267475
6.3,-0.267901
6.32,-0.268319
6.34,-0.268727
6.36,-0.269126
6.38,-0.269515
6.4,-0.269896
6.42,-0.270267
6.44,-0.270629
6.46,-0.270981
6.48,-0.271324
6.5,-0.271657
6.52,-0.271982
6.54,-0.272296
6.56,-0.272601
6.58,-0.272897
6.6,-0.273184
6.62,-0.27346
6.64,-0.273727
6.66,-0.273985
6.68,-0.274233
6.7,-0.274472
6.72,-0.274701
6.74,-0.27492
6.76,-0.27513
6.78,-0.27533
6.8,-0.27552
6.82,-0.275701
6.84,-0.275872
6.86,-0.276034
6.88,-0.276186
6.9,-0.276328
6.92,-0.276461
6.94,-0.276584
6.96,-0.276697
6.98,-0.2768
7,-0.276894
7.02,-0.276978
7.04,-0.277053
7.06,-0.277117
7.08,-0.277172
7.1,-0.277218
7.12,-0.277253
7.14,-0.277279
7.16,-0.277296
7.18,-0.277302
7.2,-0.277299
7.22,-0.277286
7.24,-0.277264
7.26,-0.277232
7.28,-0.27719
7.3,-0.277139
7.32,-0.277078
7.34,-0.277007
7.36,-0.276927
7.38,-0.276837
7.4,-0.276738
7.42,-0.276629
7.44,-0.276511
7.46,-0.276382
7.48,-0.276245
7.5,-0.276098
7.52,-0.275941
7.54,-0.275775
7.56,-0.2756
7.58,-0.275415
7.6,-0.27522
7.62,-0.275016
7.64,-0.274803
