C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=14.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
6,-0.22607
6.002,-0.225969
6.004,-0.225867
6.006,-0.225765
6.008,-0.225663
6.01,-0.225561
6.012,-0.225459
6.014,-0.225357
6.016,-0.225255
6.018,-0.225152
6.02,-0.22505
6.022,-0.224947
6.024,-0.224844
6.026,-0.224742
6.028,-0.224638
6.03,-0.224535
6.032,-0.224432
6.034,-0.224329
6.036,-0.224225
6.038,-0.224122
6.04,-0.224018
6.042,-0.223914
6.044,-0.22381
6.046,-0.223706
6.048,-0.223602
6.05,-0.223497
6.052,-0.223393
6.054,-0.223288
6.056,-0.223184
6.058,-0.223079
6.06,-0.222974
6.062,-0.222869
6.064,-0.222764
6.066,-0.222659
6.068,-0.222553
6.07,-0.222448
6.072,-0.222342
6.074,-0.222236
6.076,-0.222131
6.078,-0.222025
6.08,-0.221919
6.082,-0.221812
6.084,-0.221706
6.086,-0.2216
6.088,-0.221493
6.09,-0.221387
6.092,-0.22128
6.094,-0.221173
6.096,-0.221066
6.098,-0.220959
6.1,-0.220852
6.102,-0.220744
6.104,-0.220637
6.106,-0.220529
6.108,-0.220422
6.11,-0.220314
6.112,-0.220206
6.114,-0.220098
6.116,-0.21999
6.118,-0.219881
6.12,-0.219773
6.122,-0.219665
6.124,-0.219556
6.126,-0.219447
6.128,-0.219339
6.13,-0.21923
6.132,-0.219121
6.134,-0.219011
6.136,-0.218902
6.138,-0.218793
6.14,-0.218683
6.142,-0.218574
6.144,-0.218464
6.146,-0.218354
6.148,-0.218244
6.15,-0.218134
6.152,-0.218024
6.154,-0.217914
6.156,-0.217803
6.158,-0.217693
6.16,-0.217582
6.162,-0.217472
6.164,-0.217361
6.166,-0.21725
6.168,-0.217139
6.17,-0.217028
6.172,-0.216916
6.174,-0.216805
6.176,-0.216693
6.178,-0.216582
6.18,-0.21647
6.182,-0.216358
6.184,-0.216246
6.186,-0.216134
6.188,-0.216022
6.19,-0.21591
6.192,-0.215798
6.194,-0.215685
6.196,-0.215573
6.198,-0.21546
6.2,-0.215347
6.202,-0.215234
6.204,-0.215121
6.206,-0.215008
6.208,-0.214895
6.21,-0.214782
6.212,-0.214668
6.214,-0.214555
6.216,-0.214441
6.218,-0.214327
6.22,-0.214213
6.222,-0.214099
6.224,-0.213985
6.226,-0.213871
6.228,-0.213757
6.23,-0.213642
6.232,-0.213528
6.234,-0.213413
6.236,-0.213299
6.238,-0.213184
6.24,-0.213069
6.242,-0.212954
6.244,-0.212839
6.246,-0.212723
6.248,-0.212608
6.25,-0.212493
6.252,-0.212377
6.254,-0.212261
6.256,-0.212146
6.258,-0.21203
6.26,-0.211914
6.262,-0.211798
6.264,-0.211681
6.266,-0.211565
6.268,-0.211449
6.27,-0.211332
6.272,-0.211216
6.274,-0.211099
6.276,-0.210982
6.278,-0.210865
6.28,-0.210748
6.282,-0.210631
6.284,-0.210514
6.286,-0.210397
6.288,-0.210279
6.29,-0.210162
6.292,-0.210044
6.294,-0.209926
6.296,-0.209809
6.298,-0.209691
6.3,-0.209573
6.302,-0.209455
6.304,-0.209336
6.306,-0.209218
6.308,-0.2091
6.31,-0.208981
6.312,-0.208862
6.314,-0.208744
6.316,-0.208625
6.318,-0.208506
6.32,-0.208387
6.322,-0.208268
6.324,-0.208149
6.326,-0.208029
6.328,-0.20791
6.33,-0.20779
6.332,-0.207671
6.334,-0.207551
6.336,-0.207431
6.338,-0.207311
6.34,-0.207191
6.342,-0.207071
6.344,-0.206951
6.346,-0.206831
6.348,-0.206711
6.35,-0.20659
6.352,-0.206469
6.354,-0.206349
6.356,-0.206228
6.358,-0.206107
6.36,-0.205986
6.362,-0.205865
6.364,-0.205744
6.366,-0.205623
6.368,-0.205501
6.37,-0.20538
6.372,-0.205258
6.374,-0.205137
6.376,-0.205015
6.378,-0.204893
6.38,-0.204771
6.382,-0.204649
6.384,-0.204527
6.386,-0.204405
6.388,-0.204283
6.39,-0.20416
6.392,-0.204038
6.394,-0.203915
6.396,-0.203793
6.398,-0.20367
6.4,-0.203547
6.402,-0.203424
6.404,-0.203301
6.406,-0.203178
6.408,-0.203055
6.41,-0.202932
6.412,-0.202808
6.414,-0.202685
6.416,-0.202561
6.418,-0.202437
6.42,-0.202314
6.422,-0.20219
6.424,-0.202066
6.426,-0.201942
6.428,-0.201818
6.43,-0.201694
6.432,-0.201569
6.434,-0.201445
6.436,-0.201321
6.438,-0.201196
6.44,-0.201071
6.442,-0.200947
6.444,-0.200822
6.446,-0.200697
6.448,-0.200572
6.45,-0.200447
6.452,-0.200322
6.454,-0.200196
6.456,-0.200071
6.458,-0.199946
6.46,-0.19982
6.462,-0.199695
6.464,-0.199569
6.466,-0.199443
6.468,-0.199317
6.47,-0.199191
6.472,-0.199065
6.474,-0.198939
6.476,-0.198813
6.478,-0.198687
6.48,-0.19856
6.482,-0.198434
6.484,-0.198307
6.486,-0.198181
6.488,-0.198054
6.49,-0.197927
6.492,-0.1978
6.494,-0.197673
6.496,-0.197546
6.498,-0.197419
6.5,-0.197292
6.502,-0.197165
6.504,-0.197037
6.506,-0.19691
6.508,-0.196782
6.51,-0.196655
6.512,-0.196527
6.514,-0.196399
6.516,-0.196271
6.518,-0.196144
6.52,-0.196016
6.522,-0.195887
6.524,-0.195759
6.526,-0.195631
6.528,-0.195503
6.53,-0.195374
6.532,-0.195246
6.534,-0.195117
6.536,-0.194989
6.538,-0.19486
6.54,-0.194731
6.542,-0.194602
6.544,-0.194473
6.546,-0.194344
6.548,-0.194215
6.55,-0.194086
6.552,-0.193957
6.554,-0.193827
6.556,-0.193698
6.558,-0.193568
6.56,-0.193439
6.562,-0.193309
6.564,-0.193179
6.566,-0.19305
6.568,-0.19292
6.57,-0.19279
6.572,-0.19266
6.574,-0.19253
6.576,-0.192399
6.578,-0.192269
6.58,-0.192139
6.582,-0.192008
6.584,-0.191878
6.586,-0.191747
6.588,-0.191617
6.59,-0.191486
6.592,-0.191355
6.594,-0.191224
6.596,-0.191094
6.598,-0.190963
6.6,-0.190832
6.602,-0.1907
6.604,-0.190569
6.606,-0.190438
6.608,-0.190307
6.61,-0.190175
6.612,-0.190044
6.614,-0.189912
6.616,-0.189781
6.618,-0.189649
6.62,-0.189517
6.622,-0.189385
6.624,-0.189253
6.626,-0.189121
6.628,-0.188989
6.63,-0.188857
6.632,-0.188725
6.634,-0.188593
6.636,-0.188461
6.638,-0.188328
6.64,-0.188196
6.642,-0.188063
6.644,-0.187931
6.646,-0.187798
6.648,-0.187665
6.65,-0.187533
6.652,-0.1874
6.654,-0.187267
6.656,-0.187134
6.658,-0.187001
6.66,-0.186868
6.662,-0.186735
6.664,-0.186601
6.666,-0.186468
6.668,-0.186335
6.67,-0.186201
6.672,-0.186068
6.674,-0.185934
6.676,-0.185801
6.678,-0.185667
6.68,-0.185533
6.682,-0.1854
6.684,-0.185266
6.686,-0.185132
6.688,-0.184998
6.69,-0.184864
6.692,-0.18473
6.694,-0.184596
6.696,-0.184461
6.698,-0.184327
6.7,-0.184193
6.702,-0.184058
6.704,-0.183924
6.706,-0.183789
6.708,-0.183655
6.71,-0.18352
6.712,-0.183385
6.714,-0.183251
6.716,-0.183116
6.718,-0.182981
6.72,-0.182846
6.722,-0.182711
6.724,-0.182576
6.726,-0.182441
6.728,-0.182306
6.73,-0.182171
6.732,-0.182035
6.734,-0.1819
6.736,-0.181765
6.738,-0.181629
