C:\Users\oper\labQT\Lab2025\2D Qubit\QTLab2526\2DQuBit\Sonnet\2D_3rd_resonator.son DE_EMBEDDED Lk=10.0
FREQUENCY (GHz), DB[S21]-2D_3rd_resonator
7,-0.294043
7.0025,-0.293793
7.005,-0.293542
7.0075,-0.293292
7.01,-0.293041
7.0125,-0.29279
7.015,-0.292538
7.0175,-0.292287
7.02,-0.292035
7.0225,-0.291784
7.025,-0.291532
7.0275,-0.29128
7.03,-0.291028
7.0325,-0.290775
7.035,-0.290523
7.0375,-0.29027
7.04,-0.290017
7.0425,-0.289764
7.045,-0.289511
7.0475,-0.289258
7.05,-0.289004
7.0525,-0.28875
7.055,-0.288497
7.0575,-0.288243
7.06,-0.287988
7.0625,-0.287734
7.065,-0.28748
7.0675,-0.287225
7.07,-0.28697
7.0725,-0.286715
7.075,-0.28646
7.0775,-0.286205
7.08,-0.28595
7.0825,-0.285694
7.085,-0.285438
7.0875,-0.285182
7.09,-0.284926
7.0925,-0.28467
7.095,-0.284414
7.0975,-0.284157
7.1,-0.283901
7.1025,-0.283644
7.105,-0.283387
7.1075,-0.28313
7.11,-0.282873
7.1125,-0.282615
7.115,-0.282358
7.1175,-0.2821
7.12,-0.281843
7.1225,-0.281585
7.125,-0.281326
7.1275,-0.281068
7.13,-0.28081
7.1325,-0.280551
7.135,-0.280293
7.1375,-0.280034
7.14,-0.279775
7.1425,-0.279516
7.145,-0.279257
7.1475,-0.278997
7.15,-0.278738
7.1525,-0.278478
7.155,-0.278218
7.1575,-0.277958
7.16,-0.277698
7.1625,-0.277438
7.165,-0.277178
7.1675,-0.276917
7.17,-0.276657
7.1725,-0.276396
7.175,-0.276135
7.1775,-0.275874
7.18,-0.275613
7.1825,-0.275352
7.185,-0.275091
7.1875,-0.274829
7.19,-0.274567
7.1925,-0.274306
7.195,-0.274044
7.1975,-0.273782
7.2,-0.27352
7.2025,-0.273257
7.205,-0.272995
7.2075,-0.272732
7.21,-0.27247
7.2125,-0.272207
7.215,-0.271944
7.2175,-0.271681
7.22,-0.271418
7.2225,-0.271155
7.225,-0.270891
7.2275,-0.270628
7.23,-0.270364
7.2325,-0.270101
7.235,-0.269837
7.2375,-0.269573
7.24,-0.269309
7.2425,-0.269044
7.245,-0.26878
