# Freq(Hz)	Amp(mV)
0.000000	12.638793
1305.346700	12.274977
2610.693400	11.213773
3916.040100	9.546066
5221.386800	7.427589
6526.733500	5.110534
7832.080201	3.140224
9137.426901	2.897795
10442.773601	4.409796
11748.120301	6.109031
13053.467001	7.401833
14358.813701	8.084959
15664.160401	8.084162
16969.507101	7.412149
18274.853801	6.169970
19580.200501	4.588517
20885.547201	3.224775
22190.893901	3.241108
23496.240602	4.696292
24801.587302	6.452730
26106.934002	7.923890
27412.280702	8.840882
28717.627402	9.062500
30022.974102	8.538788
31328.320802	7.311381
32633.667502	5.538816
33939.014202	3.633691
35244.360902	2.887184
36549.707602	4.390323
37855.054302	6.604540
39160.401003	8.591087
40465.747703	9.974363
41771.094403	10.542934
43076.441103	10.187062
44381.787803	8.896093
45687.134503	6.772383
46992.481203	4.108769
48297.827903	2.244594
49603.174603	4.272712
50908.521303	7.483081
52213.868003	10.415664
53519.214703	12.621808
54824.561404	13.813104
56129.908104	13.804329
57435.254804	12.522188
58740.601504	10.022467
60045.948204	6.532574
61351.294904	2.887856
62656.641604	4.136844
63961.988304	8.677666
65267.335004	13.096485
66572.681704	16.684052
67878.028404	18.983263
69183.375104	19.654621
70488.721805	18.490572
71794.068505	15.440583
73099.415205	10.638396
74404.761905	4.532295
75710.108605	3.838572
77015.455305	11.374696
78320.802005	18.986155
79626.148705	25.681713
80931.495405	30.688626
82236.842105	33.308546
83542.188805	32.958270
84847.535505	29.218387
86152.882206	21.878364
87458.228906	11.005722
88763.575606	4.072488
90068.922306	20.797070
91374.269006	40.083045
92679.615706	60.666458
93984.962406	81.512209
95290.309106	101.538509
96595.655806	119.671881
97901.002506	134.914868
99206.349206	146.411727
100511.695906	153.505953
101817.042607	155.785093
103122.389307	153.109397
104427.736007	145.622088
105733.082707	133.740429
107038.429407	118.128161
108343.776107	99.651305
109649.122807	79.320605
110954.469507	58.224980
112259.816207	37.461773
113565.162907	18.076734
114870.509607	1.729435
116175.856307	13.416929
117481.203008	24.096980
118786.549708	31.088515
120091.896408	34.376460
121397.243108	34.201467
122702.589808	31.017180
124007.936508	25.445942
125313.283208	18.227970
126618.629908	10.180150
127923.976608	2.520579
129229.323308	6.019417
130534.670008	12.247227
131840.016708	16.899649
133145.363409	19.627157
134450.710109	20.330713
135756.056809	19.101125
137061.403509	16.193557
138366.750209	11.997544
139672.096909	7.013982
140977.443609	2.109965
142282.790309	3.988426
143588.137009	8.353340
144893.483709	11.804413
146198.830409	13.986596
147504.177109	14.753452
148809.523810	14.105338
150114.870510	12.175214
151420.217210	9.211296
152725.563910	5.562868
154030.910610	1.840921
155336.257310	2.875004
156641.604010	6.298908
157946.950710	9.102023
159252.297410	10.959457
160557.644110	11.722511
161862.990810	11.360190
163168.337510	9.951162
164473.684211	7.673978
165779.030911	4.802060
167084.377611	1.851910
168389.724311	2.297923
169695.071011	5.082469
171000.417711	7.468144
172305.764411	9.112516
173611.111111	9.864887
174916.457811	9.677546
176221.804511	8.597220
177527.151211	6.758097
178832.497911	4.377889
180137.844612	1.850013
181443.191312	1.752211
182748.538012	4.112084
184053.884712	6.218289
185359.231412	7.716734
186664.578112	8.459382
187969.924812	8.389801
189275.271512	7.535323
190580.618212	6.004079
191885.964912	3.991114
193191.311612	1.915316
194496.658312	1.848408
195802.005013	3.853213
197107.351713	5.783611
198412.698413	7.232586
199718.045113	8.041607
201023.391813	8.142658
202328.738513	7.543733
203634.085213	6.324075
204939.431913	4.631355
206244.778613	2.707150
207550.125313	1.305218
208855.472013	2.312342
210160.818713	3.959141
211466.165414	5.282286
212771.512114	6.077038
214076.858814	6.263856
215382.205514	5.838135
216687.552214	4.862755
217992.898914	3.470418
219298.245614	1.926011
220603.592314	1.308646
221908.939014	2.580067
223214.285714	4.066643
224519.632414	5.250649
225824.979114	5.969771
227130.325815	6.149944
228435.672515	5.780471
229741.019215	4.908834
231046.365915	3.637785
232351.712615	2.138882
233657.059315	0.937041
234962.406015	1.717767
236267.752715	3.074360
237573.099415	4.182312
238878.446115	4.876378
240183.792815	5.085664
241489.139515	4.797672
242794.486216	4.053826
244099.832916	2.949954
245405.179616	1.668236
246710.526316	0.934056
248015.873016	1.896519
249321.219716	3.133370
250626.566416	4.136047
251931.913116	4.762911
253237.259816	4.946987
254542.606516	4.673663
255847.953216	3.977467
257153.299916	2.941606
258458.646617	1.717148
259763.993317	0.834430
261069.340017	1.596559
262374.686717	2.760604
263680.033417	3.723149
264985.380117	4.341988
266290.726817	4.551536
267596.073517	4.335902
268901.420217	3.726344
270206.766917	2.803890
271512.113617	1.730165
272817.460317	1.035193
274122.807018	1.661413
275428.153718	2.716034
276733.500418	3.629646
278038.847118	4.243541
279344.193818	4.486285
280649.540518	4.336109
281954.887218	3.815184
283260.233918	2.988426
284565.580618	1.972991
285870.927318	1.049523
