# Freq(Hz)	Amp(mV)
0.000000	35.687228
1305.346700	35.186324
2610.693400	33.692060
3916.040100	31.232993
5221.386800	27.866344
6526.733500	23.688935
7832.080201	18.846818
9137.426901	13.540344
10442.773601	8.024302
11748.120301	2.636312
13053.467001	2.652027
14358.813701	6.981231
15664.160401	10.404828
16969.507101	12.663812
18274.853801	13.620608
19580.200501	13.240937
20885.547201	11.599806
22190.893901	8.881131
23496.240602	5.375946
24801.587302	1.633123
26106.934002	3.008312
27412.280702	6.675106
28717.627402	9.730604
30022.974102	11.807327
31328.320802	12.682983
32633.667502	12.257025
33939.014202	10.557476
35244.360902	7.741114
36549.707602	4.092668
37855.054302	0.780136
39160.401003	4.494319
40465.747703	8.386805
41771.094403	11.548652
43076.441103	13.622951
44381.787803	14.365367
45687.134503	13.660882
46992.481203	11.537990
48297.827903	8.173151
49603.174603	3.905582
50908.521303	1.468912
52213.868003	6.120350
53519.214703	10.599874
54824.561404	14.191876
56129.908104	16.475975
57435.254804	17.158046
58740.601504	16.094305
60045.948204	13.310608
61351.294904	9.009216
62656.641604	3.579815
63961.988304	2.726388
65267.335004	8.874845
66572.681704	14.521998
67878.028404	19.004092
69183.375104	21.777507
70488.721805	22.434856
71794.068505	20.749343
73099.415205	16.708083
74404.761905	10.531860
75710.108605	2.752776
77015.455305	6.432634
78320.802005	15.619539
79626.148705	24.197382
80931.495405	31.207143
82236.842105	35.752440
83542.188805	37.057224
84847.535505	34.533105
86152.882206	27.836358
87458.228906	16.910402
88763.575606	2.139726
90068.922306	16.440070
91374.269006	37.444831
92679.615706	60.059203
93984.962406	83.081787
95290.309106	105.239413
96595.655806	125.269553
97901.002506	142.007555
99206.349206	154.468268
100511.695906	161.915446
101817.042607	163.913483
103122.389307	160.357539
104427.736007	151.479782
105733.082707	137.831370
107038.429407	120.241691
108343.776107	99.758152
109649.122807	77.571308
110954.469507	54.931274
112259.816207	33.062417
113565.162907	13.089019
114870.509607	4.206355
116175.856307	17.799504
117481.203008	27.520253
118786.549708	33.178229
120091.896408	34.919513
121397.243108	33.148346
122702.589808	28.479845
