T_mK	f_r_GHz	err_f_r
10.0	7.4923432768344345	4.790155050808388e-07
200.0	7.492249260523089	7.887722008561974e-07
300.0	7.492216342110331	9.94130680725383e-07
400.0	7.492175768141075	1.0114914623435908e-06
500.0	7.492091195716635	1.0154517039337815e-06
550.0	7.492014602215148	1.0221109435709448e-06
600.0	7.491886918462667	1.0498524808240749e-06
650.0	7.491494151402473	1.2952559807913023e-06
675.0	7.491336005947938	1.3512154716918834e-06
700.0	7.491151128689639	1.3721715728136581e-06
725.0	7.490968878123032	1.0926334276974911e-06
750.0	7.490353353569115	1.6703885334149241e-06
775.0	7.490069291456843	1.4707056471744528e-06
800.0	7.489589976905414	1.3245617763672115e-06
825.0	7.488893121771696	1.7292339700034265e-06
850.0	7.488291760484645	1.7508255875101643e-06
875.0	7.486912623919004	3.71438030454563e-06
900.0	7.48658762422277	2.1601577436211934e-06
925.0	7.485466874189962	3.1163441654936234e-06
950.0	7.483345246188926	3.2033244494276245e-06
975.0	7.481082663037821	4.567180998189645e-06
1000.0	7.478355647203275	4.224140850375398e-06
