T_mK	revQ_i	err_revQ_i
10.0	3.7402517395840546e-06	8.169259562062963e-08
200.0	2.721952666054567e-06	1.3923000268548681e-07
300.0	2.4819150901774943e-06	1.7898637473049894e-07
400.0	2.461122266758935e-06	1.815803897117732e-07
500.0	3.525665220903743e-06	1.8184391881154755e-07
550.0	5.536277555137181e-06	1.828198948628446e-07
600.0	9.405410204753827e-06	1.8739889092861688e-07
650.0	2.4489262547917152e-05	2.340157689972047e-07
675.0	3.1051154452849095e-05	2.4358410853732693e-07
700.0	4.2813751971575555e-05	2.3762048867049188e-07
725.0	5.033326076321566e-05	1.8846746307048386e-07
750.0	7.223933282874849e-05	2.914078592080044e-07
775.0	8.118013644143403e-05	2.5784265954696734e-07
800.0	0.00010323087110819323	2.3124443553376392e-07
825.0	0.00013744584030415605	2.9970575412284723e-07
850.0	0.00016137125247998754	3.0678531509248907e-07
875.0	0.00020590028163799446	6.757393842433893e-07
900.0	0.00021307046973521935	3.8690208517124915e-07
925.0	0.00025906332051598574	5.869147133244153e-07
950.0	0.00036267500997382224	5.943527478825245e-07
975.0	0.00044975127630784105	8.925036396211232e-07
1000.0	0.0005413058029347228	8.463831127791217e-07
