Freq	I	Q
7.989650000000000000e+09	1.461499909999999965e-02	-2.268644299999999885e-03
7.989655000000000000e+09	1.460219989999999961e-02	-2.428192799999999863e-03
7.989660000000000000e+09	1.456735030000000028e-02	-2.537959399999999924e-03
7.989665000000000000e+09	1.457382309999999924e-02	-2.590682899999999841e-03
7.989670000000000000e+09	1.456240450000000075e-02	-2.678242899999999822e-03
7.989675000000000000e+09	1.454500520000000068e-02	-2.716781399999999846e-03
7.989680000000000000e+09	1.453488889999999915e-02	-2.749110800000000195e-03
7.989685000000000000e+09	1.454679610000000033e-02	-2.797481599999999870e-03
7.989690000000000000e+09	1.450595610000000001e-02	-2.833943299999999894e-03
7.989695000000000000e+09	1.449449740000000042e-02	-2.884306300000000212e-03
7.989700000000000000e+09	1.449586069999999997e-02	-2.921723800000000041e-03
7.989705000000000000e+09	1.446897179999999915e-02	-2.928749100000000057e-03
7.989710000000000000e+09	1.445871689999999980e-02	-2.960361700000000134e-03
7.989715000000000000e+09	1.442386959999999996e-02	-3.022392899999999921e-03
7.989720000000000000e+09	1.443517690000000082e-02	-3.052826199999999872e-03
7.989725000000000000e+09	1.442916699999999969e-02	-3.080761100000000037e-03
7.989730000000000000e+09	1.441117859999999952e-02	-3.136385700000000019e-03
7.989735000000000000e+09	1.439896910000000065e-02	-3.156211700000000151e-03
7.989740000000000000e+09	1.437554440000000065e-02	-3.207764599999999872e-03
7.989745000000000000e+09	1.440219730000000080e-02	-3.219702899999999941e-03
7.989750000000000000e+09	1.435363039999999930e-02	-3.247715400000000113e-03
7.989755000000000000e+09	1.433248070000000055e-02	-3.271052899999999861e-03
7.989760000000000000e+09	1.432180459999999982e-02	-3.301765400000000045e-03
7.989765000000000000e+09	1.432774279999999949e-02	-3.333354499999999915e-03
7.989770000000000000e+09	1.430905009999999984e-02	-3.379086999999999803e-03
7.989775000000000000e+09	1.427484289999999927e-02	-3.402942200000000014e-03
7.989780000000000000e+09	1.425252029999999996e-02	-3.445790900000000097e-03
7.989785000000000000e+09	1.425706000000000022e-02	-3.480553400000000082e-03
7.989790000000000000e+09	1.424246170000000034e-02	-3.502345799999999863e-03
7.989795000000000000e+09	1.424864600000000023e-02	-3.547699699999999883e-03
7.989800000000000000e+09	1.422466569999999986e-02	-3.561362599999999979e-03
7.989805000000000000e+09	1.420302730000000055e-02	-3.598147700000000129e-03
7.989810000000000000e+09	1.418191660000000034e-02	-3.635064800000000190e-03
7.989815000000000000e+09	1.417025740000000048e-02	-3.672058599999999950e-03
7.989820000000000000e+09	1.415985189999999921e-02	-3.698897899999999909e-03
7.989825000000000000e+09	1.414013780000000081e-02	-3.737615799999999960e-03
7.989830000000000000e+09	1.412412229999999991e-02	-3.776188299999999869e-03
7.989835000000000000e+09	1.412670339999999927e-02	-3.809844499999999901e-03
7.989840000000000000e+09	1.410028529999999940e-02	-3.812441399999999883e-03
7.989845000000000000e+09	1.409437290000000072e-02	-3.911312099999999722e-03
7.989850000000000000e+09	1.408618979999999923e-02	-3.898465199999999898e-03
7.989855000000000000e+09	1.407880960000000049e-02	-3.905864499999999948e-03
7.989860000000000000e+09	1.404953639999999976e-02	-3.955914900000000352e-03
7.989865000000000000e+09	1.403748330000000044e-02	-3.981612699999999630e-03
7.989870000000000000e+09	1.401106170000000067e-02	-4.011634699999999838e-03
7.989875000000000000e+09	1.399036229999999978e-02	-4.063002100000000054e-03
7.989880000000000000e+09	1.399606580000000051e-02	-4.075550600000000037e-03
7.989885000000000000e+09	1.396852799999999915e-02	-4.143082699999999993e-03
7.989890000000000000e+09	1.394892510000000051e-02	-4.156492900000000219e-03
7.989895000000000000e+09	1.392926849999999959e-02	-4.179445300000000051e-03
7.989900000000000000e+09	1.391785499999999981e-02	-4.200303800000000122e-03
7.989905000000000000e+09	1.390317010000000075e-02	-4.244166800000000010e-03
7.989910000000000000e+09	1.390284890000000051e-02	-4.275912199999999837e-03
7.989915000000000000e+09	1.386858409999999937e-02	-4.291839599999999755e-03
