Freq	I	Q
5.000000000000000000e+09	1.645888469999999895e-02	-2.192715680000000000e-02
5.000975000000000000e+09	7.309967900000000421e-03	-2.667865659999999958e-02
5.001950000000000000e+09	-2.722055900000000007e-03	-2.761339910000000161e-02
5.002925000000000000e+09	-1.230744039999999949e-02	-2.484674120000000125e-02
5.003900000000000000e+09	-2.026790900000000062e-02	-1.889541969999999904e-02
5.004875000000000000e+09	-2.560328099999999857e-02	-1.053795639999999950e-02
5.005850000000000000e+09	-2.765496679999999985e-02	-8.868428000000000465e-04
5.006825000000000000e+09	-2.618043540000000030e-02	8.843115500000000087e-03
5.007800000000000000e+09	-2.138944460000000158e-02	1.742655120000000113e-02
5.008775000000000000e+09	-1.388571979999999977e-02	2.378851569999999860e-02
5.009750000000000000e+09	-4.725784700000000040e-03	2.714117339999999948e-02
5.010725000000000000e+09	5.050261200000000401e-03	2.705894790000000147e-02
5.011700000000000000e+09	1.416482049999999958e-02	2.358926609999999896e-02
5.012675000000000000e+09	2.153144829999999871e-02	1.718093789999999843e-02
5.013650000000000000e+09	2.619837289999999916e-02	8.637305099999999236e-03
5.014625000000000000e+09	2.761253099999999919e-02	-1.066078999999999942e-03
5.015600000000000000e+09	2.558881229999999951e-02	-1.067992559999999917e-02
5.016575000000000000e+09	2.029853870000000032e-02	-1.897584919999999870e-02
5.017550000000000000e+09	1.237646199999999953e-02	-2.498293290000000097e-02
5.018525000000000000e+09	2.853090500000000137e-03	-2.780827069999999845e-02
5.019500000000000000e+09	-7.146322200000000159e-03	-2.713257520000000172e-02
5.020475000000000000e+09	-1.628484649999999839e-02	-2.296380799999999875e-02
5.021450000000000000e+09	-2.337562019999999893e-02	-1.575770140000000083e-02
5.022425000000000000e+09	-2.748859700000000003e-02	-6.502769400000000394e-03
5.023400000000000000e+09	-2.807585149999999863e-02	3.613624599999999947e-03
5.024375000000000000e+09	-2.500421850000000140e-02	1.330992779999999945e-02
5.025350000000000000e+09	-1.868539699999999942e-02	2.131188440000000156e-02
5.026325000000000000e+09	-9.964201799999999193e-03	2.656204460000000100e-02
5.027300000000000000e+09	3.634479999999999802e-05	2.836292710000000092e-02
5.028275000000000000e+09	1.002793339999999943e-02	2.650080330000000040e-02
5.029250000000000000e+09	1.871026019999999859e-02	2.126581639999999829e-02
5.030225000000000000e+09	2.496874279999999890e-02	1.329498269999999926e-02
5.031200000000000000e+09	2.806946709999999859e-02	3.673998600000000139e-03
5.032175000000000000e+09	2.755535870000000095e-02	-6.411817700000000016e-03
5.033150000000000000e+09	2.352474530000000022e-02	-1.566624789999999934e-02
5.034125000000000000e+09	1.651578169999999915e-02	-2.293590809999999924e-02
5.035100000000000000e+09	7.447929399999999971e-03	-2.725924060000000163e-02
5.036075000000000000e+09	-2.588444999999999982e-03	-2.813097000000000167e-02
5.037050000000000000e+09	-1.230865750000000036e-02	-2.542779850000000119e-02
5.038025000000000000e+09	-2.045317530000000106e-02	-1.951620579999999855e-02
5.039000000000000000e+09	-2.602152279999999859e-02	-1.108041650000000065e-02
5.039975000000000000e+09	-2.825034270000000014e-02	-1.215527699999999905e-03
5.040950000000000000e+09	-2.688970029999999956e-02	8.828489700000000800e-03
5.041925000000000000e+09	-2.205701789999999982e-02	1.769732679999999961e-02
5.042900000000000000e+09	-1.441526429999999935e-02	2.433651950000000064e-02
5.043875000000000000e+09	-4.910505699999999710e-03	2.783200989999999944e-02
5.044850000000000000e+09	5.220930999999999836e-03	2.777352450000000056e-02
