Time	Channel C	Channel D
(ms)	(mV)	(mV)

-0.00006400	4.70595407	107.58995056
-0.00003200	5.31022072	107.48619080
0.00000000	4.70595407	107.08334351
0.00003200	5.21256161	107.08334351
0.00006400	4.80971670	107.18711090
0.00009600	5.60930204	107.38852692
0.00012800	5.51164246	107.18711090
0.00016000	5.40787983	106.98567963
0.00019200	5.51164246	106.88192749
0.00022400	4.70595407	107.48619080
0.00025600	5.51164246	107.68760681
0.00028800	5.71306467	107.18711090
0.00032000	5.60930204	107.48619080
0.00035200	4.90737629	106.98567963
0.00038400	5.31022072	107.48619080
0.00041600	5.91448689	106.68049622
0.00044800	6.41499043	106.68049622
0.00048000	5.81072426	107.28475952
0.00051200	5.71306467	106.98567963
0.00054400	5.71306467	107.08334351
0.00057600	5.60930204	107.28475952
0.00060800	5.40787983	107.58995056
0.00064000	5.91448689	106.88192749
0.00067200	5.40787983	107.28475952
0.00070400	6.21356821	107.08334351
0.00073600	5.91448689	107.18711090
0.00076800	6.21356821	107.38852692
0.00080000	6.31122780	107.38852692
0.00083200	6.10980558	107.68760681
0.00086400	6.71407223	107.18711090
0.00089600	6.61030865	107.18711090
0.00092800	6.61030865	107.18711090
0.00096000	5.81072426	107.18711090
0.00099200	6.71407223	107.38852692
0.00102400	6.41499043	106.88192749
0.00105600	6.71407223	106.88192749
0.00108800	6.91549397	106.88192749
0.00112000	6.41499043	106.88192749
0.00115200	6.31122780	107.58995056
0.00118400	6.51265001	107.58995056
0.00121600	6.51265001	107.98668671
0.00124800	6.81173086	107.28475952
0.00128000	6.71407223	106.88192749
0.00131200	7.01315355	107.68760681
0.00134400	6.91549397	106.58283997
0.00137600	6.31122780	106.88192749
0.00140800	7.61742020	106.98567963
0.00144000	6.61030865	106.98567963
0.00147200	7.21457577	107.28475952
0.00150400	7.01315355	107.78527069
0.00153600	6.51265001	107.28475952
0.00156800	7.71507883	107.08334351
0.00160000	7.51365662	107.38852692
0.00163200	7.41599798	107.08334351
0.00166400	7.51365662	107.28475952
0.00169600	7.21457577	106.98567963
0.00172800	7.31223488	106.98567963
0.00176000	7.61742020	106.98567963
0.00179200	8.31934547	107.28475952
0.00182400	8.01416111	107.08334351
0.00185600	7.31223488	107.28475952
0.00188800	7.71507883	107.18711090
0.00192000	7.61742020	106.68049622
0.00195200	7.51365662	106.98567963
0.00198400	7.71507883	106.98567963
0.00201600	7.71507883	107.18711090
0.00204800	8.21558285	106.98567963
0.00208000	7.71507883	107.68760681
0.00211200	8.01416111	106.68049622
0.00214400	8.21558285	107.08334351
0.00217600	7.71507883	107.48619080
0.00220800	8.21558285	107.58995056
0.00224000	8.31934547	107.38852692
0.00227200	8.11792278	107.28475952
0.00230400	8.21558285	107.38852692
0.00233600	9.11893082	107.08334351
0.00236800	8.11792278	106.47908020
0.00240000	8.91750813	107.48619080
0.00243200	8.81984901	107.08334351
0.00246400	8.71608639	107.78527069
0.00249600	8.11792278	106.58283997
0.00252800	8.91750813	106.68049622
0.00256000	8.41700554	107.08334351
0.00259200	8.61842728	107.08334351
0.00262400	9.02127171	106.98567963
0.00265600	8.52076721	107.38852692
0.00268800	9.11893082	107.18711090
0.00272000	9.52177429	106.58283997
0.00275200	8.61842728	106.58283997
0.00278400	9.52177429	106.98567963
0.00281600	9.82085609	107.28475952
0.00284800	9.11893082	107.28475952
0.00288000	9.11893082	107.08334351
0.00291200	9.21658897	106.68049622
0.00294400	9.52177429	107.38852692
0.00297600	9.41801167	107.18711090
0.00300800	9.11893082	106.27765656
0.00304000	9.32035255	106.98567963
0.00307200	9.82085609	106.98567963
0.00310400	10.22369957	106.68049622
0.00313600	8.91750813	106.98567963
0.00316800	9.72319698	106.98567963
0.00320000	9.91851521	107.08334351
0.00323200	10.22369957	107.18711090
0.00326400	10.42512321	106.98567963
0.00329600	9.91851521	107.08334351
0.00332800	10.32135963	107.08334351
0.00336000	9.91851521	107.28475952
0.00339200	10.82186317	107.08334351
0.00342400	10.02227783	106.68049622
0.00345600	10.32135963	107.18711090
0.00348800	10.02227783	107.18711090
0.00352000	10.42512321	106.98567963
0.00355200	9.91851521	106.78426361
0.00358400	10.62044144	106.98567963
0.00361600	10.92562675	107.18711090
0.00364800	10.82186317	106.58283997
0.00368000	10.32135963	106.47908020
0.00371200	11.02328491	106.98567963
0.00374400	10.82186317	107.08334351
0.00377600	10.72420406	106.98567963
0.00380800	10.92562675	106.68049622
0.00384000	11.12704849	106.88192749
0.00387200	11.32236767	106.88192749
0.00390400	11.22470760	106.38141632
0.00393600	11.32236767	107.08334351
0.00396800	11.02328491	106.68049622
0.00400000	10.82186317	106.98567963
0.00403200	10.72420406	106.78426361
0.00406400	11.92663383	106.38141632
0.00409600	11.42612934	106.88192749
0.00412800	11.02328491	106.68049622
0.00416000	11.82897377	106.68049622
0.00419200	11.42612934	106.47908020
0.00422400	10.82186317	106.78426361
0.00425600	11.02328491	106.68049622
0.00428800	12.02429295	107.08334351
0.00432000	11.12704849	106.58283997
0.00435200	11.72521114	106.38141632
0.00438400	11.62755203	106.47908020
0.00441600	11.82897377	107.08334351
0.00444800	12.12805557	106.68049622
0.00448000	11.12704849	106.38141632
0.00451200	11.32236767	106.38141632
0.00454400	11.72521114	106.78426361
0.00457600	12.02429295	106.27765656
0.00460800	12.12805557	107.08334351
0.00464000	12.62855911	106.68049622
0.00467200	11.92663383	106.58283997
0.00470400	12.12805557	106.98567963
0.00473600	11.52378941	106.38141632
0.00476800	12.22571468	106.27765656
0.00480000	12.22571468	106.68049622
0.00483200	12.72621822	106.27765656
0.00486400	12.82998085	106.58283997
0.00489600	12.02429295	106.47908020
0.00492800	12.42713642	106.78426361
0.00496000	12.42713642	106.07623291
0.00499200	12.02429295	107.08334351
0.00502400	12.62855911	106.78426361
0.00505600	12.92763996	106.88192749
0.00508800	13.12906170	106.58283997
0.00512000	12.72621822	106.38141632
0.00515200	12.32947826	106.27765656
0.00518400	12.72621822	106.38141632
0.00521600	12.72621822	106.18000031
0.00524800	12.22571468	106.78426361
0.00528000	13.22672176	106.58283997
0.00531200	12.92763996	106.78426361
0.00534400	12.62855911	106.88192749
