# Time(ns)	Voltage(mV)-A	Voltage(mV)-B
0.000000 -149.784845 66.713462
192.000000 -148.808252 86.672567
384.000000 -135.807367 99.612415
576.000000 -126.834925 120.548112
768.000000 -114.871670 131.534776
960.000000 -96.865749 147.465438
1152.000000 -79.897458 153.447066
1344.000000 -63.905759 162.419507
1536.000000 -48.951689 168.401135
1728.000000 -31.006806 171.391949
1920.000000 -3.051851 179.326762
2112.000000 14.954070 172.368542
2304.000000 25.940733 173.345134
2496.000000 52.858058 169.377728
2688.000000 67.873165 159.428694
2880.000000 82.827235 150.456252
3072.000000 99.795526 140.507218
3264.000000 115.787225 124.515519
3456.000000 124.759667 115.543077
3648.000000 144.718772 91.677602
3840.000000 154.728843 76.723533
4032.000000 155.705435 59.755242
4224.000000 156.743065 38.819544
4416.000000 163.701285 20.874660
4608.000000 156.743065 1.953185
4800.000000 159.733879 -18.982513
4992.000000 155.705435 -37.903989
5184.000000 141.727958 -51.881466
5376.000000 132.755516 -70.802942
5568.000000 126.773888 -84.719382
5760.000000 110.782189 -100.711081
5952.000000 85.818049 -120.609149
6144.000000 76.845607 -124.576556
6336.000000 61.891537 -131.595813
6528.000000 36.927396 -144.535661
6720.000000 28.931547 -145.512253
6912.000000 1.953185 -149.540696
7104.000000 -14.038514 -148.503067
7296.000000 -32.959990 -141.544847
7488.000000 -53.956725 -134.586627
7680.000000 -64.943388 -127.567370
7872.000000 -88.869900 -109.622486
8064.000000 -96.865749 -100.711081
8256.000000 -114.871670 -84.719382
8448.000000 -125.858333 -68.788720
8640.000000 -136.783959 -51.881466
8832.000000 -146.794031 -32.898953
9024.000000 -148.808252 -13.000885
9216.000000 -156.804102 4.943999
9408.000000 -157.780694 22.888882
9600.000000 -148.808252 44.801172
9792.000000 -154.789880 60.731834
9984.000000 -145.817438 79.714347
10176.000000 -134.830775 98.635823
10368.000000 -130.802332 113.589892
10560.000000 -111.880856 126.529740
10752.000000 -101.870785 146.488845
10944.000000 -84.902493 146.488845
11136.000000 -62.929167 161.381878
11328.000000 -52.919095 173.345134
11520.000000 -34.974212 175.359355
11712.000000 -15.991699 176.335948
11904.000000 3.967406 174.382763
12096.000000 23.926511 176.335948
12288.000000 42.909024 166.386914
12480.000000 62.868130 156.437880
12672.000000 79.836421 155.461287
12864.000000 101.809748 143.498032
13056.000000 112.796411 131.534776
13248.000000 122.745445 114.566485
13440.000000 144.718772 101.626637
13632.000000 151.738029 79.714347
13824.000000 152.714621 62.746055
14016.000000 163.701285 48.829615
14208.000000 163.701285 24.903104
14400.000000 162.724693 3.967406
14592.000000 155.705435 -13.977477
14784.000000 154.728843 -36.927396
14976.000000 140.751366 -46.876431
15168.000000 137.760552 -73.793756
15360.000000 129.764702 -85.757012
15552.000000 113.773003 -103.701895
15744.000000 98.818934 -112.613300
15936.000000 81.850642 -127.567370
16128.000000 66.835536 -135.563219
16320.000000 44.923246 -146.549883
16512.000000 29.908139 -142.521439
16704.000000 10.925626 -144.535661
16896.000000 -9.033479 -147.526475
17088.000000 -23.987548 -142.521439
17280.000000 -52.919095 -134.586627
17472.000000 -67.934202 -129.581591
17664.000000 -80.874050 -114.627522
17856.000000 -96.865749 -100.711081
18048.000000 -112.857448 -87.710196
18240.000000 -123.844111 -72.756127
18432.000000 -129.825739 -60.792871
18624.000000 -143.803217 -31.922361
18816.000000 -146.794031 -22.949919
19008.000000 -153.813288 3.967406
19200.000000 -156.804102 24.903104
19392.000000 -159.794916 39.857173
19584.000000 -146.794031 56.764428
19776.000000 -146.794031 76.723533
19968.000000 -139.835810 91.677602
20160.000000 -128.849147 106.631672
20352.000000 -113.834040 124.515519
20544.000000 -100.894192 137.516404
20736.000000 -85.879086 151.432844
20928.000000 -71.901608 162.419507
21120.000000 -53.956725 173.345134
21312.000000 -33.997620 173.345134
21504.000000 -13.000885 177.373577
21696.000000 4.943999 183.355205
21888.000000 20.935698 176.335948
22080.000000 42.909024 173.345134
22272.000000 61.891537 169.377728
22464.000000 76.845607 153.447066
22656.000000 92.837306 139.469588
22848.000000 107.791375 128.543962
23040.000000 122.745445 113.589892
23232.000000 133.732109 99.612415
23424.000000 149.723807 87.649159
23616.000000 148.747215 66.713462
23808.000000 156.743065 46.815394
24000.000000 160.710471 31.861324
24192.000000 161.687063 6.958220
24384.000000 159.733879 -10.010071
24576.000000 155.705435 -30.945769
24768.000000 152.714621 -52.858058
24960.000000 145.756401 -69.765313
25152.000000 130.741295 -84.719382
25344.000000 115.787225 -98.696860
25536.000000 89.846492 -106.692709
25728.000000 84.841456 -122.623371
25920.000000 71.840571 -131.595813
26112.000000 47.914060 -142.521439
26304.000000 34.913175 -140.568255
26496.000000 10.925626 -149.540696
26688.000000 -7.995849 -148.503067
26880.000000 -28.015992 -145.512253
27072.000000 -46.937468 -137.577441
