# Frequency	I_corrected	Q_corrected
1.02850000e+10	7.03881120e-03	2.84428310e-03
1.02851500e+10	6.99324259e-03	2.78463111e-03
1.02853000e+10	7.05291932e-03	2.76905015e-03
1.02854500e+10	7.12039993e-03	2.77657758e-03
1.02856000e+10	7.07112525e-03	2.74658909e-03
1.02857500e+10	7.06814032e-03	2.73150788e-03
1.02859000e+10	7.19661612e-03	2.70461208e-03
1.02860500e+10	7.21223938e-03	2.78736166e-03
1.02862000e+10	7.25705707e-03	2.68947567e-03
1.02863500e+10	7.23961605e-03	2.71135402e-03
1.02865000e+10	7.33503123e-03	2.64062111e-03
1.02866500e+10	7.34225062e-03	2.71806684e-03
1.02868000e+10	7.35864673e-03	2.63532560e-03
1.02869500e+10	7.40141137e-03	2.56721782e-03
1.02871000e+10	7.52826942e-03	2.66077349e-03
1.02872500e+10	7.42436746e-03	2.58976904e-03
1.02874000e+10	7.52513513e-03	2.63240746e-03
1.02875500e+10	7.57509652e-03	2.59085549e-03
1.02877000e+10	7.61646214e-03	2.58332082e-03
1.02878500e+10	7.62503419e-03	2.56241043e-03
1.02880000e+10	7.70664698e-03	2.54985820e-03
1.02881500e+10	7.67145453e-03	2.55221881e-03
1.02883000e+10	7.76937159e-03	2.50886167e-03
1.02884500e+10	7.74545358e-03	2.49999212e-03
1.02886000e+10	7.84470362e-03	2.52408948e-03
1.02887500e+10	7.80604969e-03	2.44402803e-03
1.02889000e+10	7.88130046e-03	2.43137209e-03
1.02890500e+10	7.91077157e-03	2.42458090e-03
1.02892000e+10	7.97085604e-03	2.37447405e-03
1.02893500e+10	8.02783830e-03	2.43178416e-03
1.02895000e+10	7.97997701e-03	2.37787355e-03
1.02896500e+10	8.07595748e-03	2.37739209e-03
1.02898000e+10	8.12861400e-03	2.37120583e-03
1.02899500e+10	8.11307790e-03	2.31859079e-03
1.02901000e+10	8.19649662e-03	2.28059668e-03
1.02902500e+10	8.19395891e-03	2.30726249e-03
1.02904000e+10	8.31999037e-03	2.28708804e-03
1.02905500e+10	8.37532426e-03	2.30806484e-03
1.02907000e+10	8.41510357e-03	2.21748686e-03
1.02908500e+10	8.37652143e-03	2.20539094e-03
1.02910000e+10	8.42279174e-03	2.18935055e-03
1.02911500e+10	8.57849370e-03	2.23164051e-03
1.02913000e+10	8.54083437e-03	2.16767144e-03
1.02914500e+10	8.49347639e-03	2.14111047e-03
1.02916000e+10	8.53652415e-03	2.14697800e-03
1.02917500e+10	8.67461091e-03	2.09652709e-03
1.02919000e+10	8.71839358e-03	2.09481324e-03
1.02920500e+10	8.68618072e-03	2.05056249e-03
1.02922000e+10	8.77161977e-03	1.99309877e-03
1.02923500e+10	8.87584877e-03	2.02977815e-03
1.02925000e+10	8.82584826e-03	2.00386704e-03
1.02926500e+10	8.90244463e-03	1.98723966e-03
1.02928000e+10	8.89098122e-03	1.99113423e-03
1.02929500e+10	9.00003398e-03	1.98777806e-03
1.02931000e+10	9.04218953e-03	1.93009622e-03
1.02932500e+10	9.05431227e-03	1.89316931e-03
1.02934000e+10	9.09822883e-03	1.91937204e-03
1.02935500e+10	9.16148252e-03	1.84282198e-03
1.02937000e+10	9.16938137e-03	1.83804226e-03
1.02938500e+10	9.28818575e-03	1.75983112e-03
1.02940000e+10	9.34845905e-03	1.80474851e-03
1.02941500e+10	9.34495967e-03	1.77506249e-03
1.02943000e+10	9.28998385e-03	1.71992506e-03
1.02944500e+10	9.46630004e-03	1.66631168e-03
1.02946000e+10	9.42768253e-03	1.68561742e-03
1.02947500e+10	9.49627887e-03	1.66740104e-03
1.02949000e+10	9.58175036e-03	1.64257101e-03
1.02950500e+10	9.69294727e-03	1.59397173e-03
1.02952000e+10	9.61487783e-03	1.55186897e-03
1.02953500e+10	9.86223829e-03	1.60184171e-03
1.02955000e+10	9.81822703e-03	1.51308523e-03
1.02956500e+10	9.85678339e-03	1.49550887e-03
1.02958000e+10	9.76350730e-03	1.44381717e-03
1.02959500e+10	1.00033509e-02	1.40953386e-03
1.02961000e+10	9.94545130e-03	1.46360577e-03
1.02962500e+10	9.98442299e-03	1.44793802e-03
1.02964000e+10	1.00275267e-02	1.36789059e-03
1.02965500e+10	1.02286220e-02	1.40062332e-03
1.02967000e+10	1.02408607e-02	1.34777028e-03
1.02968500e+10	1.02498809e-02	1.27271394e-03
1.02970000e+10	1.02756227e-02	1.28796897e-03
1.02971500e+10	1.04136225e-02	1.19613643e-03
1.02973000e+10	1.03559717e-02	1.18237536e-03
1.02974500e+10	1.04578598e-02	1.14036454e-03
1.02976000e+10	1.05208665e-02	1.07428047e-03
1.02977500e+10	1.04921774e-02	1.08438952e-03
1.02979000e+10	1.05663396e-02	1.06786756e-03
1.02980500e+10	1.06960126e-02	1.03647605e-03
1.02982000e+10	1.07803270e-02	9.64239215e-04
1.02983500e+10	1.07159676e-02	9.88198008e-04
1.02985000e+10	1.08651562e-02	9.10932292e-04
1.02986500e+10	1.09376227e-02	9.13778746e-04
1.02988000e+10	1.09674742e-02	9.22484495e-04
1.02989500e+10	1.09389351e-02	8.62382827e-04
1.02991000e+10	1.10854255e-02	7.77303127e-04
1.02992500e+10	1.10863684e-02	7.47183704e-04
1.02994000e+10	1.10490928e-02	7.45250828e-04
1.02995500e+10	1.11729848e-02	6.98920376e-04
1.02997000e+10	1.12638250e-02	6.06951194e-04
1.02998500e+10	1.13922485e-02	6.37314257e-04
1.03000000e+10	1.13726259e-02	5.56388686e-04
1.03001500e+10	1.14879541e-02	5.82614365e-04
1.03003000e+10	1.16347097e-02	5.56062154e-04
1.03004500e+10	1.15461263e-02	4.34592180e-04
1.03006000e+10	1.16035052e-02	3.89955360e-04
1.03007500e+10	1.16671174e-02	3.33588643e-04
1.03009000e+10	1.16517360e-02	3.57846828e-04
1.03010500e+10	1.17521557e-02	2.72943552e-04
1.03012000e+10	1.18543043e-02	2.12921340e-04
1.03013500e+10	1.19526680e-02	2.58094536e-04
