# Frequency	I_corrected	Q_corrected
7.21500000e+09	2.67528931e-03	-1.81572522e-03
7.21515000e+09	2.63100052e-03	-1.88851511e-03
7.21530000e+09	2.60778301e-03	-1.86841574e-03
7.21545000e+09	2.59854422e-03	-1.86825786e-03
7.21560000e+09	2.64413751e-03	-1.89754888e-03
7.21575000e+09	2.63158870e-03	-1.85707474e-03
7.21590000e+09	2.60332220e-03	-1.88425008e-03
7.21605000e+09	2.58315700e-03	-1.83804519e-03
7.21620000e+09	2.55721971e-03	-1.90544046e-03
7.21635000e+09	2.61638417e-03	-1.91218399e-03
7.21650000e+09	2.54636938e-03	-1.92680046e-03
7.21665000e+09	2.57365942e-03	-1.95798433e-03
7.21680000e+09	2.54750833e-03	-1.97359710e-03
7.21695000e+09	2.51681691e-03	-1.93139743e-03
7.21710000e+09	2.46393333e-03	-1.98925389e-03
7.21725000e+09	2.55498045e-03	-2.00693488e-03
7.21740000e+09	2.46583268e-03	-1.97964820e-03
7.21755000e+09	2.44799610e-03	-1.99722663e-03
7.21770000e+09	2.47700613e-03	-2.03392922e-03
7.21785000e+09	2.43878617e-03	-2.05612352e-03
7.21800000e+09	2.46980418e-03	-2.00247346e-03
7.21815000e+09	2.46626674e-03	-2.01846862e-03
7.21830000e+09	2.41860849e-03	-2.06120961e-03
7.21845000e+09	2.43214022e-03	-2.02062123e-03
7.21860000e+09	2.39551120e-03	-2.05248572e-03
7.21875000e+09	2.42735162e-03	-2.08220967e-03
7.21890000e+09	2.39895051e-03	-2.07896434e-03
7.21905000e+09	2.38127147e-03	-2.14826838e-03
7.21920000e+09	2.37692826e-03	-2.07527031e-03
7.21935000e+09	2.36500848e-03	-2.11652033e-03
7.21950000e+09	2.34552599e-03	-2.12514132e-03
7.21965000e+09	2.33273581e-03	-2.12953415e-03
7.21980000e+09	2.27180798e-03	-2.14908792e-03
7.21995000e+09	2.31848518e-03	-2.15653000e-03
7.22010000e+09	2.33467262e-03	-2.17594266e-03
7.22025000e+09	2.32932245e-03	-2.19516522e-03
7.22040000e+09	2.23958861e-03	-2.17154103e-03
7.22055000e+09	2.26937190e-03	-2.20068439e-03
7.22070000e+09	2.26487735e-03	-2.20612247e-03
7.22085000e+09	2.24047740e-03	-2.18250683e-03
7.22100000e+09	2.26315246e-03	-2.25308675e-03
7.22115000e+09	2.21028766e-03	-2.24229805e-03
7.22130000e+09	2.24257328e-03	-2.21975911e-03
7.22145000e+09	2.27581153e-03	-2.23365080e-03
7.22160000e+09	2.24906541e-03	-2.19711233e-03
7.22175000e+09	2.17932209e-03	-2.23736570e-03
7.22190000e+09	2.16203805e-03	-2.25854520e-03
7.22205000e+09	2.20835162e-03	-2.29544359e-03
7.22220000e+09	2.19921763e-03	-2.33082262e-03
7.22235000e+09	2.16821029e-03	-2.30457799e-03
7.22250000e+09	2.16999924e-03	-2.28561787e-03
7.22265000e+09	2.14669419e-03	-2.31177611e-03
7.22280000e+09	2.14024757e-03	-2.31394342e-03
7.22295000e+09	2.11286193e-03	-2.29138778e-03
7.22310000e+09	2.15283569e-03	-2.33444881e-03
7.22325000e+09	2.13965400e-03	-2.34509956e-03
7.22340000e+09	2.14987648e-03	-2.33944851e-03
7.22355000e+09	2.13359065e-03	-2.36024404e-03
7.22370000e+09	2.12565084e-03	-2.34925463e-03
7.22385000e+09	2.12459625e-03	-2.36459797e-03
7.22400000e+09	2.08881291e-03	-2.35335283e-03
7.22415000e+09	2.06644340e-03	-2.38840285e-03
7.22430000e+09	2.04967998e-03	-2.36315836e-03
7.22445000e+09	2.03040219e-03	-2.41455769e-03
7.22460000e+09	2.00765161e-03	-2.40256927e-03
7.22475000e+09	1.98654973e-03	-2.39713263e-03
7.22490000e+09	2.00360094e-03	-2.35542371e-03
7.22505000e+09	2.00081384e-03	-2.42061163e-03
