# Frequency	I_corrected	Q_corrected
7.21500000e+09	2.75695095e-03	-1.87114917e-03
7.21515000e+09	2.72238993e-03	-1.95411384e-03
7.21530000e+09	2.68856837e-03	-1.92629656e-03
7.21545000e+09	2.67980491e-03	-1.92668130e-03
7.21560000e+09	2.73748893e-03	-1.96454194e-03
7.21575000e+09	2.73368992e-03	-1.92912612e-03
7.21590000e+09	2.69103226e-03	-1.94773346e-03
7.21605000e+09	2.68116955e-03	-1.90778601e-03
7.21620000e+09	2.65653473e-03	-1.97944225e-03
7.21635000e+09	2.70904627e-03	-1.97990607e-03
7.21650000e+09	2.62616396e-03	-1.98717985e-03
7.21665000e+09	2.66874220e-03	-2.03032124e-03
7.21680000e+09	2.63035542e-03	-2.03778012e-03
7.21695000e+09	2.59361802e-03	-1.99033436e-03
7.21710000e+09	2.54536400e-03	-2.05499685e-03
7.21725000e+09	2.65064141e-03	-2.08207648e-03
7.21740000e+09	2.56203181e-03	-2.05687988e-03
7.21755000e+09	2.53612720e-03	-2.06912943e-03
7.21770000e+09	2.57360211e-03	-2.11324650e-03
7.21785000e+09	2.53025545e-03	-2.13324063e-03
7.21800000e+09	2.55161739e-03	-2.06880616e-03
7.21815000e+09	2.54154156e-03	-2.08007585e-03
7.21830000e+09	2.50255087e-03	-2.13274779e-03
7.21845000e+09	2.50745275e-03	-2.08319086e-03
7.21860000e+09	2.47046211e-03	-2.11670402e-03
7.21875000e+09	2.51311862e-03	-2.15578157e-03
7.21890000e+09	2.49205025e-03	-2.15964589e-03
7.21905000e+09	2.46156642e-03	-2.22070662e-03
7.21920000e+09	2.46716213e-03	-2.15405253e-03
7.21935000e+09	2.45683566e-03	-2.19869936e-03
7.21950000e+09	2.42852864e-03	-2.20034507e-03
7.21965000e+09	2.40579643e-03	-2.19623055e-03
7.21980000e+09	2.34210068e-03	-2.21558350e-03
7.21995000e+09	2.39382794e-03	-2.22660979e-03
7.22010000e+09	2.40592045e-03	-2.24234648e-03
7.22025000e+09	2.40636552e-03	-2.26777100e-03
7.22040000e+09	2.32349154e-03	-2.25289466e-03
7.22055000e+09	2.35789460e-03	-2.28652775e-03
7.22070000e+09	2.34647834e-03	-2.28560658e-03
7.22085000e+09	2.32786204e-03	-2.26763047e-03
7.22100000e+09	2.34798385e-03	-2.33754084e-03
7.22115000e+09	2.28344593e-03	-2.31651583e-03
7.22130000e+09	2.31101508e-03	-2.28750464e-03
7.22145000e+09	2.35473252e-03	-2.31110974e-03
7.22160000e+09	2.31868006e-03	-2.26511889e-03
7.22175000e+09	2.24754503e-03	-2.30740568e-03
7.22190000e+09	2.23849217e-03	-2.33841201e-03
7.22205000e+09	2.29407665e-03	-2.38454941e-03
7.22220000e+09	2.28274338e-03	-2.41934669e-03
7.22235000e+09	2.25056261e-03	-2.39210979e-03
7.22250000e+09	2.25423331e-03	-2.37433997e-03
7.22265000e+09	2.22259952e-03	-2.39351861e-03
7.22280000e+09	2.20724368e-03	-2.38637673e-03
7.22295000e+09	2.17826344e-03	-2.36231538e-03
7.22310000e+09	2.22274337e-03	-2.41025390e-03
7.22325000e+09	2.20495528e-03	-2.41667094e-03
7.22340000e+09	2.22104094e-03	-2.41688812e-03
7.22355000e+09	2.21357042e-03	-2.44872013e-03
7.22370000e+09	2.20855575e-03	-2.44088056e-03
7.22385000e+09	2.20120148e-03	-2.44985680e-03
7.22400000e+09	2.17029356e-03	-2.44515270e-03
7.22415000e+09	2.14385498e-03	-2.47787545e-03
7.22430000e+09	2.11746833e-03	-2.44131427e-03
7.22445000e+09	2.09236407e-03	-2.48824286e-03
7.22460000e+09	2.07289829e-03	-2.48065038e-03
7.22475000e+09	2.04801363e-03	-2.47129998e-03
7.22490000e+09	2.06635656e-03	-2.42919892e-03
7.22505000e+09	2.07162370e-03	-2.50627835e-03
7.22520000e+09	2.04285315e-03	-2.50947130e-03
7.22535000e+09	2.08054643e-03	-2.53817230e-03
7.22550000e+09	2.05425062e-03	-2.50164448e-03
7.22565000e+09	2.04104833e-03	-2.50389226e-03
7.22580000e+09	2.01504693e-03	-2.54742520e-03
7.22595000e+09	2.01678644e-03	-2.51790247e-03
7.22610000e+09	1.96868523e-03	-2.57267682e-03
7.22625000e+09	1.99349414e-03	-2.59719495e-03
7.22640000e+09	1.99856616e-03	-2.61048545e-03
7.22655000e+09	2.01923430e-03	-2.61323136e-03
7.22670000e+09	2.03150308e-03	-2.54631763e-03
7.22685000e+09	1.96130408e-03	-2.61269868e-03
7.22700000e+09	1.92978181e-03	-2.60118658e-03
7.22715000e+09	1.90993011e-03	-2.60098659e-03
7.22730000e+09	1.90727058e-03	-2.61401482e-03
7.22745000e+09	1.88708412e-03	-2.63391699e-03
7.22760000e+09	1.91065025e-03	-2.59378371e-03
7.22775000e+09	1.96196272e-03	-2.63488299e-03
7.22790000e+09	1.86875987e-03	-2.63931047e-03
7.22805000e+09	1.86211252e-03	-2.68774417e-03
7.22820000e+09	1.88418399e-03	-2.66362107e-03
7.22835000e+09	1.88354423e-03	-2.64790541e-03
7.22850000e+09	1.88420199e-03	-2.67491247e-03
7.22865000e+09	1.81314339e-03	-2.71533669e-03
7.22880000e+09	1.83674440e-03	-2.69666479e-03
7.22895000e+09	1.76291786e-03	-2.67300467e-03
7.22910000e+09	1.83461622e-03	-2.62923758e-03
7.22925000e+09	1.81228921e-03	-2.63211958e-03
7.22940000e+09	1.79398392e-03	-2.73056904e-03
7.22955000e+09	1.78966389e-03	-2.70972004e-03
7.22970000e+09	1.68571177e-03	-2.67116196e-03
7.22985000e+09	1.75134624e-03	-2.69656999e-03
7.23000000e+09	1.78919328e-03	-2.74037558e-03
7.23015000e+09	1.69971377e-03	-2.72061854e-03
7.23030000e+09	1.74612753e-03	-2.74292972e-03
7.23045000e+09	1.70331250e-03	-2.72482625e-03
7.23060000e+09	1.66273294e-03	-2.73576807e-03
7.23075000e+09	1.70841163e-03	-2.73661331e-03
7.23090000e+09	1.71265691e-03	-2.76368862e-03
7.23105000e+09	1.71177296e-03	-2.78688172e-03
7.23120000e+09	1.65273698e-03	-2.75632858e-03
7.23135000e+09	1.66154946e-03	-2.78200920e-03
7.23150000e+09	1.67289900e-03	-2.82822435e-03
7.23165000e+09	1.67217294e-03	-2.86052229e-03
7.23180000e+09	1.63595956e-03	-2.76215324e-03
7.23195000e+09	1.58378513e-03	-2.75773120e-03
7.23210000e+09	1.59191379e-03	-2.82983154e-03
7.23225000e+09	1.60832634e-03	-2.82564111e-03
7.23240000e+09	1.57951282e-03	-2.79726443e-03
7.23255000e+09	1.54006443e-03	-2.81992891e-03
7.23270000e+09	1.55245943e-03	-2.83608345e-03
7.23285000e+09	1.55203874e-03	-2.82204696e-03
7.23300000e+09	1.51602020e-03	-2.82089679e-03
7.23315000e+09	1.53472653e-03	-2.80849037e-03
7.23330000e+09	1.43010962e-03	-2.87536814e-03
7.23345000e+09	1.46851182e-03	-2.90238054e-03
7.23360000e+09	1.42933853e-03	-2.85407778e-03
7.23375000e+09	1.45484546e-03	-2.85756464e-03
7.23390000e+09	1.42842442e-03	-2.88720405e-03
7.23405000e+09	1.42919682e-03	-2.87521515e-03
7.23420000e+09	1.38908911e-03	-2.91634530e-03
7.23435000e+09	1.43124794e-03	-2.89490882e-03
7.23450000e+09	1.35624573e-03	-2.89101921e-03
7.23465000e+09	1.41371753e-03	-2.91283660e-03
7.23480000e+09	1.35825735e-03	-2.90881719e-03
7.23495000e+09	1.37566665e-03	-2.96939624e-03
7.23510000e+09	1.29428852e-03	-2.93646789e-03
7.23525000e+09	1.35846890e-03	-2.97024273e-03
7.23540000e+09	1.30490127e-03	-2.91019987e-03
7.23555000e+09	1.30144622e-03	-2.95708197e-03
7.23570000e+09	1.27043779e-03	-2.90272430e-03
7.23585000e+09	1.26797994e-03	-2.97112092e-03
7.23600000e+09	1.31297984e-03	-2.92244646e-03
7.23615000e+09	1.24797003e-03	-3.01555569e-03
7.23630000e+09	1.24596082e-03	-2.91552705e-03
7.23645000e+09	1.24700383e-03	-3.00113595e-03
7.23660000e+09	1.17301209e-03	-2.94932760e-03
7.23675000e+09	1.29004776e-03	-2.99637558e-03
7.23690000e+09	1.16579697e-03	-2.93278255e-03
7.23705000e+09	1.17026198e-03	-2.91554425e-03
7.23720000e+09	1.16493087e-03	-2.93760908e-03
7.23735000e+09	1.19678116e-03	-3.02174480e-03
7.23750000e+09	1.12407584e-03	-3.01499763e-03
7.23765000e+09	1.13327914e-03	-3.00119594e-03
7.23780000e+09	1.15862573e-03	-3.01927862e-03
7.23795000e+09	1.09538025e-03	-3.02522010e-03
7.23810000e+09	1.07541097e-03	-2.99024705e-03
7.23825000e+09	1.14149415e-03	-3.03548617e-03
7.23840000e+09	1.09042071e-03	-2.98432902e-03
7.23855000e+09	1.12793850e-03	-3.00950156e-03
7.23870000e+09	1.03760514e-03	-3.02235167e-03
7.23885000e+09	1.05070639e-03	-3.03852984e-03
7.23900000e+09	1.03681912e-03	-3.04294272e-03
7.23915000e+09	1.01943949e-03	-2.98144385e-03
7.23930000e+09	1.00913454e-03	-3.06658363e-03
7.23945000e+09	1.00746582e-03	-3.07552720e-03
7.23960000e+09	9.80810598e-04	-3.06672673e-03
7.23975000e+09	9.86820584e-04	-3.00850975e-03
7.23990000e+09	1.00371035e-03	-3.08673490e-03
7.24005000e+09	9.46879509e-04	-3.04512557e-03
7.24020000e+09	9.42595730e-04	-3.03802127e-03
7.24035000e+09	9.55240027e-04	-2.99811781e-03
7.24050000e+09	9.46196077e-04	-3.07889698e-03
7.24065000e+09	9.43814409e-04	-3.05572779e-03
7.24080000e+09	9.35652761e-04	-3.04246148e-03
7.24095000e+09	9.29222210e-04	-3.07327033e-03
7.24110000e+09	9.02349175e-04	-3.04819768e-03
7.24125000e+09	8.61315862e-04	-3.01324426e-03
7.24140000e+09	8.87161083e-04	-3.03804437e-03
7.24155000e+09	8.35716474e-04	-2.99995624e-03
7.24170000e+09	8.62964291e-04	-3.07617413e-03
7.24185000e+09	8.72524020e-04	-3.07677605e-03
7.24200000e+09	8.99413743e-04	-3.03721925e-03
7.24215000e+09	8.94547725e-04	-3.07542102e-03
7.24230000e+09	7.98742195e-04	-3.05594514e-03
7.24245000e+09	8.45513310e-04	-3.09906882e-03
7.24260000e+09	7.85647404e-04	-3.09323274e-03
7.24275000e+09	8.10090831e-04	-3.12939888e-03
7.24290000e+09	8.39837249e-04	-3.11833759e-03
7.24305000e+09	7.98962761e-04	-3.16257953e-03
7.24320000e+09	7.32892352e-04	-3.15786595e-03
7.24335000e+09	7.53923464e-04	-3.10232956e-03
7.24350000e+09	7.40976486e-04	-3.10727332e-03
7.24365000e+09	7.15933495e-04	-3.10037439e-03
7.24380000e+09	7.47525335e-04	-3.16793673e-03
7.24395000e+09	7.29720983e-04	-3.13366464e-03
7.24410000e+09	7.21182596e-04	-3.15766297e-03
7.24425000e+09	6.96661214e-04	-3.13302478e-03
7.24440000e+09	6.40214012e-04	-3.13661761e-03
7.24455000e+09	6.64486056e-04	-3.12302894e-03
7.24470000e+09	6.02902510e-04	-3.18358444e-03
7.24485000e+09	6.70559529e-04	-3.16360566e-03
7.24500000e+09	6.25079395e-04	-3.16786314e-03
7.24515000e+09	6.28323352e-04	-3.17193281e-03
7.24530000e+09	6.22958145e-04	-3.18695447e-03
7.24545000e+09	6.17789518e-04	-3.16491535e-03
7.24560000e+09	5.69153993e-04	-3.22135452e-03
7.24575000e+09	6.10872812e-04	-3.19770629e-03
7.24590000e+09	5.92171504e-04	-3.22648362e-03
7.24605000e+09	5.94674618e-04	-3.20435910e-03
7.24620000e+09	5.35591791e-04	-3.22692763e-03
7.24635000e+09	5.41805207e-04	-3.23259427e-03
7.24650000e+09	5.72833514e-04	-3.22667957e-03
7.24665000e+09	5.04707225e-04	-3.21592616e-03
7.24680000e+09	4.87471274e-04	-3.23486152e-03
7.24695000e+09	4.61457601e-04	-3.26959144e-03
7.24710000e+09	4.87555737e-04	-3.28497520e-03
7.24725000e+09	5.03053612e-04	-3.27633576e-03
7.24740000e+09	5.40586649e-04	-3.27379551e-03
7.24755000e+09	4.06240954e-04	-3.29880030e-03
7.24770000e+09	3.78401570e-04	-3.29330424e-03
7.24785000e+09	4.26009759e-04	-3.30607780e-03
7.24800000e+09	4.03737414e-04	-3.25520452e-03
7.24815000e+09	4.55345222e-04	-3.22783024e-03
7.24830000e+09	3.73853568e-04	-3.25207565e-03
7.24845000e+09	3.31201045e-04	-3.29741933e-03
7.24860000e+09	3.39452326e-04	-3.29395997e-03
7.24875000e+09	3.15234549e-04	-3.30676343e-03
7.24890000e+09	3.86883040e-04	-3.32729885e-03
7.24905000e+09	3.04047156e-04	-3.32121254e-03
7.24920000e+09	3.24851859e-04	-3.32322758e-03
7.24935000e+09	2.75926470e-04	-3.30966875e-03
