# Freq(Hz)	Amp(mV)
0.000000	33.543657
128.073770	33.022483
256.147541	31.487854
384.221311	29.024538
512.295082	25.767613
640.368852	21.893626
768.442623	17.609111
896.516393	13.137298
1024.590164	8.703947
1152.663934	4.523471
1280.737705	0.791403
1408.811475	2.364011
1536.885246	4.800780
1664.959016	6.472741
1793.032787	7.369510
1921.106557	7.530817
2049.180328	7.041282
2177.254098	6.023835
2305.327869	4.634139
2433.401639	3.068047
2561.475410	1.669541
2689.549180	1.477766
2817.622951	2.504409
2945.696721	3.540052
3073.770492	4.268251
3201.844262	4.608731
3329.918033	4.550974
3457.991803	4.127766
3586.065574	3.406157
3714.139344	2.484430
3842.213115	1.512010
3970.286885	0.882939
4098.360656	1.268879
4226.434426	1.996251
4354.508197	2.592184
4482.581967	2.945973
4610.655738	3.025373
4738.729508	2.836422
4866.803279	2.415638
4994.877049	1.830174
5122.950820	1.199421
5251.024590	0.823030
5379.098361	1.089950
5507.172131	1.623288
5635.245902	2.092819
5763.319672	2.393303
5891.393443	2.485383
6019.467213	2.362645
6147.540984	2.045093
6275.614754	1.579670
6403.688525	1.057329
6531.762295	0.715707
6659.836066	0.921390
6787.909836	1.400034
6915.983607	1.846938
7044.057377	2.159296
7172.131148	2.293511
7300.204918	2.233696
7428.278689	1.985148
7556.352459	1.571609
7684.426230	1.033652
7812.500000	0.440417
7940.573770	0.343229
8068.647541	0.916469
8196.721311	1.448173
8324.795082	1.859627
8452.868852	2.114084
8580.942623	2.191503
8709.016393	2.087415
8837.090164	1.812219
8965.163934	1.389498
9093.237705	0.853386
9221.311475	0.246916
9349.385246	0.399055
9477.459016	1.024091
9605.532787	1.601770
9733.606557	2.104104
9861.680328	2.516272
9989.754098	2.838249
10117.827869	3.086858
10245.901639	3.297789
10373.975410	3.527007
10502.049180	3.848919
10630.122951	4.347433
10758.196721	5.100702
10886.270492	6.168968
11014.344262	7.593069
11142.418033	9.399559
11270.491803	11.605029
11398.565574	14.217445
11526.639344	17.235995
11654.713115	20.651077
11782.786885	24.445185
11910.860656	28.594746
12038.934426	33.072644
12167.008197	37.851015
12295.081967	42.903853
12423.155738	48.209018
12551.229508	53.749262
12679.303279	59.512042
12807.377049	65.488018
12935.450820	71.668353
13063.524590	78.041108
13191.598361	84.587193
13319.672131	91.276449
13447.745902	98.064422
13575.819672	104.890291
13703.893443	111.676300
13831.967213	118.328788
13960.040984	124.740778
14088.114754	130.795899
14216.188525	136.373334
14344.262295	141.353384
14472.336066	145.623256
14600.409836	149.082655
14728.483607	151.648802
14856.557377	153.260540
14984.631148	153.881265
15112.704918	153.500477
15240.778689	152.133881
15368.852459	149.822007
15496.926230	146.627502
15625.000000	142.631283
15753.073770	137.927869
15881.147541	132.620276
16009.221311	126.814886
16137.295082	120.616710
16265.368852	114.125415
16393.442623	107.432392
16521.516393	100.619023
16649.590164	93.756150
16777.663934	86.904593
16905.737705	80.116477
17033.811475	73.437009
17161.885246	66.906380
17289.959016	60.561473
17418.032787	54.437163
17546.106557	48.567083
17674.180328	42.983851
17802.254098	37.718789
17930.327869	32.801264
18058.401639	28.257746
18186.475410	24.110695
18314.549180	20.377355
18442.622951	17.068478
18570.696721	14.186978
18698.770492	11.726512
18826.844262	9.670017
18954.918033	7.988528
19082.991803	6.641007
19211.065574	5.576353
19339.139344	4.738412
19467.213115	4.073157
19595.286885	3.535227
19723.360656	3.090889
19851.434426	2.716574
19979.508197	2.394684
20107.581967	2.109635
20235.655738	1.846566
20363.729508	1.593582
20491.803279	1.346859
20619.877049	1.117880
20747.950820	0.941671
20876.024590	0.872911
21004.098361	0.937751
21132.172131	1.091445
21260.245902	1.263954
21388.319672	1.402276
21516.393443	1.472995
21644.467213	1.457320
21772.540984	1.348704
21900.614754	1.152603
22028.688525	0.888868
22156.762295	0.604879
22284.836066	0.437510
22412.909836	0.575097
22540.983607	0.867475
22669.057377	1.155894
22797.131148	1.380860
22925.204918	1.513239
23053.278689	1.538404
23181.352459	1.453940
23309.426230	1.270436
23437.500000	1.015493
23565.573770	0.749386
23693.647541	0.609168
23821.721311	0.736501
23949.795082	1.023200
24077.868852	1.323260
24205.942623	1.567021
24334.016393	1.719317
24462.090164	1.762096
24590.163934	1.690290
24718.237705	1.511167
24846.311475	1.245641
24974.385246	0.935153
25102.459016	0.670613
25230.532787	0.634013
25358.606557	0.865492
25486.680328	1.183036
25614.754098	1.477059
25742.827869	1.701118
25870.901639	1.833152
25998.975410	1.864852
26127.049180	1.798634
26255.122951	1.646261
26383.196721	1.427910
26511.270492	1.171880
26639.344262	0.916111
26767.418033	0.712294
26895.491803	0.618885
27023.565574	0.645497
27151.639344	0.726739
27279.713115	0.797432
27407.786885	0.825397
27535.860656	0.800891
27663.934426	0.726893
27792.008197	0.614202
27920.081967	0.478830
28048.155738	0.341183
28176.229508	0.228858
28304.303279	0.179961
28432.377049	0.199255
28560.450820	0.235451
28688.524590	0.258841
28816.598361	0.268230
28944.672131	0.276190
29072.745902	0.297780
29200.819672	0.337333
29328.893443	0.384755
29456.967213	0.423968
29585.040984	0.440465
29713.114754	0.424198
29841.188525	0.370664
29969.262295	0.282615
30097.336066	0.179404
30225.409836	0.151948
30353.483607	0.274631
30481.557377	0.444103
30609.631148	0.614105
30737.704918	0.765401
30865.778689	0.885225
30993.852459	0.965016
31121.926230	1.000534
31250.000000	0.992210
31378.073770	0.945352
31506.147541	0.870167
31634.221311	0.781519
31762.295082	0.697906
31890.368852	0.637947
32018.442623	0.612648
32146.516393	0.618004
32274.590164	0.637751
32402.663934	0.653731
32530.737705	0.652829
32658.811475	0.628314
32786.885246	0.578822
32914.959016	0.507055
33043.032787	0.418979
33171.106557	0.324495
33299.180328	0.242503
33427.254098	0.211460
33555.327869	0.260413
33683.401639	0.359741
33811.475410	0.476747
33939.549180	0.595772
34067.622951	0.707545
34195.696721	0.804339
34323.770492	0.878867
34451.844262	0.924523
34579.918033	0.936151
34707.991803	0.911019
34836.065574	0.849870
34964.139344	0.758164
35092.213115	0.647923
35220.286885	0.540915
35348.360656	0.471176
35476.434426	0.470985
35604.508197	0.534793
35732.581967	0.624211
35860.655738	0.704094
35988.729508	0.752375
36116.803279	0.756764
36244.877049	0.711980
36372.950820	0.618411
36501.024590	0.481356
36629.098361	0.310713
36757.172131	0.125490
36885.245902	0.116598
37013.319672	0.304512
37141.393443	0.483283
37269.467213	0.632655
37397.540984	0.742428
37525.614754	0.806689
37653.688525	0.823687
37781.762295	0.795817
37909.836066	0.729353
38037.909836	0.633912
38165.983607	0.521734
38294.057377	0.406860
38422.131148	0.304136
38550.204918	0.226862
38678.278689	0.179663
38806.352459	0.149835
38934.426230	0.115327
39062.500000	0.061081
39190.573770	0.019956
39318.647541	0.120065
39446.721311	0.236652
39574.795082	0.359452
39702.868852	0.478208
39830.942623	0.582946
39959.016393	0.664977
40087.090164	0.717730
40215.163934	0.737406
40343.237705	0.723445
40471.311475	0.678912
40599.385246	0.611028
40727.459016	0.532256
40855.532787	0.462131
40983.606557	0.426688
41111.680328	0.445314
41239.754098	0.512057
41367.827869	0.604162
41495.901639	0.701269
41623.975410	0.790206
41752.049180	0.862996
41880.122951	0.914839
42008.196721	0.942996
42136.270492	0.946282
42264.344262	0.924965
42392.418033	0.880952
42520.491803	0.818200
42648.565574	0.743273
42776.639344	0.665890
42904.713115	0.598824
43032.786885	0.555456
43160.860656	0.543373
43288.934426	0.558046
43417.008197	0.584728
43545.081967	0.606456
43673.155738	0.609621
43801.229508	0.585513
43929.303279	0.530229
44057.377049	0.444471
44185.450820	0.334193
44313.524590	0.216019
44441.598361	0.150896
44569.672131	0.227406
44697.745902	0.365032
44825.819672	0.505012
44953.893443	0.629080
45081.967213	0.728237
45210.040984	0.797503
45338.114754	0.834948
45466.188525	0.841380
45594.262295	0.820090
45722.336066	0.776641
45850.409836	0.718847
45978.483607	0.657088
46106.557377	0.604824
46234.631148	0.577872
46362.704918	0.589695
46490.778689	0.643798
46618.852459	0.731961
46746.926230	0.840206
46875.000000	0.954271
47003.073770	1.061361
47131.147541	1.150263
47259.221311	1.211376
47387.295082	1.237016
47515.368852	1.221904
47643.442623	1.163650
47771.516393	1.063127
47899.590164	0.924620
48027.663934	0.755759
48155.737705	0.567311
48283.811475	0.373418
48411.885246	0.196411
48539.959016	0.115495
48668.032787	0.201311
48796.106557	0.296321
48924.180328	0.352574
49052.254098	0.360985
49180.327869	0.320817
49308.401639	0.236538
49436.475410	0.118317
49564.549180	0.053454
49692.622951	0.198523
49820.696721	0.352975
49948.770492	0.491776
50076.844262	0.601494
50204.918033	0.672046
50332.991803	0.697287
50461.065574	0.675923
50589.139344	0.612656
50717.213115	0.520405
50845.286885	0.425692
50973.360656	0.375900
51101.434426	0.414109
51229.508197	0.520465
51357.581967	0.645738
51485.655738	0.756339
51613.729508	0.833271
51741.803279	0.866295
51869.877049	0.851562
51997.950820	0.790799
52126.024590	0.691045
52254.098361	0.564968
52382.172131	0.432855
52510.245902	0.328562
52638.319672	0.298193
52766.393443	0.345654
52894.467213	0.418493
53022.540984	0.476133
53150.614754	0.500144
53278.688525	0.483871
53406.762295	0.427746
53534.836066	0.337985
53662.909836	0.228549
53790.983607	0.139978
53919.057377	0.172783
54047.131148	0.288804
54175.204918	0.409732
54303.278689	0.512415
54431.352459	0.587580
54559.426230	0.631685
54687.500000	0.645753
54815.573770	0.635169
54943.647541	0.609398
55071.721311	0.580976
55199.795082	0.562759
55327.868852	0.563049
55455.942623	0.581374
55584.016393	0.609333
55712.090164	0.635641
55840.163934	0.650596
55968.237705	0.648028
56096.311475	0.625586
56224.385246	0.584377
56352.459016	0.528416
56480.532787	0.464061
56608.606557	0.399429
56736.680328	0.343552
56864.754098	0.304496
56992.827869	0.285854
57120.901639	0.284216
57248.975410	0.291752
57377.049180	0.301322
57505.122951	0.308900
57633.196721	0.313189
57761.270492	0.314337
57889.344262	0.312778
58017.418033	0.308610
58145.491803	0.301610
58273.565574	0.291796
58401.639344	0.280260
58529.713115	0.269845
58657.786885	0.265095
58785.860656	0.270693
58913.934426	0.288634
59042.008197	0.316554
59170.081967	0.348879
59298.155738	0.379112
59426.229508	0.401366
59554.303279	0.410982
59682.377049	0.404723
59810.450820	0.380790
59938.524590	0.338754
60066.598361	0.279427
60194.672131	0.204672
60322.745902	0.117188
60450.819672	0.020559
60578.893443	0.082946
60706.967213	0.188027
60835.040984	0.291769
60963.114754	0.390761
61091.188525	0.481969
61219.262295	0.562790
61347.336066	0.631114
61475.409836	0.685369
61603.483607	0.724550
61731.557377	0.748245
61859.631148	0.756612
61987.704918	0.750352
62115.778689	0.730631
62243.852459	0.698989
62371.926230	0.657256
62500.000000	0.607506
62628.073770	0.552099
62756.147541	0.493872
62884.221311	0.436503
63012.295082	0.384996
63140.368852	0.345867
63268.442623	0.325874
63396.516393	0.328408
63524.590164	0.350395
63652.663934	0.384088
63780.737705	0.421372
63908.811475	0.456251
64036.885246	0.485398
64164.959016	0.508008
64293.032787	0.525459
64421.106557	0.540678
64549.180328	0.557060
64677.254098	0.577032
64805.327869	0.600788
64933.401639	0.625872
65061.475410	0.647822
65189.549180	0.661459
65317.622951	0.662273
65445.696721	0.647585
65573.770492	0.617463
65701.844262	0.575450
65829.918033	0.529020
65957.991803	0.489177
66086.065574	0.467561
66214.139344	0.470123
66342.213115	0.492015
66470.286885	0.520102
66598.360656	0.539702
66726.434426	0.538896
66854.508197	0.509807
66982.581967	0.448658
67110.655738	0.355694
67238.729508	0.235851
67366.803279	0.108910
67494.877049	0.124493
67622.950820	0.279800
67751.024590	0.447472
67879.098361	0.608010
68007.172131	0.752780
68135.245902	0.876634
68263.319672	0.977419
68391.393443	1.055780
68519.467213	1.114583
68647.540984	1.157806
68775.614754	1.189044
68903.688525	1.210008
69031.762295	1.219577
69159.836066	1.213809
69287.909836	1.186889
69415.983607	1.132636
69544.057377	1.046055
69672.131148	0.924588
69800.204918	0.768917
69928.278689	0.583364
70056.352459	0.376317
70184.426230	0.165133
70312.500000	0.114375
70440.573770	0.305611
70568.647541	0.491545
70696.721311	0.645383
70824.795082	0.756843
70952.868852	0.820308
71080.942623	0.834595
71209.016393	0.803434
71337.090164	0.736172
71465.163934	0.648988
71593.237705	0.566539
71721.311475	0.520285
71849.385246	0.532657
71977.459016	0.595736
72105.532787	0.681060
72233.606557	0.763228
72361.680328	0.827349
72489.754098	0.867678
72617.827869	0.885490
72745.901639	0.887229
72873.975410	0.882223
73002.049180	0.879450
73130.122951	0.883844
73258.196721	0.893879
73386.270492	0.902071
73514.344262	0.897876
73642.418033	0.871033
73770.491803	0.813944
73898.565574	0.722865
74026.639344	0.598264
74154.713115	0.444735
74282.786885	0.271256
74410.860656	0.101085
74538.934426	0.137514
74667.008197	0.306168
74795.081967	0.461646
74923.155738	0.587875
75051.229508	0.676943
75179.303279	0.724653
75307.377049	0.730264
75435.450820	0.696389
75563.524590	0.628739
75691.598361	0.535692
75819.672131	0.427849
75947.745902	0.317887
76075.819672	0.221516
76203.893443	0.159544
76331.967213	0.146288
76460.040984	0.159213
76588.114754	0.165945
76716.188525	0.152226
76844.262295	0.115405
76972.336066	0.058916
77100.409836	0.023888
77228.483607	0.098381
77356.557377	0.177700
77484.631148	0.249222
77612.704918	0.305685
77740.778689	0.341595
77868.852459	0.353475
77996.926230	0.340097
78125.000000	0.302541
78253.073770	0.244129
78381.147541	0.170438
78509.221311	0.091194
78637.295082	0.050638
78765.368852	0.110886
78893.442623	0.182993
79021.516393	0.243133
79149.590164	0.285513
79277.663934	0.307905
79405.737705	0.310719
79533.811475	0.297119
79661.885246	0.273447
79789.959016	0.249684
79918.032787	0.238345
80046.106557	0.248483
80174.180328	0.278354
80302.254098	0.317985
80430.327869	0.356935
80558.401639	0.387594
80686.475410	0.405190
80814.549180	0.407198
80942.622951	0.392855
81070.696721	0.362823
81198.770492	0.318957
81326.844262	0.264266
81454.918033	0.203364
81582.991803	0.144764
81711.065574	0.108810
81839.139344	0.123770
81967.213115	0.175135
82095.286885	0.235086
82223.360656	0.291431
82351.434426	0.338495
82479.508197	0.372795
82607.581967	0.391972
82735.655738	0.394569
82863.729508	0.380028
82991.803279	0.348749
83119.877049	0.302127
83247.950820	0.242574
83376.024590	0.173640
83504.098361	0.101028
83632.172131	0.046000
83760.245902	0.080442
83888.319672	0.146064
84016.393443	0.206994
84144.467213	0.257486
84272.540984	0.295648
84400.614754	0.321610
84528.688525	0.337447
84656.762295	0.347149
84784.836066	0.356203
84912.909836	0.370389
85040.983607	0.393822
85169.057377	0.427324
85297.131148	0.468356
85425.204918	0.512344
85553.278689	0.554196
85681.352459	0.589286
85809.426230	0.613899
85937.500000	0.625374
86065.573770	0.622085
86193.647541	0.603354
86321.721311	0.569329
86449.795082	0.520865
86577.868852	0.459465
86705.942623	0.387339
86834.016393	0.307823
86962.090164	0.226955
87090.163934	0.159408
87218.237705	0.140827
87346.311475	0.189235
87474.385246	0.267593
87602.459016	0.350077
87730.532787	0.425836
87858.606557	0.488685
87986.680328	0.534192
88114.754098	0.559076
88242.827869	0.561198
88370.901639	0.539691
88498.975410	0.495097
88627.049180	0.429450
88755.122951	0.346305
88883.196721	0.250808
89011.270492	0.150593
89139.344262	0.066942
89267.418033	0.091284
89395.491803	0.170996
89523.565574	0.242339
89651.639344	0.295483
89779.713115	0.327423
89907.786885	0.338426
90035.860656	0.332124
90163.934426	0.316138
90292.008197	0.302286
90420.081967	0.303924
90548.155738	0.328387
90676.229508	0.371525
90804.303279	0.422084
90932.377049	0.468608
91060.450820	0.502339
91188.524590	0.517610
91316.598361	0.511661
91444.672131	0.484386
91572.745902	0.438030
91700.819672	0.376764
91828.893443	0.306087
91956.967213	0.232025
92085.040984	0.160107
92213.114754	0.094371
92341.188525	0.039930
92469.262295	0.046398
92597.336066	0.108532
92725.409836	0.188354
92853.483607	0.285096
92981.557377	0.396993
93109.631148	0.519062
93237.704918	0.643825
93365.778689	0.762305
93493.852459	0.865001
93621.926230	0.942814
93750.000000	0.987879
93878.073770	0.994294
94006.147541	0.958673
94134.221311	0.880509
94262.295082	0.762311
94390.368852	0.609509
94518.442623	0.430169
94646.516393	0.234778
94774.590164	0.045237
94902.663934	0.168556
95030.737705	0.344658
95158.811475	0.493915
95286.885246	0.606990
95414.959016	0.677827
95543.032787	0.703369
95671.106557	0.683649
95799.180328	0.621701
95927.254098	0.523261
96055.327869	0.396282
96183.401639	0.250299
96311.475410	0.095966
96439.549180	0.060011
96567.622951	0.201476
96695.696721	0.324987
96823.770492	0.423864
96951.844262	0.494653
97079.918033	0.536661
97207.991803	0.551904
97336.065574	0.544865
97464.139344	0.521964
97592.213115	0.490654
97720.286885	0.457993
97848.360656	0.428794
97976.434426	0.404040
98104.508197	0.380714
98232.581967	0.353422
98360.655738	0.316715
98488.729508	0.266817
98616.803279	0.202417
98744.877049	0.124959
98872.950820	0.042236
99001.024590	0.067778
99129.098361	0.160183
99257.172131	0.249136
99385.245902	0.326538
99513.319672	0.386438
99641.393443	0.423979
99769.467213	0.435574
99897.540984	0.419101
100025.614754	0.374042
100153.688525	0.301562
100281.762295	0.204577
100409.836066	0.088626
100537.909836	0.054282
100665.983607	0.191142
100794.057377	0.332769
100922.131148	0.467987
101050.204918	0.588735
101178.278689	0.687647
101306.352459	0.758327
101434.426230	0.795735
101562.500000	0.796561
101690.573770	0.759519
101818.647541	0.685573
101946.721311	0.578108
102074.795082	0.443265
102202.868852	0.291668
102330.942623	0.152851
102459.016393	0.157304
102587.090164	0.299252
102715.163934	0.452729
102843.237705	0.589800
102971.311475	0.700005
103099.385246	0.777309
103227.459016	0.818579
103355.532787	0.823321
103483.606557	0.793528
103611.680328	0.733429
103739.754098	0.649110
103867.827869	0.548009
103995.901639	0.438356
104123.975410	0.328625
104252.049180	0.227180
104380.122951	0.142658
104508.196721	0.086544
104636.270492	0.071629
104764.344262	0.081888
104892.418033	0.091559
105020.491803	0.095777
105148.565574	0.099873
105276.639344	0.110176
105404.713115	0.127360
105532.786885	0.146313
105660.860656	0.160613
105788.934426	0.165258
105917.008197	0.157441
106045.081967	0.136815
106173.155738	0.106087
106301.229508	0.073751
106429.303279	0.062725
106557.377049	0.088118
106685.450820	0.125041
106813.524590	0.155557
106941.598361	0.171197
107069.672131	0.167118
107197.745902	0.141628
107325.819672	0.099983
107453.893443	0.079894
107581.967213	0.144360
107710.040984	0.255804
107838.114754	0.386774
107966.188525	0.526531
108094.262295	0.667029
108222.336066	0.800965
108350.409836	0.921704
108478.483607	1.023492
108606.557377	1.101672
108734.631148	1.152820
108862.704918	1.174791
108990.778689	1.166679
109118.852459	1.128722
109246.926230	1.062174
109375.000000	0.969184
109503.073770	0.852702
109631.147541	0.716433
109759.221311	0.564868
109887.295082	0.403497
110015.368852	0.240070
110143.442623	0.098769
110271.516393	0.132092
110399.590164	0.266757
110527.663934	0.393585
110655.737705	0.498923
110783.811475	0.577161
110911.885246	0.625120
111039.959016	0.641643
111168.032787	0.627705
111296.106557	0.586644
111424.180328	0.524509
111552.254098	0.450799
111680.327869	0.379866
111808.401639	0.331843
111936.475410	0.325641
112064.549180	0.360972
112192.622951	0.418392
112320.696721	0.478276
112448.770492	0.528344
112576.844262	0.562251
112704.918033	0.577611
112832.991803	0.574828
112961.065574	0.556411
113089.139344	0.526503
113217.213115	0.490535
113345.286885	0.454890
113473.360656	0.426361
113601.434426	0.411021
113729.508197	0.412414
113857.581967	0.430158
113985.655738	0.460332
114113.729508	0.497265
114241.803279	0.535122
114369.877049	0.568642
114497.950820	0.593369
114626.024590	0.605759
114754.098361	0.603336
114882.172131	0.584865
115010.245902	0.550505
115138.319672	0.501885
115266.393443	0.442053
115394.467213	0.375284
115522.540984	0.306767
115650.614754	0.242192
115778.688525	0.187403
115906.762295	0.148360
116034.836066	0.131328
116162.909836	0.141139
116290.983607	0.177832
116419.057377	0.238169
116547.131148	0.318232
116675.204918	0.413212
116803.278689	0.516962
116931.352459	0.622196
117059.426230	0.721009
117187.500000	0.805526
117315.573770	0.868557
117443.647541	0.904212
117571.721311	0.908407
117699.795082	0.879239
117827.868852	0.817192
117955.942623	0.725189
118084.016393	0.608507
118212.090164	0.474724
118340.163934	0.334272
118468.237705	0.204739
118596.311475	0.134896
118724.385246	0.181901
118852.459016	0.268499
118980.532787	0.343390
119108.606557	0.393624
119236.680328	0.415592
119364.754098	0.409534
119492.827869	0.378197
119620.901639	0.326166
119748.975410	0.259280
119877.049180	0.184051
120005.122951	0.107062
120133.196721	0.034418
120261.270492	0.028793
120389.344262	0.078776
120517.418033	0.113507
120645.491803	0.132825
120773.565574	0.138705
120901.639344	0.135598
121029.713115	0.130783
121157.786885	0.133303
121285.860656	0.149131
121413.934426	0.176875
121542.008197	0.210767
121670.081967	0.245157
121798.155738	0.275793
121926.229508	0.299566
122054.303279	0.314080
122182.377049	0.317364
122310.450820	0.307759
122438.524590	0.284012
122566.598361	0.245605
122694.672131	0.193579
122822.745902	0.133494
122950.819672	0.091158
123078.893443	0.125785
123206.967213	0.213150
123335.040984	0.314080
123463.114754	0.414882
123591.188525	0.507410
123719.262295	0.584999
123847.336066	0.642063
123975.409836	0.674327
124103.483607	0.679174
124231.557377	0.655959
124359.631148	0.606272
124487.704918	0.534197
124615.778689	0.446791
124743.852459	0.355372
124871.926230	0.278682
125000.000000	0.244242
125128.073770	0.265988
125256.147541	0.320772
125384.221311	0.379448
125512.295082	0.425673
125640.368852	0.451993
125768.442623	0.455945
125896.516393	0.438386
126024.590164	0.402748
126152.663934	0.354614
126280.737705	0.301465
126408.811475	0.252414
126536.885246	0.217053
126664.959016	0.201373
126793.032787	0.202525
126921.106557	0.210969
127049.180328	0.218094
127177.254098	0.219765
127305.327869	0.215969
127433.401639	0.209500
127561.475410	0.204284
127689.549180	0.203199
127817.622951	0.206164
127945.696721	0.210032
128073.770492	0.210280
128201.844262	0.202944
128329.918033	0.185913
128457.991803	0.160081
128586.065574	0.131821
128714.139344	0.118185
128842.213115	0.140454
128970.286885	0.195180
129098.360656	0.266033
129226.434426	0.342515
129354.508197	0.418604
129482.581967	0.490386
129610.655738	0.555185
129738.729508	0.611214
129866.803279	0.657358
129994.877049	0.692974
130122.950820	0.717710
130251.024590	0.731355
130379.098361	0.733751
130507.172131	0.724789
130635.245902	0.704481
130763.319672	0.673095
130891.393443	0.631345
131019.467213	0.580635
131147.540984	0.523406
131275.614754	0.463661
131403.688525	0.407773
131531.762295	0.365223
131659.836066	0.347395
131787.909836	0.361613
131915.983607	0.404924
132044.057377	0.466968
132172.131148	0.536886
132300.204918	0.606192
132428.278689	0.668677
132556.352459	0.719842
132684.426230	0.756559
132812.500000	0.776967
132940.573770	0.780469
133068.647541	0.767730
133196.721311	0.740613
133324.795082	0.702000
133452.868852	0.655474
133580.942623	0.604887
133709.016393	0.553894
133837.090164	0.505657
133965.163934	0.462960
134093.237705	0.428948
134221.311475	0.408186
134349.385246	0.406840
134477.459016	0.430415
134605.532787	0.479918
134733.606557	0.550466
134861.680328	0.633326
134989.754098	0.718439
135117.827869	0.795841
135245.901639	0.856368
135373.975410	0.892158
135502.049180	0.897126
135630.122951	0.867418
135758.196721	0.801781
135886.270492	0.701844
136014.344262	0.572394
136142.418033	0.422141
136270.491803	0.267921
136398.565574	0.162985
136526.639344	0.216780
136654.713115	0.350350
136782.786885	0.481174
136910.860656	0.587369
137038.934426	0.660434
137167.008197	0.697279
137295.081967	0.699045
137423.155738	0.670943
137551.229508	0.622168
137679.303279	0.565459
137807.377049	0.515365
137935.450820	0.483713
138063.524590	0.472982
138191.598361	0.473971
138319.672131	0.471640
138447.745902	0.452877
138575.819672	0.411121
138703.893443	0.350036
138831.967213	0.292130
138960.040984	0.289808
139088.114754	0.379666
139216.188525	0.531154
139344.262295	0.705697
139472.336066	0.878990
139600.409836	1.034176
139728.483607	1.158341
139856.557377	1.241731
139984.631148	1.277807
140112.704918	1.263432
140240.778689	1.198971
140368.852459	1.088200
140496.926230	0.938040
140625.000000	0.758159
140753.073770	0.560667
140881.147541	0.360841
141009.221311	0.186286
141137.295082	0.142240
141265.368852	0.251864
141393.442623	0.364327
141521.516393	0.443937
141649.590164	0.483306
141777.663934	0.481818
141905.737705	0.442876
142033.811475	0.373220
142161.885246	0.282922
142289.959016	0.187400
142418.032787	0.119715
142546.106557	0.134535
142674.180328	0.195691
142802.254098	0.249144
142930.327869	0.278203
143058.401639	0.280113
143186.475410	0.263098
143314.549180	0.252411
143442.622951	0.287867
143570.696721	0.385288
143698.770492	0.525097
143826.844262	0.683397
143954.918033	0.841503
144082.991803	0.984302
144211.065574	1.099202
144339.139344	1.176126
144467.213115	1.207916
144595.286885	1.190855
144723.360656	1.125225
144851.434426	1.015994
144979.508197	0.874059
145107.581967	0.719175
145235.655738	0.586335
145363.729508	0.528822
145491.803279	0.580032
145619.877049	0.706140
145747.950820	0.852704
145876.024590	0.983930
146004.098361	1.079669
146132.172131	1.128803
146260.245902	1.126201
146388.319672	1.071398
146516.393443	0.967846
146644.467213	0.822251
146772.540984	0.643884
146900.614754	0.443908
147028.688525	0.235290
147156.762295	0.054313
147284.836066	0.184750
147412.909836	0.357445
147540.983607	0.503866
147669.057377	0.617464
147797.131148	0.695733
147925.204918	0.738835
148053.278689	0.749075
148181.352459	0.730302
148309.426230	0.687215
148437.500000	0.624635
148565.573770	0.546846
148693.647541	0.457160
148821.721311	0.357788
148949.795082	0.250084
149077.868852	0.135200
149205.942623	0.022044
149334.016393	0.116303
149462.090164	0.244352
149590.163934	0.371315
149718.237705	0.492305
149846.311475	0.602389
149974.385246	0.696765
150102.459016	0.771197
150230.532787	0.822404
150358.606557	0.848344
