# Freq(Hz)	Amp(mV)
0.000000	6.837367
124.843696	7.180849
249.687391	8.125669
374.531087	9.493015
499.374783	11.117453
624.218478	12.874616
749.062174	14.668467
873.905870	16.417148
998.749566	18.045767
1123.593261	19.484482
1248.436957	20.669447
1373.280653	21.544934
1498.124348	22.065669
1622.968044	22.198784
1747.811740	21.925125
1872.655435	21.239752
1997.499131	20.151652
2122.342827	18.682721
2247.186522	16.866153
2372.030218	14.744404
2496.873914	12.366956
2621.717610	9.788139
2746.561305	7.065661
2871.405001	4.262890
2996.248697	1.502193
3121.092392	1.639553
3245.936088	4.344911
3370.779784	7.021573
3495.623479	9.576282
3620.467175	11.971377
3745.310871	14.178824
3870.154566	16.175406
3994.998262	17.940940
4119.841958	19.457057
4244.685654	20.706265
4369.529349	21.671330
4494.373045	22.335053
4619.216741	22.680502
4744.060436	22.691710
4868.904132	22.354779
4993.747828	21.659284
5118.591523	20.599821
5243.435219	19.177528
5368.278915	17.401394
5493.122610	15.289211
5617.966306	12.868041
5742.810002	10.174153
5867.653698	7.252386
5992.497393	4.155047
6117.341089	0.941447
6242.184785	2.332488
6367.028480	5.595138
6491.872176	8.787024
6616.715872	11.846995
6741.559567	14.718346
6866.403263	17.350032
6991.246959	19.697662
7116.090655	21.724078
7240.934350	23.399504
7365.778046	24.701331
7490.621742	25.613609
7615.465437	26.126375
7740.309133	26.234907
7865.152829	25.939034
7989.996524	25.242581
8114.840220	24.153027
8239.683916	22.681388
8364.527611	20.842338
8489.371307	18.654507
8614.215003	16.140909
8739.058699	13.329411
8863.902394	10.253189
8988.746090	6.951242
9113.589786	3.470272
9238.433481	0.313780
9363.277177	3.868066
9488.120873	7.583390
9612.964568	11.261842
9737.808264	14.838370
9862.651960	18.249405
9987.495655	21.432847
10112.339351	24.329318
10237.183047	26.883481
10362.026743	29.045255
10486.870438	30.770832
10611.714134	32.023464
10736.557830	32.774002
10861.401525	33.001210
10986.245221	32.691865
11111.088917	31.840707
11235.932612	30.450281
11360.776308	28.530720
11485.620004	26.099522
11610.463699	23.181342
11735.307395	19.807817
11860.151091	16.017417
11984.994787	11.855325
12109.838482	7.373399
12234.682178	2.631807
12359.525874	2.323940
12484.369569	7.393578
12609.213265	12.523092
12734.056961	17.632182
12858.900656	22.640521
12983.744352	27.466436
13108.588048	32.027981
13233.431743	36.244195
13358.275439	40.036381
13483.119135	43.329345
