# Time(ns)	Voltage(mV)-A	Voltage(mV)-B
0.000000 -16.052736 2.990814
192.000000 -2.014222 7.934812
384.000000 -2.014222 4.943999
576.000000 -11.047700 4.943999
768.000000 -5.005036 4.943999
960.000000 -4.028443 2.990814
1152.000000 -3.051851 0.976592
1344.000000 -6.042665 1.953185
1536.000000 -7.019257 10.925626
1728.000000 -1.037629 6.958220
1920.000000 -6.042665 7.934812
2112.000000 -8.056887 10.925626
2304.000000 -8.056887 5.981628
2496.000000 -10.010071 8.972442
2688.000000 -10.010071 4.943999
2880.000000 -6.042665 0.976592
3072.000000 -10.010071 1.953185
3264.000000 -9.033479 3.967406
3456.000000 -10.010071 2.990814
3648.000000 0.000000 8.972442
3840.000000 -4.028443 2.990814
4032.000000 -8.056887 9.949034
4224.000000 -4.028443 2.990814
4416.000000 -12.024293 4.943999
4608.000000 -7.019257 4.943999
4800.000000 -7.019257 9.949034
4992.000000 -7.019257 0.000000
5184.000000 -9.033479 4.943999
5376.000000 -9.033479 2.990814
5568.000000 -11.047700 0.976592
5760.000000 -13.000885 2.990814
5952.000000 -4.028443 3.967406
6144.000000 -8.056887 6.958220
6336.000000 -13.000885 6.958220
6528.000000 -2.014222 2.990814
6720.000000 -10.010071 8.972442
6912.000000 -4.028443 5.981628
7104.000000 -8.056887 4.943999
7296.000000 -8.056887 3.967406
7488.000000 -3.051851 2.990814
7680.000000 -5.005036 0.000000
7872.000000 -4.028443 5.981628
8064.000000 -5.005036 2.990814
8256.000000 -7.019257 10.925626
8448.000000 -8.056887 5.981628
8640.000000 -12.024293 5.981628
8832.000000 0.976592 0.976592
9024.000000 -4.028443 1.953185
9216.000000 -3.051851 8.972442
9408.000000 -12.024293 4.943999
9600.000000 -7.019257 4.943999
9792.000000 -8.056887 2.990814
9984.000000 -11.047700 2.990814
10176.000000 -9.033479 2.990814
10368.000000 0.000000 9.949034
10560.000000 -5.005036 10.925626
10752.000000 -5.005036 1.953185
10944.000000 -7.019257 10.925626
11136.000000 -12.024293 3.967406
11328.000000 -7.019257 7.934812
11520.000000 -7.019257 6.958220
11712.000000 -7.019257 6.958220
11904.000000 -10.010071 3.967406
12096.000000 0.000000 3.967406
12288.000000 -7.019257 4.943999
12480.000000 -6.042665 6.958220
12672.000000 -6.042665 6.958220
12864.000000 -9.033479 7.934812
13056.000000 -7.019257 4.943999
13248.000000 -13.000885 3.967406
13440.000000 -4.028443 2.990814
13632.000000 -8.056887 5.981628
13824.000000 -16.052736 1.953185
14016.000000 -5.005036 2.990814
14208.000000 -9.033479 3.967406
14400.000000 -8.056887 5.981628
14592.000000 -12.024293 1.953185
14784.000000 -8.056887 6.958220
14976.000000 -5.005036 3.967406
15168.000000 -8.056887 4.943999
15360.000000 -8.056887 2.990814
15552.000000 -11.047700 1.953185
15744.000000 -9.033479 6.958220
15936.000000 -6.042665 2.990814
16128.000000 -3.051851 5.981628
16320.000000 -6.042665 -2.014222
16512.000000 -11.047700 3.967406
16704.000000 -4.028443 0.000000
16896.000000 -8.056887 8.972442
17088.000000 -4.028443 7.934812
17280.000000 -7.019257 3.967406
17472.000000 -5.005036 2.990814
17664.000000 -5.005036 3.967406
17856.000000 -7.019257 0.000000
18048.000000 -5.005036 0.976592
18240.000000 -16.052736 1.953185
18432.000000 -3.051851 0.000000
18624.000000 -5.005036 -2.014222
18816.000000 -13.000885 4.943999
19008.000000 -7.019257 0.976592
19200.000000 -7.019257 0.000000
19392.000000 -9.033479 2.990814
19584.000000 -8.056887 5.981628
19776.000000 -8.056887 1.953185
19968.000000 -7.019257 4.943999
20160.000000 -6.042665 2.990814
20352.000000 -14.038514 2.990814
20544.000000 -3.051851 2.990814
20736.000000 -5.005036 3.967406
20928.000000 -8.056887 3.967406
21120.000000 -7.019257 3.967406
21312.000000 -8.056887 4.943999
21504.000000 -5.005036 1.953185
21696.000000 -1.037629 5.981628
21888.000000 -12.024293 7.934812
22080.000000 -10.010071 1.953185
22272.000000 -13.000885 0.976592
22464.000000 -11.047700 4.943999
22656.000000 -12.024293 8.972442
22848.000000 -7.019257 8.972442
23040.000000 0.000000 4.943999
23232.000000 -13.000885 5.981628
23424.000000 -7.019257 6.958220
23616.000000 -9.033479 0.000000
23808.000000 -6.042665 4.943999
24000.000000 -7.019257 7.934812
24192.000000 -10.010071 0.000000
24384.000000 -12.024293 3.967406
24576.000000 -5.005036 5.981628
24768.000000 0.000000 2.990814
24960.000000 -10.010071 8.972442
25152.000000 -7.019257 1.953185
25344.000000 -12.024293 3.967406
25536.000000 -8.056887 2.990814
25728.000000 -1.037629 1.953185
25920.000000 -7.019257 5.981628
26112.000000 -8.056887 2.990814
26304.000000 -14.038514 0.976592
26496.000000 -5.005036 6.958220
26688.000000 -9.033479 7.934812
26880.000000 0.000000 4.943999
27072.000000 -2.014222 0.976592
27264.000000 -8.056887 3.967406
27456.000000 -11.047700 7.934812
27648.000000 -4.028443 1.953185
27840.000000 -6.042665 0.976592
28032.000000 -3.051851 4.943999
28224.000000 -7.019257 4.943999
28416.000000 -10.010071 5.981628
28608.000000 -11.047700 3.967406
28800.000000 -11.047700 5.981628
28992.000000 -5.005036 3.967406
29184.000000 -4.028443 0.976592
29376.000000 -8.056887 5.981628
29568.000000 -7.019257 4.943999
29760.000000 -6.042665 5.981628
29952.000000 -7.019257 3.967406
30144.000000 -8.056887 4.943999
30336.000000 -9.033479 4.943999
30528.000000 -10.010071 6.958220
