# Time(us)	Voltage(mV)
0.000000	-519.882809
1.232000	-478.530229
2.464000	-413.373211
3.696000	-355.998413
4.928000	-299.233985
6.160000	-245.368816
7.392000	-200.811792
8.624000	-154.271065
9.856000	-105.288858
11.088000	-92.623676
12.320000	-60.426649
13.552000	-39.368877
14.784000	-22.888882
16.016000	-33.570360
17.248000	-35.859249
18.480000	-18.616291
19.712000	-47.914060
20.944000	-62.868130
22.176000	-74.312571
23.408000	-114.749596
24.640000	-151.219214
25.872000	-202.948088
27.104000	-234.382153
28.336000	-292.672506
29.568000	-337.534715
30.800000	-391.094699
32.032000	-457.167272
33.264000	-509.811701
34.496000	-554.521317
35.728000	-629.444258
36.960000	-692.464980
38.192000	-753.807184
39.424000	-786.309397
40.656000	-827.661977
41.888000	-880.764183
43.120000	-916.318247
44.352000	-952.482681
45.584000	-973.998230
46.816000	-995.056001
48.048000	-1004.669332
49.280000	-1013.214515
50.512000	-1024.201178
51.744000	-1043.733024
52.976000	-1002.990814
54.208000	-985.442671
55.440000	-964.537492
56.672000	-929.441206
57.904000	-897.854549
59.136000	-856.196783
60.368000	-805.688650
61.600000	-775.322733
62.832000	-700.094607
64.064000	-639.515366
65.296000	-597.857601
66.528000	-540.330210
67.760000	-457.777642
68.992000	-433.057649
70.224000	-363.780633
71.456000	-319.376202
72.688000	-256.050295
73.920000	-211.798456
75.152000	-162.511063
76.384000	-137.333293
77.616000	-92.471084
78.848000	-65.614795
80.080000	-38.911100
81.312000	-38.300729
82.544000	-18.311106
83.776000	-14.496292
85.008000	-10.071108
86.240000	-23.804437
87.472000	-54.017762
88.704000	-88.656270
89.936000	-108.645894
91.168000	-142.674032
92.400000	-183.568834
93.632000	-231.940672
94.864000	-276.497696
96.096000	-339.671010
97.328000	-384.380627
98.560000	-457.319864
99.792000	-495.468001
101.024000	-549.180578
102.256000	-612.811670
103.488000	-661.946471
104.720000	-720.694601
105.952000	-763.725700
107.184000	-823.084201
108.416000	-867.641224
109.648000	-934.324168
110.880000	-932.035279
112.112000	-978.118229
113.344000	-990.936003
114.576000	-1004.669332
115.808000	-1015.655995
117.040000	-1015.808588
118.272000	-1013.824885
119.504000	-1013.214515
120.736000	-986.663411
121.968000	-968.352306
123.200000	-932.645650
124.432000	-896.481216
125.664000	-853.907895
126.896000	-829.950865
128.128000	-759.147923
129.360000	-714.285714
130.592000	-663.167211
131.824000	-617.084262
133.056000	-533.005768
134.288000	-490.737632
135.520000	-423.291726
136.752000	-382.091739
137.984000	-322.275460
139.216000	-270.851772
140.448000	-227.362896
141.680000	-183.721427
142.912000	-143.436995
144.144000	-105.899228
145.376000	-79.348125
146.608000	-53.865169
147.840000	-32.502213
149.072000	-26.856288
150.304000	-18.005921
151.536000	-28.382214
152.768000	-36.622211
154.000000	-46.235542
155.232000	-82.857753
156.464000	-110.629597
157.696000	-132.297739
158.928000	-185.857723
160.160000	-232.551042
161.392000	-288.399915
162.624000	-327.311014
163.856000	-377.971740
165.088000	-424.817652
166.320000	-506.302072
167.552000	-536.515397
168.784000	-604.266488
170.016000	-664.540544
171.248000	-716.269417
172.480000	-777.916807
173.712000	-825.678274
174.944000	-851.161229
176.176000	-899.685659
177.408000	-938.596759
178.640000	-974.303415
179.872000	-994.140446
181.104000	-1019.470809
182.336000	-1016.113773
183.568000	-1024.201178
184.800000	-1024.201178
186.032000	-1000.091556
187.264000	-994.903409
188.496000	-968.657491
189.728000	-944.090091
190.960000	-898.617512
192.192000	-864.741966
193.424000	-817.896054
194.656000	-782.189398
195.888000	-724.356822
197.120000	-671.712394
198.352000	-614.947966
199.584000	-563.829463
200.816000	-490.737632
202.048000	-425.733207
203.280000	-382.854701
204.512000	-319.071017
205.744000	-286.416211
206.976000	-219.885861
208.208000	-180.974761
209.440000	-135.349590
210.672000	-101.931822
211.904000	-66.682943
213.136000	-44.557024
214.368000	-33.875546
215.600000	-42.268136
216.832000	-14.496292
218.064000	-14.496292
219.296000	-521.256142
220.528000	-540.482803
221.760000	-524.155400
222.992000	-523.239845
224.224000	-516.220588
225.456000	-516.830958
226.688000	-532.700583
227.920000	-525.986511
229.152000	-535.599841
230.384000	-516.830958
231.616000	-525.376141
232.848000	-506.454665
234.080000	-508.590960
235.312000	-527.207251
236.544000	-519.119846
237.776000	-530.869472
239.008000	-501.266518
240.240000	-527.054659
241.472000	-520.950957
242.704000	-509.659108
243.936000	-523.239845
245.168000	-525.376141
246.400000	-526.139103
247.632000	-523.850215
248.864000	-505.844295
250.096000	-520.035401
251.328000	-521.256142
252.560000	-513.321329
253.792000	-514.236885
255.024000	-512.863552
256.256000	-525.223548
257.488000	-512.405774
258.720000	-528.885769
259.952000	-522.171697
261.184000	-515.305033
262.416000	-529.953917
263.648000	-515.762810
264.880000	-524.155400
266.112000	-515.457625
267.344000	-521.103549
268.576000	-516.983551
269.808000	-498.977630
271.040000	-524.460585
272.272000	-524.155400
273.504000	-516.220588
274.736000	-526.749474
275.968000	-519.882809
277.200000	-526.749474
278.432000	-520.645772
279.664000	-517.136143
280.896000	-525.376141
282.128000	-516.983551
283.360000	-511.490219
284.592000	-536.820582
285.824000	-517.746513
287.056000	-520.493179
288.288000	-515.152440
289.520000	-527.665029
290.752000	-511.490219
291.984000	-525.833918
293.216000	-537.125767
294.448000	-530.564287
295.680000	-513.626514
296.912000	-531.937620
298.144000	-517.136143
299.376000	-517.136143
300.608000	-518.356883
301.840000	-522.476882
303.072000	-521.408734
304.304000	-509.506516
305.536000	-516.220588
306.768000	-517.899106
308.000000	-528.885769
309.232000	-511.490219
310.464000	-504.165777
311.696000	-520.493179
312.928000	-520.798364
314.160000	-523.697623
315.392000	-1005.737480
316.624000	-1017.334513
317.856000	-1019.318216
319.088000	-997.192297
320.320000	-998.718223
321.552000	-956.602680
322.784000	-944.395276
324.016000	-913.266396
325.248000	-873.134556
326.480000	-821.253090
327.712000	-791.497543
328.944000	-735.496078
330.176000	-681.783502
331.408000	-631.275369
332.640000	-573.595386
333.872000	-509.353923
335.104000	-445.722831
336.336000	-384.228034
337.568000	-332.041383
338.800000	-276.802881
340.032000	-236.976226
341.264000	-184.484390
342.496000	-130.466628
343.728000	-114.597003
344.960000	-78.127384
346.192000	-46.845912
347.424000	-30.060732
348.656000	-29.450362
349.888000	-23.346660
351.120000	-26.551103
352.352000	-39.521470
353.584000	-52.949614
354.816000	-68.819239
356.048000	-99.795526
357.280000	-127.414777
358.512000	-172.276986
359.744000	-200.354015
360.976000	-249.946593
362.208000	-294.351024
363.440000	-364.238411
364.672000	-429.395428
365.904000	-470.595416
367.136000	-517.136143
368.368000	-599.383526
369.600000	-651.875362
370.832000	-703.299051
372.064000	-758.232368
373.296000	-814.233833
374.528000	-867.488632
375.760000	-903.042695
376.992000	-924.710837
378.224000	-963.469344
379.456000	-993.530076
380.688000	-998.718223
381.920000	-1015.350810
383.152000	-1024.048585
384.384000	-1015.655995
385.616000	-1007.873775
386.848000	-1003.295999
388.080000	-979.644154
389.312000	-957.365642
390.544000	-914.029359
391.776000	-889.156774
393.008000	-837.733085
394.240000	-787.224952
395.472000	-727.866451
396.704000	-686.819056
397.936000	-632.496109
399.168000	-567.796869
400.400000	-520.645772
401.632000	-456.099124
402.864000	-399.639882
404.096000	-330.820643
405.328000	-288.247322
406.560000	-244.605853
407.792000	-187.078463
409.024000	-139.469588
410.256000	-122.531816
411.488000	-68.666646
412.720000	-68.056276
413.952000	-35.248878
415.184000	-20.142216
416.416000	-16.022217
417.648000	-23.346660
418.880000	-26.703696
420.112000	-49.287393
421.344000	-59.511093
422.576000	-84.841456
423.808000	-122.074038
425.040000	-171.819208
426.272000	-214.697714
427.504000	-246.894742
428.736000	-313.272500
429.968000	-354.319895
431.200000	-420.087283
432.432000	-474.868007
433.664000	-515.762810
434.896000	-593.585009
436.128000	-631.427961
437.360000	-698.568682
438.592000	-752.739036
439.824000	-808.130131
441.056000	-835.444197
442.288000	-880.458998
443.520000	-914.792322
444.752000	-959.959716
445.984000	-986.205634
447.216000	-1000.701926
448.448000	-1015.961180
449.680000	-1035.798212
450.912000	-1022.064882
452.144000	-1022.370067
453.376000	-997.192297
454.608000	-975.371563
455.840000	-959.807123
457.072000	-919.370098
458.304000	-884.121220
459.536000	-834.833827
460.768000	-799.737541
462.000000	-746.024964
463.232000	-692.007202
464.464000	-640.278329
465.696000	-574.816126
466.928000	-530.716880
468.160000	-446.638386
469.392000	-405.285806
470.624000	-351.878414
471.856000	-301.370281
473.088000	-246.742149
474.320000	-212.714011
475.552000	-161.137730
476.784000	-122.837001
478.016000	-92.318491
479.248000	-69.734794
480.480000	-29.145177
481.712000	-27.161473
482.944000	-30.823695
484.176000	-24.872585
485.408000	-22.888882
486.640000	-41.047395
487.872000	-51.728874
489.104000	-90.334788
490.336000	-113.528855
491.568000	-168.004395
492.800000	-200.048830
494.032000	-260.017701
495.264000	-310.983612
496.496000	-348.979156
497.728000	-412.152470
498.960000	-468.764306
500.192000	-523.850215
501.424000	-576.647237
502.656000	-633.411664
503.888000	-684.987945
505.120000	-726.340526
506.352000	-783.410138
507.584000	-839.411603
508.816000	-880.001221
510.048000	-924.405652
511.280000	-959.044160
512.512000	-986.663411
513.744000	-995.056001
514.976000	-1043.580432
516.208000	-1022.522660
517.440000	-1028.931547
518.672000	-1015.655995
519.904000	-1009.399701
521.136000	-976.744896
522.368000	-959.807123
523.600000	-927.610096
524.832000	-886.867885
526.064000	-842.310862
527.296000	-791.955321
528.528000	-752.586444
529.760000	-694.906461
530.992000	-644.093142
532.224000	-583.666494
533.456000	-530.564287
534.688000	-471.053194
535.920000	-414.441359
537.152000	-354.014710
538.384000	-301.980651
539.616000	-245.826594
540.848000	-196.539201
542.080000	-162.053285
543.312000	-112.308115
544.544000	-86.367382
545.776000	-65.767388
547.008000	-45.625172
548.240000	-34.638508
549.472000	-12.512589
550.704000	-6.408887
551.936000	-10.528886
553.168000	-44.862209
554.400000	-56.154057
555.632000	-82.552568
556.864000	-117.954039
558.096000	-157.475509
559.328000	-185.399945
560.560000	-239.417707
561.792000	-292.367321
563.024000	-335.398419
564.256000	-383.159886
565.488000	-456.862087
566.720000	-516.678365
567.952000	-590.227973
569.184000	-636.005737
570.416000	-668.813135
571.648000	-743.278298
572.880000	-784.325694
574.112000	-820.642720
575.344000	-880.611591
576.576000	-911.893063
577.808000	-945.616016
579.040000	-981.627857
580.272000	-996.429334
581.504000	-1000.396741
582.736000	-1005.127110
583.968000	-1023.590808
585.200000	-1013.977477
586.432000	-999.176000
587.664000	-988.952300
588.896000	-963.316752
590.128000	-916.470840
591.360000	-898.312326
592.592000	-846.583453
593.824000	-794.091617
595.056000	-745.719779
596.288000	-708.944975
597.520000	-662.862026
598.752000	-590.838343
599.984000	-526.902066
601.216000	-462.965789
602.448000	-428.632466
603.680000	-367.442854
604.912000	-295.419172
606.144000	-248.420667
607.376000	-209.662160
608.608000	-173.955504
609.840000	-135.807367
611.072000	-82.705161
612.304000	-58.290353
613.536000	-44.404431
614.768000	-27.314066
616.000000	-14.496292
617.232000	-11.749626
618.464000	-22.888882
619.696000	-35.859249
620.928000	-44.099246
622.160000	-98.117008
623.392000	-106.814783
624.624000	-152.745140
625.856000	-185.094760
627.088000	-236.213263
628.320000	-285.348064
629.552000	-340.586566
630.784000	-389.568773
632.016000	-455.641346
633.248000	-514.236885
634.480000	-576.799829
635.712000	-609.454634
636.944000	-681.020539
638.176000	-720.999786
639.408000	-782.341990
640.640000	-832.697531
641.872000	-871.608631
643.104000	-910.061953
644.336000	-951.414533
645.568000	-978.728599
646.800000	-1004.058962
648.032000	-1018.250069
649.264000	-1029.541917
650.496000	-1030.762658
651.728000	-1019.013031
652.960000	-1014.740440
654.192000	-992.309336
655.424000	-965.758232
656.656000	-932.798242
657.888000	-893.124180
659.120000	-863.673818
660.352000	-822.016053
661.584000	-763.115329
662.816000	-709.402753
664.048000	-666.066469
665.280000	-601.367229
666.512000	-529.190954
667.744000	-487.685781
668.976000	-430.921354
670.208000	-375.072481
671.440000	-297.708060
672.672000	-255.287332
673.904000	-218.359935
675.136000	-160.527360
676.368000	-129.551073
677.600000	-100.100711
678.832000	-73.397015
680.064000	-40.284433
681.296000	-32.044435
682.528000	-32.197027
683.760000	-22.278512
684.992000	-14.648885
686.224000	-44.862209
687.456000	-63.936277
688.688000	-91.708121
689.920000	-97.354045
691.152000	-142.826624
692.384000	-182.348094
693.616000	-219.275491
694.848000	-273.140660
696.080000	-329.599902
697.312000	-376.750999
698.544000	-434.430982
699.776000	-512.253182
701.008000	-563.982055
702.240000	-618.762780
703.472000	-666.219062
704.704000	-735.038301
705.936000	-772.881252
707.168000	-824.152348
708.400000	-869.167150
709.632000	-909.298990
710.864000	-926.389355
712.096000	-962.248604
713.328000	-995.818964
714.560000	-1009.094516
715.792000	-1026.642659
717.024000	-1033.356731
718.256000	-1018.555254
719.488000	-1002.838221
720.720000	-985.137486
721.952000	-958.128605
723.184000	-934.629353
724.416000	-909.604175
725.648000	-874.660482
726.880000	-812.250130
728.112000	-764.946440
729.344000	-714.438307
730.576000	-660.267953
731.808000	-601.977599
733.040000	-535.142064
734.272000	-478.988006
735.504000	-436.719871
736.736000	-367.442854
737.968000	-307.321390
739.200000	-246.589557
740.432000	-227.973266
741.664000	-158.696249
742.896000	-140.537736
744.128000	-93.234046
745.360000	-62.257759
746.592000	-36.011841
747.824000	-49.134800
749.056000	-36.469619
750.288000	-32.349620
751.520000	-12.665181
752.752000	-27.619251
753.984000	-56.459243
755.216000	-70.345164
756.448000	-102.999969
757.680000	-144.962920
758.912000	-175.481429
760.144000	-231.330302
761.376000	-275.734733
762.608000	-325.785089
763.840000	-377.513962
765.072000	-429.548021
766.304000	-493.484298
767.536000	-572.832423
768.768000	-620.441298
770.000000	-670.491653
771.232000	-724.662008
772.464000	-773.033845
773.696000	-820.184942
774.928000	-849.635304
776.160000	-912.045656
777.392000	-927.610096
778.624000	-972.167119
779.856000	-988.036744
781.088000	-1025.116733
782.320000	-1021.912290
783.552000	-1015.198218
784.784000	-1014.282662
786.016000	-1006.042665
787.248000	-988.036744
788.480000	-958.891568
789.712000	-919.064913
790.944000	-901.974548
792.176000	-880.153813
793.408000	-817.285684
794.640000	-763.115329
795.872000	-722.525712
797.104000	-675.527207
798.336000	-612.506485
799.568000	-553.758354
800.800000	-502.029481
802.032000	-433.210242
803.264000	-375.988037
804.496000	-321.054720
805.728000	-278.633992
806.960000	-224.768822
808.192000	-181.585131
809.424000	-151.219214
810.656000	-95.828120
811.888000	-80.263680
813.120000	-58.900723
814.352000	-38.911100
815.584000	-34.485916
816.816000	-24.567400
818.048000	-16.022217
819.280000	-28.382214
820.512000	-62.105167
821.744000	-93.234046
822.976000	-107.425153
824.208000	-147.251808
825.440000	-171.514023
826.672000	-230.872524
827.904000	-261.848811
829.136000	-330.362865
830.368000	-351.268044
831.600000	-422.223579
832.832000	-493.942076
834.064000	-549.333171
835.296000	-602.282785
836.528000	-672.170171
837.760000	-710.013123
838.992000	-776.696066
840.224000	-815.454573
841.456000	-868.404187
842.688000	-899.227882
843.920000	-922.116764
845.152000	-966.216010
846.384000	-997.955260
847.616000	-1007.873775
848.848000	-1025.421918
850.080000	-1017.334513
851.312000	-1022.217475
852.544000	-1012.451552
853.776000	-989.257485
855.008000	-969.573046
856.240000	-941.953795
857.472000	-913.571581
858.704000	-866.878262
859.936000	-820.795312
861.168000	-782.494583
862.400000	-716.727195
863.632000	-667.134617
864.864000	-607.165746
866.096000	-547.349467
867.328000	-504.013184
868.560000	-442.365795
869.792000	-378.887295
871.024000	-337.229530
872.256000	-280.465102
873.488000	-223.548082
874.720000	-176.549577
875.952000	-139.774773
877.184000	-113.528855
