# Frequenza (Hz)	S21 (dB)
4.000000e+09	-8.883101e-01
4.000300e+09	-8.862836e-01
4.000600e+09	-8.846909e-01
4.000900e+09	-8.844508e-01
4.001200e+09	-8.826285e-01
4.001500e+09	-8.842238e-01
4.001800e+09	-8.838464e-01
4.002100e+09	-8.832657e-01
4.002400e+09	-8.852986e-01
4.002700e+09	-8.858457e-01
4.003000e+09	-8.818067e-01
4.003300e+09	-8.842687e-01
4.003600e+09	-8.862589e-01
4.003900e+09	-8.835890e-01
4.004200e+09	-8.845201e-01
4.004500e+09	-8.856014e-01
4.004800e+09	-8.862395e-01
4.005100e+09	-8.880941e-01
4.005400e+09	-8.873783e-01
4.005700e+09	-8.854941e-01
4.006000e+09	-8.863826e-01
4.006300e+09	-8.854673e-01
4.006600e+09	-8.870955e-01
4.006900e+09	-8.879344e-01
4.007200e+09	-8.897810e-01
4.007500e+09	-8.898250e-01
4.007800e+09	-8.886795e-01
4.008100e+09	-8.895948e-01
4.008400e+09	-8.910329e-01
4.008700e+09	-8.888316e-01
4.009000e+09	-8.922421e-01
4.009300e+09	-8.895350e-01
4.009600e+09	-8.887867e-01
4.009900e+09	-8.884517e-01
4.010200e+09	-8.894020e-01
4.010500e+09	-8.882997e-01
4.010800e+09	-8.920034e-01
4.011100e+09	-8.918176e-01
4.011400e+09	-8.915151e-01
4.011700e+09	-8.919028e-01
4.012000e+09	-8.900737e-01
4.012300e+09	-8.930386e-01
4.012600e+09	-8.942225e-01
4.012900e+09	-8.929635e-01
4.013200e+09	-8.936047e-01
4.013500e+09	-8.967392e-01
4.013800e+09	-8.961537e-01
4.014100e+09	-8.903837e-01
4.014400e+09	-8.903795e-01
4.014700e+09	-8.937206e-01
4.015000e+09	-8.964070e-01
4.015300e+09	-8.931380e-01
4.015600e+09	-8.969827e-01
4.015900e+09	-8.955256e-01
4.016200e+09	-8.945712e-01
4.016500e+09	-8.971206e-01
4.016800e+09	-8.966354e-01
4.017100e+09	-8.941603e-01
4.017400e+09	-8.945410e-01
4.017700e+09	-8.945983e-01
4.018000e+09	-8.973062e-01
4.018300e+09	-9.000366e-01
4.018600e+09	-8.987789e-01
4.018900e+09	-8.981252e-01
4.019200e+09	-8.978616e-01
4.019500e+09	-8.971770e-01
4.019800e+09	-9.008098e-01
4.020100e+09	-8.970681e-01
4.020400e+09	-8.945803e-01
4.020700e+09	-8.967583e-01
4.021000e+09	-9.022551e-01
4.021300e+09	-9.018706e-01
4.021600e+09	-9.004643e-01
4.021900e+09	-8.993766e-01
4.022200e+09	-8.977525e-01
4.022500e+09	-8.969335e-01
4.022800e+09	-9.019399e-01
4.023100e+09	-9.006238e-01
4.023400e+09	-9.008773e-01
4.023700e+09	-8.995372e-01
4.024000e+09	-9.001656e-01
4.024300e+09	-9.026482e-01
4.024600e+09	-8.997952e-01
4.024900e+09	-8.962263e-01
4.025200e+09	-8.921299e-01
4.025500e+09	-8.992018e-01
4.025800e+09	-8.963397e-01
4.026100e+09	-9.025584e-01
4.026400e+09	-8.976489e-01
4.026700e+09	-9.027908e-01
4.027000e+09	-9.068278e-01
4.027300e+09	-9.035594e-01
4.027600e+09	-8.966788e-01
4.027900e+09	-8.996947e-01
4.028200e+09	-8.990314e-01
4.028500e+09	-9.077667e-01
4.028800e+09	-8.946174e-01
4.029100e+09	-9.003709e-01
4.029400e+09	-8.958035e-01
4.029700e+09	-8.990776e-01
4.030000e+09	-8.978358e-01
4.030300e+09	-8.901428e-01
4.030600e+09	-9.100881e-01
4.030900e+09	-8.974495e-01
4.031200e+09	-8.970187e-01
4.031500e+09	-9.058532e-01
4.031800e+09	-9.047516e-01
4.032100e+09	-9.061346e-01
4.032400e+09	-8.962264e-01
4.032700e+09	-8.997070e-01
4.033000e+09	-9.009986e-01
4.033300e+09	-9.064224e-01
4.033600e+09	-9.076878e-01
4.033900e+09	-9.002843e-01
4.034200e+09	-9.033160e-01
4.034500e+09	-9.016401e-01
4.034800e+09	-8.987027e-01
4.035100e+09	-8.958381e-01
4.035400e+09	-8.942775e-01
4.035700e+09	-8.995976e-01
4.036000e+09	-9.015011e-01
4.036300e+09	-8.921137e-01
4.036600e+09	-8.995524e-01
4.036900e+09	-9.001216e-01
4.037200e+09	-8.922900e-01
4.037500e+09	-9.097302e-01
4.037800e+09	-8.955600e-01
4.038100e+09	-8.942861e-01
4.038400e+09	-9.007923e-01
4.038700e+09	-9.042018e-01
4.039000e+09	-9.070426e-01
4.039300e+09	-8.926905e-01
4.039600e+09	-9.054318e-01
4.039900e+09	-8.987794e-01
4.040200e+09	-8.976364e-01
4.040500e+09	-8.975528e-01
4.040800e+09	-9.025626e-01
4.041100e+09	-8.995389e-01
4.041400e+09	-8.968648e-01
4.041700e+09	-8.913726e-01
4.042000e+09	-8.973452e-01
4.042300e+09	-8.968074e-01
4.042600e+09	-8.899294e-01
4.042900e+09	-8.950284e-01
4.043200e+09	-8.907818e-01
4.043500e+09	-8.978872e-01
4.043800e+09	-8.897660e-01
4.044100e+09	-9.108555e-01
4.044400e+09	-8.920446e-01
4.044700e+09	-8.885740e-01
4.045000e+09	-9.026025e-01
4.045300e+09	-9.049211e-01
4.045600e+09	-8.927512e-01
4.045900e+09	-8.925035e-01
4.046200e+09	-8.943072e-01
4.046500e+09	-9.065668e-01
4.046800e+09	-8.983965e-01
4.047100e+09	-8.817467e-01
4.047400e+09	-9.060046e-01
4.047700e+09	-8.984482e-01
4.048000e+09	-9.029758e-01
4.048300e+09	-9.045816e-01
4.048600e+09	-8.919498e-01
4.048900e+09	-9.071672e-01
4.049200e+09	-8.939191e-01
4.049500e+09	-8.997783e-01
4.049800e+09	-8.942905e-01
4.050100e+09	-9.066962e-01
4.050400e+09	-9.035880e-01
4.050700e+09	-8.896099e-01
4.051000e+09	-9.036034e-01
4.051300e+09	-8.966448e-01
4.051600e+09	-9.089827e-01
4.051900e+09	-9.129304e-01
4.052200e+09	-8.962292e-01
4.052500e+09	-9.037414e-01
4.052800e+09	-8.907620e-01
4.053100e+09	-9.042685e-01
4.053400e+09	-8.849268e-01
4.053700e+09	-9.203030e-01
4.054000e+09	-9.092211e-01
4.054300e+09	-9.136396e-01
4.054600e+09	-9.038772e-01
4.054900e+09	-9.169406e-01
4.055200e+09	-9.111669e-01
4.055500e+09	-9.048008e-01
4.055800e+09	-9.015331e-01
4.056100e+09	-9.214049e-01
4.056400e+09	-8.889388e-01
4.056700e+09	-9.132432e-01
4.057000e+09	-9.040844e-01
4.057300e+09	-9.159330e-01
4.057600e+09	-9.091172e-01
4.057900e+09	-8.989510e-01
4.058200e+09	-9.158055e-01
4.058500e+09	-9.042750e-01
4.058800e+09	-9.071815e-01
4.059100e+09	-9.213044e-01
4.059400e+09	-9.052119e-01
4.059700e+09	-8.958628e-01
4.060000e+09	-8.959360e-01
4.060300e+09	-9.086500e-01
4.060600e+09	-8.907729e-01
4.060900e+09	-8.899487e-01
4.061200e+09	-9.121272e-01
4.061500e+09	-8.963437e-01
4.061800e+09	-9.006880e-01
