# Freq(Hz)	Amp(mV)
0.000000	36.485126
208.250033	35.863011
416.500067	34.035648
624.750100	31.117037
833.000133	27.287579
1041.250167	22.780512
1249.500200	17.864542
1457.750233	12.824165
1666.000267	7.939706
1874.250300	3.472850
2082.500333	0.585541
2290.750367	3.523714
2499.000400	5.733238
2707.250433	7.059205
2915.500466	7.539820
3123.750500	7.276509
3332.000533	6.421126
3540.250566	5.166152
3748.500600	3.746394
3956.750633	2.490942
4165.000666	1.956888
4373.250700	2.372341
4581.500733	3.058733
4789.750766	3.584239
4998.000800	3.840069
5206.250833	3.838885
5414.500866	3.647190
5622.750900	3.352967
5831.000933	3.038624
6039.250966	2.759598
6247.501000	2.543483
6455.751033	2.419776
6664.001066	2.453468
6872.251100	2.719135
7080.501133	3.216249
7288.751166	3.845389
7497.001200	4.460867
7705.251233	4.915289
7913.501266	5.081116
8121.751299	4.865490
8330.001333	4.225874
8538.251366	3.194973
8746.501399	1.978447
8954.751433	1.557425
9163.001466	2.813478
9371.251499	4.465453
9579.501533	5.914206
9787.751566	6.879119
9996.001599	7.161358
10204.251633	6.635447
10412.501666	5.277577
10620.751699	3.259672
10829.001733	1.877924
11037.251766	4.028717
11245.501799	7.139952
11453.751833	9.907560
11662.001866	11.686258
11870.251899	11.876506
12078.501933	9.928481
12286.751966	5.581893
12495.001999	4.596245
12703.252033	15.221105
12911.502066	30.244474
13119.752099	48.978316
13328.002132	71.090574
13536.252166	96.087178
13744.502199	123.283903
13952.752232	151.824565
14161.002266	180.717475
14369.252299	208.883923
14577.502332	235.214791
14785.752366	258.631393
14994.002399	278.146476
15202.252432	292.921260
15410.502466	302.314635
15618.752499	305.921129
15827.002532	303.595025
16035.252566	295.458927
16243.502599	281.896170
16451.752632	263.527593
16660.002666	241.174248
16868.252699	215.808631
17076.502732	188.497758
17284.752766	160.341950
17493.002799	132.413454
17701.252832	105.698941
17909.502866	81.049602
18117.752899	59.142015
18326.002932	40.452289
18534.252965	25.245933
18742.502999	13.589684
18950.753032	5.437929
19159.003065	1.880575
19367.253099	3.518894
19575.503132	4.244291
19783.753165	3.976447
19992.003199	3.779648
20200.253232	4.603456
20408.503265	6.113891
20616.753299	7.555933
20825.003332	8.482903
21033.253365	8.697178
21241.503399	8.173150
21449.753432	7.029327
21658.003465	5.540064
21866.253499	4.228949
22074.503532	3.916757
22282.753565	4.802350
22491.003599	6.089027
22699.253632	7.163594
22907.503665	7.753610
23115.753699	7.765407
23324.003732	7.219105
23532.253765	6.228651
23740.503798	5.005271
23948.753832	3.893869
24157.003865	3.380314
24365.253898	3.679397
24573.503932	4.359118
24781.753965	4.935046
24990.003998	5.161244
25198.254032	4.954332
25406.504065	4.338108
25614.754098	3.437557
25823.004132	2.542029
26031.254165	2.243791
26239.504198	2.876540
26447.754232	3.888881
26656.004265	4.813582
26864.254298	5.440000
27072.504332	5.675723
27280.754365	5.501255
27489.004398	4.959381
27697.254432	4.157229
27905.504465	3.286225
28113.754498	2.665314
28322.004532	2.640485
28530.254565	3.132224
28738.504598	3.740178
28946.754631	4.186713
29155.004665	4.344254
29363.254698	4.175568
29571.504731	3.707324
29779.754765	3.023973
29988.004798	2.282761
30196.254831	1.764613
30404.504865	1.785012
30612.754898	2.203603
30821.004931	2.635740
31029.254965	2.866691
31237.504998	2.811656
31445.755031	2.461710
31654.005065	1.880286
31862.255098	1.281500
32070.505131	1.266633
32278.755165	2.009044
32487.005198	2.940597
32695.255231	3.780397
32903.505265	4.398954
33111.755298	4.722853
33320.005331	4.720208
33528.255365	4.400513
33736.505398	3.818490
33944.755431	3.085811
34153.005464	2.405424
34361.255498	2.101591
34569.505531	2.357340
34777.755564	2.903944
34986.005598	3.415908
35194.255631	3.716446
35402.505664	3.725007
35610.755698	3.419452
35819.005731	2.822315
36027.255764	1.998770
36235.505798	1.093548
36443.755831	0.759648
36652.005864	1.542636
36860.255898	2.448636
37068.505931	3.192575
37276.755964	3.681474
37485.005998	3.869356
37693.256031	3.744799
37901.506064	3.329238
38109.756098	2.676837
38318.006131	1.881545
38526.256164	1.136057
38734.506198	0.976022
38942.756231	1.539743
39151.006264	2.192199
39359.256297	2.690683
39567.506331	2.959694
39775.756364	2.978904
39984.006397	2.766188
40192.256431	2.376972
40400.506464	1.914022
40608.756497	1.552010
40817.006531	1.503660
41025.256564	1.772411
41233.506597	2.141815
41441.756631	2.442646
41650.006664	2.596778
41858.256697	2.586258
42066.506731	2.440120
42274.756764	2.232462
42483.006797	2.075794
42691.256831	2.075968
42899.506864	2.246139
43107.756897	2.493926
43316.006931	2.701863
43524.256964	2.781580
43732.506997	2.683727
43940.757031	2.396451
44149.007064	1.947224
44357.257097	1.421873
44565.507130	1.048576
44773.757164	1.195003
44982.007197	1.726150
45190.257230	2.298798
45398.507264	2.753947
45606.757297	3.016041
45815.007330	3.048888
46023.257364	2.847217
46231.507397	2.436977
46439.757430	1.883508
46648.007464	1.330418
46856.257497	1.109376
47064.507530	1.456776
47272.757564	2.034183
47481.007597	2.565335
47689.257630	2.933967
47897.507664	3.085702
48105.757697	3.000607
48314.007730	2.686100
48522.257764	2.173513
48730.507797	1.515564
48938.757830	0.792675
49147.007864	0.331442
49355.257897	0.846128
49563.507930	1.429774
49771.757963	1.867840
49980.007997	2.115955
50188.258030	2.163939
50396.508063	2.032912
50604.758097	1.783251
50813.008130	1.532240
51021.258163	1.454137
51229.508197	1.648853
51437.758230	2.014442
51646.008263	2.391517
51854.258297	2.669896
52062.508330	2.785719
52270.758363	2.708341
52479.008397	2.434085
52687.258430	1.983148
52895.508463	1.398683
53103.758497	0.760748
53312.008530	0.413216
53520.258563	0.876188
53728.508597	1.437661
53936.758630	1.882090
54145.008663	2.152660
54353.258697	2.223348
54561.508730	2.089426
54769.758763	1.765473
54978.008796	1.283369
55186.258830	0.690955
55394.508863	0.138857
55602.758896	0.661959
55811.008930	1.268206
56019.258963	1.779760
56227.508996	2.155905
56435.759030	2.373371
56644.009063	2.425857
56852.259096	2.324257
57060.509130	2.096017
57268.759163	1.784048
57477.009196	1.446123
57685.259230	1.154195
57893.509263	0.980708
58101.759296	0.945051
58310.009330	0.980242
58518.259363	1.003158
58726.509396	0.972728
58934.759430	0.894125
59143.009463	0.815543
59351.259496	0.815265
59559.509530	0.936319
59767.759563	1.137066
59976.009596	1.347068
60184.259629	1.513514
60392.509663	1.606690
60600.759696	1.618495
60809.009729	1.563160
61017.259763	1.479069
61225.509796	1.425502
61433.759829	1.459844
61642.009863	1.596791
61850.259896	1.797716
62058.509929	2.003693
62266.759963	2.164541
62475.009996	2.248130
62683.260029	2.241340
62891.510063	2.149478
63099.760096	1.995350
63308.010129	1.817019
63516.260163	1.661059
63724.510196	1.566073
63932.760229	1.539579
64141.010263	1.550863
64349.260296	1.551657
64557.510329	1.501728
64765.760363	1.382069
64974.010396	1.200713
65182.260429	1.001520
65390.510462	0.877772
65598.760496	0.932284
65807.010529	1.146203
66015.260562	1.410453
66223.510596	1.637538
66431.760629	1.774078
66640.010662	1.789511
66848.260696	1.670792
67056.510729	1.420569
67264.760762	1.056770
67473.010796	0.617501
67681.260829	0.259797
67889.510862	0.554406
68097.760896	1.030913
68306.010929	1.461070
68514.260962	1.795835
68722.510996	2.007339
68930.761029	2.081017
69139.011062	2.015243
69347.261096	1.821188
69555.511129	1.522492
69763.761162	1.156403
69972.011196	0.784407
70180.261229	0.544186
70388.511262	0.631950
70596.761295	0.913222
70805.011329	1.201730
71013.261362	1.437616
71221.511395	1.605892
71429.761429	1.709028
71638.011462	1.757777
71846.261495	1.764740
72054.511529	1.738632
72262.761562	1.680475
72471.011595	1.583299
72679.261629	1.435435
72887.511662	1.225712
73095.761695	0.948611
73304.011729	0.609515
73512.261762	0.250876
73720.511795	0.320674
73928.761829	0.744341
74137.011862	1.174199
74345.261895	1.559794
74553.511929	1.869809
74761.761962	2.080669
74970.011995	2.177701
75178.262029	2.156997
75386.512062	2.027103
75594.762095	1.810869
75803.012128	1.548618
76011.262162	1.303525
76219.512195	1.160004
76427.762228	1.178003
76636.012262	1.324860
76844.262295	1.512486
77052.512328	1.669922
77260.762362	1.757236
77469.012395	1.757302
77677.262428	1.669083
77885.512462	1.503772
78093.762495	1.282735
78302.012528	1.037694
78510.262562	0.815654
78718.512595	0.686473
78926.762628	0.710495
79135.012662	0.860063
79343.262695	1.064132
79551.512728	1.279230
79759.762762	1.485626
79968.012795	1.672152
80176.262828	1.828487
80384.512862	1.942593
80592.762895	2.001184
80801.012928	1.991856
81009.262961	1.905935
81217.512995	1.741501
81425.763028	1.506746
81634.013061	1.225369
81842.263095	0.949608
82050.513128	0.785555
82258.763161	0.848492
82467.013195	1.087488
82675.263228	1.371088
82883.513261	1.618957
83091.763295	1.789731
83300.013328	1.862493
83508.263361	1.830451
83716.513395	1.698997
83924.763428	1.485095
84133.013461	1.217849
84341.263495	0.942244
84549.513528	0.728889
84757.763561	0.664151
84966.013595	0.749608
85174.263628	0.884905
85382.513661	0.990639
85590.763695	1.031263
85799.013728	0.996760
86007.263761	0.893082
86215.513794	0.739179
86423.763828	0.568987
86632.013861	0.440608
86840.263894	0.425265
87048.513928	0.511803
87256.763961	0.619292
87465.013994	0.695456
87673.264028	0.718808
87881.514061	0.684507
88089.764094	0.598536
88298.014128	0.475739
88506.264161	0.341563
88714.514194	0.244298
88922.764228	0.252867
89131.014261	0.344408
89339.264294	0.451940
89547.514328	0.552758
89755.764361	0.647457
89964.014394	0.743343
90172.264428	0.844650
90380.514461	0.946833
90588.764494	1.036282
90797.014528	1.093994
91005.264561	1.100229
91213.514594	1.038432
91421.764627	0.898051
91630.014661	0.676342
91838.264694	0.379435
92046.514727	0.040250
92254.764761	0.381804
92463.014794	0.791822
92671.264827	1.183488
92879.514861	1.524567
93087.764894	1.785356
93296.014927	1.941165
93504.264961	1.974695
93712.514994	1.877895
93920.765027	1.653147
94129.015061	1.314000
94337.265094	0.887021
94545.515127	0.431768
94753.765161	0.336085
94962.015194	0.782457
95170.265227	1.254068
95378.515261	1.659898
95586.765294	1.964775
95795.015327	2.147354
96003.265361	2.197389
96211.515394	2.115529
96419.765427	1.912839
96628.015460	1.609698
96836.265494	1.234317
97044.515527	0.822121
97252.765560	0.425282
97461.015594	0.245123
97669.265627	0.484840
97877.515660	0.752386
98085.765694	0.950490
98294.015727	1.064698
98502.265760	1.098303
98710.515794	1.066107
98918.765827	0.992585
99127.015860	0.909407
99335.265894	0.848833
99543.515927	0.830186
99751.765960	0.848151
99960.015994	0.878914
100168.266027	0.897431
100376.516060	0.888013
100584.766094	0.846203
100793.016127	0.776955
101001.266160	0.691532
101209.516194	0.603238
101417.766227	0.521720
101626.016260	0.447393
101834.266293	0.370407
102042.516327	0.276679
102250.766360	0.159067
102459.016393	0.085235
102667.266427	0.236829
102875.516460	0.447812
103083.766493	0.669104
103292.016527	0.878402
103500.266560	1.055030
103708.516593	1.180344
103916.766627	1.239504
104125.016660	1.223134
104333.266693	1.128555
104541.516727	0.960631
104749.766760	0.732766
104958.016793	0.471678
105166.266827	0.258365
105374.516860	0.333000
105582.766893	0.580472
105791.016927	0.820903
105999.266960	1.010194
106207.516993	1.130391
106415.767027	1.174724
106624.017060	1.146290
106832.267093	1.058844
107040.517126	0.938765
107248.767160	0.827423
107457.017193	0.775724
107665.267226	0.813055
107873.517260	0.917218
108081.767293	1.039458
108290.017326	1.139175
108498.267360	1.191592
108706.517393	1.185030
108914.767426	1.118202
109123.017460	0.998781
109331.267493	0.843319
109539.517526	0.679663
109747.767560	0.553109
109956.017593	0.520718
110164.267626	0.594568
110372.517660	0.722472
110580.767693	0.854128
110789.017726	0.962287
110997.267760	1.033651
111205.517793	1.061949
111413.767826	1.044564
111622.017860	0.980834
111830.267893	0.871290
112038.517926	0.717569
112246.767959	0.522810
112455.017993	0.292413
112663.268026	0.040935
112871.518059	0.245290
113079.768093	0.524739
113288.018126	0.792781
113496.268159	1.032374
113704.518193	1.227294
113912.768226	1.363615
114121.018259	1.431523
114329.268293	1.427198
114537.518326	1.354871
114745.768359	1.229485
114954.018393	1.080774
115162.268426	0.957813
115370.518459	0.920899
115578.768493	0.998291
115787.018526	1.155060
115995.268559	1.331303
116203.518593	1.478980
116411.768626	1.567035
116620.018659	1.577913
116828.268693	1.504917
117036.518726	1.350618
117244.768759	1.125553
117453.018792	0.846833
117661.268826	0.536952
117869.518859	0.227578
118077.768892	0.142925
118286.018926	0.389120
118494.268959	0.605264
118702.518992	0.762271
118910.769026	0.857188
119119.019059	0.899298
119327.269092	0.910280
119535.519126	0.922250
119743.769159	0.967770
119952.019192	1.062242
120160.269226	1.195175
120368.519259	1.339996
120576.769292	1.468092
120785.019326	1.556213
120993.269359	1.588688
121201.519392	1.557652
121409.769426	1.462576
121618.019459	1.309398
121826.269492	1.109317
122034.519526	0.877320
122242.769559	0.630612
122451.019592	0.387415
122659.269625	0.169715
122867.519659	0.091359
123075.769692	0.220457
123284.019725	0.329801
123492.269759	0.397608
123700.519792	0.425132
123908.769825	0.418034
124117.019859	0.383654
124325.269892	0.329173
124533.519925	0.260256
124741.769959	0.180910
124950.019992	0.098017
125158.270025	0.070409
125366.520059	0.160699
125574.770092	0.278620
125783.020125	0.400536
125991.270159	0.515145
126199.520192	0.611276
126407.770225	0.677904
126616.020259	0.705347
126824.270292	0.686586
127032.520325	0.618482
127240.770359	0.503021
127449.020392	0.349975
127657.270425	0.193960
127865.520458	0.195246
128073.770492	0.377883
128282.020525	0.584046
128490.270558	0.770377
128698.520592	0.917070
128906.770625	1.011024
129115.020658	1.044603
129323.270692	1.016124
129531.520725	0.930585
129739.770758	0.800798
129948.020792	0.650054
130156.270825	0.518387
130364.520858	0.463726
130572.770892	0.512545
130781.020925	0.615889
130989.270958	0.714481
131197.520992	0.773626
131405.771025	0.776018
131614.021058	0.715092
131822.271092	0.592335
132030.521125	0.416431
132238.771158	0.207165
132447.021192	0.117954
132655.271225	0.337049
132863.521258	0.576266
133071.771291	0.789849
133280.021325	0.959248
133488.271358	1.071529
133696.521391	1.118745
133904.771425	1.098240
134113.021458	1.012872
134321.271491	0.871164
134529.521525	0.688081
134737.771558	0.489405
134946.021591	0.333053
135154.271625	0.335935
135362.521658	0.487918
135570.771691	0.672485
135779.021725	0.840357
135987.271758	0.975223
136195.521791	1.073131
136403.771825	1.137628
136612.021858	1.177764
136820.271891	1.205791
137028.521925	1.233721
137236.771958	1.269168
137445.021991	1.312332
137653.272025	1.355911
137861.522058	1.387825
138069.772091	1.394927
138278.022124	1.366087
138486.272158	1.294167
138694.522191	1.177087
138902.772224	1.018362
139111.022258	0.827643
139319.272291	0.622463
139527.522324	0.435415
139735.772358	0.333224
139944.022391	0.375104
140152.272424	0.490303
140360.522458	0.597324
140568.772491	0.661912
140777.022524	0.671216
140985.272558	0.623578
141193.522591	0.527467
141401.772624	0.407031
141610.022658	0.322702
141818.272691	0.365935
142026.522724	0.517320
142234.772758	0.695575
142443.022791	0.855381
142651.272824	0.972390
142859.522858	1.032018
143067.772891	1.026736
143276.022924	0.955477
143484.272957	0.823285
143692.522991	0.640725
143900.773024	0.422975
144109.023057	0.189173
144317.273091	0.058238
144525.523124	0.260941
144733.773157	0.432692
144942.023191	0.552674
145150.273224	0.612153
145358.523257	0.608967
145566.773291	0.548213
145775.023324	0.443832
145983.273357	0.324540
146191.523391	0.252811
146399.773424	0.297572
146608.023457	0.407332
146816.273491	0.509065
147024.523524	0.569005
147232.773557	0.572967
147441.023591	0.520987
147649.273624	0.434479
147857.523657	0.381136
148065.773691	0.463484
148274.023724	0.673311
148482.273757	0.935091
148690.523790	1.198440
148898.773824	1.430459
149107.023857	1.606800
149315.273890	1.709820
149523.523924	1.728778
149731.773957	1.660291
149940.023990	1.508497
150148.274024	1.284790
150356.524057	1.007330
150564.774090	0.701370
150773.024124	0.406893
150981.274157	0.242683
151189.524190	0.367281
151397.774224	0.560124
151606.024257	0.708138
151814.274290	0.787366
152022.524324	0.792871
152230.774357	0.729146
152439.024390	0.607700
152647.274424	0.445587
152855.524457	0.264892
153063.774490	0.105081
153272.024524	0.132467
153480.274557	0.247851
153688.524590	0.323847
