# Freq(Hz)	Amp(mV)
0.000000	8.752345
169.634133	8.627095
339.268266	8.257328
508.902399	7.660740
678.536532	6.865977
848.170666	5.911367
1017.804799	4.843187
1187.438932	3.713571
1357.073065	2.578452
1526.707198	1.497703
1696.341331	0.564724
1865.975464	0.510929
2035.609597	1.126648
2205.243730	1.597957
2374.877863	1.871760
2544.511997	1.948321
2714.146130	1.847744
2883.780263	1.607644
3053.414396	1.286294
3223.048529	0.976401
3392.682662	0.823727
3562.316795	0.917989
3731.950928	1.136682
3901.585061	1.335727
4071.219194	1.446843
4240.853328	1.449995
4410.487461	1.359104
4580.121594	1.223152
4749.755727	1.129683
4919.389860	1.171309
5089.023993	1.356372
5258.658126	1.603615
5428.292259	1.823716
5597.926392	1.953440
5767.560525	1.955151
5937.194659	1.813619
6106.828792	1.535232
6276.462925	1.150729
6446.097058	0.734908
6615.731191	0.520268
6785.365324	0.767701
6954.999457	1.156759
7124.633590	1.476626
7294.267723	1.653102
7463.901856	1.651315
7633.535990	1.462900
7803.170123	1.111913
7972.804256	0.700956
8142.438389	0.647925
8312.072522	1.168097
8481.706655	1.824304
8651.340788	2.433707
8820.974921	2.910692
8990.609054	3.200193
9160.243187	3.274492
9329.877321	3.140443
9499.511454	2.852705
9669.145587	2.535179
9838.779720	2.389553
10008.413853	2.588553
10178.047986	3.091864
10347.682119	3.717254
10517.316252	4.309327
10686.950385	4.783250
10856.584519	5.120784
11026.218652	5.361693
11195.852785	5.581525
11365.486918	5.843035
11535.121051	6.135004
11704.755184	6.343240
11874.389317	6.283147
12044.023450	5.799863
12213.657583	5.044812
12383.291716	5.267090
12552.925850	8.388157
12722.559983	14.389641
12892.194116	22.815285
13061.828249	33.519458
13231.462382	46.415654
13401.096515	61.365361
13570.730648	78.144265
13740.364781	96.434621
13909.998914	115.829780
14079.633047	135.846450
14249.267181	155.942678
14418.901314	175.540040
14588.535447	194.048614
14758.169580	210.893230
14927.803713	225.539495
15097.437846	237.518101
15267.071979	246.446081
15436.706112	252.043838
15606.340245	254.147096
15775.974378	252.713170
15945.608512	247.821338
16115.242645	239.667426
16284.876778	228.553030
16454.510911	214.870091
16624.145044	199.081767
16793.779177	181.700709
16963.413310	163.265924
17133.047443	144.319436
17302.681576	125.383904
17472.315709	106.942214
17641.949843	89.419927
17811.583976	73.171234
17981.218109	58.468836
18150.852242	45.497926
18320.486375	34.354208
18490.120508	25.045675
18659.754641	17.497810
18829.388774	11.562080
18999.022907	7.028585
19168.657040	3.646871
19338.291174	1.187467
19507.925307	0.955284
19677.559440	2.377872
19847.193573	3.570033
20016.827706	4.522881
20186.461839	5.224672
20356.095972	5.649582
20525.730105	5.780199
20695.364238	5.623862
20864.998372	5.222244
21034.632505	4.657176
21204.266638	4.054699
21373.900771	3.579125
21543.534904	3.381239
21713.169037	3.486963
21882.803170	3.766825
22052.437303	4.051271
22222.071436	4.221853
22391.705569	4.226485
22561.339703	4.071484
22730.973836	3.814723
22900.607969	3.558123
23070.242102	3.422617
23239.876235	3.487246
23409.510368	3.730227
23579.144501	4.048101
23748.778634	4.323684
23918.412767	4.468091
24088.046900	4.431283
24257.681034	4.201761
24427.315167	3.805838
24596.949300	3.310210
24766.583433	2.828900
24936.217566	2.519982
25105.851699	2.512367
25275.485832	2.775442
25445.119965	3.150670
25614.754098	3.490524
25784.388231	3.705872
25954.022365	3.757344
26123.656498	3.643820
26293.290631	3.396114
26462.924764	3.073522
26632.558897	2.759118
26802.193030	2.543668
26971.827163	2.485479
27141.461296	2.568976
27311.095429	2.719263
27480.729562	2.856661
27650.363696	2.930298
