# Freq(Hz)	Amp(mV)
0.000000	35.585345
128.073770	34.991372
256.147541	33.245076
384.221311	30.450767
512.295082	26.773951
640.368852	22.429516
768.442623	17.666531
896.516393	12.750944
1024.590164	7.947897
1152.663934	3.508985
1280.737705	0.574575
1408.811475	3.591306
1536.885246	5.918630
1664.959016	7.382518
1793.032787	7.997599
1921.106557	7.838345
2049.180328	7.027419
2177.254098	5.723739
2305.327869	4.110409
2433.401639	2.391288
2561.475410	0.911506
2689.549180	1.226533
2817.622951	2.329296
2945.696721	3.131485
3073.770492	3.525120
3201.844262	3.504391
3329.918033	3.111099
3457.991803	2.421941
3586.065574	1.540698
3714.139344	0.618864
3842.213115	0.564462
3970.286885	1.340056
4098.360656	1.970366
4226.434426	2.353121
4354.508197	2.456502
4482.581967	2.283483
4610.655738	1.866587
4738.729508	1.263425
4866.803279	0.558675
4994.877049	0.307713
5122.950820	0.972493
5251.024590	1.561881
5379.098361	1.980496
5507.172131	2.188092
5635.245902	2.170547
5763.319672	1.938473
5891.393443	1.525111
6019.467213	0.982888
6147.540984	0.385452
6275.614754	0.287177
6403.688525	0.807006
6531.762295	1.219157
6659.836066	1.463081
6787.909836	1.512028
6915.983607	1.361698
7044.057377	1.029403
7172.131148	0.552321
7300.204918	0.062987
7428.278689	0.631857
7556.352459	1.204579
7684.426230	1.685489
7812.500000	2.022707
7940.573770	2.180118
8068.647541	2.141016
8196.721311	1.910773
8324.795082	1.519520
8452.868852	1.032549
8580.942623	0.623128
8709.016393	0.717680
8837.090164	1.167590
8965.163934	1.598370
9093.237705	1.887270
9221.311475	1.979108
9349.385246	1.847243
9477.459016	1.489176
9605.532787	0.936187
9733.606557	0.433284
9861.680328	1.008909
9989.754098	2.026995
10117.827869	3.152810
10245.901639	4.321818
10373.975410	5.495352
10502.049180	6.645316
10630.122951	7.751338
10758.196721	8.799971
10886.270492	9.786616
11014.344262	10.722087
11142.418033	11.644952
11270.491803	12.637851
11398.565574	13.840109
11526.639344	15.442290
11654.713115	17.650894
11782.786885	20.633227
11910.860656	24.474781
12038.934426	29.170517
12167.008197	34.641262
12295.081967	40.756447
12423.155738	47.353973
12551.229508	54.256842
12679.303279	61.288446
12807.377049	68.287528
12935.450820	75.122477
13063.524590	81.703647
13191.598361	87.991760
13319.672131	94.000198
13447.745902	99.789237
13575.819672	105.451240
13703.893443	111.087679
13831.967213	116.781356
13960.040984	122.569393
14088.114754	128.423329
14216.188525	134.241180
14344.262295	139.853091
14472.336066	145.038726
14600.409836	149.552224
14728.483607	153.150009
14856.557377	155.617410
14984.631148	156.791243
15112.704918	156.576641
15240.778689	154.957183
15368.852459	151.997850
15496.926230	147.840627
15625.000000	142.692753
15753.073770	136.807913
15881.147541	130.461155
16009.221311	123.919295
16137.295082	117.410019
16265.368852	111.094622
16393.442623	105.050425
16521.516393	99.268087
16649.590164	93.665708
16777.663934	88.116585
16905.737705	82.483393
17033.811475	76.650419
17161.885246	70.547507
17289.959016	64.162914
17418.032787	57.545463
17546.106557	50.798301
17674.180328	44.067293
17802.254098	37.527047
17930.327869	31.367148
18058.401639	25.780383
18186.475410	20.952805
18314.549180	17.050364
18442.622951	14.187325
18570.696721	12.362305
18698.770492	11.398713
18826.844262	10.984318
18954.918033	10.803641
19082.991803	10.632427
19211.065574	10.345556
19339.139344	9.886024
19467.213115	9.235183
19595.286885	8.395188
19723.360656	7.382004
19851.434426	6.225111
19979.508197	4.971431
20107.581967	3.695338
20235.655738	2.531088
20363.729508	1.779603
20491.803279	1.854136
20619.877049	2.475817
20747.950820	3.135514
20876.024590	3.628422
21004.098361	3.888945
21132.172131	3.909498
21260.245902	3.720189
21388.319672	3.383217
21516.393443	2.990241
21644.467213	2.653914
21772.540984	2.474148
21900.614754	2.473966
22028.688525	2.577415
22156.762295	2.674147
22284.836066	2.683605
22412.909836	2.574238
22540.983607	2.364170
22669.057377	2.122298
22797.131148	1.963516
22925.204918	1.996916
23053.278689	2.225341
23181.352459	2.543127
23309.426230	2.830415
23437.500000	3.001210
23565.573770	3.006534
23693.647541	2.830298
23821.721311	2.488122
23949.795082	2.032298
24077.868852	1.572915
24205.942623	1.319246
24334.016393	1.463914
24462.090164	1.876165
24590.163934	2.322162
24718.237705	2.670471
24846.311475	2.858752
24974.385246	2.864007
25102.459016	2.693574
25230.532787	2.384264
25358.606557	2.007321
25486.680328	1.679161
25614.754098	1.547835
25742.827869	1.673527
25870.901639	1.944306
25998.975410	2.210994
26127.049180	2.377715
26255.122951	2.397118
26383.196721	2.256032
26511.270492	1.968822
26639.344262	1.577597
26767.418033	1.166255
26895.491803	0.906870
27023.565574	0.999981
27151.639344	1.334397
27279.713115	1.694212
27407.786885	1.976506
27535.860656	2.141429
27663.934426	2.181500
27792.008197	2.112869
27920.081967	1.971958
28048.155738	1.811264
28176.229508	1.688096
28304.303279	1.640434
28432.377049	1.662607
28560.450820	1.711112
28688.524590	1.735869
28816.598361	1.704267
28944.672131	1.609998
29072.745902	1.475537
29200.819672	1.351914
29328.893443	1.305135
29456.967213	1.372305
29585.040984	1.524475
29713.114754	1.693972
29841.188525	1.818615
29969.262295	1.858062
30097.336066	1.795676
30225.409836	1.639781
30353.483607	1.429282
30481.557377	1.245071
30609.631148	1.203162
30737.704918	1.362276
30865.778689	1.651960
30993.852459	1.965029
31121.926230	2.224824
31250.000000	2.385663
31378.073770	2.425025
31506.147541	2.339895
31634.221311	2.145597
31762.295082	1.876081
31890.368852	1.585859
32018.442623	1.351006
32146.516393	1.249896
32274.590164	1.301253
32402.663934	1.439692
32530.737705	1.584671
32658.811475	1.689291
32786.885246	1.742790
32914.959016	1.762613
33043.032787	1.784464
33171.106557	1.845658
33299.180328	1.963369
33427.254098	2.123219
33555.327869	2.288066
33683.401639	2.415404
33811.475410	2.470034
33939.549180	2.430220
34067.622951	2.290352
34195.696721	2.062600
34323.770492	1.779363
34451.844262	1.498025
34579.918033	1.303040
34707.991803	1.273048
34836.065574	1.401605
34964.139344	1.601053
35092.213115	1.786779
35220.286885	1.908845
35348.360656	1.946354
35476.434426	1.899933
35604.508197	1.787264
35732.581967	1.639595
35860.655738	1.496373
35988.729508	1.394163
36116.803279	1.349556
36244.877049	1.349091
36372.950820	1.360229
36501.024590	1.352577
36629.098361	1.311547
36757.172131	1.242587
36885.245902	1.169959
37013.319672	1.128599
37141.393443	1.144225
37269.467213	1.211890
37397.540984	1.297961
37525.614754	1.361276
37653.688525	1.369189
37781.762295	1.303522
37909.836066	1.162712
38037.909836	0.965445
38165.983607	0.762229
38294.057377	0.656439
38422.131148	0.744126
38550.204918	0.963798
38678.278689	1.201763
38806.352459	1.389442
38934.426230	1.489706
39062.500000	1.483933
39190.573770	1.368126
39318.647541	1.152310
39446.721311	0.862835
39574.795082	0.558402
39702.868852	0.412331
39830.942623	0.600430
39959.016393	0.900637
40087.090164	1.166602
40215.163934	1.347595
40343.237705	1.420059
40471.311475	1.375554
40599.385246	1.218737
40727.459016	0.967619
40855.532787	0.658982
40983.606557	0.391246
41111.680328	0.440153
41239.754098	0.743965
41367.827869	1.063568
41495.901639	1.328763
41623.975410	1.513921
41752.049180	1.611098
41880.122951	1.626275
42008.196721	1.578268
42136.270492	1.496622
42264.344262	1.415968
42392.418033	1.364448
42520.491803	1.349441
42648.565574	1.352903
42776.639344	1.342497
42904.713115	1.287488
43032.786885	1.168863
43160.860656	0.984460
43288.934426	0.756440
43417.008197	0.559356
43545.081967	0.558660
43673.155738	0.792532
43801.229508	1.108873
43929.303279	1.413583
44057.377049	1.661349
44185.450820	1.826457
44313.524590	1.895536
44441.598361	1.865891
44569.672131	1.744700
44697.745902	1.547956
44825.819672	1.299004
44953.893443	1.026974
45081.967213	0.765867
45210.040984	0.554996
45338.114754	0.434625
45466.188525	0.412211
45594.262295	0.440913
45722.336066	0.482116
45850.409836	0.537009
45978.483607	0.624591
46106.557377	0.752343
46234.631148	0.905993
46362.704918	1.059172
46490.778689	1.184393
46618.852459	1.258876
46746.926230	1.267660
46875.000000	1.206016
47003.073770	1.082375
47131.147541	0.923581
47259.221311	0.784467
47387.295082	0.746099
47515.368852	0.847978
47643.442623	1.033926
47771.516393	1.225827
47899.590164	1.370074
48027.663934	1.434408
48155.737705	1.401707
48283.811475	1.267652
48411.885246	1.040706
48539.959016	0.746143
48668.032787	0.454852
48796.106557	0.414299
48924.180328	0.709158
49052.254098	1.070942
49180.327869	1.398951
49308.401639	1.653829
49436.475410	1.813317
49564.549180	1.866171
49692.622951	1.811207
49820.696721	1.656929
49948.770492	1.421054
50076.844262	1.130430
50204.918033	0.823646
50332.991803	0.564479
50461.065574	0.464678
50589.139344	0.559219
50717.213115	0.710030
50845.286885	0.822717
50973.360656	0.863844
51101.434426	0.824577
51229.508197	0.708620
51357.581967	0.527973
51485.655738	0.300706
51613.729508	0.058758
51741.803279	0.219542
51869.877049	0.459660
51997.950820	0.665408
52126.024590	0.821197
52254.098361	0.917501
52382.172131	0.950622
52510.245902	0.922644
52638.319672	0.841089
52766.393443	0.718548
52894.467213	0.573116
53022.540984	0.431956
53150.614754	0.340970
53278.688525	0.351480
53406.762295	0.445852
53534.836066	0.569347
53662.909836	0.693810
53790.983607	0.810570
53919.057377	0.918735
54047.131148	1.019734
54175.204918	1.114524
54303.278689	1.202229
54431.352459	1.279922
54559.426230	1.343197
54687.500000	1.387072
54815.573770	1.406855
54943.647541	1.398762
55071.721311	1.360256
55199.795082	1.290173
55327.868852	1.188763
55455.942623	1.057757
55584.016393	0.900650
55712.090164	0.723527
55840.163934	0.537698
55968.237705	0.369727
56096.311475	0.292253
56224.385246	0.375314
56352.459016	0.540995
56480.532787	0.717521
56608.606557	0.876988
56736.680328	1.005611
56864.754098	1.094926
56992.827869	1.139785
57120.901639	1.137828
57248.975410	1.089243
57377.049180	0.996486
57505.122951	0.863926
57633.196721	0.697453
57761.270492	0.504233
57889.344262	0.293338
58017.418033	0.092164
58145.491803	0.187871
58273.565574	0.406395
58401.639344	0.617333
58529.713115	0.807095
58657.786885	0.965764
58785.860656	1.084303
