# Freq(Hz)	Amp(mV)
0.000000	8.419446
101.461039	8.641311
202.922078	9.286256
304.383117	10.299825
405.844156	11.608213
507.305195	13.128389
608.766234	14.772355
710.227273	16.449206
811.688312	18.067585
913.149351	19.539008
1014.610390	20.781657
1116.071429	21.724078
1217.532468	22.308321
1318.993506	22.492243
1420.454545	22.250820
1521.915584	21.576424
1623.376623	20.478128
1724.837662	18.980169
1826.298701	17.119756
1927.759740	14.944452
2029.220779	12.509414
2130.681818	9.874873
2232.142857	7.104805
2333.603896	4.271759
2435.064935	1.543784
2536.525974	1.779490
2637.987013	4.442982
2739.448052	7.093571
2840.909091	9.614458
2942.370130	11.966619
3043.831169	14.124257
3145.292208	16.067739
3246.753247	17.781094
3348.214286	19.250321
3449.675325	20.462036
3551.136364	21.402447
3652.597403	22.056787
3754.058442	22.409307
3855.519481	22.443856
3956.980519	22.145033
4058.441558	21.499781
4159.902597	20.499240
4261.363636	19.140640
4362.824675	17.429010
4464.285714	15.378495
4565.746753	13.013131
4667.207792	10.366989
4768.668831	7.483688
4870.129870	4.415484
4971.590909	1.225732
5073.051948	2.048999
5174.512987	5.304814
5275.974026	8.496859
5377.435065	11.560341
5478.896104	14.436653
5580.357143	17.073373
5681.818182	19.425243
5783.279221	21.454771
5884.740260	23.132376
5986.201299	24.436109
6087.662338	25.351045
6189.123377	25.868463
6290.584416	25.984938
6392.045455	25.701480
6493.506494	25.022819
6594.967532	23.956931
6696.428571	22.514826
6797.889610	20.710627
6899.350649	18.561877
7000.811688	16.090033
7102.272727	13.321029
7203.733766	10.285828
7305.194805	7.020849
7406.655844	3.568193
7508.116883	0.029235
7609.577922	3.704198
7711.038961	7.413367
7812.500000	11.091022
7913.961039	14.673840
8015.422078	18.097698
8116.883117	21.299234
8218.344156	24.217437
8319.805195	26.795168
8421.266234	28.980530
8522.727273	30.728025
8624.188312	31.999467
8725.649351	32.764609
8827.110390	33.001529
8928.571429	32.696768
9030.032468	31.845284
9131.493506	30.450274
9232.954545	28.522905
9334.415584	26.082014
9435.876623	23.153803
9537.337662	19.771548
9638.798701	15.975329
9740.259740	11.811788
9841.720779	7.334029
9943.181818	2.603884
10044.642857	2.339667
10146.103896	7.385077
10247.564935	12.486201
10349.025974	17.562989
10450.487013	22.536712
10551.948052	27.327673
10653.409091	31.856064
10754.870130	36.043041
10856.331169	39.811833
10957.792208	43.088812
11059.253247	45.804498
11160.714286	47.894470
11262.175325	49.300179
11363.636364	49.969651
11465.097403	49.858091
11566.558442	48.928397
11668.019481	47.151606
11769.480519	44.507288
11870.941558	40.983903
11972.402597	36.579136
12073.863636	31.300203
12175.324675	25.164141
12276.785714	18.198081
12378.246753	10.439755
12479.707792	1.948319
12581.168831	7.267922
12682.629870	17.081269
12784.090909	27.442387
12885.551948	38.265555
12987.012987	49.459074
13088.474026	60.925406
13189.935065	72.562442
13291.396104	84.264993
13392.857143	95.926360
13494.318182	107.439902
13595.779221	118.700529
13697.240260	129.606083
13798.701299	140.058535
13900.162338	149.965002
14001.623377	159.238543
14103.084416	167.798772
14204.545455	175.572295
14306.006494	182.493020
14407.467532	188.502385
14508.928571	193.549544
14610.389610	197.591577
14711.850649	200.593732
14813.311688	202.529735
14914.772727	203.382177
15016.233766	203.142938
15117.694805	201.813644
15219.155844	199.406088
15320.616883	195.942580
15422.077922	191.456147
15523.538961	185.990556
15625.000000	179.600085
15726.461039	172.349038
15827.922078	164.310987
15929.383117	155.567736
16030.844156	146.208065
16132.305195	136.326268
16233.766234	126.020585
16335.227273	115.391562
16436.688312	104.540438
16538.149351	93.567616
16639.610390	82.571284
16741.071429	71.646210
16842.532468	60.882773
16943.993506	50.366191
17045.454545	40.175971
17146.915584	30.385529
17248.376623	21.061950
17349.837662	12.265840
17451.298701	4.051299
17552.759740	3.535065
17654.220779	10.451576
17755.681818	16.665483
17857.142857	22.150410
17958.603896	26.887548
18060.064935	30.865824
18161.525974	34.082134
18262.987013	36.541516
18364.448052	38.257220
18465.909091	39.250652
18567.370130	39.551149
18668.831169	39.195584
18770.292208	38.227789
18871.753247	36.697807
18973.214286	34.661003
19074.675325	32.177051
19176.136364	29.308862
19277.597403	26.121464
19379.058442	22.680908
19480.519481	19.053221
19581.980519	15.303439
19683.441558	11.494758
19784.902597	7.687799
19886.363636	3.940106
19987.824675	0.314197
20089.285714	3.170681
20190.746753	6.436775
20292.207792	9.456366
20393.668831	12.194315
20495.129870	14.621060
20596.590909	16.712625
20698.051948	18.450755
20799.512987	19.823015
20900.974026	20.822829
21002.435065	21.449451
21103.896104	21.707833
21205.357143	21.608404
21306.818182	21.166744
21408.279221	20.403162
