Lk	f_r_Hz	f_r_err_GHz
0	14.656957348941416	0.001623402078127515
1	13.352953363574128	0.00021460099331985374
2	12.36461354440914	0.00013762550583531742
3	11.571110489141649	9.719282622751749e-05
4	10.914090051001935	7.51796914924522e-05
5	10.357952141349767	6.41009458337908e-05
6	9.879101798647683	5.9289990209616276e-05
7	9.4610879419958	5.7481098901798414e-05
8	9.092005664141006	5.695002792566813e-05
9	8.762986798672445	5.676163216426902e-05
10	8.467265816743797	5.618865776034123e-05
11	8.199583898885006	5.4816779886521626e-05
12	7.9557656577859275	5.452139627017043e-05
13	7.732469155616576	5.344301488445584e-05
14	7.526969410016175	5.238001671500877e-05
15	7.3370200451220855	5.16966237734513e-05
