Time,Channel A
(ms),(V)

-0.00020800,-3.30698562
-0.00010400,-3.29386282
0.00000000,-3.26181841
0.00010400,-3.32651758
0.00020800,-3.31888795
0.00031200,-3.28379154
0.00041600,-3.20917392
0.00052000,-3.14462709
0.00062400,-3.28257084
0.00072800,-3.29569387
0.00083200,-3.22183895
0.00093600,-3.25373077
0.00104000,-3.33841968
0.00114400,-3.32712793
0.00124800,-3.27631450
0.00135200,-3.31080055
0.00145600,-3.26883745
0.00156000,-3.23679304
0.00166400,-3.37351608
0.00176800,-3.36405540
0.00187200,-3.25189972
0.00197600,-3.33841968
0.00208000,-3.25632501
0.00218400,-3.34833837
0.00228800,-3.27692485
0.00239200,-3.35215306
0.00249600,-3.31888795
0.00260000,-3.35779905
0.00270400,-3.34833837
0.00280800,-3.29447317
0.00291200,-3.30515456
0.00301600,-3.28196049
0.00312000,-3.28318119
0.00322400,-3.27631450
0.00332800,-3.32651758
0.00343200,-3.23618269
0.00353600,-3.27127910
0.00364000,-3.21924496
0.00374400,-3.31705689
0.00384800,-3.32590723
0.00395200,-3.35963011
0.00405600,-3.29569387
0.00416000,-3.28882718
0.00426400,-3.15286732
0.00436800,-3.16339612
0.00447200,-3.26822710
0.00457600,-3.24808502
0.00468000,-3.26685381
0.00478400,-3.29203153
0.00488800,-3.27311015
0.00499200,-3.36161375
0.00509600,-3.38923311
0.00520000,-3.30072927
0.00530400,-3.30271316
0.00540800,-3.35840940
0.00551200,-3.28943753
0.00561600,-3.28821683
0.00572000,-3.37473679
0.00582400,-3.33841968
0.00592800,-3.23679304
0.00603200,-3.30698562
0.00613600,-3.31827760
0.00624000,-3.31461525
0.00634400,-3.32331300
0.00644800,-3.19101524
0.00655200,-3.31583595
0.00665600,-3.34910131
0.00676000,-3.25067902
0.00686400,-3.21741390
0.00696800,-3.26883745
0.00707200,-3.33964038
0.00717600,-3.30011892
0.00728000,-3.35596800
0.00738400,-3.40601826
0.00748800,-3.38541818
0.00759200,-3.39915156
0.00769600,-3.34910131
0.00780000,-3.29142118
0.00790400,-3.32590723
0.00800800,-3.28699613
0.00811200,-3.28318119
0.00821600,-3.33719897
0.00832000,-3.31827760
0.00842400,-3.31019020
0.00852800,-3.26624346
0.00863200,-3.28012943
0.00873600,-3.38358712
0.00884000,-3.23801374
0.00894400,-3.28440189
0.00904800,-3.23938727
0.00915200,-3.32087159
0.00925600,-3.30957985
0.00936000,-3.35535741
0.00946400,-3.26502275
0.00956800,-3.28196049
0.00967200,-3.20429087
0.00977600,-3.21054721
0.00988000,-3.26624346
0.00998400,-3.30576491
0.01008800,-3.28699613
0.01019200,-3.17850280
0.01029600,-3.25937676
0.01040000,-3.23938727
0.01050400,-3.20108652
0.01060800,-3.28379154
0.01071200,-3.26746416
0.01081600,-3.24182868
0.01092000,-3.24182868
0.01102400,-3.30637527
0.01112800,-3.23053670
0.01123200,-3.26258135
0.01133600,-3.27005839
0.01144000,-3.29325247
0.01154400,-3.18979454
0.01164800,-3.29386282
0.01175200,-3.31827760
0.01185600,-3.31644630
0.01196000,-3.31705689
