Time,Channel A
(ms),(mV)

-0.00020800,-6.28444862
-0.00010400,-6.46899557
0.00000000,-6.28444862
0.00010400,-6.65415812
0.00020800,-6.28444862
0.00031200,-6.83870554
0.00041600,-5.73019171
0.00052000,-6.46899557
0.00062400,-6.28444862
0.00072800,-6.28444862
0.00083200,-6.46899557
0.00093600,-6.09928608
0.00104000,-5.91473913
0.00114400,-6.28444862
0.00124800,-5.91473913
0.00135200,-6.28444862
0.00145600,-6.46899557
0.00156000,-6.46899557
0.00166400,-6.46899557
0.00176800,-5.91473913
0.00187200,-6.28444862
0.00197600,-6.28444862
0.00208000,-6.09928608
0.00218400,-5.91473913
0.00228800,-6.09928608
0.00239200,-6.28444862
0.00249600,-6.28444862
0.00260000,-5.91473913
0.00270400,-6.28444862
0.00280800,-6.28444862
0.00291200,-6.09928608
0.00301600,-6.65415812
0.00312000,-6.28444862
0.00322400,-6.28444862
0.00332800,-6.09928608
0.00343200,-6.46899557
0.00353600,-6.28444862
0.00364000,-6.83870554
0.00374400,-5.91473913
0.00384800,-6.28444862
0.00395200,-5.73019171
0.00405600,-5.91473913
0.00416000,-6.09928608
0.00426400,-6.28444862
0.00436800,-6.46899557
0.00447200,-6.09928608
0.00457600,-6.46899557
0.00468000,-5.54502916
0.00478400,-5.91473913
0.00488800,-6.09928608
0.00499200,-5.91473913
0.00509600,-6.46899557
0.00520000,-6.28444862
0.00530400,-6.46899557
0.00540800,-6.65415812
0.00551200,-6.28444862
0.00561600,-6.65415812
0.00572000,-6.28444862
0.00582400,-6.83870554
0.00592800,-6.46899557
0.00603200,-6.09928608
0.00613600,-6.09928608
0.00624000,-6.46899557
0.00634400,-6.09928608
0.00644800,-6.09928608
0.00655200,-5.73019171
0.00665600,-6.65415812
0.00676000,-6.28444862
0.00686400,-6.28444862
0.00696800,-5.73019171
0.00707200,-6.28444862
0.00717600,-6.28444862
0.00728000,-6.09928608
0.00738400,-6.65415812
0.00748800,-6.28444862
0.00759200,-5.91473913
0.00769600,-5.91473913
0.00780000,-5.91473913
