Time,Channel C,Channel D
(ns),(V),(V)

0.00000000,-0.08732160,-0.40631151
0.19999999,-0.08769070,-0.40646529
0.39999999,-0.08793676,-0.40717274
0.59999998,-0.08799828,-0.40806472
0.79999998,-0.08790600,-0.40886441
0.99999997,-0.08759843,-0.40901822
1.19999997,-0.08719857,-0.40849534
1.39999996,-0.08686024,-0.40769562
1.59999995,-0.08673721,-0.40695742
1.79999995,-0.08689100,-0.40649605
1.99999994,-0.08738312,-0.40652683
2.19999994,-0.08818282,-0.40704972
2.39999993,-0.08922859,-0.40791091
2.59999993,-0.09039739,-0.40886441
2.79999992,-0.09159695,-0.40954110
2.99999992,-0.09267347,-0.40954110
3.19999991,-0.09353469,-0.40883365
3.39999990,-0.09430364,-0.40788016
3.59999990,-0.09494956,-0.40701896
3.79999989,-0.09553396,-0.40652683
3.99999989,-0.09602609,-0.40655759
4.19999988,-0.09642594,-0.40714198
4.39999988,-0.09667200,-0.40812624
4.59999987,-0.09676427,-0.40920275
4.79999986,-0.09667200,-0.41006398
4.99999986,-0.09636442,-0.41021776
5.19999985,-0.09596457,-0.40963337
5.39999985,-0.09562623,-0.40864912
5.59999984,-0.09547244,-0.40763411
5.79999984,-0.09559547,-0.40677288
5.99999983,-0.09605684,-0.40625000
6.19999982,-0.09679503,-0.40603471
6.39999982,-0.09774853,-0.40603471
6.59999981,-0.09879429,-0.40600392
6.79999981,-0.09984006,-0.40563485
6.99999980,-0.10076279,-0.40455830
7.19999980,-0.10153174,-0.40283588
7.39999979,-0.10226993,-0.40092888
7.59999979,-0.10306963,-0.39920646
7.79999978,-0.10399237,-0.39797613
7.99999977,-0.10503814,-0.39745325
8.19999977,-0.10620694,-0.39760703
8.39999976,-0.10746801,-0.39828372
8.59999976,-0.10869832,-0.39920646
8.79999975,-0.10980561,-0.39997539
8.99999975,-0.11072835,-0.40012917
9.19999974,-0.11140502,-0.39960629
9.39999973,-0.11198942,-0.39880660
9.59999973,-0.11248154,-0.39806840
9.79999972,-0.11297367,-0.39766854
9.99999972,-0.11343504,-0.39773008
10.19999971,-0.11383489,-0.39831448
10.39999971,-0.11411171,-0.39926797
10.59999970,-0.11426550,-0.40034449
10.79999969,-0.11420399,-0.40117496
10.99999969,-0.11389641,-0.40132874
11.19999968,-0.11346579,-0.40074435
11.39999968,-0.11309670,-0.39979085
11.59999967,-0.11291216,-0.39877585
11.79999967,-0.11300443,-0.39794537
11.99999966,-0.11346579,-0.39742249
12.19999965,-0.11423475,-0.39720717
12.39999965,-0.11521900,-0.39717641
12.59999964,-0.11632628,-0.39711490
12.79999964,-0.11737204,-0.39671504
12.99999963,-0.11829478,-0.39563853
13.19999963,-0.11903297,-0.39391610
13.39999962,-0.11974040,-0.39200911
13.59999962,-0.12050935,-0.39031741
13.79999961,-0.12140132,-0.38911787
13.99999960,-0.12244710,-0.38862574
14.19999960,-0.12364665,-0.38884103
14.39999959,-0.12493848,-0.38960999
14.59999959,-0.12619956,-0.39065576
14.79999958,-0.12736836,-0.39157850
14.99999958,-0.12829109,-0.39188609
15.19999957,-0.12893701,-0.39148623
15.39999956,-0.12945989,-0.39071727
15.59999956,-0.12992126,-0.38985604
15.79999955,-0.13038263,-0.38908711
15.99999955,-0.13087475,-0.38853347
16.19999954,-0.13136688,-0.38825664
16.39999954,-0.13182825,-0.38810286
16.59999953,-0.13216658,-0.38785678
16.79999952,-0.13228962,-0.38727239
16.99999952,-0.13216658,-0.38607284
17.19999951,-0.13176674,-0.38425812
17.39999951,-0.13133612,-0.38241264
17.59999950,-0.13093626,-0.38087475
17.79999950,-0.13069020,-0.38004428
17.99999949,-0.13062869,-0.38007504
18.19999949,-0.13069020,-0.38099778
18.39999948,-0.13087475,-0.38262796
18.59999947,-0.13102855,-0.38462722
18.79999947,-0.13109006,-0.38659573
18.99999946,-0.13093626,-0.38797984
19.19999946,-0.13062869,-0.38862574
19.39999945,-0.13038263,-0.38884103
19.59999945,-0.13025960,-0.38881028
19.79999944,-0.13044414,-0.38877952
19.99999943,-0.13090551,-0.38881028
20.19999943,-0.13170521,-0.38893330
20.39999942,-0.13272023,-0.38905635
20.59999942,-0.13385826,-0.38899484
20.79999941,-0.13496555,-0.38850272
20.99999941,-0.13585752,-0.38727239
21.19999940,-0.13656496,-0.38539615
21.39999939,-0.13724163,-0.38336614
21.59999939,-0.13797982,-0.38158217
21.79999938,-0.13884105,-0.38032112
21.99999938,-0.13988681,-0.37976748
22.19999937,-0.14108637,-0.37998277
22.39999937,-0.14240895,-0.38075173
22.59999936,-0.14373155,-0.38176674
22.79999936,-0.14493111,-0.38268948
22.99999935,-0.14582308,-0.38299704
23.19999934,-0.14646900,-0.38259721
23.39999934,-0.14696112,-0.38185900
23.59999933,-0.14739174,-0.38099778
23.79999933,-0.14782234,-0.38022885
23.99999932,-0.14825295,-0.37973672
24.19999932,-0.14871432,-0.37952140
24.39999931,-0.14908342,-0.37945989
24.59999930,-0.14929871,-0.37933686
24.79999930,-0.14929871,-0.37893701
24.99999929,-0.14902189,-0.37786049
25.19999929,-0.14849901,-0.37616879
25.39999928,-0.14803764,-0.37432334
25.59999928,-0.14776082,-0.37266240
25.79999927,-0.14785311,-0.37146285
25.99999926,-0.14834523,-0.37093997
26.19999926,-0.14920644,-0.37106299
26.39999925,-0.15040600,-0.37167814
26.59999925,-0.15172859,-0.37253937
26.79999924,-0.15302043,-0.37324679
26.99999924,-0.15406619,-0.37340060
27.19999923,-0.15486589,-0.37293923
27.39999923,-0.15548106,-0.37223178
27.59999922,-0.15600394,-0.37152436
27.79999921,-0.15649606,-0.37115526
