Time,Channel A
(ms),(V)

-0.00020800,-0.87206638
-0.00010400,-0.92089599
0.00000000,-0.85757011
0.00010400,-0.88702047
0.00020800,-0.85879087
0.00031200,-0.88579977
0.00041600,-0.88198495
0.00052000,-0.85314494
0.00062400,-0.91463971
0.00072800,-0.92089599
0.00083200,-0.87893307
0.00093600,-0.88824123
0.00104000,-0.90716267
0.00114400,-0.86504716
0.00124800,-0.86138493
0.00135200,-0.86825162
0.00145600,-0.90960419
0.00156000,-0.91586047
0.00166400,-0.87389749
0.00176800,-0.83819085
0.00187200,-0.86443681
0.00197600,-0.90517896
0.00208000,-0.89465010
0.00218400,-0.88579977
0.00228800,-0.91647083
0.00239200,-0.89526045
0.00249600,-0.94042784
0.00260000,-0.93844414
0.00270400,-0.91723382
0.00280800,-0.93035674
0.00291200,-0.93722343
0.00301600,-0.92349011
0.00312000,-0.91845453
0.00322400,-0.93722343
0.00332800,-0.92471081
0.00343200,-0.93157750
0.00353600,-0.94164860
0.00364000,-0.94729453
0.00374400,-0.93417156
0.00384800,-0.97674489
0.00395200,-0.96163821
0.00405600,-0.98925745
0.00416000,-0.97430342
0.00426400,-0.94103825
0.00436800,-0.93417156
0.00447200,-0.94286937
0.00457600,-0.91219825
0.00468000,-0.93157750
0.00478400,-0.93478197
0.00488800,-0.92089599
0.00499200,-0.94851530
0.00509600,-0.95538193
0.00520000,-0.95858639
0.00530400,-0.93600267
0.00540800,-0.95858639
0.00551200,-0.95034641
0.00561600,-0.98300117
0.00572000,-0.93905455
0.00582400,-0.94164860
0.00592800,-0.95034641
0.00603200,-0.93035674
0.00613600,-0.95355082
0.00624000,-0.93905455
0.00634400,-0.93157750
0.00644800,-0.92349011
0.00655200,-0.92349011
0.00665600,-0.90273750
0.00676000,-0.92471081
0.00686400,-0.94668418
0.00696800,-0.93844414
0.00707200,-0.95538193
0.00717600,-0.94042784
0.00728000,-0.94042784
0.00738400,-0.95294046
0.00748800,-0.95233011
0.00759200,-0.93279827
0.00769600,-0.91967529
0.00780000,-0.91402936
0.00790400,-0.92852563
0.00800800,-0.91341901
0.00811200,-0.94286937
0.00821600,-0.91402936
0.00832000,-0.91784418
0.00842400,-0.90716267
0.00852800,-0.93478197
0.00863200,-0.93157750
0.00873600,-0.95171970
0.00884000,-0.92715234
0.00894400,-0.95034641
0.00904800,-0.93722343
0.00915200,-0.91906494
0.00925600,-0.92349011
0.00936000,-0.93417156
0.00946400,-0.91723382
0.00956800,-0.91402936
0.00967200,-0.90899378
0.00977600,-0.93157750
0.00988000,-0.93600267
0.00998400,-0.93661308
0.01008800,-0.93340862
0.01019200,-0.91463971
0.01029600,-0.91280860
0.01040000,-0.90334785
0.01050400,-0.92593157
0.01060800,-0.91525012
0.01071200,-0.92974639
0.01081600,-0.91784418
0.01092000,-0.91586047
0.01102400,-0.92150640
0.01112800,-0.94973600
0.01123200,-0.91341901
0.01133600,-0.84871978
0.01144000,-0.87267679
0.01154400,-0.89266640
0.01164800,-0.88335824
0.01175200,-0.84444714
0.01185600,-0.88015383
0.01196000,-0.78173161
