Time,Channel A
(us),(V)

-5.02138976,-0.01113926
-5.01738976,-0.00579852
-5.01338976,0.00122074
-5.00938976,0.00625629
-5.00538976,0.00625629
-5.00138976,0.00122074
-4.99738976,-0.00595111
-4.99338976,-0.01129185
-4.98938976,-0.01220740
-4.98538976,-0.00946074
-4.98138976,-0.00488296
-4.97738976,0.00015259
-4.97338976,0.00534074
-4.96938976,0.01083407
-4.96538976,0.01602222
-4.96138976,0.02014222
-4.95738976,0.02243111
-4.95338976,0.02288888
-4.94938976,0.02182074
-4.94538976,0.01968444
-4.94138976,0.01602222
-4.93738976,0.01098666
-4.93338976,0.00503555
-4.92938976,0.00030519
-4.92538976,-0.00152593
-4.92138976,0.00015259
-4.91738976,0.00350963
-4.91338976,0.00518815
-4.90938976,0.00366222
-4.90538976,-0.00076296
-4.90138976,-0.00625629
-4.89738976,-0.01098666
-4.89338976,-0.01403851
-4.88938976,-0.01541185
-4.88538976,-0.01571703
-4.88138976,-0.01480148
-4.87738976,-0.01220740
-4.87338976,-0.00778222
-4.86938976,-0.00244148
-4.86538976,0.00228889
-4.86138976,0.00503555
-4.85738976,0.00579852
-4.85338976,0.00549333
-4.84938976,0.00518815
-4.84538976,0.00549333
-4.84138976,0.00610370
-4.83738976,0.00640889
-4.83338976,0.00686666
-4.82938976,0.00717185
-4.82538976,0.00778222
-4.82138976,0.00808741
-4.81738976,0.00808741
-4.81338976,0.00717185
-4.80938976,0.00534074
-4.80538976,0.00305185
-4.80138976,0.00152593
-4.79738976,0.00167852
-4.79338976,0.00366222
-4.78938976,0.00625629
-4.78538976,0.00824000
-4.78138976,0.00839259
-4.77738976,0.00686666
-4.77338976,0.00473037
-4.76938976,0.00274667
-4.76538976,0.00213630
-4.76138976,0.00305185
-4.75738976,0.00442518
-4.75338976,0.00457778
-4.74938976,0.00228889
-4.74538976,-0.00213630
-4.74138976,-0.00747703
-4.73738976,-0.01174963
-4.73338976,-0.01342814
-4.72938976,-0.01297037
-4.72538976,-0.01129185
-4.72138977,-0.00885037
-4.71738977,-0.00579852
-4.71338977,-0.00198370
-4.70938977,0.00228889
-4.70538977,0.00564592
-4.70138977,0.00747703
-4.69738977,0.00762963
-4.69338977,0.00671407
-4.68938977,0.00549333
-4.68538977,0.00396741
-4.68138977,0.00183111
-4.67738977,-0.00076296
-4.67338977,-0.00213630
-4.66938977,-0.00106815
-4.66538977,0.00244148
-4.66138977,0.00701926
-4.65738977,0.01037629
-4.65338977,0.01068148
