frequency,Re(S21),Im(S21),Amplitude,phase
8233000000.0,-0.0047790505,-0.0029790187,0.005631507444414856,-2.5841811011429345
8233002200.0,-0.0048011016,-0.0029730233,0.005647073942836719,-2.5871477216313257
8233004400.0,-0.0048156688,-0.0029854301,0.005665991428980408,-2.5866396098509696
8233006601.0,-0.0048355768,-0.0029664923,0.005672995642044644,-2.5913259175493053
8233008801.0,-0.0048354786,-0.0029589356,0.005668964030226803,-2.592453084590679
8233011001.0,-0.0048329971,-0.002971436,0.005673384604511174,-2.5903453917823414
8233013201.0,-0.0048247809,-0.0029723145,0.005666847820430249,-2.5894539603819045
8233015402.0,-0.0048505,-0.0029424565,0.005673217826277451,-2.596312758270812
8233017602.0,-0.0048400051,-0.002945441,0.005665798447924794,-2.594901667727206
8233019802.0,-0.0048330007,-0.0029676138,0.005671386729200446,-2.5909198386911902
8233022002.0,-0.0048260303,-0.0029293976,0.005645523780430284,-2.596042408698155
8233024202.0,-0.0048372176,-0.002927052,0.005653875442601628,-2.5974237764897943
8233026403.0,-0.0048491996,-0.0029389757,0.005670301131847466,-2.59671865555719
8233028603.0,-0.0048433648,-0.002924933,0.0056580399115213065,-2.5983066577552476
8233030803.0,-0.0048542623,-0.0029332071,0.005671645825392459,-2.598051128755578
8233033003.0,-0.0048572536,-0.0028939881,0.005654032159234201,-2.604261580243033
8233035204.0,-0.004838579,-0.0028959777,0.0056390188488901405,-2.6022634082752925
8233037404.0,-0.0048306831,-0.0029094022,0.005639159545002292,-2.599501652787795
8233039604.0,-0.004847164,-0.0028981921,0.005647523022653242,-2.6027076462502388
8233041804.0,-0.0048725537,-0.0029002012,0.005670356828266201,-2.604701366218811
8233044004.0,-0.0048532808,-0.002903202,0.005655344054648899,-2.602502373385107
8233046205.0,-0.0048489255,-0.0029054835,0.005652779216750155,-2.6017604823432783
8233048405.0,-0.0048309769,-0.0028698689,0.005619117841042384,-2.605555497605716
8233050605.0,-0.004865463,-0.0028769428,0.005652391536229673,-2.6075956051861358
8233052805.0,-0.0048562397,-0.0028759735,0.005643960275955027,-2.6069116699594845
8233055006.0,-0.0048473054,-0.0028867624,0.005641787553153957,-2.604459301643836
8233057206.0,-0.004826242,-0.0028918452,0.0056263114474162405,-2.6017675432029637
8233059406.0,-0.0048705038,-0.002871765,0.0056540995287525184,-2.608837642448238
8233061606.0,-0.004863481,-0.0028530143,0.005638540416931096,-2.6110696262777897
8233063806.0,-0.0048642344,-0.0028481955,0.005636753844577889,-2.6118746338025396
8233066007.0,-0.0048512242,-0.0028640127,0.005633555270380059,-2.6082848200933757
8233068207.0,-0.0048532999,-0.0028526497,0.005629576381065462,-2.610210414768116
8233070407.0,-0.0048721515,-0.0028505193,0.00564476044829404,-2.61222807828968
8233072607.0,-0.0048773491,-0.0028621806,0.005655140319239406,-2.610912374745365
8233074807.0,-0.0048825385,-0.0028534069,0.005655184624833203,-2.612714872375525
8233077008.0,-0.0048814695,-0.0028485808,0.005651827762198605,-2.613356673432954
8233079208.0,-0.0048828077,-0.0028321324,0.005644713010092634,-2.615992932540812
8233081408.0,-0.0048833912,-0.0028178295,0.005638055755604736,-2.6182392940605554
8233083608.0,-0.004877693,-0.0028389113,0.00564369616222531,-2.6144992098753095
8233085809.0,-0.0048568123,-0.0028219693,0.005617128843775419,-2.615236068340558
8233088009.0,-0.0048437948,-0.0028095294,0.005599625301211805,-2.615989022309901
8233090209.0,-0.0048763055,-0.0028027087,0.005624369421222786,-2.6199382423217696
8233092409.0,-0.0048773795,-0.0028164285,0.005632148815739203,-2.617921280665636
8233094609.0,-0.0048770376,-0.0028080834,0.005627684082566231,-2.61917504614215
8233096810.0,-0.0048872324,-0.0028015295,0.005633259098513046,-2.621086317201149
8233099010.0,-0.0048929498,-0.0027920591,0.0056335203703557196,-2.623049493305731
8233101210.0,-0.0048848801,-0.0027862429,0.005623628996402272,-2.623236587381912
8233103410.0,-0.004867298,-0.0027752662,0.005602918195161022,-2.6233835898680136
8233105611.0,-0.0049015237,-0.0028122165,0.005650973033428309,-2.6207033120483687
8233107811.0,-0.0048868635,-0.0027676565,0.005616169278932438,-2.626286264398188
8233110011.0,-0.0048970473,-0.0027911215,0.005636615250857516,-2.623554251736801
8233112211.0,-0.0048971734,-0.0027662057,0.00562442897407195,-2.627414047676911
8233114411.0,-0.0049083843,-0.0027543834,0.005628398027030608,-2.630222556368715
8233116612.0,-0.0048930421,-0.0027611321,0.005618337073015718,-2.627838677428833
8233118812.0,-0.004905666,-0.0027493711,0.005623575406186994,-2.630763287004359
8233121012.0,-0.0048928202,-0.002748841,0.0056121133588701725,-2.6297266192066044
8233123212.0,-0.0049002617,-0.0027420161,0.005615266424769719,-2.6314353635564633
8233125413.0,-0.0048980305,-0.0027475855,0.005616042099089047,-2.630375940584624
8233127613.0,-0.0049216251,-0.0027528422,0.005639196201858103,-2.631609939926158
8233129813.0,-0.004895338,-0.002744255,0.0056120646503108815,-2.630658799025312
8233132013.0,-0.0048978473,-0.0027310972,0.005607833814403306,-2.632924278576245
8233134213.0,-0.0049161823,-0.0027253943,0.005621087305611414,-2.635398943083899
8233136414.0,-0.0049022417,-0.0027434637,0.0056177011987499454,-2.6313825997961087
8233138614.0,-0.0048984814,-0.0027204356,0.005603203537253784,-2.634641259945342
8233140814.0,-0.0049320751,-0.0027416579,0.005642876290746805,-2.634243781564725
8233143014.0,-0.0049005095,-0.0026896306,0.005590089992481929,-2.639634990471845
8233145215.0,-0.0049090883,-0.0027030865,0.0056040899853302805,-2.6382666349475383
8233147415.0,-0.0049163887,-0.002715588,0.005616519922089807,-2.6369437841821215
