frequency,Re(S21),Im(S21),Amplitude,phase
7809000000.0,-0.0144345396,-0.0022270137,0.014605325175563736,-2.9885159561426824
7809001200.0,-0.0144403286,-0.0021721141,0.014602779521015742,-2.9922919820326914
7809002400.0,-0.0144252646,-0.0021531197,0.014585067131231904,-2.9934261816983923
7809003601.0,-0.0144590697,-0.0021129261,0.014612636767316134,-2.9964881726297747
7809004801.0,-0.0144638537,-0.0020872319,0.014613678553306874,-2.998275260992732
7809006001.0,-0.0144670761,-0.0020814542,0.014616044008892722,-2.9986979958771407
7809007201.0,-0.014466206,-0.0020363395,0.014608825914278542,-3.001746224843738
7809008402.0,-0.0144527897,-0.0020220913,0.01459355965273592,-3.0025848817845784
7809009602.0,-0.0144833266,-0.0020376026,0.01462595548187517,-3.0018238737492955
7809010802.0,-0.0144792797,-0.0020184376,0.014619289687803776,-3.0030834644844804
7809012002.0,-0.014464617,-0.0019696904,0.01459811033074285,-3.006252093149291
7809013203.0,-0.0144875614,-0.0019653144,0.014620256359230413,-3.006760416679566
7809014403.0,-0.0144951733,-0.0019295076,0.014623031442744377,-3.0092568261577104
7809015603.0,-0.0145031261,-0.0019152771,0.014629044843812791,-3.010292809577863
7809016803.0,-0.0145023268,-0.0018955831,0.014625686920722865,-3.011620599790279
7809018004.0,-0.0145080301,-0.00189278,0.01463097923964442,-3.0118610923532954
7809019204.0,-0.0144944646,-0.0018810128,0.014616008798383264,-3.0125393469956654
7809020404.0,-0.0144888107,-0.0018426287,0.014605509783177656,-3.0150957325573917
7809021604.0,-0.0145151013,-0.0018540217,0.014633029837095685,-3.0145500388877893
7809022805.0,-0.0145050817,-0.0018322762,0.014620349899942934,-3.015938566756803
7809024005.0,-0.0144957093,-0.001820304,0.014609554913224512,-3.0166711850554706
7809025205.0,-0.0145109337,-0.0017878142,0.014620652395140148,-3.0190057980123335
7809026405.0,-0.0145157869,-0.0018015048,0.0146271490342662,-3.018117421687917
7809027606.0,-0.0145134459,-0.0017784671,0.014622005919777532,-3.019661258600805
7809028806.0,-0.0144941237,-0.001746289,0.014598943355682379,-3.0216880537100077
7809030006.0,-0.0145096838,-0.0017227473,0.014611597525104492,-3.023415034244711
7809031206.0,-0.014515117,-0.0017125616,0.014615795864662435,-3.024150898816133
7809032406.0,-0.0144977338,-0.0017028285,0.014597393953582082,-3.0246735422056874
7809033607.0,-0.0145129865,-0.0016909634,0.014611164716384585,-3.025601830127115
7809034807.0,-0.0145119702,-0.0016709899,0.014607857006816232,-3.0269519035007306
7809036007.0,-0.0145375827,-0.0016633928,0.01463243610498372,-3.0276679183787314
7809037207.0,-0.0145204089,-0.0016662951,0.014615704361524396,-3.0273370566417612
7809038408.0,-0.0145309924,-0.0016610752,0.014625625147285595,-3.0277741293069607
7809039608.0,-0.0145367389,-0.0016436596,0.014629367543658385,-3.029001493819221
7809040808.0,-0.0145192292,-0.0016099088,0.014608210804422631,-3.0311625969490166
7809042008.0,-0.0145315965,-0.0015999434,0.01461940887047133,-3.031933329026559
7809043209.0,-0.0145258347,-0.00160202,0.01461390918995065,-3.031748936452831
7809044409.0,-0.0145124294,-0.0015899556,0.014599265937024222,-3.032469668786834
7809045609.0,-0.0145305886,-0.0015875045,0.01461705085165849,-3.032771656969531
7809046809.0,-0.0145334752,-0.0015701146,0.014618042319207733,-3.0339756857198386
7809048010.0,-0.0145043362,-0.0015551013,0.014587464092702753,-3.0347843695375207
7809049210.0,-0.0145279744,-0.0015351854,0.014608861501822395,-3.036312371850474
7809050410.0,-0.0145173181,-0.0015319167,0.014597920865394718,-3.0364583361157567
7809051610.0,-0.0145070358,-0.0015300056,0.014587494810230885,-3.036514652542851
7809052811.0,-0.0144972343,-0.0015225345,0.014576965172929059,-3.036953829328774
7809054011.0,-0.0145512231,-0.0015061626,0.014628965085870305,-3.038452320875866
7809055211.0,-0.0145456936,-0.0015164113,0.014624524113141208,-3.0377163283351525
7809056411.0,-0.0145471684,-0.0015121463,0.014625549387649076,-3.0380168252111432
7809057612.0,-0.0145280895,-0.0014985971,0.014605176403869234,-3.0388044916345955
7809058812.0,-0.0145630709,-0.0014819175,0.014638275633257938,-3.0401831318926735
7809060012.0,-0.0145413381,-0.001463674,0.014614816294322267,-3.041274465426886
7809061212.0,-0.0145129161,-0.0014542254,0.014585592385626454,-3.0417238563187294
7809062412.0,-0.0145402411,-0.0014363616,0.014611014540136621,-3.0431268510795277
7809063613.0,-0.0145134216,-0.0014551038,0.014586182969101991,-3.041667390322173
7809064813.0,-0.0145254722,-0.0014165458,0.014594380584199882,-3.044378561438821
7809066013.0,-0.014530625,-0.0014128387,0.014599149841098374,-3.044665546154656
7809067213.0,-0.0145196054,-0.0014123712,0.014588136734288536,-3.044624340026609
7809068414.0,-0.0145304906,-0.001405286,0.014598287085082425,-3.0451795957238934
7809069614.0,-0.0145511721,-0.0013914893,0.014617552871661964,-3.046255255125558
7809070814.0,-0.0145144316,-0.0013874504,0.014580594750679368,-3.046291132864784
7809072014.0,-0.0145172538,-0.0013779379,0.014582502211550349,-3.0469589118373084
7809073215.0,-0.0145411004,-0.0013675194,0.014605263097673267,-3.0478233406938764
7809074415.0,-0.0145200074,-0.0013527253,0.014582883138574308,-3.048697936636668
7809075615.0,-0.0145283847,-0.0013474355,0.0145907348827211,-3.049112177646661
7809076815.0,-0.0145404368,-0.0013212853,0.014600345789699308,-3.050971822956941
7809078016.0,-0.014539805,-0.0013252098,0.014600072275575934,-3.050700209731574
7809079216.0,-0.0145115869,-0.001319059,0.014571412800471084,-3.05094480703498
7809080416.0,-0.0145464909,-0.0013053531,0.014604942458615247,-3.0520957374502156
7809081616.0,-0.0145303715,-0.0013121895,0.014589500924018015,-3.0515302793501364
7809082817.0,-0.0145335118,-0.0012995199,0.014591494687359319,-3.052414403584163
7809084017.0,-0.0145193565,-0.0013010321,0.014577530576175193,-3.052224600293139
7809085217.0,-0.0145271353,-0.0012872548,0.01458405584687021,-3.053213116320839
7809086417.0,-0.0145617377,-0.0012546221,0.014615686143914343,-3.0556460870402975
7809087618.0,-0.0145294042,-0.0012707774,0.014584870983568157,-3.0543521978294654
7809088818.0,-0.0145308977,-0.0012659488,0.014585938925283032,-3.054690905209937
7809090018.0,-0.0145384348,-0.0012514349,0.014592195713558295,-3.055726616126646
7809091218.0,-0.0145444974,-0.0012481762,0.014597956995581718,-3.0559846403312743
7809092418.0,-0.0145451726,-0.0012244566,0.014596620839395478,-3.0576076514644317
7809093619.0,-0.014539285,-0.0012367766,0.014591793058755067,-3.0567324700055214
