frequency,Re(S21),Im(S21),Amplitude,phase
8642200000.0,-0.0062612793,-0.0036260531,0.007235459871813823,-2.616665081609368
8642200330.0,-0.0062383992,-0.0036267362,0.007216012752410508,-2.614994144588751
8642200660.0,-0.0062743197,-0.0035912017,0.007229371850160357,-2.6217408164021108
8642200990.0,-0.0062734285,-0.0035833051,0.007224678579999131,-2.6226281497257378
8642201320.0,-0.0062964352,-0.0035956395,0.007250773727110734,-2.622724763190232
8642201650.0,-0.0062771998,-0.0035903572,0.007231452285171484,-2.6220400135146416
8642201980.0,-0.0062911479,-0.003552076,0.007224665100158651,-2.6275980552885208
8642202310.0,-0.0062812572,-0.0036021995,0.00724085859897513,-2.6208985546660077
8642202640.0,-0.0062782391,-0.0035875347,0.0072309537006174296,-2.6224502015733067
8642202970.0,-0.0062675682,-0.0035726162,0.007214291209408841,-2.623511802577693
8642203300.0,-0.0063036872,-0.0035794281,0.0072490535822625456,-2.625162866182361
8642203630.0,-0.0062916401,-0.0035573316,0.007227678967710628,-2.626998344636065
8642203960.0,-0.0062616652,-0.0035546061,0.007200255245687353,-2.6252788809708987
8642204290.0,-0.0062599416,-0.0035744376,0.007208569413670394,-2.6227683572179257
8642204620.0,-0.0062872132,-0.0035804419,0.007235234206404783,-2.623916728192657
8642204950.0,-0.0062681262,-0.0035588009,0.007207944915505892,-2.6252152936103554
8642205281.0,-0.0062778118,-0.0035571415,0.0072155510286631246,-2.6260780327945867
8642205611.0,-0.006304464,-0.0035626966,0.007241482817140945,-2.627225024359477
8642205941.0,-0.0062692469,-0.0035476105,0.007203401762561203,-2.626643043082912
8642206271.0,-0.0062722783,-0.003548959,0.007206704174331834,-2.6266873509928295
8642206601.0,-0.0062860071,-0.0035635378,0.00722583468626838,-2.6258669996517376
8642206931.0,-0.0062661822,-0.0035559575,0.0072048506650313785,-2.625425269081374
8642207261.0,-0.0062722767,-0.0035502779,0.007207352368837762,-2.6265279750594637
8642207591.0,-0.0062925395,-0.0035482313,0.007223987729596442,-2.628156211044631
8642207921.0,-0.0062817034,-0.003552444,0.007216623585771088,-2.626910208780037
8642208251.0,-0.0062668512,-0.0035485647,0.007201786958319964,-2.6263639015711675
8642208581.0,-0.0062715571,-0.0035575885,0.007210330394225542,-2.6255964506688714
8642208911.0,-0.0062763992,-0.0035482968,0.007209965124648723,-2.62704875163271
8642209241.0,-0.0063081958,-0.0035479209,0.007237477251349012,-2.629256088596978
8642209571.0,-0.0062833677,-0.0035495074,0.007216627497388101,-2.627377937876566
8642209901.0,-0.006273369,-0.0035504072,0.007208366659373872,-2.6265870082066196
8642210231.0,-0.0062978042,-0.0035460009,0.007227479513934194,-2.6287828053568023
8642210561.0,-0.0062934154,-0.0035427432,0.007222056963089076,-2.628877708176788
8642210891.0,-0.0062808299,-0.00354891,0.0072141240924199525,-2.6272770141371415
8642211221.0,-0.0062745771,-0.0035327574,0.007200742505540604,-2.628802820498823
8642211551.0,-0.0062803687,-0.0035147524,0.007196979605448765,-2.631377597891998
8642211881.0,-0.0062932756,-0.0035338545,0.007217578915725523,-2.629941385904856
8642212211.0,-0.0062799095,-0.0035343668,0.007206178738078351,-2.62897124984126
8642212541.0,-0.0062654566,-0.0035270715,0.007190005547466275,-2.628869574961538
8642212871.0,-0.0062842465,-0.0035037346,0.0071949920236230565,-2.6329770929129315
8642213201.0,-0.00627931,-0.0035412207,0.007209020607697587,-2.6281019298649673
8642213531.0,-0.0062763891,-0.0035185396,0.007195358299026322,-2.6306481890672377
8642213861.0,-0.0062669272,-0.0035194405,0.007187547423366338,-2.6298951197036766
8642214191.0,-0.0062702352,-0.0035095726,0.007185607093209995,-2.6313179303007312
8642214521.0,-0.0063136211,-0.0035086747,0.007223060953971335,-2.6343601255193563
