frequency	Re(S21)	Im(S21)	Amplitude	phase
7808998498.0	-0.0154869305	-0.0070121998	0.017000469474310123	-2.7164278151738093
7809015015.0	-0.0155298103	-0.0069088785	0.016997282432252174	-2.7230059350151152
7809031532.0	-0.0155776961	-0.0068275984	0.017008254340044358	-2.7285166312090645
7809048048.0	-0.0156188403	-0.006715541	0.017001372392827147	-2.735524872650697
7809064565.0	-0.0156988277	-0.006608372	0.01703302003887365	-2.743160067174298
7809081081.0	-0.0157197749	-0.0065137839	0.01701589561564625	-2.7487610951921946
7809097598.0	-0.0157436884	-0.006435976	0.01700839532433529	-2.753525549045753
7809114114.0	-0.0157916265	-0.0063012211	0.01700237791800275	-2.761928860548093
7809130631.0	-0.0158331302	-0.0062129006	0.017008472764937846	-2.767656198969752
7809147147.0	-0.0158808705	-0.0060922303	0.017009330317975732	-2.7752856316802115
7809163664.0	-0.015922202	-0.0059796293	0.017008012320498315	-2.7823373281520825
7809180180.0	-0.0159562647	-0.0059008393	0.01701241569033894	-2.7873769411213436
7809196697.0	-0.0160040107	-0.0057817	0.017016357229904248	-2.7949170472356206
7809213213.0	-0.016033531	-0.0057115913	0.017020469779245127	-2.79938039112416
7809229730.0	-0.0160908033	-0.0055950331	0.017035796025703834	-2.8069538401932177
7809246246.0	-0.016102566	-0.0054947945	0.017014270433421064	-2.812745567551267
7809262763.0	-0.0161431081	-0.0054014387	0.0170227929306017	-2.8187050546815957
7809279279.0	-0.0161711859	-0.0052827439	0.017012190820859786	-2.8258453059339774
7809295796.0	-0.0162129152	-0.0052096344	0.01702935435840286	-2.830687162750336
7809312312.0	-0.0162648676	-0.0050671219	0.017035892767770917	-2.839584573655069
7809328829.0	-0.0162847585	-0.004983504	0.01703022816997289	-2.8446197452213946
7809345345.0	-0.0162956214	-0.0048840804	0.017011805258872505	-2.8503951947326067
7809361862.0	-0.0163219822	-0.0047623146	0.017002551081719768	-2.857700500270634
7809378378.0	-0.0163850985	-0.0046536148	0.01703313193636101	-2.864864677259091
7809394895.0	-0.0163998455	-0.004549623	0.01701922447898256	-2.8709792363442177
7809411411.0	-0.0164316215	-0.0044383769	0.01702049865972545	-2.8777765028065247
7809427928.0	-0.0164572572	-0.0043579792	0.017024491101192554	-2.882728273083442
7809444444.0	-0.0164684932	-0.0042486421	0.017007710838685453	-2.8891119124052818
7809460961.0	-0.0165143724	-0.0041277181	0.017022413238990217	-2.896663858520769
7809477477.0	-0.0165508617	-0.0040358575	0.017035820167307272	-2.902414548063893
7809493994.0	-0.0165686102	-0.0039250637	0.017027183237652718	-2.908983181962289
