C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=13.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
7.035,-0.23359
7.036,-0.233579
7.037,-0.233568
7.038,-0.233556
7.039,-0.233545
7.04,-0.233534
7.041,-0.233522
7.042,-0.233511
7.043,-0.2335
7.044,-0.233488
7.045,-0.233477
7.046,-0.233466
7.047,-0.233454
7.048,-0.233443
7.049,-0.233432
7.05,-0.23342
7.051,-0.233409
7.052,-0.233397
7.053,-0.233386
7.054,-0.233375
7.055,-0.233363
7.056,-0.233352
7.057,-0.23334
7.058,-0.233329
7.059,-0.233317
7.06,-0.233306
7.061,-0.233294
7.062,-0.233283
7.063,-0.233271
7.064,-0.23326
7.065,-0.233248
7.066,-0.233237
7.067,-0.233226
7.068,-0.233214
7.069,-0.233202
7.07,-0.233191
7.071,-0.233179
7.072,-0.233168
7.073,-0.233156
7.074,-0.233145
7.075,-0.233133
7.076,-0.233122
7.077,-0.23311
7.078,-0.233099
7.079,-0.233087
7.08,-0.233076
7.081,-0.233064
7.082,-0.233052
7.083,-0.233041
7.084,-0.233029
7.085,-0.233018
7.086,-0.233006
7.087,-0.232995
7.088,-0.232983
7.089,-0.232971
7.09,-0.23296
7.091,-0.232948
7.092,-0.232936
7.093,-0.232925
7.094,-0.232913
7.095,-0.232902
7.096,-0.23289
7.097,-0.232878
7.098,-0.232867
7.099,-0.232855
7.1,-0.232843
7.101,-0.232832
7.102,-0.23282
7.103,-0.232809
7.104,-0.232797
7.105,-0.232785
7.106,-0.232774
7.107,-0.232762
7.108,-0.23275
7.109,-0.232739
7.11,-0.232727
7.111,-0.232715
7.112,-0.232704
7.113,-0.232692
7.114,-0.23268
7.115,-0.232669
7.116,-0.232657
7.117,-0.232645
7.118,-0.232634
7.119,-0.232622
7.12,-0.23261
7.121,-0.232599
7.122,-0.232587
7.123,-0.232575
7.124,-0.232564
7.125,-0.232552
7.126,-0.23254
7.127,-0.232528
7.128,-0.232517
7.129,-0.232505
7.13,-0.232493
7.131,-0.232482
7.132,-0.23247
7.133,-0.232458
7.134,-0.232447
7.135,-0.232435
7.136,-0.232423
7.137,-0.232412
7.138,-0.2324
7.139,-0.232388
7.14,-0.232377
7.141,-0.232365
7.142,-0.232353
7.143,-0.232342
7.144,-0.23233
7.145,-0.232318
7.146,-0.232307
7.147,-0.232295
7.148,-0.232283
7.149,-0.232272
7.15,-0.23226
7.151,-0.232248
7.152,-0.232237
7.153,-0.232225
7.154,-0.232214
7.155,-0.232202
7.156,-0.23219
7.157,-0.232179
7.158,-0.232167
7.159,-0.232155
7.16,-0.232144
7.161,-0.232132
7.162,-0.232121
7.163,-0.232109
7.164,-0.232097
7.165,-0.232086
7.166,-0.232074
7.167,-0.232063
7.168,-0.232051
7.169,-0.232039
7.17,-0.232028
7.171,-0.232016
7.172,-0.232005
7.173,-0.231993
7.174,-0.231982
7.175,-0.23197
7.176,-0.231959
7.177,-0.231947
7.178,-0.231936
7.179,-0.231924
7.18,-0.231913
7.181,-0.231901
7.182,-0.23189
7.183,-0.231878
7.184,-0.231867
7.185,-0.231855
7.186,-0.231844
7.187,-0.231832
7.188,-0.231821
7.189,-0.231809
7.19,-0.231798
7.191,-0.231786
7.192,-0.231775
7.193,-0.231764
7.194,-0.231752
7.195,-0.231741
7.196,-0.231729
7.197,-0.231718
7.198,-0.231707
7.199,-0.231695
7.2,-0.231684
7.201,-0.231673
7.202,-0.231661
7.203,-0.23165
7.204,-0.231639
7.205,-0.231628
7.206,-0.231616
7.207,-0.231605
7.208,-0.231594
7.209,-0.231583
7.21,-0.231571
7.211,-0.23156
7.212,-0.231549
7.213,-0.231538
7.214,-0.231527
7.215,-0.231515
7.216,-0.231504
7.217,-0.231493
7.218,-0.231482
7.219,-0.231471
7.22,-0.23146
7.221,-0.231449
7.222,-0.231438
7.223,-0.231427
7.224,-0.231416
7.225,-0.231405
7.226,-0.231394
7.227,-0.231383
7.228,-0.231372
7.229,-0.231361
7.23,-0.23135
7.231,-0.231339
7.232,-0.231328
7.233,-0.231317
7.234,-0.231306
7.235,-0.231295
7.236,-0.231285
7.237,-0.231274
7.238,-0.231263
7.239,-0.231252
7.24,-0.231241
7.241,-0.231231
7.242,-0.23122
7.243,-0.231209
7.244,-0.231199
7.245,-0.231188
7.246,-0.231177
7.247,-0.231167
7.248,-0.231156
7.249,-0.231145
7.25,-0.231135
7.251,-0.231124
7.252,-0.231114
7.253,-0.231103
7.254,-0.231093
7.255,-0.231082
7.256,-0.231072
7.257,-0.231062
7.258,-0.231051
7.259,-0.231041
7.26,-0.231031
7.261,-0.23102
7.262,-0.23101
7.263,-0.231
7.264,-0.230989
7.265,-0.230979
7.266,-0.230969
7.267,-0.230959
7.268,-0.230949
7.269,-0.230939
7.27,-0.230929
7.271,-0.230919
7.272,-0.230909
7.273,-0.230899
7.274,-0.230889
7.275,-0.230879
7.276,-0.230869
7.277,-0.230859
7.278,-0.230849
7.279,-0.230839
7.28,-0.230829
7.281,-0.23082
7.282,-0.23081
7.283,-0.2308
7.284,-0.23079
7.285,-0.230781
7.286,-0.230771
7.287,-0.230762
7.288,-0.230752
7.289,-0.230743
7.29,-0.230733
7.291,-0.230724
7.292,-0.230714
7.293,-0.230705
7.294,-0.230696
7.295,-0.230686
7.296,-0.230677
7.297,-0.230668
7.298,-0.230659
7.299,-0.230649
7.3,-0.23064
7.301,-0.230631
7.302,-0.230622
7.303,-0.230613
7.304,-0.230604
7.305,-0.230595
