C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-Photon_count_2_V5_2D_2_5CELL_mod_3ports_DEF
2,51.8715
2.02,51.7811
2.04,51.6915
2.06,51.6028
2.08,51.5148
2.1,51.4275
2.12,51.341
2.14,51.2553
2.16,51.1702
2.18,51.0859
2.2,51.0023
2.22,50.9193
2.24,50.837
2.26,50.7553
2.28,50.6743
2.3,50.5939
2.32,50.5141
2.34,50.4349
2.36,50.3564
2.38,50.2784
2.4,50.2009
2.42,50.1241
2.44,50.0477
2.46,49.972
2.48,49.8967
2.5,49.822
2.52,49.7478
2.54,49.6741
2.56,49.6008
2.58,49.5281
2.6,49.4559
2.62,49.3841
2.64,49.3128
2.66,49.2419
2.68,49.1715
2.7,49.1015
2.72,49.032
2.74,48.9629
2.76,48.8942
2.78,48.8259
2.8,48.758
2.82,48.6906
2.84,48.6235
2.86,48.5568
2.88,48.4905
2.9,48.4245
2.92,48.359
2.94,48.2938
2.96,48.2289
2.98,48.1644
3,48.1002
3.02,48.0364
3.04,47.973
3.06,47.9098
3.08,47.847
3.1,47.7845
3.12,47.7223
3.14,47.6604
3.16,47.5989
3.18,47.5376
3.2,47.4766
3.22,47.416
3.24,47.3556
3.26,47.2955
3.28,47.2357
3.3,47.1761
3.32,47.1168
3.34,47.0578
3.36,46.9991
3.38,46.9406
3.4,46.8824
3.42,46.8244
3.44,46.7667
3.46,46.7093
3.48,46.652
3.5,46.595
3.52,46.5383
3.54,46.4818
3.56,46.4255
3.58,46.3694
3.6,46.3136
3.62,46.258
3.64,46.2026
3.66,46.1474
3.68,46.0924
3.7,46.0376
3.72,45.9831
3.74,45.9287
3.76,45.8745
3.78,45.8206
3.8,45.7668
3.82,45.7132
3.84,45.6598
3.86,45.6066
3.88,45.5536
3.9,45.5007
3.92,45.4481
3.94,45.3956
3.96,45.3432
3.98,45.2911
4,45.2391
4.02,45.1873
4.04,45.1357
4.06,45.0842
4.08,45.0328
4.1,44.9817
4.12,44.9306
4.14,44.8798
4.16,44.8291
4.18,44.7785
4.2,44.7281
4.22,44.6778
4.24,44.6277
4.26,44.5777
4.28,44.5278
4.3,44.4781
4.32,44.4285
4.34,44.3791
4.36,44.3298
4.38,44.2806
4.4,44.2315
4.42,44.1826
4.44,44.1338
4.46,44.0851
4.48,44.0365
4.5,43.9881
4.52,43.9397
4.54,43.8915
4.56,43.8434
4.58,43.7954
4.6,43.7475
4.62,43.6997
