C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.3,-0.831831
14.3002,-0.831846
14.3004,-0.831861
14.3006,-0.831876
14.3008,-0.831891
14.301,-0.831906
14.3012,-0.831922
14.3014,-0.831938
14.3016,-0.831953
14.3018,-0.831969
14.302,-0.831986
14.3022,-0.832002
14.3024,-0.832018
14.3026,-0.832035
14.3028,-0.832051
14.303,-0.832068
14.3032,-0.832085
14.3034,-0.832102
14.3036,-0.832119
14.3038,-0.832137
14.304,-0.832154
14.3042,-0.832172
14.3044,-0.83219
14.3046,-0.832207
14.3048,-0.832226
14.305,-0.832244
14.3052,-0.832262
14.3054,-0.832281
14.3056,-0.832299
14.3058,-0.832318
14.306,-0.832337
14.3062,-0.832356
14.3064,-0.832375
14.3066,-0.832394
14.3068,-0.832414
14.307,-0.832434
14.3072,-0.832453
14.3074,-0.832473
14.3076,-0.832493
14.3078,-0.832514
14.308,-0.832534
14.3082,-0.832555
14.3084,-0.832575
14.3086,-0.832596
14.3088,-0.832617
14.309,-0.832638
14.3092,-0.83266
14.3094,-0.832681
14.3096,-0.832703
14.3098,-0.832724
14.31,-0.832746
14.3102,-0.832768
14.3104,-0.832791
14.3106,-0.832813
14.3108,-0.832836
14.311,-0.832858
14.3112,-0.832881
14.3114,-0.832904
14.3116,-0.832927
14.3118,-0.832951
14.312,-0.832974
14.3122,-0.832998
14.3124,-0.833021
14.3126,-0.833045
14.3128,-0.833069
14.313,-0.833094
14.3132,-0.833118
14.3134,-0.833143
14.3136,-0.833168
14.3138,-0.833192
14.314,-0.833218
14.3142,-0.833243
14.3144,-0.833268
14.3146,-0.833294
14.3148,-0.83332
14.315,-0.833345
14.3152,-0.833371
14.3154,-0.833398
14.3156,-0.833424
14.3158,-0.833451
14.316,-0.833477
14.3162,-0.833504
14.3164,-0.833531
14.3166,-0.833559
14.3168,-0.833586
14.317,-0.833614
14.3172,-0.833642
14.3174,-0.833669
14.3176,-0.833698
14.3178,-0.833726
14.318,-0.833754
14.3182,-0.833783
14.3184,-0.833812
14.3186,-0.833841
14.3188,-0.83387
14.319,-0.833899
14.3192,-0.833929
14.3194,-0.833958
14.3196,-0.833988
14.3198,-0.834018
14.32,-0.834049
14.3202,-0.834079
14.3204,-0.83411
14.3206,-0.83414
14.3208,-0.834171
14.321,-0.834202
14.3212,-0.834234
14.3214,-0.834265
14.3216,-0.834297
14.3218,-0.834329
14.322,-0.834361
14.3222,-0.834393
14.3224,-0.834425
14.3226,-0.834458
14.3228,-0.834491
14.323,-0.834524
14.3232,-0.834557
14.3234,-0.83459
14.3236,-0.834624
14.3238,-0.834658
14.324,-0.834692
14.3242,-0.834726
14.3244,-0.83476
14.3246,-0.834795
14.3248,-0.834829
14.325,-0.834864
14.3252,-0.834899
14.3254,-0.834935
14.3256,-0.83497
14.3258,-0.835006
14.326,-0.835042
14.3262,-0.835078
14.3264,-0.835114
14.3266,-0.83515
14.3268,-0.835187
14.327,-0.835224
14.3272,-0.835261
14.3274,-0.835298
14.3276,-0.835336
14.3278,-0.835374
14.328,-0.835411
14.3282,-0.835449
14.3284,-0.835488
14.3286,-0.835526
14.3288,-0.835565
14.329,-0.835604
14.3292,-0.835643
14.3294,-0.835682
14.3296,-0.835722
14.3298,-0.835762
14.33,-0.835802
14.3302,-0.835842
14.3304,-0.835882
14.3306,-0.835923
14.3308,-0.835964
14.331,-0.836005
14.3312,-0.836046
14.3314,-0.836087
14.3316,-0.836129
14.3318,-0.836171
14.332,-0.836213
14.3322,-0.836255
14.3324,-0.836298
14.3326,-0.836341
14.3328,-0.836384
14.333,-0.836427
14.3332,-0.83647
14.3334,-0.836514
14.3336,-0.836558
14.3338,-0.836602
14.334,-0.836646
14.3342,-0.836691
14.3344,-0.836735
14.3346,-0.83678
14.3348,-0.836826
14.335,-0.836871
14.3352,-0.836917
14.3354,-0.836963
14.3356,-0.837009
14.3358,-0.837055
14.336,-0.837102
14.3362,-0.837149
14.3364,-0.837196
14.3366,-0.837243
14.3368,-0.837291
14.337,-0.837338
14.3372,-0.837386
14.3374,-0.837435
14.3376,-0.837483
14.3378,-0.837532
14.338,-0.837581
14.3382,-0.83763
14.3384,-0.83768
14.3386,-0.837729
14.3388,-0.837779
14.339,-0.837829
14.3392,-0.83788
14.3394,-0.837931
14.3396,-0.837982
14.3398,-0.838033
14.34,-0.838084
14.3402,-0.838136
14.3404,-0.838188
14.3406,-0.83824
14.3408,-0.838292
14.341,-0.838345
14.3412,-0.838398
14.3414,-0.838451
14.3416,-0.838505
14.3418,-0.838558
14.342,-0.838612
14.3422,-0.838667
14.3424,-0.838721
14.3426,-0.838776
14.3428,-0.838831
14.343,-0.838886
14.3432,-0.838942
14.3434,-0.838998
14.3436,-0.839054
14.3438,-0.83911
14.344,-0.839167
14.3442,-0.839223
14.3444,-0.839281
14.3446,-0.839338
14.3448,-0.839396
14.345,-0.839454
14.3452,-0.839512
14.3454,-0.83957
14.3456,-0.839629
14.3458,-0.839688
14.346,-0.839748
14.3462,-0.839807
14.3464,-0.839867
14.3466,-0.839927
14.3468,-0.839988
14.347,-0.840048
14.3472,-0.840109
14.3474,-0.840171
14.3476,-0.840232
14.3478,-0.840294
14.348,-0.840356
14.3482,-0.840419
14.3484,-0.840481
14.3486,-0.840544
14.3488,-0.840608
14.349,-0.840671
14.3492,-0.840735
14.3494,-0.840799
14.3496,-0.840864
14.3498,-0.840929
14.35,-0.840994
14.3502,-0.841059
14.3504,-0.841125
14.3506,-0.841191
14.3508,-0.841257
14.351,-0.841324
14.3512,-0.841391
14.3514,-0.841458
14.3516,-0.841525
14.3518,-0.841593
14.352,-0.841661
14.3522,-0.84173
14.3524,-0.841798
14.3526,-0.841867
14.3528,-0.841937
14.353,-0.842006
14.3532,-0.842076
14.3534,-0.842147
14.3536,-0.842217
14.3538,-0.842288
14.354,-0.84236
14.3542,-0.842431
14.3544,-0.842503
14.3546,-0.842575
14.3548,-0.842648
14.355,-0.842721
14.3552,-0.842794
14.3554,-0.842867
14.3556,-0.842941
14.3558,-0.843016
14.356,-0.84309
14.3562,-0.843165
14.3564,-0.84324
14.3566,-0.843316
14.3568,-0.843392
14.357,-0.843468
14.3572,-0.843544
14.3574,-0.843621
14.3576,-0.843698
14.3578,-0.843776
14.358,-0.843854
14.3582,-0.843932
14.3584,-0.844011
14.3586,-0.84409
14.3588,-0.844169
14.359,-0.844249
14.3592,-0.844329
