C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=13.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
7,-0.266565
7.001,-0.266551
7.002,-0.266536
7.003,-0.266522
7.004,-0.266508
7.005,-0.266494
7.006,-0.266479
7.007,-0.266465
7.008,-0.266451
7.009,-0.266436
7.01,-0.266422
7.011,-0.266408
7.012,-0.266393
7.013,-0.266379
7.014,-0.266365
7.015,-0.26635
7.016,-0.266336
7.017,-0.266322
7.018,-0.266307
7.019,-0.266293
7.02,-0.266279
7.021,-0.266264
7.022,-0.26625
7.023,-0.266236
7.024,-0.266221
7.025,-0.266207
7.026,-0.266193
7.027,-0.266178
7.028,-0.266164
7.029,-0.26615
7.03,-0.266135
7.031,-0.266121
7.032,-0.266107
7.033,-0.266092
7.034,-0.266078
7.035,-0.266064
7.036,-0.266049
7.037,-0.266035
7.038,-0.266021
7.039,-0.266006
7.04,-0.265992
7.041,-0.265978
7.042,-0.265963
7.043,-0.265949
7.044,-0.265935
7.045,-0.26592
7.046,-0.265906
7.047,-0.265892
7.048,-0.265877
7.049,-0.265863
7.05,-0.265849
7.051,-0.265834
7.052,-0.26582
7.053,-0.265806
7.054,-0.265791
7.055,-0.265777
7.056,-0.265763
7.057,-0.265749
7.058,-0.265734
7.059,-0.26572
7.06,-0.265706
7.061,-0.265691
7.062,-0.265677
7.063,-0.265663
7.064,-0.265649
7.065,-0.265634
7.066,-0.26562
7.067,-0.265606
7.068,-0.265592
7.069,-0.265577
7.07,-0.265563
7.071,-0.265549
7.072,-0.265535
7.073,-0.265521
7.074,-0.265506
7.075,-0.265492
7.076,-0.265478
7.077,-0.265464
7.078,-0.26545
7.079,-0.265436
7.08,-0.265422
7.081,-0.265407
7.082,-0.265393
7.083,-0.265379
7.084,-0.265365
7.085,-0.265351
7.086,-0.265337
7.087,-0.265323
7.088,-0.265309
7.089,-0.265295
7.09,-0.265281
7.091,-0.265267
7.092,-0.265253
7.093,-0.265239
7.094,-0.265225
7.095,-0.265211
7.096,-0.265197
7.097,-0.265183
7.098,-0.265169
7.099,-0.265155
7.1,-0.265141
7.101,-0.265127
7.102,-0.265113
7.103,-0.265099
7.104,-0.265086
7.105,-0.265072
7.106,-0.265058
7.107,-0.265044
7.108,-0.26503
7.109,-0.265017
7.11,-0.265003
7.111,-0.264989
7.112,-0.264975
7.113,-0.264962
7.114,-0.264948
7.115,-0.264934
7.116,-0.264921
7.117,-0.264907
7.118,-0.264893
7.119,-0.26488
7.12,-0.264866
7.121,-0.264853
7.122,-0.264839
7.123,-0.264826
7.124,-0.264812
7.125,-0.264799
7.126,-0.264785
7.127,-0.264772
7.128,-0.264758
7.129,-0.264745
7.13,-0.264731
7.131,-0.264718
7.132,-0.264705
7.133,-0.264691
7.134,-0.264678
7.135,-0.264665
7.136,-0.264652
7.137,-0.264638
7.138,-0.264625
7.139,-0.264612
7.14,-0.264599
7.141,-0.264586
7.142,-0.264573
7.143,-0.26456
7.144,-0.264547
7.145,-0.264534
7.146,-0.264521
7.147,-0.264508
7.148,-0.264495
7.149,-0.264482
7.15,-0.264469
7.151,-0.264456
7.152,-0.264443
7.153,-0.264431
7.154,-0.264418
7.155,-0.264405
7.156,-0.264392
7.157,-0.26438
7.158,-0.264367
7.159,-0.264355
7.16,-0.264342
7.161,-0.26433
7.162,-0.264317
7.163,-0.264305
7.164,-0.264292
7.165,-0.26428
7.166,-0.264267
7.167,-0.264255
7.168,-0.264243
7.169,-0.264231
7.17,-0.264218
7.171,-0.264206
7.172,-0.264194
7.173,-0.264182
7.174,-0.26417
7.175,-0.264158
7.176,-0.264146
7.177,-0.264134
7.178,-0.264122
7.179,-0.26411
7.18,-0.264098
7.181,-0.264087
7.182,-0.264075
7.183,-0.264063
7.184,-0.264051
7.185,-0.26404
7.186,-0.264028
7.187,-0.264017
7.188,-0.264005
7.189,-0.263994
7.19,-0.263982
7.191,-0.263971
7.192,-0.26396
7.193,-0.263949
7.194,-0.263937
7.195,-0.263926
7.196,-0.263915
7.197,-0.263904
7.198,-0.263893
7.199,-0.263882
7.2,-0.263871
7.201,-0.26386
7.202,-0.26385
7.203,-0.263839
7.204,-0.263828
7.205,-0.263817
7.206,-0.263807
7.207,-0.263796
7.208,-0.263786
7.209,-0.263775
7.21,-0.263765
7.211,-0.263755
7.212,-0.263745
7.213,-0.263734
7.214,-0.263724
7.215,-0.263714
7.216,-0.263704
7.217,-0.263694
7.218,-0.263684
7.219,-0.263675
7.22,-0.263665
7.221,-0.263655
7.222,-0.263646
7.223,-0.263636
7.224,-0.263626
7.225,-0.263617
7.226,-0.263608
7.227,-0.263598
7.228,-0.263589
7.229,-0.26358
7.23,-0.263571
7.231,-0.263562
7.232,-0.263553
7.233,-0.263544
7.234,-0.263535
7.235,-0.263527
7.236,-0.263518
7.237,-0.263509
7.238,-0.263501
7.239,-0.263492
7.24,-0.263484
7.241,-0.263476
7.242,-0.263468
7.243,-0.26346
7.244,-0.263452
7.245,-0.263444
7.246,-0.263436
7.247,-0.263428
7.248,-0.26342
7.249,-0.263413
7.25,-0.263405
7.251,-0.263398
7.252,-0.263391
7.253,-0.263383
7.254,-0.263376
7.255,-0.263369
7.256,-0.263362
7.257,-0.263355
7.258,-0.263348
7.259,-0.263342
7.26,-0.263335
7.261,-0.263329
7.262,-0.263322
7.263,-0.263316
7.264,-0.26331
7.265,-0.263304
7.266,-0.263298
7.267,-0.263292
7.268,-0.263286
7.269,-0.26328
7.27,-0.263275
7.271,-0.263269
7.272,-0.263264
7.273,-0.263259
7.274,-0.263253
7.275,-0.263248
7.276,-0.263243
7.277,-0.263239
7.278,-0.263234
7.279,-0.263229
7.28,-0.263225
7.281,-0.263221
7.282,-0.263216
7.283,-0.263212
7.284,-0.263208
7.285,-0.263204
7.286,-0.263201
7.287,-0.263197
7.288,-0.263194
7.289,-0.26319
7.29,-0.263187
7.291,-0.263184
7.292,-0.263181
7.293,-0.263178
7.294,-0.263176
7.295,-0.263173
7.296,-0.263171
7.297,-0.263168
7.298,-0.263166
7.299,-0.263164
7.3,-0.263162
7.301,-0.263161
7.302,-0.263159
7.303,-0.263158
7.304,-0.263157
7.305,-0.263156
7.306,-0.263155
7.307,-0.263154
7.308,-0.263153
7.309,-0.263153
7.31,-0.263152
7.311,-0.263152
7.312,-0.263152
7.313,-0.263153
7.314,-0.263153
7.315,-0.263154
7.316,-0.263154
7.317,-0.263155
7.318,-0.263156
7.319,-0.263157
7.32,-0.263159
7.321,-0.26316
7.322,-0.263162
7.323,-0.263164
7.324,-0.263166
7.325,-0.263169
7.326,-0.263171
7.327,-0.263174
7.328,-0.263177
7.329,-0.26318
7.33,-0.263183
7.331,-0.263187
7.332,-0.263191
7.333,-0.263194
7.334,-0.263199
7.335,-0.263203
7.336,-0.263208
7.337,-0.263212
7.338,-0.263217
7.339,-0.263223
7.34,-0.263228
7.341,-0.263234
7.342,-0.26324
7.343,-0.263246
7.344,-0.263252
7.345,-0.263259
7.346,-0.263266
7.347,-0.263273
7.348,-0.26328
7.349,-0.263287
7.35,-0.263295
7.351,-0.263303
7.352,-0.263312
7.353,-0.26332
7.354,-0.263329
7.355,-0.263338
7.356,-0.263348
7.357,-0.263357
7.358,-0.263367
7.359,-0.263377
7.36,-0.263388
7.361,-0.263399
7.362,-0.26341
7.363,-0.263421
7.364,-0.263433
7.365,-0.263445
7.366,-0.263457
7.367,-0.263469
7.368,-0.263482
7.369,-0.263495
7.37,-0.263509
7.371,-0.263523
7.372,-0.263537
7.373,-0.263551
7.374,-0.263566
7.375,-0.263581
7.376,-0.263596
7.377,-0.263612
7.378,-0.263628
7.379,-0.263645
7.38,-0.263661
7.381,-0.263679
7.382,-0.263696
7.383,-0.263714
7.384,-0.263732
7.385,-0.263751
7.386,-0.26377
7.387,-0.26379
7.388,-0.263809
7.389,-0.26383
7.39,-0.26385
7.391,-0.263871
7.392,-0.263893
7.393,-0.263914
7.394,-0.263937
7.395,-0.263959
7.396,-0.263983
7.397,-0.264006
7.398,-0.26403
7.399,-0.264055
7.4,-0.26408
7.401,-0.264105
7.402,-0.264131
7.403,-0.264157
7.404,-0.264184
7.405,-0.264211
7.406,-0.264239
7.407,-0.264267
7.408,-0.264296
7.409,-0.264325
7.41,-0.264355
7.411,-0.264385
7.412,-0.264416
7.413,-0.264448
7.414,-0.26448
7.415,-0.264512
7.416,-0.264545
7.417,-0.264579
7.418,-0.264613
7.419,-0.264648
7.42,-0.264683
7.421,-0.264719
7.422,-0.264756
7.423,-0.264793
7.424,-0.264831
7.425,-0.264869
7.426,-0.264909
7.427,-0.264948
7.428,-0.264989
7.429,-0.26503
7.43,-0.265072
7.431,-0.265114
7.432,-0.265157
7.433,-0.265201
7.434,-0.265246
7.435,-0.265291
7.436,-0.265337
7.437,-0.265384
7.438,-0.265432
7.439,-0.26548
7.44,-0.265529
7.441,-0.265579
7.442,-0.26563
7.443,-0.265682
7.444,-0.265734
7.445,-0.265788
7.446,-0.265842
7.447,-0.265897
7.448,-0.265953
7.449,-0.26601
7.45,-0.266067
7.451,-0.266126
7.452,-0.266186
7.453,-0.266246
7.454,-0.266308
7.455,-0.26637
7.456,-0.266434
7.457,-0.266498
7.458,-0.266564
7.459,-0.266631
7.46,-0.266698
7.461,-0.266767
7.462,-0.266837
7.463,-0.266908
7.464,-0.26698
7.465,-0.267054
7.466,-0.267128
7.467,-0.267204
7.468,-0.267281
7.469,-0.267359
7.47,-0.267439
7.471,-0.267519
7.472,-0.267602
7.473,-0.267685
7.474,-0.26777
7.475,-0.267856
7.476,-0.267943
7.477,-0.268032
7.478,-0.268122
7.479,-0.268214
7.48,-0.268308
7.481,-0.268403
7.482,-0.268499
7.483,-0.268597
7.484,-0.268697
7.485,-0.268798
7.486,-0.268901
7.487,-0.269005
7.488,-0.269112
7.489,-0.26922
7.49,-0.26933
7.491,-0.269441
7.492,-0.269555
7.493,-0.26967
7.494,-0.269788
7.495,-0.269907
7.496,-0.270028
7.497,-0.270152
7.498,-0.270277
7.499,-0.270405
7.5,-0.270535
7.501,-0.270667
7.502,-0.270801
7.503,-0.270937
7.504,-0.271076
7.505,-0.271218
7.506,-0.271361
7.507,-0.271508
7.508,-0.271656
7.509,-0.271808
7.51,-0.271962
7.511,-0.272118
7.512,-0.272278
7.513,-0.27244
7.514,-0.272605
7.515,-0.272773
7.516,-0.272944
7.517,-0.273119
7.518,-0.273296
7.519,-0.273476
7.52,-0.27366
7.521,-0.273847
7.522,-0.274038
7.523,-0.274232
7.524,-0.274429
7.525,-0.274631
7.526,-0.274836
7.527,-0.275045
7.528,-0.275257
7.529,-0.275474
7.53,-0.275695
7.531,-0.27592
7.532,-0.276149
7.533,-0.276383
7.534,-0.276622
7.535,-0.276865
7.536,-0.277112
7.537,-0.277365
7.538,-0.277622
7.539,-0.277885
7.54,-0.278153
7.54027,-0.278227
7.541,-0.278426
7.542,-0.278704
7.543,-0.278989
7.54347,-0.279126
7.544,-0.279279
7.545,-0.279575
7.546,-0.279877
7.5466,-0.280061
7.547,-0.280186
7.548,-0.2805
7.549,-0.280822
7.54965,-0.281036
7.55,-0.28115
7.551,-0.281485
7.552,-0.281827
7.55264,-0.28205
7.553,-0.282177
7.554,-0.282534
7.555,-0.282899
7.55556,-0.283105
7.556,-0.283272
7.557,-0.283654
7.558,-0.284043
7.5584,-0.284203
7.559,-0.284442
7.56,-0.284849
7.561,-0.285266
7.56119,-0.285345
7.562,-0.285692
7.563,-0.286128
7.56391,-0.286533
7.564,-0.286574
7.565,-0.28703
7.566,-0.287497
7.56657,-0.287767
7.567,-0.287975
7.568,-0.288465
7.569,-0.288967
7.56916,-0.28905
7.57,-0.28948
7.571,-0.290006
7.5717,-0.290383
7.572,-0.290545
7.573,-0.291098
7.574,-0.291664
7.57418,-0.291768
7.575,-0.292245
7.576,-0.29284
7.5766,-0.293207
7.577,-0.293451
7.578,-0.294077
7.57897,-0.294701
7.579,-0.29472
7.58,-0.29538
7.581,-0.296057
7.58128,-0.296253
7.582,-0.296753
7.583,-0.297467
7.58354,-0.297864
7.584,-0.298201
7.585,-0.298956
7.58575,-0.299536
7.586,-0.299731
7.587,-0.300528
7.58791,-0.301272
7.588,-0.301348
7.589,-0.302191
7.59,-0.303058
7.59002,-0.303073
7.591,-0.303951
7.592,-0.304871
7.59208,-0.304942
7.593,-0.305818
7.594,-0.306793
7.59409,-0.306881
7.595,-0.307799
7.596,-0.308835
7.59606,-0.308893
7.597,-0.309904
7.59798,-0.31098
7.598,-0.311006
7.599,-0.312143
7.59985,-0.313144
7.6,-0.313318
7.601,-0.31453
7.60169,-0.315387
7.602,-0.315782
7.603,-0.317077
7.60348,-0.317714
7.604,-0.318415
7.605,-0.319798
7.60523,-0.320125
7.606,-0.32123
7.60694,-0.322625
7.607,-0.322711
7.608,-0.324246
7.60861,-0.325215
7.609,-0.325835
7.61,-0.327482
7.61025,-0.3279
7.611,-0.32919
7.61184,-0.330681
7.612,-0.330961
7.613,-0.332799
7.6134,-0.333561
7.614,-0.334708
7.61493,-0.336545
7.615,-0.336691
7.616,-0.338752
7.61642,-0.339635
7.617,-0.340896
7.61787,-0.342833
7.618,-0.343126
7.619,-0.345447
7.61929,-0.346145
7.62,-0.347865
7.62068,-0.349572
7.621,-0.350386
7.622,-0.353014
7.62204,-0.353118
7.623,-0.355756
7.62336,-0.356786
7.624,-0.35862
7.62466,-0.360581
7.625,-0.361612
7.62593,-0.364504
7.626,-0.36474
7.627,-0.368013
7.62716,-0.368561
7.628,-0.371439
7.62837,-0.372753
7.629,-0.375029
7.62955,-0.377085
7.63,-0.378793
7.63071,-0.381561
7.631,-0.382741
7.63183,-0.386182
7.632,-0.386887
7.63293,-0.390954
7.633,-0.391244
7.634,-0.395826
7.63401,-0.395879
7.635,-0.400648
7.63506,-0.40096
7.636,-0.405728
7.63609,-0.4062
7.637,-0.411083
7.63709,-0.411603
7.638,-0.416734
7.63808,-0.417172
7.639,-0.422702
7.63903,-0.42291
7.63997,-0.428818
7.64,-0.42901
7.64089,-0.4349
7.641,-0.435684
7.64178,-0.441158
7.642,-0.442752
7.64265,-0.447594
7.643,-0.450243
7.64351,-0.454211
7.644,-0.45819
7.64434,-0.461009
7.645,-0.466629
7.64516,-0.46799
7.64595,-0.475155
7.646,-0.475598
7.64673,-0.482505
7.647,-0.48514
7.64749,-0.49004
7.648,-0.495301
7.64823,-0.497761
7.64896,-0.505667
7.649,-0.506129
7.64967,-0.513757
7.65,-0.517678
7.65036,-0.522031
7.651,-0.530006
7.65104,-0.530486
7.6517,-0.53912
7.652,-0.543174
7.65235,-0.547931
7.65298,-0.556916
7.653,-0.557251
7.65359,-0.566071
7.654,-0.572306
7.6542,-0.575392
7.65479,-0.584874
7.655,-0.588413
7.65536,-0.594512
7.65592,-0.6043
7.656,-0.605651
7.65647,-0.614232
7.657,-0.624101
7.65701,-0.6243
7.65754,-0.634499
7.658,-0.643844
7.65805,-0.644818
7.65855,-0.655251
7.659,-0.66496
7.65904,-0.665787
7.65952,-0.676418
7.65998,-0.687134
7.66,-0.687524
7.66044,-0.697923
7.66089,-0.708776
7.661,-0.711605
7.66132,-0.719681
7.66175,-0.730626
7.662,-0.737255
7.66216,-0.741601
7.66257,-0.752593
7.66297,-0.76359
7.663,-0.764507
7.66336,-0.77458
7.66373,-0.78555
7.664,-0.793362
7.66411,-0.796489
7.66447,-0.807383
7.66482,-0.818221
7.665,-0.823777
7.66517,-0.828991
7.6655,-0.839681
7.66583,-0.850279
7.666,-0.855654
7.66616,-0.860774
7.66647,-0.871156
7.66678,-0.881412
7.667,-0.888818
7.66708,-0.891534
7.66737,-0.901512
7.66766,-0.911337
7.66794,-0.920999
7.668,-0.923007
7.66822,-0.930491
7.66848,-0.939806
7.66875,-0.948937
7.669,-0.957826
7.669,-0.957876
7.66925,-0.96662
7.6695,-0.975162
7.66973,-0.983499
7.66997,-0.991627
7.67,-0.992773
7.67019,-0.999542
7.67042,-1.00724
7.67063,-1.01473
7.67085,-1.02199
7.671,-1.02718
7.67105,-1.02904
7.67126,-1.03586
7.67146,-1.04247
7.67165,-1.04886
7.67184,-1.05503
7.672,-1.06024
7.67202,-1.06099
7.6722,-1.06674
7.67238,-1.07227
7.67255,-1.0776
7.67272,-1.08272
7.67289,-1.08764
7.673,-1.09099
7.67305,-1.09236
7.6732,-1.09689
7.67336,-1.10122
7.67351,-1.10538
7.67365,-1.10935
7.6738,-1.11314
7.67394,-1.11677
7.674,-1.11836
7.67407,-1.12022
7.67421,-1.12351
7.67434,-1.12665
7.67447,-1.12963
7.67459,-1.13247
7.67471,-1.13516
7.67483,-1.13771
7.67495,-1.14014
7.675,-1.1412
7.67506,-1.14243
7.67517,-1.1446
7.67528,-1.14665
7.67539,-1.14858
7.67549,-1.1504
7.67559,-1.15212
7.67569,-1.15374
7.67579,-1.15526
7.67588,-1.15669
7.67597,-1.15803
7.676,-1.1584
7.67606,-1.15928
7.67615,-1.16045
7.67624,-1.16154
7.67632,-1.16256
7.6764,-1.16351
7.67648,-1.16439
7.67656,-1.16521
7.67664,-1.16596
7.67671,-1.16666
7.67679,-1.1673
7.67686,-1.16789
7.67693,-1.16843
7.677,-1.16892
7.677,-1.16895
7.67706,-1.16937
7.67713,-1.16978
7.67719,-1.17014
7.67725,-1.17047
7.67731,-1.17076
7.67737,-1.17101
7.67743,-1.17124
7.67749,-1.17143
7.67754,-1.1716
7.6776,-1.17174
7.67765,-1.17185
7.6777,-1.17194
7.67775,-1.17201
7.6778,-1.17205
7.67785,-1.17208
7.6779,-1.17209
7.67794,-1.17208
7.67799,-1.17206
7.678,-1.17205
7.67803,-1.17202
7.67808,-1.17197
7.67812,-1.1719
7.67816,-1.17182
7.6782,-1.17173
7.67824,-1.17163
7.67828,-1.17152
7.67831,-1.1714
7.67835,-1.17128
7.67839,-1.17114
7.67842,-1.171
7.67845,-1.17086
7.67849,-1.1707
7.67852,-1.17055
7.67855,-1.17038
7.67858,-1.17022
7.67861,-1.17005
7.67864,-1.16987
7.67867,-1.1697
7.6787,-1.16952
7.67873,-1.16934
7.67875,-1.16916
7.67878,-1.16897
7.67881,-1.16879
7.67883,-1.1686
7.67886,-1.16842
7.67888,-1.16823
7.6789,-1.16804
7.67893,-1.16785
7.67895,-1.16767
7.67897,-1.16748
7.67899,-1.16729
7.679,-1.16723
7.67901,-1.16711
7.67903,-1.16692
7.67905,-1.16674
7.67907,-1.16656
7.67909,-1.16638
7.67911,-1.16619
7.67913,-1.16602
7.67915,-1.16584
7.67916,-1.16566
7.67918,-1.16549
7.6792,-1.16532
7.67921,-1.16515
7.67923,-1.16498
7.67925,-1.16481
7.67926,-1.16465
7.67928,-1.16449
7.67929,-1.16433
7.6793,-1.16417
7.67932,-1.16401
7.67933,-1.16386
7.67934,-1.1637
7.67936,-1.16355
7.67937,-1.16341
7.67938,-1.16326
7.67939,-1.16312
7.67941,-1.16298
7.67942,-1.16284
7.67943,-1.1627
7.67944,-1.16257
7.67945,-1.16243
7.67946,-1.1623
7.67947,-1.16217
7.67948,-1.16205
7.67949,-1.16192
7.6795,-1.1618
7.67951,-1.16168
7.67952,-1.16157
7.67953,-1.16145
7.67954,-1.16134
7.67954,-1.16122
7.67955,-1.16112
7.67956,-1.16101
7.67957,-1.1609
7.67958,-1.1608
7.67958,-1.1607
7.67959,-1.1606
7.6796,-1.1605
7.67961,-1.1604
7.67961,-1.16031
7.67962,-1.16022
7.67963,-1.16013
7.67963,-1.16004
7.67964,-1.15995
7.67964,-1.15986
7.67965,-1.15978
7.67966,-1.1597
7.67966,-1.15962
