C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT
5,-1.14614
5.025,-1.15285
5.05,-1.15952
5.075,-1.16615
5.1,-1.17275
5.125,-1.17931
5.15,-1.18584
5.175,-1.19232
5.2,-1.19877
5.225,-1.20519
5.25,-1.21156
5.275,-1.21789
5.3,-1.22418
5.325,-1.23044
5.35,-1.23665
5.375,-1.24282
5.4,-1.24894
5.425,-1.25503
5.45,-1.26107
5.475,-1.26707
5.5,-1.27303
5.525,-1.27894
5.55,-1.28481
5.575,-1.29063
5.6,-1.2964
5.625,-1.30214
5.65,-1.30782
5.675,-1.31346
5.7,-1.31905
5.725,-1.32459
5.75,-1.33009
5.775,-1.33554
5.8,-1.34094
5.825,-1.34629
5.85,-1.3516
5.875,-1.35685
5.9,-1.36206
5.925,-1.36721
5.95,-1.37232
5.975,-1.37737
6,-1.38237
6.025,-1.38733
6.05,-1.39223
6.075,-1.39708
6.1,-1.40188
6.125,-1.40662
6.15,-1.41132
6.175,-1.41596
6.2,-1.42055
6.225,-1.42508
6.25,-1.42956
6.275,-1.43399
6.3,-1.43837
6.325,-1.44269
6.35,-1.44696
6.375,-1.45117
6.4,-1.45533
6.425,-1.45943
6.45,-1.46348
6.475,-1.46747
6.5,-1.47141
6.525,-1.47529
6.55,-1.47912
6.575,-1.48289
6.6,-1.48661
6.625,-1.49026
6.65,-1.49387
6.675,-1.49741
6.7,-1.5009
6.725,-1.50433
6.75,-1.50771
6.775,-1.51103
6.8,-1.51429
6.825,-1.51749
6.85,-1.52064
6.875,-1.52373
6.9,-1.52676
6.925,-1.52973
6.95,-1.53265
6.975,-1.53551
7,-1.53831
7.025,-1.54106
7.05,-1.54375
7.075,-1.54638
7.1,-1.54895
7.125,-1.55147
7.15,-1.55393
7.175,-1.55634
7.2,-1.55868
7.225,-1.56097
7.25,-1.5632
7.275,-1.56537
7.3,-1.56748
7.325,-1.56954
7.35,-1.57153
7.375,-1.57347
7.4,-1.57535
7.425,-1.57717
7.45,-1.57893
7.475,-1.58063
7.5,-1.58227
7.525,-1.58386
7.55,-1.58538
7.575,-1.58685
7.6,-1.58825
7.625,-1.5896
7.65,-1.59089
7.675,-1.59211
7.7,-1.59328
7.725,-1.59439
7.75,-1.59544
7.775,-1.59642
7.8,-1.59735
7.825,-1.59822
7.85,-1.59902
7.875,-1.59977
7.9,-1.60046
7.925,-1.60108
7.95,-1.60165
7.975,-1.60215
8,-1.60259
8.025,-1.60298
8.05,-1.6033
8.075,-1.60356
8.1,-1.60376
8.125,-1.6039
8.15,-1.60398
8.175,-1.604
8.2,-1.60396
8.225,-1.60386
8.25,-1.60369
8.275,-1.60347
8.3,-1.60318
8.325,-1.60283
8.35,-1.60242
8.375,-1.60195
8.4,-1.60142
8.425,-1.60083
8.45,-1.60018
8.475,-1.59947
8.5,-1.59869
8.525,-1.59785
8.55,-1.59696
8.575,-1.596
8.6,-1.59498
8.625,-1.5939
8.65,-1.59276
8.675,-1.59155
8.7,-1.59029
8.725,-1.58897
8.75,-1.58758
8.775,-1.58613
8.8,-1.58463
8.825,-1.58306
8.85,-1.58143
8.875,-1.57974
8.9,-1.57799
8.925,-1.57618
8.95,-1.57431
8.975,-1.57237
9,-1.57038
9.025,-1.56833
9.05,-1.56621
9.075,-1.56404
9.1,-1.5618
9.125,-1.55951
9.15,-1.55715
9.175,-1.55474
9.2,-1.55226
9.225,-1.54972
9.25,-1.54713
9.275,-1.54447
9.3,-1.54176
9.325,-1.53898
9.35,-1.53615
9.375,-1.53325
9.4,-1.5303
9.425,-1.52729
9.45,-1.52422
9.475,-1.52109
9.5,-1.5179
9.525,-1.51465
9.55,-1.51135
9.575,-1.50799
9.6,-1.50458
9.625,-1.50111
9.65,-1.49758
9.675,-1.49401
9.7,-1.49037
9.725,-1.48669
9.75,-1.48294
9.775,-1.47915
9.8,-1.4753
9.825,-1.4714
9.85,-1.46744
9.875,-1.46343
9.9,-1.45937
9.925,-1.45526
9.95,-1.45109
9.975,-1.44687
10,-1.4426
10.025,-1.43828
10.05,-1.4339
10.075,-1.42948
10.1,-1.425
10.125,-1.42047
10.15,-1.4159
10.175,-1.41127
10.2,-1.40659
10.225,-1.40186
10.25,-1.39709
10.275,-1.39226
10.3,-1.38739
10.325,-1.38247
10.35,-1.37749
10.375,-1.37248
10.4,-1.36741
10.425,-1.3623
10.45,-1.35713
10.475,-1.35193
10.5,-1.34667
10.525,-1.34137
10.55,-1.33603
10.575,-1.33064
10.6,-1.3252
10.625,-1.31972
10.65,-1.31419
10.675,-1.30863
10.7,-1.30301
10.725,-1.29736
10.75,-1.29166
10.775,-1.28592
10.8,-1.28013
10.825,-1.27431
10.85,-1.26844
10.875,-1.26253
10.9,-1.25658
10.925,-1.25059
10.95,-1.24456
10.975,-1.23849
11,-1.23239
11.025,-1.22624
11.05,-1.22005
11.075,-1.21383
11.1,-1.20757
11.125,-1.20127
11.15,-1.19494
11.175,-1.18857
11.2,-1.18216
11.225,-1.17572
11.25,-1.16925
11.275,-1.16274
11.3,-1.15619
11.325,-1.14962
11.35,-1.143
11.375,-1.13636
11.4,-1.12969
11.425,-1.12298
11.45,-1.11624
11.475,-1.10947
11.5,-1.10268
11.525,-1.09585
11.55,-1.08899
11.575,-1.0821
11.6,-1.07519
11.625,-1.06825
11.65,-1.06128
11.675,-1.05429
11.7,-1.04727
11.725,-1.04022
11.75,-1.03315
11.775,-1.02605
11.8,-1.01894
11.825,-1.01179
11.85,-1.00463
11.875,-0.997442
11.9,-0.990234
11.925,-0.983004
11.95,-0.975755
11.975,-0.968486
12,-0.961197
12.025,-0.95389
12.05,-0.946565
12.075,-0.939223
12.1,-0.931864
12.125,-0.924489
12.15,-0.917098
12.175,-0.909693
12.2,-0.902273
12.225,-0.89484
12.25,-0.887393
12.275,-0.879935
12.3,-0.872465
12.325,-0.864985
12.35,-0.857497
12.375,-0.85
12.4,-0.842495
12.425,-0.834984
12.45,-0.827466
12.475,-0.819942
12.5,-0.812413
12.525,-0.80488
12.55,-0.797344
12.575,-0.789805
12.6,-0.782263
12.625,-0.77472
12.65,-0.767177
12.675,-0.759634
12.7,-0.752091
12.725,-0.74455
12.75,-0.737011
12.775,-0.729475
12.8,-0.721943
12.825,-0.714416
12.85,-0.706893
12.875,-0.699377
12.9,-0.691868
12.925,-0.684366
12.95,-0.676872
12.975,-0.669388
13,-0.661913
13.025,-0.654449
13.05,-0.646996
13.075,-0.639556
13.1,-0.632129
13.125,-0.624716
13.15,-0.617317
13.175,-0.609933
13.2,-0.602566
13.225,-0.595216
13.25,-0.587884
13.275,-0.58057
13.3,-0.573276
13.325,-0.566002
13.35,-0.55875
13.375,-0.551519
13.4,-0.544311
13.425,-0.537127
13.45,-0.529967
13.475,-0.522832
13.5,-0.515724
13.525,-0.508642
13.55,-0.501589
13.575,-0.494564
13.6,-0.487568
13.625,-0.480603
13.65,-0.47367
13.675,-0.466768
13.7,-0.459899
13.725,-0.453064
13.75,-0.446264
13.775,-0.4395
13.8,-0.432772
13.825,-0.426082
13.85,-0.419429
13.875,-0.412816
13.9,-0.406243
13.925,-0.399711
13.95,-0.393221
13.975,-0.386774
14,-0.380371
14.025,-0.374012
14.05,-0.367699
14.075,-0.361433
14.1,-0.355214
14.125,-0.349044
14.15,-0.342923
14.175,-0.336853
14.2,-0.330835
14.225,-0.32487
14.25,-0.318959
14.275,-0.313103
14.3,-0.307303
14.325,-0.301561
14.35,-0.295877
14.375,-0.290254
14.4,-0.284692
14.425,-0.279194
14.45,-0.27376
14.475,-0.268393
14.5,-0.263995
14.502,-0.263575
