C:\Users\oper\Downloads\Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[Z33]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_3PORT1
2,53.2197
2.02,53.1303
2.04,53.0417
2.06,52.9539
2.08,52.8669
2.1,52.7807
2.12,52.6953
2.14,52.6106
2.16,52.5266
2.18,52.4433
2.2,52.3607
2.22,52.2788
2.24,52.1976
2.26,52.1171
2.28,52.0372
2.3,51.9579
2.32,51.8793
2.34,51.8013
2.36,51.7239
2.38,51.647
2.4,51.5708
2.42,51.4951
2.44,51.42
2.46,51.3455
2.48,51.2714
2.5,51.198
2.52,51.125
2.54,51.0526
2.56,50.9806
2.58,50.9092
2.6,50.8383
2.62,50.7678
2.64,50.6978
2.66,50.6283
2.68,50.5592
2.7,50.4906
2.72,50.4225
2.74,50.3547
2.76,50.2874
2.78,50.2206
2.8,50.1541
2.82,50.0881
2.84,50.0224
2.86,49.9572
2.88,49.8923
2.9,49.8279
2.92,49.7638
2.94,49.7001
2.96,49.6367
2.98,49.5738
3,49.5112
3.02,49.4489
3.04,49.387
3.06,49.3254
3.08,49.2642
3.1,49.2033
3.12,49.1427
3.14,49.0825
3.16,49.0225
3.18,48.9629
3.2,48.9036
3.22,48.8446
3.24,48.7859
3.26,48.7275
3.28,48.6694
3.3,48.6116
3.32,48.5541
3.34,48.4968
3.36,48.4399
3.38,48.3832
3.4,48.3268
3.42,48.2706
3.44,48.2147
3.46,48.1591
3.48,48.1037
3.5,48.0486
3.52,47.9937
3.54,47.939
3.56,47.8847
3.58,47.8305
3.6,47.7766
3.62,47.7229
3.64,47.6695
3.66,47.6163
3.68,47.5633
3.7,47.5105
3.72,47.4579
3.74,47.4056
3.76,47.3535
3.78,47.3015
3.8,47.2498
3.82,47.1983
3.84,47.147
3.86,47.0959
3.88,47.045
3.9,46.9943
3.92,46.9438
3.94,46.8935
3.96,46.8434
3.98,46.7934
4,46.7437
4.02,46.6941
4.04,46.6447
4.06,46.5954
4.08,46.5464
4.1,46.4975
4.12,46.4488
4.14,46.4002
4.16,46.3519
4.18,46.3037
4.2,46.2556
4.22,46.2077
4.24,46.16
4.26,46.1124
4.28,46.065
4.3,46.0177
4.32,45.9706
4.34,45.9236
4.36,45.8768
4.38,45.8301
4.4,45.7836
4.42,45.7372
4.44,45.6909
4.46,45.6448
4.48,45.5989
4.5,45.553
4.52,45.5073
4.54,45.4617
4.56,45.4163
4.58,45.371
4.6,45.3258
4.62,45.2807
4.64,45.2358
4.66,45.1909
4.68,45.1462
4.7,45.1017
4.72,45.0572
4.74,45.0129
4.76,44.9686
4.78,44.9245
4.8,44.8805
4.82,44.8366
4.84,44.7929
4.86,44.7492
4.88,44.7056
4.9,44.6622
4.92,44.6188
4.94,44.5756
4.96,44.5324
4.98,44.4894
5,44.4464
5.02,44.4036
5.04,44.3608
5.06,44.3181
5.08,44.2756
5.1,44.2331
5.12,44.1907
5.14,44.1484
5.16,44.1062
5.18,44.0641
5.2,44.0221
5.22,43.9802
5.24,43.9383
5.26,43.8966
5.28,43.8549
5.3,43.8133
5.32,43.7718
5.34,43.7303
5.36,43.689
5.38,43.6477
5.4,43.6065
5.42,43.5654
5.44,43.5243
5.46,43.4833
5.48,43.4424
5.5,43.4016
5.52,43.3608
5.54,43.3202
5.56,43.2795
5.58,43.239
5.6,43.1985
5.62,43.1581
5.64,43.1177
5.66,43.0774
5.68,43.0372
5.7,42.997
5.72,42.9569
5.74,42.9169
5.76,42.8769
5.78,42.837
5.8,42.7971
5.82,42.7573
5.84,42.7175
5.86,42.6779
5.88,42.6382
5.9,42.5986
5.92,42.5591
5.94,42.5196
5.96,42.4802
5.98,42.4408
6,42.4015
6.02,42.3622
6.04,42.3229
6.06,42.2838
6.08,42.2446
6.1,42.2055
6.12,42.1665
6.14,42.1275
6.16,42.0885
6.18,42.0496
6.2,42.0107
6.22,41.9719
6.24,41.9331
6.26,41.8943
6.28,41.8556
6.3,41.8169
6.32,41.7783
6.34,41.7397
6.36,41.7011
6.38,41.6626
6.4,41.6241
6.42,41.5856
6.44,41.5472
6.46,41.5088
6.48,41.4704
6.5,41.4321
6.52,41.3938
6.54,41.3555
6.56,41.3172
6.58,41.279
6.6,41.2408
6.62,41.2027
6.64,41.1645
6.66,41.1264
6.68,41.0883
6.7,41.0502
6.72,41.0122
6.74,40.9742
6.76,40.9362
6.78,40.8982
6.8,40.8602
6.82,40.8223
6.84,40.7844
6.86,40.7465
6.88,40.7086
6.9,40.6707
6.92,40.6329
6.94,40.5951
6.96,40.5572
6.98,40.5194
7,40.4816
7.02,40.4439
7.04,40.4061
7.06,40.3684
7.08,40.3306
7.1,40.2929
7.12,40.2552
7.14,40.2175
7.16,40.1798
7.18,40.1421
7.2,40.1044
7.22,40.0667
7.24,40.0291
7.26,39.9914
7.28,39.9537
7.3,39.9161
7.32,39.8784
7.34,39.8408
7.36,39.8031
7.38,39.7655
7.4,39.7279
7.42,39.6902
7.44,39.6526
7.46,39.6149
7.48,39.5773
7.5,39.5397
7.52,39.502
7.54,39.4644
7.56,39.4267
7.58,39.3891
7.6,39.3514
7.62,39.3137
7.64,39.2761
7.66,39.2384
7.68,39.2007
7.7,39.163
7.72,39.1253
7.74,39.0876
7.76,39.0499
7.78,39.0121
7.8,38.9744
7.82,38.9366
7.84,38.8989
7.86,38.8611
7.88,38.8233
7.9,38.7855
7.92,38.7477
7.94,38.7098
7.96,38.672
7.98,38.6341
8,38.5962
8.02,38.5583
8.04,38.5204
8.06,38.4825
8.08,38.4445
8.1,38.4065
8.12,38.3685
8.14,38.3305
8.16,38.2924
8.18,38.2544
8.2,38.2163
8.22,38.1781
8.24,38.14
8.26,38.1018
8.28,38.0636
8.3,38.0254
8.32,37.9872
8.34,37.9489
8.36,37.9106
8.38,37.8722
8.4,37.8339
8.42,37.7955
8.44,37.757
8.46,37.7186
8.48,37.6801
8.5,37.6415
8.52,37.603
8.54,37.5644
8.56,37.5258
8.58,37.4871
8.6,37.4484
8.62,37.4096
8.64,37.3708
8.66,37.332
8.68,37.2932
8.7,37.2543
8.72,37.2153
8.74,37.1763
8.76,37.1373
8.78,37.0982
8.8,37.0591
8.82,37.02
8.84,36.9808
8.86,36.9415
8.88,36.9022
8.9,36.8629
8.92,36.8235
8.94,36.784
8.96,36.7445
8.98,36.705
9,36.6654
9.02,36.6257
9.04,36.586
9.06,36.5463
9.08,36.5065
9.1,36.4666
9.12,36.4267
9.14,36.3867
9.16,36.3467
9.18,36.3066
9.2,36.2664
9.22,36.2262
9.24,36.186
9.26,36.1456
9.28,36.1052
9.3,36.0648
9.32,36.0242
9.34,35.9836
9.36,35.943
9.38,35.9023
9.4,35.8615
9.42,35.8206
9.44,35.7797
9.46,35.7387
9.48,35.6976
9.5,35.6565
9.52,35.6153
9.54,35.574
9.56,35.5326
9.58,35.4912
9.6,35.4497
9.62,35.4081
9.64,35.3664
9.66,35.3247
9.68,35.2828
9.7,35.2409
9.72,35.1989
9.74,35.1568
9.76,35.1147
9.78,35.0724
9.8,35.0301
9.82,34.9877
9.84,34.9452
9.86,34.9026
9.88,34.8599
9.9,34.8171
9.92,34.7742
9.94,34.7313
9.96,34.6882
9.98,34.645
10,34.6018
10.02,34.5584
10.04,34.515
10.06,34.4714
10.08,34.4278
10.1,34.384
10.12,34.3402
10.14,34.2962
10.16,34.2521
10.18,34.208
10.2,34.1637
10.22,34.1193
10.24,34.0748
10.26,34.0302
10.28,33.9854
10.3,33.9406
10.32,33.8956
10.34,33.8505
10.36,33.8053
10.38,33.76
10.4,33.7146
10.42,33.669
10.44,33.6233
10.46,33.5775
10.48,33.5316
10.5,33.4855
10.52,33.4393
10.54,33.393
10.56,33.3465
10.58,33.2999
10.6,33.2532
10.62,33.2063
10.64,33.1593
10.66,33.1122
10.68,33.0649
10.7,33.0174
10.72,32.9699
10.74,32.9221
10.76,32.8742
10.78,32.8262
10.8,32.778
10.82,32.7297
10.84,32.6812
10.86,32.6326
10.88,32.5838
10.9,32.5348
10.92,32.4857
10.94,32.4364
10.96,32.3869
10.98,32.3373
11,32.2875
11.02,32.2375
11.04,32.1874
11.06,32.1371
11.08,32.0866
11.1,32.0359
11.12,31.985
11.14,31.934
11.16,31.8828
11.18,31.8313
11.2,31.7797
11.22,31.7279
11.24,31.6759
11.26,31.6237
11.28,31.5713
11.3,31.5187
11.32,31.4659
11.34,31.4129
11.36,31.3596
11.38,31.3062
11.4,31.2525
11.42,31.1987
11.44,31.1446
11.46,31.0903
11.48,31.0357
11.5,30.9809
11.52,30.9259
11.54,30.8707
11.56,30.8152
11.58,30.7595
11.6,30.7035
11.62,30.6473
11.64,30.5909
11.66,30.5342
11.68,30.4772
11.7,30.42
11.72,30.3625
11.74,30.3047
11.76,30.2467
11.78,30.1884
11.8,30.1299
11.82,30.071
11.84,30.0119
11.86,29.9525
11.88,29.8927
11.9,29.8327
11.92,29.7724
11.94,29.7118
11.96,29.6509
11.98,29.5897
12,29.5281
12.02,29.4663
12.04,29.4041
12.06,29.3416
12.08,29.2787
12.1,29.2155
12.12,29.152
12.14,29.0881
12.16,29.0239
12.18,28.9593
12.2,28.8944
12.22,28.8291
12.24,28.7634
12.26,28.6973
12.28,28.6309
12.3,28.564
12.32,28.4968
12.34,28.4292
12.36,28.3611
12.38,28.2927
12.4,28.2238
12.42,28.1545
12.44,28.0848
12.46,28.0146
12.48,27.944
12.5,27.8729
12.52,27.8014
12.54,27.7294
12.56,27.6569
12.58,27.5839
12.6,27.5105
12.62,27.4366
