C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P4_2PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-PC2_1_1_P4_2PORT
12,-1.47232
12.005,-1.47184
12.01,-1.47136
12.015,-1.47088
12.02,-1.47039
12.025,-1.4699
12.03,-1.46942
12.035,-1.46892
12.04,-1.46843
12.045,-1.46794
12.05,-1.46744
12.055,-1.46694
12.06,-1.46644
12.065,-1.46594
12.07,-1.46544
12.075,-1.46493
12.08,-1.46442
12.085,-1.46391
12.09,-1.4634
12.095,-1.46289
12.1,-1.46237
12.105,-1.46185
12.11,-1.46133
12.115,-1.46081
12.12,-1.46029
12.125,-1.45976
12.13,-1.45924
12.135,-1.45871
12.14,-1.45818
12.145,-1.45764
12.15,-1.45711
12.155,-1.45657
12.16,-1.45604
12.165,-1.45549
12.17,-1.45495
12.175,-1.45441
12.18,-1.45386
12.185,-1.45332
12.19,-1.45277
12.195,-1.45222
12.2,-1.45166
12.205,-1.45111
12.21,-1.45055
12.215,-1.44999
12.22,-1.44943
12.225,-1.44887
12.23,-1.44831
12.235,-1.44774
12.24,-1.44717
12.245,-1.4466
12.25,-1.44603
12.255,-1.44546
12.26,-1.44488
12.265,-1.4443
12.27,-1.44373
12.275,-1.44315
12.28,-1.44256
12.285,-1.44198
12.29,-1.44139
12.295,-1.4408
12.3,-1.44021
12.305,-1.43962
12.31,-1.43903
12.315,-1.43843
12.32,-1.43784
12.325,-1.43724
12.33,-1.43664
12.335,-1.43604
12.34,-1.43543
12.345,-1.43483
12.35,-1.43422
12.355,-1.43361
12.36,-1.433
12.365,-1.43238
12.37,-1.43177
12.375,-1.43115
12.38,-1.43053
12.385,-1.42991
12.39,-1.42929
12.395,-1.42867
12.4,-1.42804
12.405,-1.42741
12.41,-1.42678
12.415,-1.42615
12.42,-1.42552
12.425,-1.42489
12.43,-1.42425
12.435,-1.42361
12.44,-1.42297
12.445,-1.42233
12.45,-1.42169
12.455,-1.42104
12.46,-1.42039
12.465,-1.41975
12.47,-1.41909
12.475,-1.41844
12.48,-1.41779
12.485,-1.41713
12.49,-1.41648
12.495,-1.41582
12.5,-1.41516
12.505,-1.41449
12.51,-1.41383
12.515,-1.41316
12.52,-1.41249
12.525,-1.41183
12.53,-1.41115
12.535,-1.41048
12.54,-1.40981
12.545,-1.40913
12.55,-1.40845
12.555,-1.40777
12.56,-1.40709
12.565,-1.40641
12.57,-1.40572
12.575,-1.40504
12.58,-1.40435
12.585,-1.40366
12.59,-1.40297
12.595,-1.40227
12.6,-1.40158
12.605,-1.40088
12.61,-1.40018
12.615,-1.39948
12.62,-1.39878
12.625,-1.39808
12.63,-1.39737
12.635,-1.39666
12.64,-1.39595
12.645,-1.39524
12.65,-1.39453
12.655,-1.39382
12.66,-1.3931
12.665,-1.39239
12.67,-1.39167
12.675,-1.39095
12.68,-1.39022
12.685,-1.3895
12.69,-1.38878
12.695,-1.38805
12.7,-1.38732
12.705,-1.38659
12.71,-1.38586
12.715,-1.38512
12.72,-1.38439
12.725,-1.38365
12.73,-1.38291
12.735,-1.38217
12.74,-1.38143
12.745,-1.38069
12.75,-1.37994
12.755,-1.3792
12.76,-1.37845
12.765,-1.3777
12.77,-1.37695
12.775,-1.37619
12.78,-1.37544
12.785,-1.37468
12.79,-1.37392
12.795,-1.37316
12.8,-1.3724
12.805,-1.37164
12.81,-1.37088
12.815,-1.37011
12.82,-1.36934
12.825,-1.36857
12.83,-1.3678
12.835,-1.36703
12.84,-1.36626
12.845,-1.36548
12.85,-1.3647
12.855,-1.36392
12.86,-1.36314
12.865,-1.36236
12.87,-1.36158
12.875,-1.36079
12.88,-1.36001
12.885,-1.35922
12.89,-1.35843
12.895,-1.35764
12.9,-1.35684
12.905,-1.35605
12.91,-1.35525
12.915,-1.35446
12.92,-1.35366
12.925,-1.35286
12.93,-1.35205
12.935,-1.35125
12.94,-1.35045
12.945,-1.34964
12.95,-1.34883
12.955,-1.34802
12.96,-1.34721
12.965,-1.3464
12.97,-1.34558
12.975,-1.34477
12.98,-1.34395
12.985,-1.34313
12.99,-1.34231
12.995,-1.34149
13,-1.34066
13.005,-1.33984
13.01,-1.33901
13.015,-1.33818
13.02,-1.33735
13.025,-1.33652
13.03,-1.33569
13.035,-1.33485
13.04,-1.33402
13.045,-1.33318
13.05,-1.33234
13.055,-1.3315
13.06,-1.33066
13.065,-1.32982
13.07,-1.32897
13.075,-1.32813
13.08,-1.32728
13.085,-1.32643
13.09,-1.32558
13.095,-1.32473
13.1,-1.32388
13.105,-1.32302
13.11,-1.32216
13.115,-1.32131
13.12,-1.32045
13.125,-1.31959
13.13,-1.31872
13.135,-1.31786
13.14,-1.317
13.145,-1.31613
13.15,-1.31526
13.155,-1.31439
13.16,-1.31352
13.165,-1.31265
13.17,-1.31178
13.175,-1.3109
13.18,-1.31002
13.185,-1.30915
13.19,-1.30827
13.195,-1.30739
13.2,-1.3065
13.205,-1.30562
13.21,-1.30474
13.215,-1.30385
13.22,-1.30296
13.225,-1.30207
13.23,-1.30118
13.235,-1.30029
13.24,-1.2994
13.245,-1.2985
13.25,-1.29761
13.255,-1.29671
13.26,-1.29581
13.265,-1.29491
13.27,-1.29401
13.275,-1.2931
13.28,-1.2922
13.285,-1.29129
13.29,-1.29039
13.295,-1.28948
13.3,-1.28857
13.305,-1.28766
13.31,-1.28674
13.315,-1.28583
13.32,-1.28492
13.325,-1.284
13.33,-1.28308
13.335,-1.28216
13.34,-1.28124
13.345,-1.28032
13.35,-1.2794
13.355,-1.27847
13.36,-1.27755
13.365,-1.27662
13.37,-1.27569
13.375,-1.27476
13.38,-1.27383
13.385,-1.2729
13.39,-1.27196
13.395,-1.27103
13.4,-1.27009
13.405,-1.26915
13.41,-1.26821
13.415,-1.26727
13.42,-1.26633
13.425,-1.26539
13.43,-1.26444
13.435,-1.2635
13.44,-1.26255
13.445,-1.2616
13.45,-1.26065
13.455,-1.2597
13.46,-1.25875
13.465,-1.2578
13.47,-1.25684
13.475,-1.25589
13.48,-1.25493
13.485,-1.25397
13.49,-1.25301
13.495,-1.25205
13.5,-1.25109
13.505,-1.25013
13.51,-1.24916
13.515,-1.2482
13.52,-1.24723
13.525,-1.24626
13.53,-1.24529
13.535,-1.24432
13.54,-1.24335
13.545,-1.24238
13.55,-1.2414
13.555,-1.24043
13.56,-1.23945
13.565,-1.23847
13.57,-1.23749
13.575,-1.23651
13.58,-1.23553
13.585,-1.23455
13.59,-1.23356
13.595,-1.23258
13.6,-1.23159
13.605,-1.23061
13.61,-1.22962
13.615,-1.22863
13.62,-1.22764
13.625,-1.22664
13.63,-1.22565
13.635,-1.22466
13.64,-1.22366
13.645,-1.22266
13.65,-1.22166
13.655,-1.22067
13.66,-1.21966
13.665,-1.21866
13.67,-1.21766
13.675,-1.21666
13.68,-1.21565
13.685,-1.21465
13.69,-1.21364
13.695,-1.21263
13.7,-1.21162
13.705,-1.21061
13.71,-1.2096
13.715,-1.20858
13.72,-1.20757
13.725,-1.20655
13.73,-1.20554
13.735,-1.20452
13.74,-1.2035
13.745,-1.20248
13.75,-1.20146
13.755,-1.20044
13.76,-1.19942
13.765,-1.19839
13.77,-1.19737
13.775,-1.19634
13.78,-1.19531
13.785,-1.19429
13.79,-1.19326
13.795,-1.19223
13.8,-1.19119
13.805,-1.19016
13.81,-1.18913
13.815,-1.18809
13.82,-1.18706
13.825,-1.18602
13.83,-1.18498
13.835,-1.18394
13.84,-1.1829
13.845,-1.18186
13.85,-1.18082
13.855,-1.17978
13.86,-1.17873
13.865,-1.17769
13.87,-1.17664
13.875,-1.17559
13.88,-1.17455
13.885,-1.1735
13.89,-1.17245
13.895,-1.17139
13.9,-1.17034
13.905,-1.16929
13.91,-1.16823
13.915,-1.16718
13.92,-1.16612
13.925,-1.16507
13.93,-1.16401
13.935,-1.16295
13.94,-1.16189
13.945,-1.16083
13.95,-1.15976
13.955,-1.1587
13.96,-1.15764
13.965,-1.15657
13.97,-1.15551
13.975,-1.15444
13.98,-1.15337
13.985,-1.1523
13.99,-1.15123
13.995,-1.15016
14,-1.14909
14.005,-1.14802
14.01,-1.14694
14.015,-1.14587
14.02,-1.14479
14.025,-1.14372
14.03,-1.14264
14.035,-1.14156
14.04,-1.14048
14.045,-1.1394
14.05,-1.13832
14.055,-1.13724
14.06,-1.13615
14.065,-1.13507
14.07,-1.13399
14.075,-1.1329
14.08,-1.13181
14.085,-1.13073
14.09,-1.12964
14.095,-1.12855
14.1,-1.12746
14.105,-1.12637
14.11,-1.12528
14.115,-1.12419
14.12,-1.12309
14.125,-1.122
14.13,-1.1209
14.135,-1.11981
14.14,-1.11871
14.145,-1.11761
14.15,-1.11651
14.155,-1.11541
14.16,-1.11431
14.165,-1.11321
14.17,-1.11211
14.175,-1.11101
14.18,-1.10991
14.185,-1.1088
14.19,-1.1077
14.195,-1.10659
14.2,-1.10548
14.205,-1.10438
14.21,-1.10327
14.215,-1.10216
14.22,-1.10105
14.225,-1.09994
14.23,-1.09883
14.235,-1.09772
14.24,-1.0966
14.245,-1.09549
14.25,-1.09438
14.255,-1.09326
14.26,-1.09214
14.265,-1.09103
14.27,-1.08991
14.275,-1.08879
14.28,-1.08767
14.285,-1.08655
14.29,-1.08543
14.295,-1.08431
14.3,-1.08319
14.305,-1.08207
14.31,-1.08095
14.315,-1.07982
14.32,-1.0787
14.325,-1.07757
14.33,-1.07645
14.335,-1.07532
14.34,-1.07419
14.345,-1.07306
14.35,-1.07193
14.355,-1.07081
14.36,-1.06967
14.365,-1.06854
14.37,-1.06741
14.375,-1.06628
14.38,-1.06515
14.385,-1.06401
14.39,-1.06288
14.395,-1.06175
14.4,-1.06061
14.405,-1.05947
14.41,-1.05834
14.415,-1.0572
14.42,-1.05606
14.425,-1.05492
14.43,-1.05379
14.435,-1.05265
14.44,-1.05151
14.445,-1.05036
14.45,-1.04922
14.455,-1.04808
14.46,-1.04694
14.465,-1.04579
14.47,-1.04465
14.475,-1.04351
14.48,-1.04236
14.485,-1.04122
14.49,-1.04007
14.495,-1.03892
14.5,-1.03778
14.505,-1.03663
14.51,-1.03548
14.515,-1.03433
14.52,-1.03318
14.525,-1.03203
14.53,-1.03088
14.535,-1.02973
14.54,-1.02858
14.545,-1.02743
14.55,-1.02627
14.555,-1.02512
14.56,-1.02397
14.565,-1.02281
14.57,-1.02166
14.575,-1.02051
14.58,-1.01935
14.585,-1.01819
14.59,-1.01704
14.595,-1.01588
14.6,-1.01472
14.605,-1.01357
14.61,-1.01241
14.615,-1.01125
14.62,-1.01009
14.625,-1.00893
14.63,-1.00777
14.635,-1.00661
14.64,-1.00545
14.645,-1.00429
14.65,-1.00313
14.655,-1.00197
14.66,-1.00081
14.665,-0.999655
14.67,-0.998495
14.675,-0.997336
14.68,-0.996176
14.685,-0.995016
14.69,-0.993857
14.695,-0.992697
14.7,-0.991538
14.705,-0.990378
14.71,-0.989219
14.715,-0.98806
14.72,-0.9869
14.725,-0.985741
14.73,-0.984582
14.735,-0.983423
14.74,-0.982264
14.745,-0.981105
14.75,-0.979946
14.755,-0.978787
14.76,-0.977628
14.765,-0.97647
14.77,-0.975311
14.775,-0.974153
14.78,-0.972994
14.785,-0.971836
14.79,-0.970678
14.795,-0.96952
14.8,-0.968362
14.805,-0.967205
14.81,-0.966047
14.815,-0.96489
14.82,-0.963733
14.825,-0.962576
14.83,-0.961419
14.835,-0.960263
14.84,-0.959106
14.845,-0.95795
14.85,-0.956794
14.855,-0.955638
14.86,-0.954483
14.865,-0.953327
14.87,-0.952172
14.875,-0.951017
14.88,-0.949863
14.885,-0.948709
14.89,-0.947554
14.895,-0.946401
14.9,-0.945247
14.905,-0.944094
14.91,-0.942941
14.915,-0.941789
14.92,-0.940636
14.925,-0.939484
14.93,-0.938333
14.935,-0.937182
14.94,-0.936031
14.945,-0.93488
14.95,-0.93373
14.955,-0.932581
14.96,-0.931431
14.965,-0.930283
14.97,-0.929134
14.975,-0.927986
14.98,-0.926839
14.985,-0.925692
14.99,-0.924545
14.995,-0.923399
15,-0.922254
15.005,-0.921109
15.01,-0.919964
15.015,-0.91882
15.02,-0.917677
15.025,-0.916534
15.03,-0.915392
15.035,-0.91425
15.04,-0.91311
15.045,-0.911969
15.05,-0.91083
15.055,-0.909691
15.06,-0.908553
15.065,-0.907415
15.07,-0.906278
15.075,-0.905142
15.08,-0.904007
15.085,-0.902873
15.09,-0.901739
15.095,-0.900607
15.1,-0.899475
15.105,-0.898344
15.11,-0.897214
15.115,-0.896085
15.12,-0.894957
15.125,-0.89383
15.13,-0.892704
15.135,-0.891579
15.14,-0.890455
15.145,-0.889333
15.15,-0.888211
15.155,-0.887091
15.16,-0.885972
15.165,-0.884854
15.17,-0.883737
15.175,-0.882622
15.18,-0.881508
15.185,-0.880396
15.19,-0.879285
15.195,-0.878175
15.2,-0.877068
15.205,-0.875961
15.21,-0.874857
