C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.7801
2.05,55.5597
2.1,55.3443
2.15,55.1337
2.2,54.9276
2.25,54.7259
2.3,54.5283
2.35,54.3347
2.4,54.1448
2.45,53.9586
2.5,53.7758
2.55,53.5964
2.6,53.4201
2.65,53.2469
2.7,53.0766
2.75,52.9092
2.8,52.7445
2.85,52.5824
2.9,52.4228
2.95,52.2656
3,52.1107
3.05,51.9582
3.1,51.8077
3.15,51.6594
3.2,51.5132
3.25,51.3688
3.3,51.2264
3.35,51.0858
3.4,50.947
3.45,50.8099
3.5,50.6744
3.55,50.5406
3.6,50.4083
3.65,50.2776
3.7,50.1482
3.75,50.0204
3.8,49.8938
3.85,49.7687
3.9,49.6448
3.95,49.5222
4,49.4008
4.05,49.2805
4.1,49.1615
4.15,49.0435
4.2,48.9267
4.25,48.8109
4.3,48.6961
4.35,48.5823
4.4,48.4695
4.45,48.3577
4.5,48.2467
4.55,48.1367
4.6,48.0275
4.65,47.9191
4.7,47.8116
4.75,47.7049
4.8,47.599
4.85,47.4938
4.9,47.3893
4.95,47.2856
5,47.1826
5.05,47.0802
5.1,46.9785
5.15,46.8775
5.2,46.7771
5.25,46.6772
5.3,46.578
5.35,46.4794
5.4,46.3813
5.45,46.2838
5.5,46.1868
5.55,46.0903
5.6,45.9943
5.65,45.8988
5.7,45.8038
5.75,45.7092
5.8,45.6151
5.85,45.5214
5.9,45.4282
5.95,45.3354
6,45.2429
6.05,45.1509
6.1,45.0592
6.15,44.9679
6.2,44.877
6.25,44.7864
6.3,44.6961
6.35,44.6062
6.4,44.5165
6.45,44.4272
6.5,44.3382
6.55,44.2494
6.6,44.161
6.65,44.0727
6.7,43.9848
6.75,43.8971
6.8,43.8096
6.85,43.7224
6.9,43.6353
6.95,43.5485
7,43.4619
7.05,43.3755
7.1,43.2893
7.15,43.2032
7.2,43.1173
7.25,43.0316
7.3,42.946
7.35,42.8606
7.4,42.7753
7.45,42.6902
7.5,42.6052
7.55,42.5202
7.6,42.4354
7.65,42.3507
7.7,42.2661
7.75,42.1816
7.8,42.0971
7.85,42.0127
7.9,41.9284
7.95,41.8441
8,41.7599
8.05,41.6757
8.1,41.5916
8.15,41.5075
8.2,41.4234
8.25,41.3393
8.3,41.2552
8.35,41.1712
8.4,41.0871
8.45,41.003
8.5,40.9189
8.55,40.8347
8.6,40.7505
8.65,40.6663
8.7,40.582
8.75,40.4977
8.8,40.4133
8.85,40.3289
8.9,40.2443
8.95,40.1597
9,40.075
9.05,39.9901
9.1,39.9052
9.15,39.8202
9.2,39.735
9.25,39.6497
9.3,39.5643
9.35,39.4788
9.4,39.393
9.45,39.3072
9.5,39.2211
9.55,39.1349
9.6,39.0485
9.65,38.962
9.7,38.8752
9.75,38.7882
9.8,38.701
9.85,38.6136
9.9,38.526
9.95,38.4381
10,38.35
10.05,38.2616
10.1,38.173
10.15,38.0841
10.2,37.9949
10.25,37.9054
10.3,37.8156
10.35,37.7256
10.4,37.6352
10.45,37.5445
10.5,37.4534
10.55,37.362
10.6,37.2703
10.65,37.1782
10.7,37.0857
10.75,36.9928
10.8,36.8995
10.85,36.8059
10.9,36.7118
10.95,36.6172
11,36.5223
11.05,36.4269
11.1,36.331
11.15,36.2347
11.2,36.1378
11.25,36.0405
11.3,35.9426
11.35,35.8442
11.4,35.7453
11.45,35.6458
11.5,35.5458
11.55,35.4452
11.6,35.3439
11.65,35.2421
11.7,35.1396
11.75,35.0365
11.8,34.9327
11.85,34.8283
11.9,34.7231
11.95,34.6173
12,34.5107
12.05,34.4033
12.1,34.2952
12.15,34.1863
12.2,34.0766
12.25,33.966
12.3,33.8546
12.35,33.7423
12.4,33.6292
12.45,33.5151
12.5,33.4
12.55,33.284
12.6,33.167
12.65,33.0489
12.7,32.9299
12.75,32.8097
12.8,32.6884
12.85,32.566
12.9,32.4424
12.95,32.3176
13,32.1915
13.05,32.0642
13.1,31.9356
13.15,31.8056
13.2,31.6742
13.25,31.5414
13.3,31.4071
13.35,31.2713
13.4,31.1339
13.45,30.9949
13.5,30.8542
13.55,30.7119
13.6,30.5677
13.65,30.4218
13.7,30.2739
13.75,30.1241
13.8,29.9722
13.85,29.8183
13.9,29.6622
13.95,29.5039
14,29.3433
14.05,29.1802
14.1,29.0147
14.15,28.8466
14.2,28.6759
14.25,28.5023
14.3,28.3259
14.35,28.1465
14.4,27.9639
14.45,27.7781
14.5,27.5889
14.55,27.3962
14.6,27.1998
14.65,26.9996
14.7,26.7953
14.75,26.5869
14.8,26.374
14.85,26.1565
14.9,25.9342
14.95,25.7068
15,25.474
15.05,25.2356
15.1,24.9912
15.15,24.7406
15.2,24.4834
15.25,24.2191
15.3,23.9474
15.35,23.6678
15.4,23.3797
15.45,23.0827
15.5,22.776
15.55,22.4591
15.6,22.1312
15.65,21.7914
15.7,21.4387
15.75,21.0722
15.8,20.6907
15.85,20.2927
15.9,19.8768
15.95,19.4412
16,18.9839
16.05,18.5024
16.1,17.9941
16.15,17.4557
16.2,16.8832
16.25,16.272
16.3,15.6163
16.35,14.909
16.4,14.141
16.45,13.3009
16.5,12.3735
16.55,11.3383
16.6,10.1668
16.65,8.81729
16.7,7.2262
16.75,5.289
16.8,2.81771
16.85,-0.569608
16.9,-5.70953
16.95,-10.7081
17,-4.90032
17.05,-0.0798347
17.1,3.13242
17.15,5.4984
17.2,7.36293
17.25,8.89878
17.3,10.2033
17.35,11.3364
17.4,12.3376
17.45,13.2342
17.5,14.0456
17.55,14.7867
17.6,15.4685
17.65,16.0997
17.7,16.6872
17.75,17.2367
17.8,17.7526
17.85,18.2389
17.9,18.6987
17.95,19.1347
18,19.5493
18.05,19.9444
18.1,20.3218
18.15,20.6829
18.2,21.0292
18.25,21.3618
18.3,21.6816
18.35,21.9897
18.4,22.2869
18.45,22.5739
18.5,22.8514
18.55,23.1201
18.6,23.3803
18.65,23.6328
18.7,23.8778
18.75,24.1159
18.8,24.3475
18.85,24.5729
18.9,24.7923
18.95,25.0063
19,25.2149
19.05,25.4185
19.1,25.6174
19.15,25.8117
19.2,26.0017
19.25,26.1876
19.3,26.3696
19.35,26.5478
19.4,26.7224
19.45,26.8937
19.5,27.0616
19.55,27.2265
19.6,27.3883
19.65,27.5473
19.7,27.7036
19.75,27.8573
19.8,28.0084
19.85,28.1572
19.9,28.3036
19.95,28.4479
20,28.5901
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=1.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.758
2.05,55.5364
2.1,55.3199
2.15,55.1081
2.2,54.9008
2.25,54.6978
2.3,54.4989
2.35,54.304
2.4,54.1128
2.45,53.9252
2.5,53.741
2.55,53.5601
2.6,53.3823
2.65,53.2076
2.7,53.0358
2.75,52.8668
2.8,52.7005
2.85,52.5367
2.9,52.3755
2.95,52.2166
3,52.06
3.05,51.9057
3.1,51.7534
3.15,51.6033
3.2,51.4552
3.25,51.3089
3.3,51.1646
3.35,51.022
3.4,50.8812
3.45,50.742
3.5,50.6045
3.55,50.4686
3.6,50.3341
3.65,50.2012
3.7,50.0696
3.75,49.9395
3.8,49.8107
3.85,49.6832
3.9,49.5569
3.95,49.4319
4,49.3081
4.05,49.1854
4.1,49.0638
4.15,48.9433
4.2,48.8238
4.25,48.7054
4.3,48.5879
4.35,48.4714
4.4,48.3558
4.45,48.2412
4.5,48.1274
4.55,48.0144
4.6,47.9023
4.65,47.791
4.7,47.6804
4.75,47.5707
4.8,47.4616
4.85,47.3533
4.9,47.2456
4.95,47.1386
5,47.0323
5.05,46.9266
5.1,46.8216
5.15,46.7171
5.2,46.6132
5.25,46.5098
5.3,46.407
5.35,46.3047
5.4,46.203
5.45,46.1017
5.5,46.0009
5.55,45.9006
5.6,45.8007
5.65,45.7013
5.7,45.6023
5.75,45.5036
5.8,45.4054
5.85,45.3076
5.9,45.2101
5.95,45.113
6,45.0162
6.05,44.9198
6.1,44.8236
6.15,44.7278
6.2,44.6323
6.25,44.537
6.3,44.4421
6.35,44.3474
6.4,44.2529
6.45,44.1587
6.5,44.0646
6.55,43.9709
6.6,43.8773
6.65,43.7839
6.7,43.6907
6.75,43.5977
6.8,43.5048
6.85,43.4121
6.9,43.3195
6.95,43.2271
7,43.1348
7.05,43.0426
7.1,42.9505
7.15,42.8585
7.2,42.7666
7.25,42.6748
7.3,42.5831
7.35,42.4914
7.4,42.3997
7.45,42.3081
7.5,42.2166
7.55,42.125
7.6,42.0335
7.65,41.942
7.7,41.8505
7.75,41.7589
7.8,41.6674
7.85,41.5758
7.9,41.4842
7.95,41.3925
8,41.3007
8.05,41.209
8.1,41.1171
8.15,41.0251
8.2,40.9331
8.25,40.8409
8.3,40.7487
8.35,40.6563
8.4,40.5638
8.45,40.4711
8.5,40.3783
8.55,40.2854
8.6,40.1922
8.65,40.0989
8.7,40.0055
8.75,39.9118
8.8,39.8179
8.85,39.7238
8.9,39.6295
8.95,39.5349
9,39.4401
9.05,39.345
9.1,39.2497
9.15,39.1541
9.2,39.0582
9.25,38.962
9.3,38.8655
9.35,38.7687
9.4,38.6715
9.45,38.5741
9.5,38.4762
9.55,38.378
9.6,38.2794
9.65,38.1804
9.7,38.081
9.75,37.9812
9.8,37.881
9.85,37.7804
9.9,37.6792
9.95,37.5776
10,37.4756
10.05,37.373
10.1,37.2699
10.15,37.1663
10.2,37.0622
10.25,36.9575
10.3,36.8522
10.35,36.7464
10.4,36.6399
10.45,36.5328
10.5,36.4251
10.55,36.3167
10.6,36.2077
10.65,36.0979
10.7,35.9874
10.75,35.8763
10.8,35.7643
10.85,35.6516
10.9,35.5381
10.95,35.4238
11,35.3086
11.05,35.1926
11.1,35.0757
11.15,34.9578
11.2,34.8391
11.25,34.7193
11.3,34.5986
11.35,34.4769
11.4,34.3541
11.45,34.2303
11.5,34.1053
11.55,33.9792
11.6,33.8519
11.65,33.7234
11.7,33.5937
11.75,33.4627
11.8,33.3304
11.85,33.1967
11.9,33.0616
11.95,32.9251
12,32.7871
12.05,32.6476
12.1,32.5065
12.15,32.3637
12.2,32.2193
12.25,32.0731
12.3,31.9251
12.35,31.7753
12.4,31.6236
12.45,31.4699
12.5,31.3141
12.55,31.1562
12.6,30.9962
12.65,30.8338
12.7,30.6691
12.75,30.5019
12.8,30.3322
12.85,30.1599
12.9,29.9849
12.95,29.807
13,29.6261
13.05,29.4422
13.1,29.2551
13.15,29.0647
13.2,28.8707
13.25,28.6732
13.3,28.4719
13.35,28.2666
13.4,28.0571
13.45,27.8434
13.5,27.6251
13.55,27.402
13.6,27.1739
13.65,26.9406
13.7,26.7017
13.75,26.4569
13.8,26.206
13.85,25.9486
13.9,25.6843
13.95,25.4127
14,25.1333
14.05,24.8456
14.1,24.5491
14.15,24.2432
14.2,23.9272
14.25,23.6004
14.3,23.262
14.35,22.9111
14.4,22.5465
14.45,22.1673
14.5,21.7721
14.55,21.3594
14.6,20.9274
14.65,20.4744
14.7,19.9979
14.75,19.4954
14.8,18.9637
14.85,18.399
14.9,17.7971
14.95,17.1523
15,16.458
15.05,15.7057
15.1,14.8847
15.15,13.9809
15.2,12.9754
15.25,11.8422
15.3,10.5438
15.35,9.02339
15.4,7.18962
15.45,4.88159
15.5,1.77978
15.55,-2.84934
15.6,-9.59468
15.65,-5.60923
15.7,0.0420653
15.75,3.63658
15.8,6.20368
15.85,8.18993
15.9,9.80662
15.95,11.1684
16,12.3439
16.05,13.3776
16.1,14.2998
16.15,15.1318
16.2,15.8897
16.25,16.5853
16.3,17.2281
16.35,17.8255
16.4,18.3833
16.45,18.9064
16.5,19.3988
16.55,19.8639
16.6,20.3045
16.65,20.723
16.7,21.1216
16.75,21.5019
16.8,21.8657
16.85,22.2141
16.9,22.5485
16.95,22.87
17,23.1794
17.05,23.4777
17.1,23.7656
17.15,24.0438
17.2,24.3129
17.25,24.5735
17.3,24.8261
17.35,25.0711
17.4,25.3091
17.45,25.5404
17.5,25.7653
17.55,25.9842
17.6,26.1975
17.65,26.4053
17.7,26.608
17.75,26.8058
17.8,26.999
17.85,27.1877
17.9,27.3721
17.95,27.5525
18,27.729
18.05,27.9018
18.1,28.071
18.15,28.2368
18.2,28.3994
18.25,28.5587
18.3,28.7151
18.35,28.8685
18.4,29.0192
18.45,29.1671
18.5,29.3124
18.55,29.4552
18.6,29.5956
18.65,29.7337
18.7,29.8695
18.75,30.0032
18.8,30.1347
18.85,30.2642
18.9,30.3918
18.95,30.5174
19,30.6413
19.05,30.7633
19.1,30.8837
19.15,31.0023
19.2,31.1194
19.25,31.2349
19.3,31.349
19.35,31.4615
19.4,31.5727
19.45,31.6825
19.5,31.791
19.55,31.8982
19.6,32.0042
19.65,32.109
19.7,32.2127
19.75,32.3152
19.8,32.4168
19.85,32.5173
19.9,32.6168
19.95,32.7154
20,32.8132
C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\PC2_1_1_P5_3PORT.son DE_EMBEDDED Lk=2.0
FREQUENCY (GHz), DB[Z33]-PC2_1_1_P5_3PORT
2,55.7359
2.05,55.5132
2.1,55.2954
2.15,55.0824
2.2,54.8739
2.25,54.6696
2.3,54.4695
2.35,54.2732
2.4,54.0806
2.45,53.8916
2.5,53.706
2.55,53.5237
