Lk,   P1,     P3,    P4,    P5,
13.0, 7.6780, 8.170, 8.570, 8.82,
13.1, 7.6560, 0.000, 0.000, 0.00,
13.2, 7.6360, 8.130, 8.525, 8.77,
13.3, 7.6150, 0.000, 0.000, 0.00,
13.4, 7.5940, 8.085, 8.480, 8.73,
13.5, 7.5730, 0.000, 0.000, 0.00,
13.6, 7.5540, 8.040, 8.435, 8.68,
13.7, 7.5330, 0.000, 0.000, 0.00,
13.8, 7.5130, 8.000, 8.390, 8.63,
13.9, 7.4940, 0.000, 0.000, 0.00,
14.0, 7.4740, 7.955, 8.350, 8.59,
14.1, 7.4540, 0.000, 0.000, 0.00,
14.2, 7.4360, 7.915, 8.310, 8.55,
14.3, 7.4160, 0.000, 0.000, 0.00,
14.4, 7.3970, 7.875, 8.265, 8.50,
14.5, 7.3780, 0.000, 0.000, 0.00,
14.6, 7.3590, 7.840, 8.225, 8.46,
14.7, 7.3400, 0.000, 0.000, 0.00,
14.8, 7.3220, 7.800, 8.185, 8.42,
14.9, 7.3040, 0.000, 0.000, 0.00,
15.0, 7.2860, 7.760, 8.145, 8.38,
15.2, 0.0000, 7.720, 8.105, 8.34,
15.4, 0.0000, 7.685, 8.065, 8.30,
15.6, 0.0000, 0.000, 8.025, 8.26,
15.8, 0.0000, 0.000, 7.990, 8.22,
16.0, 0.0000, 0.000, 7.955, 8.18,
16.2, 0.0000, 0.000, 0.000, 8.15,
16.4, 0.0000, 0.000, 0.000, 8.11,
16.6, 0.0000, 0.000, 0.000, 8.07,
16.8, 0.0000, 0.000, 0.000, 8.04,
17.0, 0.0000, 0.000, 0.000, 8.00,
