C:\Users\oper\Downloads\Photon_count_2_V5_2D_2_5CELL_mod_2port.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_count_2_V5_2D_2_5CELL_mod_2port
14.588,-0.792396
14.5885,-0.792505
14.589,-0.792615
14.5895,-0.792726
14.59,-0.792839
14.5905,-0.792953
14.591,-0.793068
14.5915,-0.793185
14.592,-0.793303
14.5925,-0.793422
14.593,-0.793543
14.5935,-0.793666
14.594,-0.793789
14.5945,-0.793915
14.595,-0.794041
14.5955,-0.794169
14.596,-0.794299
14.5965,-0.79443
14.597,-0.794562
14.5975,-0.794696
14.598,-0.794832
14.5985,-0.794969
14.599,-0.795108
14.5995,-0.795248
14.6,-0.79539
14.6005,-0.795533
14.601,-0.795678
14.6015,-0.795825
14.602,-0.795973
14.6025,-0.796123
14.603,-0.796275
14.6035,-0.796428
14.604,-0.796583
14.6045,-0.796739
14.605,-0.796898
14.6055,-0.797058
14.606,-0.79722
14.6065,-0.797383
14.607,-0.797549
14.6075,-0.797716
14.608,-0.797885
14.6085,-0.798056
14.609,-0.798229
14.6095,-0.798403
14.61,-0.79858
14.6105,-0.798758
14.611,-0.798938
14.6115,-0.799121
14.612,-0.799305
14.6125,-0.799491
14.613,-0.799679
14.6135,-0.799869
14.614,-0.800061
14.6145,-0.800256
14.615,-0.800452
14.6155,-0.80065
14.616,-0.800851
14.6165,-0.801053
14.617,-0.801258
14.6175,-0.801465
14.618,-0.801674
14.6185,-0.801885
14.619,-0.802099
14.6195,-0.802315
14.62,-0.802533
14.6205,-0.802753
14.621,-0.802976
14.6215,-0.803201
14.622,-0.803428
14.6225,-0.803658
14.623,-0.80389
14.6235,-0.804124
14.624,-0.804361
14.6245,-0.804601
14.625,-0.804843
14.6255,-0.805087
14.626,-0.805334
14.6265,-0.805584
14.627,-0.805836
14.6275,-0.806091
14.628,-0.806349
14.6285,-0.806609
14.629,-0.806872
14.6295,-0.807137
14.63,-0.807406
14.6305,-0.807677
14.631,-0.807951
14.6315,-0.808228
14.632,-0.808507
14.6325,-0.80879
14.633,-0.809076
14.6335,-0.809364
14.634,-0.809656
14.6345,-0.80995
14.635,-0.810248
14.6355,-0.810549
14.636,-0.810853
14.6365,-0.81116
14.637,-0.81147
14.6375,-0.811783
14.638,-0.8121
14.6385,-0.81242
14.639,-0.812743
14.6395,-0.81307
14.64,-0.8134
14.6405,-0.813734
14.641,-0.814071
14.6415,-0.814411
14.642,-0.814756
14.6425,-0.815103
14.643,-0.815455
14.6435,-0.81581
14.644,-0.816168
14.6445,-0.816531
14.645,-0.816897
14.6455,-0.817267
14.646,-0.817641
14.6465,-0.818019
14.647,-0.818401
14.6475,-0.818787
14.648,-0.819177
14.6485,-0.819571
14.649,-0.819969
14.6495,-0.820371
14.65,-0.820778
14.6505,-0.821189
14.651,-0.821604
14.6515,-0.822024
14.652,-0.822448
14.6525,-0.822876
14.653,-0.823309
14.6535,-0.823747
14.654,-0.824189
14.6545,-0.824637
14.655,-0.825088
14.6555,-0.825545
14.656,-0.826007
14.6565,-0.826473
14.657,-0.826945
14.6575,-0.827421
14.658,-0.827903
14.6585,-0.82839
14.659,-0.828882
14.6595,-0.829379
14.66,-0.829882
14.6605,-0.83039
14.661,-0.830904
14.6615,-0.831423
14.662,-0.831948
14.6625,-0.832479
14.663,-0.833015
14.6635,-0.833557
14.664,-0.834106
14.6645,-0.83466
14.665,-0.83522
14.6655,-0.835786
14.666,-0.836359
14.6665,-0.836938
14.667,-0.837523
14.6675,-0.838115
14.668,-0.838713
14.6685,-0.839318
14.669,-0.83993
14.6695,-0.840549
14.67,-0.841174
14.6705,-0.841806
14.671,-0.842446
14.6715,-0.843093
14.672,-0.843746
14.6725,-0.844408
14.673,-0.845076
14.6735,-0.845753
14.674,-0.846437
14.6745,-0.847128
14.675,-0.847828
14.6755,-0.848536
14.676,-0.849251
14.6765,-0.849975
14.677,-0.850707
14.6775,-0.851448
14.678,-0.852197
14.6785,-0.852955
14.679,-0.853721
14.6795,-0.854497
14.68,-0.855281
14.6805,-0.856075
14.681,-0.856878
14.6815,-0.85769
14.682,-0.858512
14.6825,-0.859343
14.683,-0.860185
14.6835,-0.861036
14.684,-0.861897
14.6845,-0.862769
14.685,-0.863651
14.6855,-0.864543
14.686,-0.865446
14.6865,-0.86636
14.687,-0.867285
14.6875,-0.868222
14.688,-0.869169
14.6885,-0.870128
14.689,-0.871099
14.6895,-0.872081
14.69,-0.873076
14.6905,-0.874083
14.691,-0.875102
14.6915,-0.876133
14.692,-0.877178
14.6925,-0.878235
14.693,-0.879306
14.6935,-0.880389
14.694,-0.881487
14.6945,-0.882598
14.695,-0.883723
14.6955,-0.884863
14.696,-0.886016
14.6965,-0.887185
14.697,-0.888368
14.6975,-0.889566
14.698,-0.89078
14.6985,-0.892009
14.699,-0.893254
14.6995,-0.894516
14.7,-0.895793
14.7005,-0.897087
14.701,-0.898398
14.7015,-0.899727
14.702,-0.901072
14.7025,-0.902435
14.703,-0.903817
14.7035,-0.905216
14.704,-0.906635
14.7045,-0.908072
14.705,-0.909528
14.7055,-0.911004
14.706,-0.912499
14.7065,-0.914015
14.707,-0.915552
14.7075,-0.917109
14.708,-0.918688
14.7085,-0.920288
14.709,-0.92191
14.7095,-0.923554
14.71,-0.925221
14.7105,-0.926911
14.711,-0.928625
14.7115,-0.930363
14.712,-0.932125
14.7125,-0.933912
14.713,-0.935723
14.7135,-0.937561
14.714,-0.939425
14.7145,-0.941315
14.715,-0.943232
14.7155,-0.945176
14.716,-0.947149
14.7165,-0.94915
14.717,-0.95118
14.7175,-0.95324
14.718,-0.955329
14.7185,-0.957449
14.719,-0.9596
14.7195,-0.961783
14.72,-0.963998
14.7205,-0.966246
14.721,-0.968528
14.7215,-0.970843
14.722,-0.973193
14.7225,-0.975579
14.723,-0.978
14.7235,-0.980458
14.724,-0.982954
14.7245,-0.985487
14.725,-0.988059
14.7255,-0.990671
14.726,-0.993322
14.7265,-0.996015
14.727,-0.998749
14.7275,-1.00153
14.728,-1.00435
14.7285,-1.00721
14.729,-1.01012
14.7295,-1.01307
14.73,-1.01607
14.7305,-1.01912
14.731,-1.02222
14.7315,-1.02537
14.732,-1.02856
14.7325,-1.03181
14.733,-1.03511
14.7335,-1.03846
14.734,-1.04187
14.7345,-1.04533
14.735,-1.04885
14.7355,-1.05242
14.736,-1.05606
14.7365,-1.05975
14.737,-1.0635
14.7375,-1.06732
14.738,-1.07119
14.7385,-1.07513
14.739,-1.07914
14.7395,-1.08321
14.74,-1.08735
14.7403,-1.08964
14.7405,-1.09156
14.741,-1.09584
14.7415,-1.10019
14.7415,-1.10034
14.742,-1.10461
14.7425,-1.10911
14.7427,-1.11122
14.743,-1.11368
14.7435,-1.11832
14.7439,-1.12228
14.744,-1.12305
14.7445,-1.12785
14.745,-1.13273
14.7451,-1.13352
14.7455,-1.1377
14.746,-1.14275
14.7462,-1.14493
14.7465,-1.14788
14.747,-1.1531
14.7473,-1.15649
14.7475,-1.1584
14.748,-1.1638
14.7484,-1.16821
14.7485,-1.16928
14.749,-1.17485
14.7495,-1.18007
14.7495,-1.18052
14.75,-1.18628
14.7505,-1.19206
