 Sonnet Data File
 From: sonnet Version : 18.56
 From Project: Photon_count_2_V5_2D_2_5CELL_mod_2port
 Data is De-embedded 
 Data File Written: 05/21/2026 10:23:15
Project Date: 05/21/2026 10:11:26
R 50.00000
Frequency (GHz),RE[S11],IM[S11],RE[S12],IM[S12],RE[S21],IM[S21],RE[S22],IM[S22]
Lk = 0.0
14.58800000000000,-0.277804483210,0.2776462718700,-0.642822831597,-0.648074181681,-0.642822831597,-0.648074181681,-0.277726482705,0.2779632240456
14.58850000000000,-0.277761936434,0.2776875167486,-0.642892054035,-0.647989431867,-0.642892054035,-0.647989431867,-0.277686554209,0.2780030072041
14.58900000000000,-0.277719367243,0.2777289704666,-0.642961251993,-0.647904484857,-0.642961251993,-0.647904484857,-0.277646661905,0.2780429067585
14.58950000000000,-0.277676779184,0.2777706142975,-0.643030438824,-0.647819334942,-0.643030438824,-0.647819334942,-0.277606765346,0.2780829911972
14.59000000000000,-0.277634171916,0.2778124496413,-0.643099614245,-0.647733980729,-0.643099614245,-0.647733980729,-0.277566864304,0.2781232618985
14.59050000000000,-0.277591545097,0.2778544779109,-0.643168777963,-0.647648420813,-0.643168777963,-0.647648420813,-0.277526958546,0.2781637202536
14.59100000000000,-0.277548898374,0.2778967005323,-0.643237929684,-0.647562653777,-0.643237929684,-0.647562653777,-0.277487047836,0.2782043676666
14.59150000000000,-0.277506231393,0.2779391189450,-0.643307069108,-0.647476678188,-0.643307069108,-0.647476678188,-0.277447131933,0.2782452055550
14.59200000000000,-0.277463543792,0.2779817346015,-0.643376195928,-0.647390492603,-0.643376195928,-0.647390492603,-0.277407210590,0.2782862353495
14.59250000000000,-0.277420835205,0.2780245489681,-0.643445309835,-0.647304095563,-0.643445309835,-0.647304095563,-0.277367283559,0.2783274584943
14.59300000000000,-0.277378105258,0.2780675635247,-0.643514410512,-0.647217485596,-0.643514410512,-0.647217485596,-0.277327350584,0.2783688764475
14.59350000000000,-0.277335353574,0.2781107797651,-0.643583497640,-0.647130661217,-0.643583497640,-0.647130661217,-0.277287411405,0.2784104906806
14.59400000000000,-0.277292579767,0.2781541991971,-0.643652570891,-0.647043620926,-0.643652570891,-0.647043620926,-0.277247465759,0.2784523026795
14.59450000000000,-0.277249783448,0.2781978233426,-0.643721629934,-0.646956363208,-0.643721629934,-0.646956363208,-0.277207513376,0.2784943139439
14.59500000000000,-0.277206964218,0.2782416537379,-0.643790674432,-0.646868886537,-0.643790674432,-0.646868886537,-0.277167553983,0.2785365259881
14.59550000000000,-0.277164121676,0.2782856919338,-0.643859704042,-0.646781189369,-0.643859704042,-0.646781189369,-0.277127587301,0.2785789403405
14.59600000000000,-0.277121255412,0.2783299394957,-0.643928718415,-0.646693270146,-0.643928718415,-0.646693270146,-0.277087613045,0.2786215585446
14.59650000000000,-0.277078365010,0.2783743980039,-0.643997717196,-0.646605127297,-0.643997717196,-0.646605127297,-0.277047630926,0.2786643821582
14.59700000000000,-0.277035450047,0.2784190690538,-0.644066700026,-0.646516759235,-0.644066700026,-0.646516759235,-0.277007640649,0.2787074127546
14.59750000000000,-0.276992510095,0.2784639542556,-0.644135666537,-0.646428164357,-0.644135666537,-0.646428164357,-0.276967641915,0.2787506519218
14.59800000000000,-0.276949544717,0.2785090552354,-0.644204616357,-0.646339341045,-0.644204616357,-0.646339341045,-0.276927634418,0.2787941012634
14.59850000000000,-0.276906553470,0.2785543736343,-0.644273549107,-0.646250287666,-0.644273549107,-0.646250287666,-0.276887617846,0.2788377623984
14.59900000000000,-0.276863535905,0.2785999111094,-0.644342464401,-0.646161002571,-0.644342464401,-0.646161002571,-0.276847591883,0.2788816369616
14.59950000000000,-0.276820491564,0.2786456693337,-0.644411361849,-0.646071484096,-0.644411361849,-0.646071484096,-0.276807556206,0.2789257266036
14.60000000000000,-0.276777419983,0.2786916499962,-0.644480241051,-0.645981730559,-0.644480241051,-0.645981730559,-0.276767510487,0.2789700329911
14.60050000000000,-0.276734320690,0.2787378548021,-0.644549101603,-0.645891740263,-0.644549101603,-0.645891740263,-0.276727454391,0.2790145578070
14.60100000000000,-0.276691193205,0.2787842854731,-0.644617943092,-0.645801511495,-0.644617943092,-0.645801511495,-0.276687387577,0.2790593027508
14.60150000000000,-0.276648037043,0.2788309437478,-0.644686765101,-0.645711042524,-0.644686765101,-0.645711042524,-0.276647309698,0.2791042695385
14.60200000000000,-0.276604851707,0.2788778313812,-0.644755567202,-0.645620331602,-0.644755567202,-0.645620331602,-0.276607220402,0.2791494599029
14.60250000000000,-0.276561636694,0.2789249501456,-0.644824348962,-0.645529376967,-0.644824348962,-0.645529376967,-0.276567119328,0.2791948755941
14.60300000000000,-0.276518391495,0.2789723018306,-0.644893109943,-0.645438176835,-0.644893109943,-0.645438176835,-0.276527006111,0.2792405183792
14.60350000000000,-0.276475115590,0.2790198882430,-0.644961849694,-0.645346729409,-0.644961849694,-0.645346729409,-0.276486880376,0.2792863900429
14.60400000000000,-0.276431808452,0.2790677112075,-0.645030567762,-0.645255032871,-0.645030567762,-0.645255032871,-0.276446741745,0.2793324923876
14.60450000000000,-0.276388469544,0.2791157725665,-0.645099263682,-0.645163085388,-0.645099263682,-0.645163085388,-0.276406589831,0.2793788272333
14.60500000000000,-0.276345098322,0.2791640741806,-0.645167936984,-0.645070885105,-0.645167936984,-0.645070885105,-0.276366424239,0.2794253964185
14.60550000000000,-0.276301694233,0.2792126179286,-0.645236587190,-0.644978430153,-0.645236587190,-0.644978430153,-0.276326244569,0.2794722017997
14.60600000000000,-0.276258256714,0.2792614057077,-0.645305213810,-0.644885718642,-0.645305213810,-0.644885718642,-0.276286050412,0.2795192452520
14.60650000000000,-0.276214785194,0.2793104394341,-0.645373816351,-0.644792748663,-0.645373816351,-0.644792748663,-0.276245841353,0.2795665286695
14.60700000000000,-0.276171279093,0.2793597210427,-0.645442394309,-0.644699518290,-0.645442394309,-0.644699518290,-0.276205616968,0.2796140539650
14.60750000000000,-0.276127737820,0.2794092524877,-0.645510947170,-0.644606025575,-0.645510947170,-0.644606025575,-0.276165376826,0.2796618230706
14.60800000000000,-0.276084160775,0.2794590357427,-0.645579474414,-0.644512268554,-0.645579474414,-0.644512268554,-0.276125120487,0.2797098379378
