C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim
15,-0.207426
15.0005,-0.207346
15.001,-0.207265
15.0015,-0.207185
15.002,-0.207104
15.0025,-0.207024
15.003,-0.206944
15.0035,-0.206863
15.004,-0.206783
15.0045,-0.206703
15.005,-0.206623
15.0055,-0.206543
15.006,-0.206463
15.0065,-0.206383
15.007,-0.206303
15.0075,-0.206223
15.008,-0.206143
15.0085,-0.206063
15.009,-0.205983
15.0095,-0.205904
15.01,-0.205824
15.0105,-0.205744
15.011,-0.205665
15.0115,-0.205585
15.012,-0.205505
15.0125,-0.205426
15.013,-0.205347
15.0135,-0.205267
15.014,-0.205188
15.0145,-0.205108
15.015,-0.205029
15.0155,-0.20495
15.016,-0.204871
15.0165,-0.204792
15.017,-0.204713
15.0175,-0.204634
15.018,-0.204555
15.0185,-0.204476
15.019,-0.204397
15.0195,-0.204318
15.02,-0.204239
15.0205,-0.20416
15.021,-0.204082
15.0215,-0.204003
15.022,-0.203924
15.0225,-0.203846
15.023,-0.203767
15.0235,-0.203689
15.024,-0.20361
15.0245,-0.203532
15.025,-0.203453
15.0255,-0.203375
15.026,-0.203297
15.0265,-0.203219
15.027,-0.203141
15.0275,-0.203062
15.028,-0.202984
15.0285,-0.202906
15.029,-0.202828
15.0295,-0.20275
15.03,-0.202673
15.0305,-0.202595
15.031,-0.202517
15.0315,-0.202439
15.032,-0.202362
15.0325,-0.202284
15.033,-0.202206
15.0335,-0.202129
15.034,-0.202051
15.0345,-0.201974
15.035,-0.201896
15.0355,-0.201819
15.036,-0.201742
15.0365,-0.201665
15.037,-0.201587
15.0375,-0.20151
15.038,-0.201433
15.0385,-0.201356
15.039,-0.201279
15.0395,-0.201202
15.04,-0.201125
15.0405,-0.201048
15.041,-0.200972
15.0415,-0.200895
15.042,-0.200818
15.0425,-0.200742
15.043,-0.200665
15.0435,-0.200588
15.044,-0.200512
15.0445,-0.200436
15.045,-0.200359
15.0455,-0.200283
15.046,-0.200207
15.0465,-0.20013
15.047,-0.200054
15.0475,-0.199978
15.048,-0.199902
15.0485,-0.199826
15.049,-0.19975
15.0495,-0.199674
15.05,-0.199598
15.0505,-0.199522
15.051,-0.199447
15.0515,-0.199371
15.052,-0.199295
15.0525,-0.19922
15.053,-0.199144
15.0535,-0.199069
15.054,-0.198993
15.0545,-0.198918
15.055,-0.198842
15.0555,-0.198767
15.056,-0.198692
15.0565,-0.198617
15.057,-0.198542
15.0575,-0.198467
15.058,-0.198392
15.0585,-0.198317
15.059,-0.198242
15.0595,-0.198167
15.06,-0.198092
15.0605,-0.198017
15.061,-0.197943
15.0615,-0.197868
15.062,-0.197794
15.0625,-0.197719
15.063,-0.197645
15.0635,-0.19757
15.064,-0.197496
15.0645,-0.197422
15.065,-0.197348
15.0655,-0.197273
15.066,-0.197199
15.0665,-0.197125
15.067,-0.197051
15.0675,-0.196977
15.068,-0.196904
15.0685,-0.19683
15.069,-0.196756
15.0695,-0.196682
15.07,-0.196609
15.0705,-0.196535
15.071,-0.196462
15.0715,-0.196388
15.072,-0.196315
15.0725,-0.196241
15.073,-0.196168
15.0735,-0.196095
15.074,-0.196022
15.0745,-0.195949
15.075,-0.195876
15.0755,-0.195803
15.076,-0.19573
15.0765,-0.195657
15.077,-0.195584
15.0775,-0.195512
15.078,-0.195439
15.0785,-0.195366
15.079,-0.195294
15.0795,-0.195221
15.08,-0.195149
15.0805,-0.195077
15.081,-0.195004
15.0815,-0.194932
15.082,-0.19486
15.0825,-0.194788
15.083,-0.194716
15.0835,-0.194644
15.084,-0.194572
15.0845,-0.1945
15.085,-0.194428
15.0855,-0.194357
15.086,-0.194285
15.0865,-0.194213
15.087,-0.194142
15.0875,-0.19407
15.088,-0.193999
15.0885,-0.193928
15.089,-0.193857
15.0895,-0.193785
15.09,-0.193714
15.0905,-0.193643
15.091,-0.193572
15.0915,-0.193501
15.092,-0.193431
15.0925,-0.19336
