C:\Users\oper\labQT\Lab2025\QTLab2526\SinglePhoton\VNA\CRIO_measures_new\Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim.son DE_EMBEDDED Lk=0.0
FREQUENCY (GHz), DB[S21]-Photon_Count_2_V5_PC_2_1_1_PIXEL3_2PORT_longsim
5,-1.14614
5.002,-1.14668
5.004,-1.14721
5.006,-1.14774
5.008,-1.14828
5.01,-1.14881
5.012,-1.14934
5.014,-1.14988
5.016,-1.15041
5.018,-1.15094
5.02,-1.15148
5.022,-1.15201
5.024,-1.15254
5.026,-1.15307
5.028,-1.1536
5.03,-1.15413
5.032,-1.15467
5.034,-1.1552
5.036,-1.15573
5.038,-1.15626
5.04,-1.15679
5.042,-1.15732
5.044,-1.15785
5.046,-1.15838
5.048,-1.15891
5.05,-1.15943
5.052,-1.15996
5.054,-1.16049
5.056,-1.16102
5.058,-1.16155
5.06,-1.16208
5.062,-1.1626
5.064,-1.16313
5.066,-1.16366
5.068,-1.16419
5.07,-1.16471
5.072,-1.16524
5.074,-1.16577
5.076,-1.16629
5.078,-1.16682
5.08,-1.16734
5.082,-1.16787
5.084,-1.16839
5.086,-1.16892
5.088,-1.16944
5.09,-1.16997
5.092,-1.17049
5.094,-1.17102
5.096,-1.17154
5.098,-1.17206
5.1,-1.17259
5.102,-1.17311
5.104,-1.17363
5.106,-1.17416
5.108,-1.17468
5.11,-1.1752
5.112,-1.17572
5.114,-1.17624
5.116,-1.17677
5.118,-1.17729
5.12,-1.17781
5.122,-1.17833
5.124,-1.17885
5.126,-1.17937
5.128,-1.17989
5.13,-1.18041
5.132,-1.18093
5.134,-1.18145
5.136,-1.18197
5.138,-1.18249
5.14,-1.18301
5.142,-1.18352
5.144,-1.18404
5.146,-1.18456
5.148,-1.18508
5.15,-1.1856
5.152,-1.18611
5.154,-1.18663
5.156,-1.18715
5.158,-1.18766
5.16,-1.18818
5.162,-1.1887
5.164,-1.18921
5.166,-1.18973
5.168,-1.19024
5.17,-1.19076
5.172,-1.19127
5.174,-1.19179
5.176,-1.1923
5.178,-1.19282
5.18,-1.19333
5.182,-1.19384
5.184,-1.19436
5.186,-1.19487
5.188,-1.19538
5.19,-1.1959
5.192,-1.19641
5.194,-1.19692
5.196,-1.19743
5.198,-1.19794
5.2,-1.19846
5.202,-1.19897
5.204,-1.19948
5.206,-1.19999
5.208,-1.2005
5.21,-1.20101
5.212,-1.20152
5.214,-1.20203
5.216,-1.20254
5.218,-1.20305
5.22,-1.20356
5.222,-1.20407
5.224,-1.20458
5.226,-1.20508
5.228,-1.20559
5.23,-1.2061
5.232,-1.20661
5.234,-1.20711
5.236,-1.20762
5.238,-1.20813
5.24,-1.20864
5.242,-1.20914
5.244,-1.20965
5.246,-1.21015
5.248,-1.21066
5.25,-1.21116
5.252,-1.21167
5.254,-1.21218
5.256,-1.21268
5.258,-1.21318
5.26,-1.21369
5.262,-1.21419
5.264,-1.2147
5.266,-1.2152
5.268,-1.2157
5.27,-1.21621
5.272,-1.21671
5.274,-1.21721
5.276,-1.21771
