T;Terr;P1;P5;P2;P3;P4
10;0.2;7492294018;8637914318;7812106305;7992514156;8397354005
11.95;0.2;7492328607;8637946318;7812159600;7992548630;8397394266
100;0.5;7492295435;8637919817;7812132936;7992522513;8397354559
200;1;0;8637919219;7812111147;7992491131;8397345321
300;2;7492228263;8637948311;7812133458;7992479737;8397362103
350;4;7492218890;8637949877;7812076883;7992437487;8397343534
450;5;7492140181;8637948438;7811857210;7992359672;8397317601
550;5;7491971045;8637857212;7811547438;7992070291;8397115136
650;8;7491462542;8637498154;7811211386;7991408832;8396690364
700;10;7490940653;8636981700;7810622295;7991013356;8396032737
750;10;7490374088;8636476318;7810637842;7990124414;8395684419
800;10;7489378120;8635452730;7809164909;7989327713;8394738578
850;10;7487677418;8634094699;7807963437;7987893197;8393362348
