T, f, Q_i
200.0, 7492271227.026375, 4.4472015880796505e-06
300.0, 7492228441.590663, 3.3449927766699685e-06
400.0, 7492191241.50493, 3.5132662201994413e-06
500.0, 7492107787.687877, 4.5801311451886895e-06
550.0, 7492030277.929519, 6.464102468197526e-06
600.0, 7491903618.69596, 1.0243121156873545e-05
650.0, 7491493092.704356, 2.4385361696400293e-05
675.0, 7491338714.192339, 3.105221177622942e-05
700.0, 7491178535.264874, 4.230018543446737e-05
725.0, 7491007635.090599, 4.980745145541918e-05
750.0, 7490388662.96161, 7.001049730434735e-05
775.0, 7490090161.332461, 7.877959339316128e-05
800.0, 7489620146.800157, 9.951943050597078e-05
825.0, 7488949601.260233, 0.00013072739133282516
850.0, 7488306906.597071, 0.00015604228291344355
875.0, 7486942549.927815, 0.00019659563650162542
900.0, 7486585009.538424, 0.0002213529321867648
925.0, 7485493777.899652, 0.0002446797764819852
950.0, 7483342592.025529, 0.00036236802786407255
975.0, 7481131897.897581, 0.0004079946562709877
1000.0, 7478454605.371049, 0.00048665576414617083
