T,f,Q_i
10, 7492294018, 278813.31224
11.95, 7492328607, 269814.06283
100, 7492295435, 235844.28685
200.0,7492271227.026375,224860.50613950487
300.0,7492228441.590663,298954.3077565409
301, 7492228263, 185902.83883
350, 7492218890, 186090.36891
400.0,7492191241.50493,284635.41824713524
450, 7492140181, 172884.79685
500.0,7492107787.687877,218334.35949764765
550.0,7492030277.929519,154700.5179636089
551, 7491971045, 110614.35338
600.0,7491903618.69596,97626.49339834861
650.0,7491493092.704356,41008.20863147655
650, 7491462542, 42856.683371
675.0,7491338714.192339,32203.825196294187
700.0,7491178535.264874,23640.55830320716
701, 7490940653, 21320.96009
725.0,7491007635.090599,20077.31716398024
750.0,7490388662.96161,14283.572299920006
751, 7490374088, 14738.47258
775.0,7490090161.332461,12693.6425656496
800.0,7489620146.800157,10048.289011661938
801, 7489378120, 8062.16226
825.0,7488949601.260233,7649.506272593203
850.0,7488306906.597071,6408.519417490052
851, 7487677418, 5240.92983
875.0,7486942549.927815,5086.582885535517
900.0,7486585009.538424,4517.6722536322695
925.0,7485493777.899652,4086.9744707894733
950.0,7483342592.025529,2759.6253618029154
975.0,7481131897.897581,2451.012493987227
1000.0,7478454605.371049,2054.8405539891805
