T(mK);  R1;             R2;             R3;             R4;             R5;;

10;     278813.31224;   214703.86494;   195626.92719;   61100.94838;    4895.31143;;
11.95;  269814.06283;   209850.24133;   192084.62997;   56708.33767;    4881.56993;;
100;    235844.28685;   202178.31582;   182818.67320;   60075.26328;    4887.62180;;
200;    192403.67450;   171400.14506;   58455.97644;    4830.26674;;
300;    185902.83883;   179916.28086;   163769.10056;   57216.37450;    4796.02553;;
350;    186090.36891;   181450.37617;   161704.36862;   56852.83579;    4778.21257;;
450;    172884.79685;   150826.51571;   142280.55878;   55246.13210;    4741.62830;;
550;    110614.35338;   144717.65717;   77148.06220;    44353.09155;    4669.87725;;
650;    42856.68337;    9807.72418 ;    33877.15055;    20784.93641;    4412.82134;;
700;    21320.96009;    16248.69400;    20766.10456;    15843.84663;    4069.51100;;
750;    14738.47258;    2280.87454 ;    15253.29469;    7537.83445;     3704.57559;;
800;    8062.16226;     7245.39339;     9026.62730;     8440.98574;     3250.57999;;
850;    5240.92983;     5873.32887;     5815.39150;     5276.04414;     2847.18061;;
950;    2723.82948;     2829.93370;     2139.44520;     2478.10937;     1993.32705;;
