T;          P1;             P2;         P3;         P4;         P5;
10;         0.00038;        0;          0.00305;    0.09716;    0.45790;
11.95;      0;              0;          0;          0;          0;
100;        0;              0;          0;          0.09484;    0.46084;
200;        0;              0;          0.00372;    0.09727;    0.41269;
300;        0.00084;        0.25745;    0.00421;    0.09719;    0.37612;
350;        0.00066;        0;          0.00461;    0.09851;    0.38359;
450;        0.00074;        0;          0.00785;    0.10804;    0.38448;
550;        0.00121;        0;          0.04164;    0.24296;    0.43716;
650;        0.00356;        0;          0.22458;    85.79218;   0.62487;
700;        0.01796;        0;          0.65180;    2.64275;    0;
750;        0.02262;        0.00001;    1.75531;    0;          0;
800;        0.08877;        18.23270;   2.18246;    4.05420;    0;
850;        0.08537;        16.37492;   3.25239;    6.25335;    0;
950;        2.58074;        5.83272;    3.83106;    4.15954;    0;
