Frequenza (Hz),Re(S21),Im(S21)
4000000000.000,0.146,-0.908
4000110110.110,0.143,-0.909
4000220220.220,0.142,-0.908
4000330330.330,0.139,-0.909
4000440440.440,0.138,-0.909
4000550550.551,0.135,-0.910
4000660660.661,0.134,-0.909
4000770770.771,0.131,-0.909
4000880880.881,0.129,-0.909
4000990990.991,0.126,-0.909
4001101101.101,0.126,-0.910
4001211211.211,0.124,-0.911
4001321321.321,0.121,-0.910
4001431431.431,0.120,-0.912
4001541541.542,0.116,-0.912
4001651651.652,0.114,-0.913
4001761761.762,0.112,-0.911
4001871871.872,0.111,-0.910
4001981981.982,0.111,-0.912
4002092092.092,0.106,-0.914
4002202202.202,0.104,-0.914
4002312312.312,0.102,-0.912
4002422422.422,0.100,-0.913
4002532532.533,0.096,-0.913
4002642642.643,0.095,-0.914
4002752752.753,0.094,-0.913
4002862862.863,0.091,-0.913
4002972972.973,0.090,-0.914
4003083083.083,0.087,-0.914
4003193193.193,0.085,-0.914
4003303303.303,0.083,-0.914
4003413413.413,0.080,-0.915
4003523523.524,0.079,-0.915
4003633633.634,0.076,-0.917
4003743743.744,0.076,-0.916
4003853853.854,0.072,-0.915
4003963963.964,0.071,-0.915
4004074074.074,0.068,-0.915
4004184184.184,0.067,-0.915
4004294294.294,0.065,-0.916
4004404404.404,0.064,-0.917
4004514514.515,0.061,-0.916
4004624624.625,0.059,-0.915
4004734734.735,0.057,-0.915
4004844844.845,0.054,-0.917
4004954954.955,0.053,-0.916
4005065065.065,0.049,-0.916
4005175175.175,0.047,-0.918
4005285285.285,0.045,-0.915
4005395395.395,0.045,-0.917
4005505505.506,0.042,-0.915
4005615615.616,0.039,-0.917
4005725725.726,0.037,-0.917
4005835835.836,0.036,-0.916
4005945945.946,0.034,-0.917
4006056056.056,0.030,-0.918
4006166166.166,0.032,-0.918
4006276276.276,0.028,-0.916
4006386386.386,0.027,-0.916
4006496496.496,0.022,-0.916
4006606606.607,0.020,-0.916
4006716716.717,0.017,-0.917
4006826826.827,0.017,-0.917
4006936936.937,0.014,-0.917
4007047047.047,0.013,-0.916
4007157157.157,0.010,-0.916
4007267267.267,0.009,-0.915
4007377377.377,0.007,-0.915
4007487487.487,0.007,-0.916
4007597597.598,0.002,-0.915
4007707707.708,0.001,-0.916
4007817817.818,-0.002,-0.916
4007927927.928,-0.004,-0.917
4008038038.038,-0.006,-0.915
4008148148.148,-0.007,-0.917
4008258258.258,-0.008,-0.917
4008368368.368,-0.013,-0.916
4008478478.478,-0.015,-0.915
4008588588.589,-0.015,-0.916
4008698698.699,-0.017,-0.914
4008808808.809,-0.020,-0.914
4008918918.919,-0.023,-0.914
4009029029.029,-0.026,-0.916
4009139139.139,-0.024,-0.915
4009249249.249,-0.030,-0.914
4009359359.359,-0.030,-0.914
4009469469.469,-0.032,-0.915
4009579579.580,-0.034,-0.915
4009689689.690,-0.035,-0.914
4009799799.800,-0.038,-0.915
4009909909.910,-0.040,-0.914
4010020020.020,-0.042,-0.916
4010130130.130,-0.044,-0.914
4010240240.240,-0.047,-0.914
4010350350.350,-0.049,-0.914
4010460460.460,-0.051,-0.915
4010570570.571,-0.053,-0.912
4010680680.681,-0.055,-0.914
4010790790.791,-0.056,-0.913
4010900900.901,-0.058,-0.912
4011011011.011,-0.062,-0.913
4011121121.121,-0.062,-0.913
4011231231.231,-0.065,-0.911
4011341341.341,-0.067,-0.913
4011451451.451,-0.067,-0.912
4011561561.562,-0.071,-0.912
4011671671.672,-0.074,-0.912
4011781781.782,-0.076,-0.911
4011891891.892,-0.076,-0.910
4012002002.002,-0.080,-0.910
4012112112.112,-0.081,-0.909
4012222222.222,-0.083,-0.912
4012332332.332,-0.085,-0.909
4012442442.442,-0.087,-0.908
4012552552.553,-0.089,-0.910
4012662662.663,-0.092,-0.910
4012772772.773,-0.093,-0.909
4012882882.883,-0.095,-0.908
4012992992.993,-0.095,-0.910
4013103103.103,-0.101,-0.907
4013213213.213,-0.101,-0.907
4013323323.323,-0.104,-0.907
4013433433.433,-0.107,-0.908
4013543543.544,-0.106,-0.906
4013653653.654,-0.110,-0.905
4013763763.764,-0.113,-0.905
4013873873.874,-0.115,-0.907
4013983983.984,-0.115,-0.905
4014094094.094,-0.119,-0.906
4014204204.204,-0.118,-0.904
4014314314.314,-0.123,-0.904
4014424424.424,-0.124,-0.906
4014534534.535,-0.127,-0.903
4014644644.645,-0.128,-0.903
4014754754.755,-0.129,-0.905
4014864864.865,-0.132,-0.903
4014974974.975,-0.134,-0.902
4015085085.085,-0.135,-0.902
4015195195.195,-0.139,-0.903
4015305305.305,-0.139,-0.901
4015415415.415,-0.143,-0.903
4015525525.526,-0.145,-0.899
4015635635.636,-0.148,-0.901
4015745745.746,-0.147,-0.900
4015855855.856,-0.150,-0.900
4015965965.966,-0.152,-0.900
4016076076.076,-0.156,-0.899
4016186186.186,-0.156,-0.898
4016296296.296,-0.160,-0.898
4016406406.406,-0.161,-0.899
4016516516.517,-0.164,-0.897
4016626626.627,-0.164,-0.898
4016736736.737,-0.164,-0.895
4016846846.847,-0.166,-0.895
4016956956.957,-0.171,-0.895
4017067067.067,-0.173,-0.896
4017177177.177,-0.174,-0.894
4017287287.287,-0.177,-0.895
4017397397.397,-0.179,-0.894
4017507507.508,-0.181,-0.895
4017617617.618,-0.182,-0.893
4017727727.728,-0.184,-0.893
4017837837.838,-0.186,-0.891
4017947947.948,-0.188,-0.892
4018058058.058,-0.191,-0.889
4018168168.168,-0.193,-0.890
4018278278.278,-0.195,-0.891
4018388388.388,-0.196,-0.889
4018498498.498,-0.198,-0.889
4018608608.609,-0.200,-0.889
4018718718.719,-0.202,-0.888
4018828828.829,-0.204,-0.886
4018938938.939,-0.207,-0.886
4019049049.049,-0.207,-0.886
4019159159.159,-0.210,-0.887
4019269269.269,-0.212,-0.886
4019379379.379,-0.213,-0.885
4019489489.489,-0.217,-0.885
4019599599.600,-0.216,-0.884
4019709709.710,-0.220,-0.886
4019819819.820,-0.223,-0.884
4019929929.930,-0.223,-0.883
4020040040.040,-0.226,-0.882
